ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3151345,0.0177176,0.00853414,0,0,0,0,0.0262517
3151450,0.00885878,0.0170683,0,0.00911528,0,0,0.0350423
3151456,0,0.0256024,0,0,0,0,0.0256024
3151526,0.0265763,0.0170683,0,0,0,0,0.0436446
3151529,0,0.0512048,0,0,0,0,0.0512048
3151539,0.0177176,0,0,0,0,0,0.0177176
3151549,0.0177176,0,0,0,0,0,0.0177176
3151559,0,0.0853414,0,0,0,0,0.0853414
3151629,0.0265763,0.00853414,0,0,0,0,0.0351105
3151631,0.0265763,0.00853414,0,0,0,0,0.0351105
3151641,0.0265763,0.0512048,0,0,0,0,0.0777812
3151651,0.00885878,0.0682731,0.00908605,0,0,0,0.0862179
3151661,0.00885878,0.0682731,0.00908605,0,0,0,0.0862179
3151731,0.0265763,0,0,0,0,0,0.0265763
3151734,0.0265763,0,0,0,0,0,0.0265763
3151751,0,0.0341365,0,0,0,0,0.0341365
3151762,0.0708702,0.0256024,0,0,0,0,0.0964727
3151772,0.0708702,0.0256024,0,0,0,0,0.0964727
3151840,0.0265763,0.0170683,0,0,0,0,0.0436446
3151841,0,0.0853414,0,0,0,0,0.0853414
3151851,0,0.0853414,0,0,0,0,0.0853414
3151861,0.0442939,0.00853414,0,0,0,0,0.052828
3151871,0.0442939,0.00853414,0,0,0,0,0.052828
3151934,0,0,0,0.00911528,0,0,0.00911528
3151936,0.00885878,0.059739,0,0,0,0,0.0685977
3151946,0.0177176,0.0341365,0,0.00911528,0,0,0.0609694
3151962,0,0.0341365,0,0.00911528,0,0,0.0432518
3151972,0.0265763,0.00853414,0,0.0273458,0,0,0.0624563
3152042,0,0.0256024,0,0,0,0,0.0256024
3152052,0.0177176,0,0,0,0,0,0.0177176
3152054,0,0.0170683,0,0,0,0,0.0170683
3152065,0,0.0170683,0,0,0,0,0.0170683
3152075,0,0.00853414,0,0.00911528,0,0,0.0176494
3152145,0.0442939,0.0512048,0,0.00911528,0,0,0.104614
3152147,0.0265763,0,0,0,0,0,0.0265763
3152157,0,0,0,0,0,0,0
3152244,0.0442939,0.00853414,0,0,0,0,0.052828
3152247,0.0442939,0.00853414,0,0,0,0,0.052828
3152257,0.00885878,0,0,0.0273458,0,0,0.0362046
3152267,0.0265763,0.0256024,0,0,0,0,0.0521788
3152277,0.00885878,0,0,0.0182306,0,0,0.0270893
3152347,0.00885878,0,0,0.0182306,0,0,0.0270893
3152350,0,0.0426707,0,0,0,0,0.0426707
3152361,0,0.0426707,0,0,0,0,0.0426707
3152372,0,0.0426707,0,0,0,0,0.0426707
3152382,0,0.0256024,0.00908605,0,0,0,0.0346885
3152446,0.00885878,0.0341365,0,0,0,0,0.0429953
3152454,0,0.0512048,0,0,0,0,0.0512048
3152464,0,0.0256024,0,0,0,0,0.0256024
3152474,0,0.0256024,0,0,0,0,0.0256024
3152485,0,0.0938755,0,0,0,0,0.0938755
3152489,0,0.0341365,0,0,0,0,0.0341365
3152552,0,0.059739,0,0,0,0,0.059739
3152559,0,0.00853414,0,0,0,0,0.00853414
3152569,0.0265763,0.00853414,0,0.0364611,0,0,0.0715716
3152655,0.0531527,0.0426707,0,0,0,0,0.0958234
3152660,0.0265763,0.0426707,0,0.0182306,0,0,0.0874776
3152672,0,0.0682731,0,0,0,0,0.0682731
3152681,0,0.00853414,0,0,0,0,0.00853414
3152692,0,0.00853414,0,0,0,0,0.00853414
3152762,0.00885878,0.0426707,0,0,0,0,0.0515295
3152765,0.0177176,0,0,0,0,0,0.0177176
3152775,0,0.00853414,0,0,0,0,0.00853414
3152786,0.0265763,0.0341365,0,0,0,0,0.0607129
3152796,0.0265763,0.0341365,0,0,0,0,0.0607129
3152855,0,0.0256024,0,0,0,0,0.0256024
3152865,0,0.0682731,0,0,0,0,0.0682731
3152878,0,0.0341365,0,0,0,0,0.0341365
3152887,0,0.0341365,0,0,0,0,0.0341365
3152959,0.0354351,0.00853414,0,0,0,0,0.0439693
3152961,0,0,0,0,0,0,0
3152962,0,0,0,0,0,0,0
3152979,0,0,0,0.0182306,0,0,0.0182306
3152996,0.00885878,0,0.00908605,0,0,0,0.0179448
3153069,0.079729,0,0,0,0,0,0.079729
3153071,0.00885878,0,0,0,0,0,0.00885878
3153075,0.0531527,0,0,0.0182306,0,0,0.0713832
3153086,0.00885878,0.0256024,0,0,0,0,0.0344612
3153169,0,0,0,0.00911528,0,0,0.00911528
3153171,0,0,0,0.00911528,0,0,0.00911528
3153182,0,0,0,0,0,0,0
3153186,0.00885878,0.00853414,0,0.0364611,0,0,0.053854
3153201,0,0,0.0181721,0,0,0,0.0181721
3153289,0,0,0,0.0273458,0,0,0.0273458
3153295,0,0,0,0,0,0,0
3153299,0,0,0,0,0,0,0
3153372,0,0,0,0,0,0,0
3153375,0.0265763,0,0,0.00911528,0,0,0.0356916
3153379,0,0.0341365,0,0,0,0,0.0341365
3153391,0,0.0341365,0,0,0,0,0.0341365
3153407,0.00885878,0,0,0,0,0,0.00885878
3153412,0.0265763,0.0170683,0,0,0,0,0.0436446
3153470,0.0265763,0.0170683,0,0,0,0,0.0436446
3153491,0,0.0170683,0,0,0,0,0.0170683
3153494,0.0531527,0.0256024,0,0,0,0,0.0787551
3153500,0.0531527,0.0256024,0,0,0,0,0.0787551
3153576,0.00885878,0,0,0,0,0,0.00885878
3153579,0.0442939,0.0341365,0,0.0455764,0,0,0.124007
3153595,0,0.0426707,0,0,0,0,0.0426707
3153605,0.0442939,0,0,0,0,0,0.0442939
3153615,0.0442939,0,0,0,0,0,0.0442939
3153677,0.0177176,0,0,0.0273458,0,0,0.0450634
3153681,0,0.0512048,0,0,0,0,0.0512048
3153701,0.0177176,0.00853414,0,0,0,0,0.0262517
3153777,0,0,0,0,0,0,0
3153780,0,0.324297,2.80759,6.64504,10.6418,14.0049,9.77693
3153782,0,0,0.0545163,0.0729223,0,0,0.127439
3153796,0,0,0.0545163,0.0729223,0,0,0.127439
3153804,0.0265763,0.110944,0,0.0182306,0,0,0.155751
3153814,0.0620115,0.059739,0,0.0182306,0,0,0.139981
3153884,0.0620115,0.059739,0,0.0182306,0,0,0.139981
3153886,0,0.0170683,0,0,0,0,0.0170683
3153914,0.0265763,0.0170683,0,0,0,0,0.0436446
3153916,0.0442939,0.0170683,0,0.0182306,0,0,0.0795927
3153986,0,0,0,0.0182306,0,0,0.0182306
3153989,0,0,0,0.0182306,0,0,0.0182306
3154085,0,0.0170683,0,0,0,0,0.0170683
3154087,0.0265763,0.0256024,0,0.00911528,0,0,0.061294
3154110,0.0708702,0.0768072,0.00908605,0.0182306,0,0,0.174994
3154127,0,0,0,0,0,0,0
3154186,0,0.0256024,0,0,0,0,0.0256024
3154188,0.00885878,0.0341365,0,0,0,0,0.0429953
3154204,0.00885878,0.0341365,0.0181721,0,0,0,0.0611674
3154221,0.0620115,0,0,0,0,0,0.0620115
3154289,0,0,0,0,0,0,0
3154291,0,0.0341365,0.00908605,0,0,0,0.0432226
3154302,0.0177176,0.00853414,0,0.164075,0,0,0.190327
3154325,2.67535,5.38504,0,0.282574,8.96642,-13.9839,8.34297
3154330,0.850443,0.221888,0,0,-14.654,-15,1.07233
3154391,0.850443,0.221888,0,0,-14.654,-15,1.07233
3154398,0.318916,0.49498,0,0,5.40805,-15,0.813896
3154417,0,0.00853414,0,0,0,0,0.00853414
3154421,0,0.00853414,0,0,0,0,0.00853414
3154502,0,0.0170683,0,0,0,0,0.0170683
3154505,0.0177176,0.0256024,0,0,0,0,0.04332
3154515,0,0.0256024,0,0,0,0,0.0256024
3154525,0,0.0170683,0,0.0182306,0,0,0.0352988
3154535,0,0.0170683,0,0.0182306,0,0,0.0352988
3154596,0,0,0,0,0,0,0
3154598,0.0177176,0.0170683,0,0,0,0,0.0347858
