ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3073292,0,0,0,0,0,0,0
3073295,0,0,0.0544872,0,0,0,0.0544872
3073317,0,0,0.0544872,0,0,0,0.0544872
3073327,0.0265487,0,0,0,0,0,0.0265487
3073398,0.0265487,0,0,0,0,0,0.0265487
3073400,0.0265487,0.0171026,0,0.018211,0,0,0.0618623
3073410,0.00884956,0.0427565,0.0363248,0,0,0,0.0879309
3073426,0.0176991,0.0171026,0.0090812,0.00910552,0,0,0.0529884
3073436,0,0,0.0272436,0.00910552,0,0,0.0363491
3073497,0.0530973,0.0684105,0.0090812,0,0,0,0.130589
3073499,0,0,0,0,0,0,0
3073509,0,0.0171026,0,0,0,0,0.0171026
3073600,0,0.0513078,0.045406,0,0,0,0.0967138
3073603,0,0.00855131,0.045406,0,0,0,0.0539573
3073620,0,0,0,0.0455276,0,0,0.0455276
3073630,0,0.0855131,0,0.0364221,0,0,0.121935
3073705,0,0,0,0,0,0,0
3073708,0,0,0,0,0,0,0
3073710,0.0176991,0,0.0363248,0,0,0,0.0540239
3073733,0,0.0769618,0,0.00910552,0,0,0.0860673
3073810,0,0.0427565,0,0,0,0,0.0427565
3073812,0,0.0171026,0.0181624,0,0,0,0.035265
3073822,0.0176991,0,0.0181624,0,0,0,0.0358615
3073832,0,0,0.0181624,0.0546331,0,0,0.0727955
3073842,0.00884956,0.00855131,0,0,0,0,0.0174009
3073909,0,0,0.0090812,0,0,0,0.0090812
3073915,0,0.00855131,0.0272436,0,0,0,0.0357949
3073927,0.0265487,0,0,0.00910552,0,0,0.0356542
3073944,0,0,0.0817308,0,0,0,0.0817308
3074009,0,0,0,0,0,0,0
3074011,0,0,0,0,0,0,0
3074014,0.00884956,0.0513078,0,0,0,0,0.0601574
3074024,0,0.0342052,0.0272436,0.0273165,0,0,0.0887654
3074035,0,0.0940644,0.0272436,0,0,0,0.121308
3074045,0,0.0940644,0.0272436,0,0,0,0.121308
3074115,0,0,0.0272436,0,0,0,0.0272436
3074117,0,0,0,0,0,0,0
3074129,0,0.0171026,0.0363248,0,0,0,0.0534274
3074140,0,0.0427565,0.0272436,0,0,0,0.0700001
3074144,0,0.0427565,0.0272436,0,0,0,0.0700001
3074219,0.0265487,0.0256539,0.0090812,0,0,0,0.0612838
3074221,0.00884956,0.0171026,0.0272436,0.0364221,0,0,0.0896178
