ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3347006,0,0.0255383,0,0.0182013,0,0,0.0437396
3347009,0,0.0255383,0,0.0182013,0,0,0.0437396
3347012,0,0,0.0271566,0.0455032,0,0,0.0726598
3347022,0.0265902,0,0,0.100107,0,0,0.126697
3347032,0.0265902,0,0,0.100107,0,0,0.126697
3347042,0,0,0.0181044,0.0455032,0,0,0.0636076
3347112,0,0.0851277,0.0271566,0.0455032,0,0,0.157787
3347116,0,0.0851277,0.0271566,0.0455032,0,0,0.157787
3347128,0,0,0.108626,0.118308,0,0,0.226935
3347138,0.0531804,0.0851277,0.0814696,0.109208,0,0,0.328985
3347148,0.0531804,0.0851277,0.0814696,0.109208,0,0,0.328985
3347207,0.0354536,0.136204,0,0.00910064,0,0,0.180759
3347216,0,0.0681022,0.00905218,0,0,0,0.0771543
3347227,0,0.0681022,0.00905218,0,0,0,0.0771543
3347237,0,0.0595894,0.0543131,0.0182013,0,0,0.132104
3347247,0,0.0681022,0.0543131,0.0273019,0,0,0.149717
3347325,0,0.0595894,0.0362087,0.0455032,0,0,0.141301
3347331,0.0177268,0.0851277,0.0271566,0.00910064,0,0,0.139112
3347341,0,0.170255,0.0362087,0,0,0,0.206464
3347351,0,0,0.362087,0.436831,2.3389,15,0.798918
3347412,0.0177268,0.0851277,0,0,0,0,0.102854
3347414,0.0177268,0.0851277,0,0,0,0,0.102854
3347423,0,0.0766149,0,0,0,0,0.0766149
3347433,0,0.0425638,0.0633653,0.0546039,0,0,0.160533
3347443,0.0265902,0.0681022,0.0271566,0.0273019,0,0,0.149151
3347453,0.0265902,0.0681022,0.0271566,0.0273019,0,0,0.149151
3347515,0,0.0936405,0,0.0546039,0,0,0.148244
3347516,0,0.0936405,0.0543131,0.0546039,0,0,0.202557
3347520,0,0.0766149,0.0905218,0.0455032,0,0,0.21264
3347530,0,0.0766149,0.0905218,0.0455032,0,0,0.21264
3347540,0.044317,0.110666,0,0.0364026,0,0,0.191386
3347550,0.044317,0.110666,0,0.0364026,0,0,0.191386
3347620,0,0.0766149,0.0724175,0.0728051,0,0,0.221838
3347622,2.56152,7.2018,0,0.746253,12.8134,-12.8698,10.5096
3347632,0.0531804,0.15323,0,0,0,0,0.20641
3347643,0.0531804,0.15323,0,0,0,0,0.20641
3347653,0,0.0851277,0.0362087,0.0273019,0,0,0.148638
3347721,0.044317,0.0851277,0.099574,0.0637045,0,0,0.292723
3347728,0.0354536,0.0681022,0.0362087,0.0182013,0,0,0.157966
3347733,0.0088634,0.0681022,0,0.0455032,0,0,0.122469
3347743,0.0088634,0.0681022,0,0.0455032,0,0,0.122469
3347754,0,0.0766149,0.0181044,0.00910064,0,0,0.10382
3347822,0,0.0340511,0.0905218,0.0819058,0,0,0.206479
3347825,0,0.0340511,0.0905218,0.0819058,0,0,0.206479
3347834,0,0.136204,0.0633653,0.0273019,0,0,0.226872
3347844,0,0.0936405,0.00905218,0.00910064,0,0,0.111793
3347857,0,0.0936405,0.00905218,0.00910064,0,0,0.111793
3347864,0,0.0851277,0.0633653,0.0273019,0,0,0.175795
3347925,0,0.119179,0.0543131,0.0364026,0,0,0.209894
3347933,0,0.0851277,0.0271566,0.00910064,0,0,0.121385
3347944,0,0.0510766,0.0362087,0.0637045,0,0,0.15099
3347955,0,0.0510766,0.0362087,0.0637045,0,0,0.15099
3348031,0.0177268,0.0851277,0.00905218,0,0,0,0.111907
3348033,0,0.0766149,0.0905218,0,0,0,0.167137
3348036,0,0.0595894,0.0362087,0,0,0,0.0957981
3348059,0.0177268,0.102153,0.0362087,0,0,0,0.156089
3348066,0.0177268,0.102153,0.0362087,0,0,0,0.156089
3348129,0,0.0255383,0.0271566,0.0182013,0,0,0.0708961
3348132,0.0354536,0.0766149,0.0633653,0.0273019,0,0,0.202736
3348136,0,0.110666,0.0181044,0.0273019,0,0,0.156072
3348151,0,0.110666,0.0181044,0.0273019,0,0,0.156072
3348161,0,0.0936405,0.0362087,0,0,0,0.129849
3348171,0,0.0766149,0.0814696,0,0,0,0.158085
3348236,0.0088634,0.0851277,0.0543131,0.0637045,0,0,0.212009
3348237,0.505214,3.10716,0.697018,7.40792,19.8698,5.75119,11.7173
3348249,0.186131,2.27291,0.715122,6.98019,20.5622,7.73502,10.1544
3348271,0.124088,1.85578,0.850905,8.19968,20.5805,9.61526,11.0305
3348335,0.194995,1.59189,0.841853,8.30889,20.2602,10.0989,10.9376
3348340,0.194995,1.8643,0.724175,8.66381,20.9852,9.6032,11.4473
3348351,0.38999,3.87331,0.778488,10.3565,21.2058,6.69397,15.3983
3348361,0.345673,3.8648,0.78754,10.8662,21.4284,7.03778,15.8642
3348437,0.310219,3.85628,0.769436,11.2393,21.6626,7.27244,16.1752
3348445,0.363399,4.32449,0.896166,12.031,21.4248,7.01613,17.6151
3348454,0.487487,5.32048,0.923323,12.9502,21.4159,6.14707,19.6815
3348464,0.452033,5.50776,0.968584,13.0958,21.4528,6.07111,20.0242
3348474,0.487487,5.80571,1.01384,13.4963,21.3916,5.92471,20.8033
3348538,0.540667,5.90786,1.00479,13.5145,21.3147,5.77366,20.9678
3348541,0.540667,5.99299,1.041,13.8148,21.3027,5.83614,21.3894
3348544,0.629301,6.78468,1.03195,14.1606,21.3257,5.16128,22.6065
3348552,0.655892,6.8017,1.16773,14.288,21.0206,5.23591,22.9133
3348575,0.664755,6.84427,1.14963,14.0787,21.0101,5.09248,22.7373
3348647,0.717935,6.96345,1.18584,14.5792,20.9402,5.17159,23.4464
3348650,0.735662,7.1337,1.2492,15.2982,20.9354,5.33119,24.4167
3348653,0.771116,7.51678,1.27636,15.9989,20.9953,5.27364,25.5632
3348667,0.771116,7.51678,1.27636,15.9989,20.9953,5.27364,25.5632
3348677,0.753389,7.45719,1.27636,15.2891,20.9038,5.05824,24.776
3348756,0.717935,7.35503,1.31257,15.4711,20.9156,5.25656,24.8566
3348758,0.726799,7.44867,1.30351,15.9352,21.0056,5.34933,25.4142
3348770,0.850886,8.32549,1.51171,17.7492,20.8459,5.31934,28.4372
3348848,0.850886,8.32549,1.51171,17.7492,20.8459,5.31934,28.4372
3348858,0.850886,8.334,1.51171,16.9545,20.7278,5.03488,27.6511
3348867,0.842023,8.29144,1.40309,16.6633,20.8729,4.92626,27.1998
3348878,0.83316,8.24887,1.38498,16.2901,20.855,4.81727,26.7572
3348951,0.83316,8.24887,1.38498,16.2901,20.855,4.81727,26.7572
3348955,0.753389,8.24887,1.32162,16.1081,21.0748,4.78255,26.432
3348956,0.93952,8.63195,1.44835,15.5621,20.5085,4.19777,26.5819
3348967,0.93952,8.63195,1.44835,15.5621,20.5085,4.19777,26.5819
3348983,1.15224,9.01502,1.51171,15.6622,20.1283,3.84401,27.3412
3348987,1.15224,9.01502,1.51171,15.6622,20.1283,3.84401,27.3412
3349056,1.2586,9.3981,1.6475,16.2719,19.9152,3.81231,28.5761
3349059,1.66632,9.94291,1.96432,17.7203,19.1991,3.87077,31.2939
3349068,3.20855,11.3135,3.9377,18.1429,15.2381,3.09757,36.6027
3349091,4.04171,11.7732,5.09638,19.113,13.5843,3.14603,40.0242
3349163,4.68874,12.1903,6.35463,19.7853,12.1645,3.22913,43.019
3349168,5.34463,12.2328,7.0607,19.3915,10.9125,3.02344,44.0297
3349170,6.23983,11.6284,8.27369,18.1814,8.62766,2.90596,44.3233
3349192,6.55892,11.654,8.8983,17.2977,7.59673,2.69646,44.4089
3349256,6.92232,11.3986,9.44143,16.1718,6.37698,2.48976,43.9342
3349259,6.92232,11.3986,9.44143,16.1718,6.37698,2.48976,43.9342
3349276,8.4025,11.8413,12.1752,17.1153,4.22881,2.73952,49.5342
3349286,8.91658,12.2669,13.0261,17.8452,3.92348,2.79162,52.0548
3349362,9.30657,12.5819,13.2343,18.6712,4.04887,2.79317,53.7939
3349365,9.6877,12.9224,13.361,19.5068,4.22711,2.77346,55.4779
3349387,10.574,14.2759,13.1076,20.9571,4.90175,2.34611,58.9146
3349393,10.5918,14.5143,12.5373,20.5249,5.11882,2.05166,58.1682
3349461,10.255,14.5143,11.8222,19.8141,5.43001,1.82616,56.4055
3349464,10.255,14.5143,11.8222,19.8141,5.43001,1.82616,56.4055
3349474,9.36861,14.4377,10.9894,19.6701,6.3112,1.88737,54.4657
3349487,9.36861,14.4377,10.9894,19.6701,6.3112,1.88737,54.4657
3349492,8.97862,14.4036,10.6454,19.6797,6.7306,1.93907,53.7073
3349502,8.97862,14.4036,10.6454,19.6797,6.7306,1.93907,53.7073
3349568,8.5975,14.1057,10.3466,19.6412,7.02338,2.07381,52.691
3349571,8.50886,13.995,10.4824,19.9294,7.05513,2.24167,52.9157
3349575,8.39364,14.1142,11.0075,22.2633,7.60882,2.89437,55.7785
3349585,8.39364,14.1142,11.0075,22.2633,7.60882,2.89437,55.7785
3349596,8.26955,13.9184,11.2157,22.7915,7.6629,3.15488,56.1951
3349606,8.25182,13.8758,11.3243,23.0316,7.67097,3.24739,56.4836
3349666,8.25182,13.9439,11.5596,23.8,7.78922,3.43076,57.5554
3349691,7.86184,13.6034,11.4329,24.1458,8.08782,3.7112,57.0439
3349707,7.8707,13.8077,11.4239,24.2514,8.17933,3.66067,57.3537
3349767,7.91502,13.7992,11.3786,24.1169,8.13784,3.61337,57.2098
3349770,7.91502,13.7992,11.3786,24.1169,8.13784,3.61337,57.2098
3349779,7.83525,13.331,11.1161,23.5983,8.04303,3.63672,55.8806
3349790,7.85297,13.646,11.2247,23.6271,8.07238,3.5544,56.3508
3349800,7.7732,13.6204,11.0618,23.6175,8.20493,3.55403,56.0729
3349870,7.71116,13.4502,10.9803,23.4734,8.19569,3.58511,55.6151
3349873,7.57821,13.2629,10.8083,23.0124,8.18158,3.5618,54.6618
3349878,7.4098,13.2714,10.754,23.5599,8.48598,3.71833,54.9951
3349889,7.4098,13.2714,10.754,23.5599,8.48598,3.71833,54.9951
3349903,7.30344,13.2118,10.6092,23.3294,8.55248,3.69761,54.4538
3349910,7.09072,13.1012,10.41,23.0028,8.67613,3.69957,53.6047
3349973,7.09072,13.1012,10.41,23.0028,8.67613,3.69957,53.6047
3349975,6.99322,13.1693,10.1837,23.1469,8.94472,3.69248,53.4931
3349985,6.96663,13.4927,9.7492,23.5407,9.45017,3.58066,53.7492
3349994,6.878,13.4417,9.63152,23.4446,9.54044,3.58357,53.3958
3350005,6.878,13.4417,9.63152,23.4446,9.54044,3.58357,53.3958
3350015,6.78936,13.365,9.51384,23.4446,9.6523,3.61609,53.1129
3350083,6.78936,13.365,9.51384,23.4446,9.6523,3.61609,53.1129
3350096,6.69187,13.1693,9.46858,23.0797,9.58248,3.63116,52.4094
3350102,6.74505,13.2374,9.49574,23.4734,9.66449,3.67886,52.9516
3350177,6.74505,13.2374,9.49574,23.4734,9.66449,3.67886,52.9516
3350181,6.75391,13.348,9.68584,23.7904,9.65817,3.74433,53.5782
3350184,6.9489,13.4672,9.76731,24.1746,9.62396,3.73242,54.358
3350194,6.9489,13.4672,9.76731,24.1746,9.62396,3.73242,54.358
3350204,7.01981,13.5608,9.74015,24.2802,9.65234,3.69216,54.601
3350214,7.01981,13.5608,9.74015,24.2802,9.65234,3.69216,54.601
3350283,7.02868,13.4927,9.79446,24.3282,9.60664,3.7336,54.6441
3350286,7.01981,13.4246,9.85783,24.3475,9.55835,3.77701,54.6497
3350296,7.13504,13.6289,10.066,24.2802,9.39395,3.69685,55.1102
3350306,7.10845,13.6545,10.0479,24.0401,9.36092,3.64399,54.851
3350317,7.13504,13.646,10.066,23.7808,9.25613,3.58768,54.6278
3350393,7.15276,13.5438,10.1565,23.6847,9.13093,3.6153,54.5379
3350396,7.2414,13.365,10.3376,23.6175,8.89068,3.6698,54.5616
3350414,7.3123,13.1352,10.8264,24.0209,8.59818,3.90628,55.2948
3350417,7.4098,13.2459,11.0618,24.0977,8.45292,3.89782,55.8152
3350487,7.47185,13.2969,11.0889,23.7808,8.32021,3.80157,55.6385
3350490,7.47185,13.2969,11.0889,23.7808,8.32021,3.80157,55.6385
3350500,7.3123,13.0245,10.6363,22.7915,8.30817,3.65231,53.7647
