ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3318229,0,0.017094,0,0,0,0,0.017094
3318230,0.0177268,0,0.0090715,0,0,0,0.0267983
3318234,0,0.00854701,0,0,0,0,0.00854701
3318249,0,0.00854701,0,0,0,0,0.00854701
3318259,0,0.00854701,0,0,0,0,0.00854701
3318333,0.0177268,0.034188,0,0,0,0,0.0519148
3318334,0.0265902,0,0,0,0,0,0.0265902
3318351,0,0.00854701,0,0,0,0,0.00854701
3318363,0,0.00854701,0,0,0,0,0.00854701
3318439,0.0177268,0,0,0,0,0,0.0177268
3318442,0.0177268,0,0,0,0,0,0.0177268
3318460,0,0,0,0,0,0,0
3318471,0,0,0.036286,0,0,0,0.036286
3318494,0,0,0.036286,0,0,0,0.036286
3318496,0,0,0.018143,0,0,0,0.018143
3318498,0,0,0.018143,0,0,0,0.018143
3318514,0,0,0,0,0,0,0
3318518,0,0,0,0,0,0,0
3318539,0,0,0.0090715,0,0,0,0.0090715
3318549,0,0,0,0,0,0,0
3318572,0,0,0.0272145,0,0,0,0.0272145
3318661,0,0,0.0272145,0,0,0,0.0272145
3318668,0,0.017094,0,0,0,0,0.017094
3318670,0,0.025641,0,0,0,0,0.025641
3318680,0.0088634,0,0.0272145,0,0,0,0.0360779
3318728,0.0088634,0,0.0272145,0,0,0,0.0360779
3318729,0,0,0,0,0,0,0
3318731,0,0,0,0,0,0,0
3318741,0,0,0,0,0,0,0
3318757,0,0.017094,0,0,0,0,0.017094
3318768,0,0,0,0,0,0,0
3318784,0,0,0,0,0,0,0
3318798,0.0177268,0,0.0090715,0,0,0,0.0267983
3318814,0,0,0,0,0,0,0
3318825,0,0,0,0,0,0,0
3318835,0.0177268,0,0.0635005,0,0,0,0.0812273
3318846,0,0.042735,0,0,0,0,0.042735
3318856,0,0.042735,0,0,0,0,0.042735
3318866,0.0088634,0,0,0,0,0,0.0088634
3318874,0,0.00854701,0.018143,0,0,0,0.02669
3318884,0,0.00854701,0.018143,0,0,0,0.02669
3318948,0,0,0.0090715,0,0,0,0.0090715
3318949,0,0.017094,0.0272145,0,0,0,0.0443085
3318959,0,0.034188,0,0,0,0,0.034188
3318975,0,0,0.036286,0,0,0,0.036286
3318985,0,0.00854701,0.0090715,0,0,0,0.0176185
3319029,0,0,0,0,0,0,0
3319040,0,0,0.0272145,0,0,0,0.0272145
3319043,0,0,0,0,0,0,0
3319046,0,0,0,0,0,0,0
3319060,0.0265902,0,0,0,0,0,0.0265902
3319070,0,0,0,0,0,0,0
3319080,0,0,0,0,0,0,0
3319085,0,0.034188,0,0,0,0,0.034188
3319176,0,0.034188,0,0,0,0,0.034188
3319180,0,0,0,0,0,0,0
3319192,0,0.025641,0,0,0,0,0.025641
3319197,0,0,0.0090715,0,0,0,0.0090715
3319208,0,0,0.0090715,0,0,0,0.0090715
3319224,0,0,0.0090715,0,0,0,0.0090715
3319226,0.0088634,0.00854701,0,0,0,0,0.0174104
3319237,0.0088634,0.00854701,0,0,0,0,0.0174104
3319247,0,0.00854701,0,0,0,0,0.00854701
3319269,0,0.00854701,0,0,0,0,0.00854701
3319279,0,0,0,0,0,0,0
3319289,0,0,0,0,0,0,0
3319359,0,0,0,0,0,0,0
3319363,0,0,0,0,0,0,0
3319395,0.0265902,0,0,0,0,0,0.0265902
3319426,0,0,0,0,0,0,0
3319429,0,0,0,0,0,0,0
3319439,0,0.042735,0.018143,0,0,0,0.0608781
3319461,0.044317,0.00854701,0,0,0,0,0.052864
3319471,0,0,0.072572,0,0,0,0.072572
3319481,0,0,0.072572,0,0,0,0.072572
3319491,0,0,0,0,0,0,0
3319561,0,0.00854701,0,0,0,0,0.00854701
3319564,0,0.00854701,0.036286,0,0,0,0.044833
3319575,0,0,0.018143,0,0,0,0.018143
3319591,0,0,0,0,0,0,0
3319601,0,0,0,0,0,0,0
3319663,0,0,0,0,0,0,0
3319665,0,0,0.018143,0,0,0,0.018143
3319674,0,0,0,0,0,0,0
3319684,0,0.017094,0,0,0,0,0.017094
3319700,0,0.017094,0,0,0,0,0.017094
3319703,0,0.00854701,0,0,0,0,0.00854701
3319713,0,0,0,0,0,0,0
3319735,0.0088634,0.034188,0,0,0,0,0.0430514
3319773,0.0088634,0.034188,0,0,0,0,0.0430514
3319783,0,0,0,0,0,0,0
3319793,0.0177268,0.034188,0,0.603226,23.6471,12.6227,0.655141
3319802,0.0177268,0.17094,0,0,0,0,0.188667
3319872,0,0,0.0997865,0.0731183,0,0,0.172905
3319875,0.0797706,0.042735,0.036286,0,0,0,0.158792
3319885,0,0.017094,0.0635005,0,0,0,0.0805945
3319895,0,0,0,0,0,0,0
3319918,0,0.034188,0,0,0,0,0.034188
3319927,0,0,0,0,0,0,0
3319946,0.0088634,0,0.0453575,0,0,0,0.0542209
3319963,0,0,0.018143,0,0,0,0.018143
3319975,0.0088634,0.017094,0.0272145,0,0,0,0.0531719
3319985,0.0088634,0.017094,0.0272145,0,0,0,0.0531719
3319996,0,0,0,0,0,0,0
