ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1899575,0,0,0.0090715,0,0,0,0.0090715
1899585,0,0,0,0,0,0,0
1899595,0,0,0,0,0,0,0
1899605,0,0,0,0,0,0,0
1899615,0,0,0,0,0,0,0
1899625,0,0,0.0090715,0,0,0,0.0090715
1899635,0,0.025641,0,0,0,0,0.025641
1899658,0,0.034188,0.036286,0,0,0,0.0704741
1899667,0,0,0,0,0,0,0
1899685,0,0,0.036286,0.0273312,0,0,0.0636172
1899695,0,0,0.036286,0.0273312,0,0,0.0636172
1899705,0,0.025641,0.0090715,0,0,0,0.0347125
1899715,0,0,0,0,0,0,0
1899726,0,0,0,0,0,0,0
1899735,0.00885417,0,0.036286,0,0,0,0.0451402
1899745,0,0,0.0272145,0.0182208,0,0,0.0454353
1899776,0,0,0.0272145,0.0182208,0,0,0.0454353
1899786,0,0,0.054429,0,0,0,0.054429
1899796,0,0.00854701,0,0.0182208,0,0,0.0267678
1899806,0,0.00854701,0,0.0182208,0,0,0.0267678
1899816,0,0.017094,0,0.0182208,0,0,0.0353148
1899826,0,0,0.0272145,0,0,0,0.0272145
1899837,0,0,0.0272145,0,0,0,0.0272145
1899846,0,0,0,0.0273312,0,0,0.0273312
1899870,0,0,0,0,0,0,0
1899882,0,0,0.0090715,0,0,0,0.0090715
1899898,0,0,0,0,0,0,0
1899908,0,0,0,0,0,0,0
1899930,0,0,0,0,0,0,0
1899940,0,0,0,0,0,0,0
1899950,0,0,0.036286,0,0,0,0.036286
1899960,0,0,0,0,0,0,0
1899970,0,0,0,0,0,0,0
1899980,0.0265625,0,0,0,0,0,0.0265625
1899990,0,0,0,0,0,0,0
1900000,0,0,0,0,0,0,0
1900010,0.00885417,0,0,0.0091104,0,0,0.0179646
1900020,0.00885417,0,0,0.0091104,0,0,0.0179646
1900030,0,0,0.0453575,0.0273312,0,0,0.0726887
1900040,0,0,0,0.0182208,0,0,0.0182208
1900063,0,0,0.0272145,0.0546624,0,0,0.0818769
1900079,0,0,0,0.0182208,0,0,0.0182208
1900092,0,0.00854701,0.0090715,0.0182208,0,0,0.0358393
1900113,0.0177083,0.025641,0.018143,0,0,0,0.0614924
1900144,0,0.017094,0,0,0,0,0.017094
1900148,0,0.017094,0.0090715,0,0,0,0.0261655
1900163,0,0,0,0,0,0,0
1900173,0,0.025641,0.036286,0,0,0,0.061927
1900183,0,0.025641,0.036286,0,0,0,0.061927
1900192,0.0265625,0.00854701,0,0.0091104,0,0,0.0442199
1900203,0,0.025641,0.036286,0,0,0,0.061927
1900219,0,0.025641,0,0,0,0,0.025641
1900241,0,0.025641,0,0.045552,0,0,0.071193
1900251,0,0,0,0,0,0,0
1900261,0,0,0,0,0,0,0
1900272,0,0.00854701,0,0,0,0,0.00854701
1900285,0,0,0,0,0,0,0
1900304,0,0.017094,0,0.0273312,0,0,0.0444252
1900323,0,0,0,0.0091104,0,0,0.0091104
