ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1860451,0.0706127,0,0,0.1,0,0,0.170613
1860454,0.0529595,0,0,0.0454545,0,0,0.098414
1860462,0.0882658,0,0,0.1,0,0,0.188266
1860472,0.0617861,0,0,0.0818182,0,0,0.143604
1860483,0.0353063,0,0,0.109091,0,0,0.144397
1860506,0.0353063,0,0,0.0909091,0,0,0.126215
1860522,0.105919,0,0,0.1,0,0,0.205919
1860532,0.0794393,0,0,0.0727273,0,0,0.152167
1860542,0.0794393,0,0,0.0727273,0,0,0.152167
1860552,0.0617861,0,0,0.118182,0,0,0.179968
1860563,0.0617861,0,0,0.118182,0,0,0.179968
1860572,0.0794393,0,0,0.109091,0,0,0.18853
1860582,0.0441329,0,0,0.0727273,0,0,0.11686
1860606,0.0353063,0,0,0.0909091,0,0,0.126215
1860616,0.0617861,0,0,0.0727273,0,0,0.134513
1860626,0.0617861,0,0,0.0727273,0,0,0.134513
1860636,0.0706127,0,0,0.118182,0,0,0.188794
1860646,0.0706127,0,0,0.118182,0,0,0.188794
1860656,0.0353063,0,0,0.0727273,0,0,0.108034
1860666,0.0264798,0,0,0.0818182,0,0,0.108298
1860676,0.0264798,0,0,0.0818182,0,0,0.108298
1860686,0.0353063,0,0,0.0363636,0,0,0.07167
1860696,0.0882658,0,0,0.0909091,0,0,0.179175
1860718,0.0882658,0,0,0.127273,0,0,0.215539
1860729,0.0706127,0,0,0.0818182,0,0,0.152431
1860738,0.0706127,0,0,0.0818182,0,0,0.152431
1860744,0.0882658,0,0,0.0727273,0,0,0.160993
1860759,0.0882658,0,0,0.0727273,0,0,0.160993
1860768,0.0353063,0,0,0.0727273,0,0,0.108034
1860778,0.0706127,0,0,0.0545455,0,0,0.125158
1860788,0.0706127,0,0,0.0545455,0,0,0.125158
1860816,0.0353063,0,0,0.0818182,0,0,0.117125
1860822,0.0794393,0,0,0.1,0,0,0.179439
1860825,0.0617861,0,0,0.127273,0,0,0.189059
1860834,0.0617861,0,0,0.127273,0,0,0.189059
1860844,0.0353063,0,0,0.118182,0,0,0.153488
1860854,0.0706127,0,0,0.1,0,0,0.170613
1860865,0.0706127,0,0,0.1,0,0,0.170613
1860875,0.0617861,0,0,0.1,0,0,0.161786
1860897,0.0970924,0,0,0.0727273,0,0,0.16982
1860907,0.0353063,0,0,0.1,0,0,0.135306
1860917,0.0353063,0,0,0.1,0,0,0.135306
1860927,0.0353063,0,0,0.0818182,0,0,0.117125
1860937,0.0617861,0,0,0.0636364,0,0,0.125422
1860950,0.0617861,0,0,0.0636364,0,0,0.125422
1860960,0.0794393,0,0,0.00909091,0,0,0.0885302
1860970,0.0794393,0,0,0.00909091,0,0,0.0885302
1860979,0.105919,0,0,0.0727273,0,0,0.178646
1860990,0.0706127,0,0,0.127273,0,0,0.197885
1861000,0.0706127,0,0,0.127273,0,0,0.197885
1861012,0.105919,0,0,0.0454545,0,0,0.151374
1861016,0.0617861,0,0,0.0636364,0,0,0.125422
1861031,0.0617861,0,0,0.0636364,0,0,0.125422
1861041,0.0706127,0,0,0.136364,0,0,0.206976
1861057,0.0353063,0,0,0.118182,0,0,0.153488
1861067,0.0264798,0,0,0.109091,0,0,0.135571
1861077,0.0264798,0,0,0.109091,0,0,0.135571
1861087,0.0264798,0,0,0.0727273,0,0,0.099207
1861097,0.0441329,0,0,0.0909091,0,0,0.135042
1861107,0.0441329,0,0,0.0909091,0,0,0.135042
1861118,0.114746,0,0,0.145455,0,0,0.2602
1861128,0.114746,0,0,0.145455,0,0,0.2602
1861138,0.0970924,0,0,0.0909091,0,0,0.188002
1861148,0.0706127,0,0,0.0636364,0,0,0.134249
1861159,0.0706127,0,0,0.0636364,0,0,0.134249
1861190,0.0617861,0,0,0.1,0,0,0.161786
1861200,0.0441329,0,0,0.0363636,0,0,0.0804965
1861218,0.0706127,0,0,0.0454545,0,0,0.116067
1861230,0.0706127,0,0,0.109091,0,0,0.179704
1861239,0.0706127,0,0,0.109091,0,0,0.179704
1861248,0.0529595,0,0,0.109091,0,0,0.16205
1861258,0.0441329,0,0,0.1,0,0,0.144133
1861268,0.0441329,0,0,0.1,0,0,0.144133
1861278,0.0529595,0,0,0.1,0,0,0.152959
1861301,0.0441329,0,0,0.0636364,0,0,0.107769
1861311,0.0176532,0,0,0.0181818,0,0,0.035835
1861321,0.0176532,0,0,0.0181818,0,0,0.035835
1861332,0.0441329,0,0,0.0636364,0,0,0.107769
1861342,0.0353063,0,0,0.0909091,0,0,0.126215
1861352,0.0353063,0,0,0.0909091,0,0,0.126215
1861362,0.0529595,0,0,0.0727273,0,0,0.125687
1861372,0.0529595,0,0,0.0727273,0,0,0.125687
1861383,0.105919,0,0,0.109091,0,0,0.21501
1861392,0.0970924,0,0,0.0909091,0,0,0.188002
1861402,0.0970924,0,0,0.0909091,0,0,0.188002
1861412,0.105919,0,0,0.0818182,0,0,0.187737
1861424,0.0706127,0,0,0.0636364,0,0,0.134249
1861439,0.0617861,0,0,0.0818182,0,0,0.143604
1861449,0.0617861,0,0,0.0818182,0,0,0.143604
1861459,0.0176532,0,0,0.118182,0,0,0.135835
1861469,0.0794393,0,0,0.118182,0,0,0.197621
1861492,0,0,0,0.127273,0,0,0.127273
1861502,0.00882658,0,0,0.0545455,0,0,0.063372
