ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1991651,0,0,0.0361702,0,0,0,0.0361702
1991655,0.0176715,0,0.0723404,0.0273312,0,0,0.117343
1991670,0.0176715,0,0.0723404,0.0273312,0,0,0.117343
1991680,0,0,0.0361702,0.0091104,0,0,0.0452806
1991690,0,0,0.0452128,0,0,0,0.0452128
1991700,0,0,0.0452128,0,0,0,0.0452128
1991710,0,0,0.0632979,0.0182208,0,0,0.0815187
1991720,0,0,0.0632979,0.0182208,0,0,0.0815187
1991730,0,0,0.081383,0,0,0,0.081383
1991740,0.0441788,0,0.0542553,0,0,0,0.0984341
1991750,0.0441788,0,0.0542553,0,0,0,0.0984341
1991760,0.0441788,0,0.081383,0.0182208,0,0,0.143783
1991766,0.0265073,0,0.0723404,0.0182208,0,0,0.117068
1991781,0.0265073,0,0.0723404,0.0182208,0,0,0.117068
1991791,0.0530146,0,0.0452128,0,0,0,0.0982273
1991807,0,0,0.0452128,0,0,0,0.0452128
1991818,0,0,0.0632979,0.0091104,0,0,0.0724083
1991827,0,0,0.0632979,0.0091104,0,0,0.0724083
1991838,0,0,0.0361702,0,0,0,0.0361702
1991847,0,0,0.0632979,0,0,0,0.0632979
1991870,0,0.00857287,0.117553,0.0364416,0,0,0.162568
1991880,0,0.00857287,0.117553,0.0364416,0,0,0.162568
1991890,0,0,0.0452128,0.0364416,0,0,0.0816544
1991901,0.00883576,0,0.0632979,0.045552,0,0,0.117686
1991916,0,0,0.0904255,0.0273312,0,0,0.117757
1991926,0,0,0.0904255,0.0273312,0,0,0.117757
1991936,0,0,0.081383,0.0364416,0,0,0.117825
1991946,0.0265073,0.00857287,0.0904255,0,0,0,0.125506
1991956,0.0265073,0.00857287,0.0904255,0,0,0,0.125506
1991966,0,0,0.0452128,0.0182208,0,0,0.0634336
1991977,0,0,0.0452128,0.0182208,0,0,0.0634336
1992011,0,0,0.0632979,0.0091104,0,0,0.0724083
1992018,0,0,0.0632979,0.0091104,0,0,0.0724083
1992030,0.0176715,0,0.0542553,0,0,0,0.0719268
1992037,0.0176715,0,0.0542553,0,0,0,0.0719268
1992047,0,0,0.081383,0,0,0,0.081383
1992057,0,0,0.0723404,0.0182208,0,0,0.0905612
1992067,0,0,0.0723404,0.0182208,0,0,0.0905612
1992077,0,0,0.0542553,0,0,0,0.0542553
1992087,0,0,0.0542553,0,0,0,0.0542553
1992097,0.0265073,0,0.0723404,0.045552,0,0,0.1444
1992107,0,0.0171457,0.081383,0.0182208,0,0,0.11675
1992117,0,0.0171457,0.081383,0.0182208,0,0,0.11675
1992127,0.00883576,0,0.0723404,0.0273312,0,0,0.108507
