ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1969825,0.00883576,0,0.0271277,0,0,0,0.0359634
1969835,0.0176715,0,0,0,0,0,0.0176715
1969845,0.0176715,0,0,0,0,0,0.0176715
1969855,0,0,0.108511,0.0091104,0,0,0.117621
1969865,0.0265073,0,0.0723404,0,0,0,0.0988477
1969876,0.0265073,0,0.0723404,0,0,0,0.0988477
1969885,0,0,0.0452128,0.0182208,0,0,0.0634336
1969895,0,0,0.0452128,0.0182208,0,0,0.0634336
1969906,0,0,0.0361702,0,0,0,0.0361702
1969915,0.00883576,0,0.0542553,0,0,0,0.0630911
1969932,0,0,0.108511,0.0182208,0,0,0.126731
1969962,0,0,0.0632979,0.0182208,0,0,0.0815187
1969968,0,0,0.0632979,0,0,0,0.0632979
1969984,0.0441788,0,0.0271277,0.0091104,0,0,0.0804169
1969994,0,0,0.0452128,0.0091104,0,0,0.0543232
1970005,0,0,0.0452128,0.0091104,0,0,0.0543232
1970015,0,0,0.0452128,0,0,0,0.0452128
1970034,0,0,0.0542553,0,0,0,0.0542553
1970044,0,0,0.0723404,0.0091104,0,0,0.0814508
1970066,0,0,0.0904255,0,0,0,0.0904255
1970076,0,0,0.0452128,0,0,0,0.0452128
1970093,0.00883576,0,0.0361702,0.0273312,0,0,0.0723372
1970103,0.00883576,0,0.0361702,0.0273312,0,0,0.0723372
1970113,0,0,0.0271277,0,0,0,0.0271277
1970124,0,0,0.0994681,0.0182208,0,0,0.117689
1970134,0,0,0.0994681,0.0182208,0,0,0.117689
1970144,0,0,0.0452128,0,0,0,0.0452128
1970154,0.0265073,0,0.0723404,0.045552,0,0,0.1444
1970164,0.0265073,0,0.0723404,0.045552,0,0,0.1444
1970174,0,0,0.0542553,0.0091104,0,0,0.0633657
1970197,0,0,0.0542553,0.0091104,0,0,0.0633657
1970207,0,0,0.081383,0,0,0,0.081383
1970218,0,0,0.081383,0,0,0,0.081383
1970228,0.00883576,0,0.0632979,0,0,0,0.0721336
1970244,0,0,0.0723404,0.0182208,0,0,0.0905612
1970254,0,0,0.0723404,0,0,0,0.0723404
1970277,0,0,0.0542553,0.0182208,0,0,0.0724761
1970286,0,0,0.0271277,0.0091104,0,0,0.0362381
1970296,0,0,0.0271277,0.0091104,0,0,0.0362381
1970329,0.0265073,0,0.0271277,0,0,0,0.0536349
1970335,0.0265073,0,0.0271277,0,0,0,0.0536349
1970345,0.0176715,0,0.0271277,0,0,0,0.0447992
1970355,0,0,0.0452128,0,0,0,0.0452128
1970365,0.00883576,0,0.0542553,0,0,0,0.0630911
1970375,0.00883576,0,0.0542553,0,0,0,0.0630911
1970385,0,0,0.0271277,0.0364416,0,0,0.0635692
1970395,0,0,0.0271277,0.0364416,0,0,0.0635692
1970405,0,0,0.0361702,0.0091104,0,0,0.0452806
1970418,0.00883576,0,0.0542553,0.0091104,0,0,0.0722015
1970428,0.00883576,0,0.0542553,0.0091104,0,0,0.0722015
1970438,0,0,0.0723404,0,0,0,0.0723404
1970448,0.00883576,0,0.0632979,0,0,0,0.0721336
1970458,0.00883576,0,0.0632979,0,0,0,0.0721336
1970468,0,0,0.0542553,0,0,0,0.0542553
1970478,0,0,0.0542553,0,0,0,0.0542553
1970488,0.0265073,0,0.0994681,0.0273312,0,0,0.153307
1970498,0.00883576,0,0.0542553,0,0,0,0.0630911
1970508,0.00883576,0,0.0542553,0,0,0,0.0630911
1970518,0,0,0.081383,0,0,0,0.081383
1970529,0,0,0.0632979,0,0,0,0.0632979
1970538,0,0,0.0632979,0,0,0,0.0632979
1970548,0,0,0.0452128,0.0091104,0,0,0.0543232
1970558,0,0,0.0452128,0.0091104,0,0,0.0543232
1970568,0.00883576,0,0.0361702,0,0,0,0.045006
1970578,0,0,0.0452128,0,0,0,0.0452128
1970594,0,0,0.0542553,0,0,0,0.0542553
1970604,0,0,0.0542553,0.0091104,0,0,0.0633657
1970614,0,0,0.0542553,0.0091104,0,0,0.0633657
1970624,0.0176715,0,0.081383,0.0364416,0,0,0.135496
1970634,0.0176715,0,0.081383,0.0364416,0,0,0.135496
1970649,0.0176715,0,0.0723404,0,0,0,0.0900119
1970659,0.0441788,0,0.081383,0,0,0,0.125562
1970669,0.0441788,0,0.081383,0,0,0,0.125562
1970698,0,0,0.0632979,0.0364416,0,0,0.0997395
1970704,0,0,0.0723404,0.0364416,0,0,0.108782
1970705,0.00883576,0,0.0542553,0.0364416,0,0,0.0995327
1970715,0.00883576,0,0.0542553,0.0364416,0,0,0.0995327
1970726,0,0,0.0452128,0,0,0,0.0452128
1970737,0,0,0.0904255,0.0091104,0,0,0.0995359
1970748,0,0,0.0904255,0.0091104,0,0,0.0995359
1970758,0,0,0.0452128,0,0,0,0.0452128
1970768,0,0,0.0271277,0.0182208,0,0,0.0453485
1970778,0,0,0.0271277,0.0182208,0,0,0.0453485
1970788,0,0,0.0361702,0,0,0,0.0361702
1970798,0,0,0.0361702,0,0,0,0.0361702
1970807,0.035343,0,0.0632979,0.0182208,0,0,0.116862
1970818,0,0,0.0452128,0,0,0,0.0452128
1970828,0,0,0.0452128,0,0,0,0.0452128
1970838,0.00883576,0,0.0994681,0.0364416,0,0,0.144745
1970848,0.00883576,0,0.0994681,0.0364416,0,0,0.144745
1970858,0,0,0.0542553,0.0273312,0,0,0.0815865
1970868,0.0265073,0,0.081383,0,0,0,0.10789
1970878,0.0265073,0,0.081383,0,0,0,0.10789
1970888,0.0265073,0,0,0,0,0,0.0265073
1970898,0.0265073,0,0.0632979,0,0,0,0.0898052
1970909,0.0265073,0,0.0632979,0,0,0,0.0898052
1970919,0.0176715,0,0.0542553,0,0,0,0.0719268
1970929,0.0176715,0,0.0542553,0,0,0,0.0719268
1970940,0.035343,0,0.0632979,0,0,0,0.0986409
1970951,0,0,0.0542553,0,0,0,0.0542553
1970960,0,0,0.0542553,0,0,0,0.0542553
1970970,0,0,0.0632979,0.0182208,0,0,0.0815187
1970982,0,0,0.0271277,0,0,0,0.0271277
1970998,0.0176715,0,0.081383,0.045552,0,0,0.144606
1971009,0.0176715,0,0.081383,0.045552,0,0,0.144606
1971019,0,0,0.0542553,0,0,0,0.0542553
1971029,0,0,0.0542553,0,0,0,0.0542553
1971039,0,0,0.0542553,0,0,0,0.0542553
1971071,0,0,0.0632979,0.0364416,0,0,0.0997395
1971080,0,0.265759,0.343617,0.400857,7.99319,7.10799,1.01023
1971091,0,0.265759,0.343617,0.400857,7.99319,7.10799,1.01023
1971100,0.371102,1.58598,0.551596,2.40514,15.6112,3.05157,4.91382
1971110,0.247401,1.34594,0.144681,0.956592,17.7247,-2.73918,2.69461
1971127,0.238565,1.30308,0.298404,1.3119,16.4819,0.32675,3.15194
1971136,0.238565,1.30308,0.298404,1.3119,16.4819,0.32675,3.15194
1971147,0.159044,0.891578,0.207979,0.792605,16.0535,-0.365924,2.05121
1971163,0.0971933,0.771558,0.162766,0.610397,17.0837,-0.873271,1.64191
1971179,0.0706861,0.325769,0.0723404,0.173098,13.859,-3.52903,0.641893
1971189,0,0.00857287,0.081383,0.0182208,0,0,0.108177
1971212,0,0,0.0542553,0.0091104,0,0,0.0633657
1971228,0,0,0.0452128,0.0182208,0,0,0.0634336
1971238,0.0265073,0,0.108511,0,0,0,0.135018
1971258,0,0,0.0904255,0.0728832,0,0,0.163309
1971268,0,0,0.0723404,0,0,0,0.0723404
1971278,0,0,0.0723404,0,0,0,0.0723404
1971287,0.0795218,0,0.0542553,0,0,0,0.133777
1971304,0.0795218,0,0.0542553,0,0,0,0.133777
1971314,0.0176715,0,0.0542553,0,0,0,0.0719268
1971324,0,0,0.081383,0.0091104,0,0,0.0904934
1971341,0.0176715,0,0.0452128,0.0364416,0,0,0.0993259
1971351,0,0,0.0361702,0.045552,0,0,0.0817222
