ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5556045,0,0,0,0.00906667,0,0,0.00906667
5556048,0,0,0,0.0272,0,0,0.0272
5556050,0,0,0,0.0272,0,0,0.0272
5556061,0,0,0,0.0544,0,0,0.0544
5556143,0,0,0,0,0,0,0
5556145,0,0.0085902,0,0.0272,0,0,0.0357902
5556169,0,0,0,0,0,0,0
5556186,0,0,0,0,0,0,0
5556245,0,0,0,0,0,0,0
5556266,0,0,0,0,0,0,0
5556276,0,0,0,0,0,0,0
5556288,0,0,0,0,0,0,0
5556348,0,0,0,0.0725333,0,0,0.0725333
5556374,0,0.0257706,0,0.0453333,0,0,0.0711039
5556380,0,0.0257706,0,0.0453333,0,0,0.0711039
5556385,0,0,0,0,0,0,0
5556450,0,0,0,0,0,0,0
5556451,0,0,0,0,0,0,0
5556461,0,0.0171804,0,0.00906667,0,0,0.0262471
5556473,0,0,0,0.0634667,0,0,0.0634667
5556477,0,0,0,0.0634667,0,0,0.0634667
5556491,0,0,0,0.0272,0,0,0.0272
5556553,0,0,0,0,0,0,0
5556554,0,0,0,0,0,0,0
5556558,0,0,0,0.00906667,0,0,0.00906667
5556574,0,0,0,0.0272,0,0,0.0272
5556578,0,0,0,0.0181333,0,0,0.0181333
5556659,0,0,0,0.0544,0,0,0.0544
5556661,0,0,0,0.0544,0,0,0.0544
5556671,0,0,0,0,0,0,0
5556681,0,0,0,0,0,0,0
5556692,0,0,0,0,0,0,0
5556760,0,0,0,0.0272,0,0,0.0272
5556763,0,0,0,0.0181333,0,0,0.0181333
5556773,0,0,0,0,0,0,0
5556783,0,0,0,0.0544,0,0,0.0544
5556793,0,0,0,0.0362667,0,0,0.0362667
5556864,0,0,0,0.0362667,0,0,0.0362667
5556867,0.0265763,0,0.0273605,0.0453333,0,0,0.0992702
5556878,0,0,0,0,0,0,0
5556881,0,0,0,0,0,0,0
5556895,0,0,0,0,0,0,0
5556965,0,0,0,0,0,0,0
5556968,0,0,0,0,0,0,0
5556978,0,0.0085902,0,0.0181333,0,0,0.0267235
5556988,0,0,0,0.0272,0,0,0.0272
5556998,0,0,0,0.0272,0,0,0.0272
5557068,0,0,0,0.0272,0,0,0.0272
5557070,0,0,0,0.0816,0,0,0.0816
5557168,0,0,0,0,0,0,0
5557173,0,0,0.00912017,0.0544,0,0,0.0635202
5557175,0,0.0257706,0,0,0,0,0.0257706
5557186,0,0.0257706,0,0,0,0,0.0257706
5557195,0,0,0,0.0181333,0,0,0.0181333
5557205,0,0,0,0.0181333,0,0,0.0181333
5557273,0.00885878,0,0,0.0725333,0,0,0.0813921
5557273,0.00885878,0.0085902,0,0.0544,0,0,0.071849
5557291,0,0,0,0.0725333,0,0,0.0725333
5557310,0,0,0,0.0272,0,0,0.0272
5557314,0.0177176,0,0.0273605,0.0272,0,0,0.0722781
5557391,0,0,0,0.0362667,0,0,0.0362667
5557394,0,0,0,0.0272,0,0,0.0272
5557404,0.00885878,0.206165,2.27092,5.18613,10.1424,14.1592,7.67208
5557414,0,0.893381,0,0.172267,25,-10.1504,1.06565
5557476,0.239187,0.197575,0.0456009,0.117867,1.27673,-6.82974,0.600229
5557491,0,0,0,0.0181333,0,0,0.0181333
5557506,0.0531527,0,0,0.0272,0,0,0.0803527
5557516,0.0531527,0,0,0.0272,0,0,0.0803527
5557578,0,0,0,0.1088,0,0,0.1088
5557586,0,0,0,0.0725333,0,0,0.0725333
5557596,0,0,0,0.0725333,0,0,0.0725333
5557606,0.00885878,0,0.00912017,0.0725333,0,0,0.0905123
5557613,0.0177176,0,0,0.0272,0,0,0.0449176
5557681,0.0177176,0,0,0.0272,0,0,0.0449176
5557684,0.00885878,0,0,0.0725333,0,0,0.0813921
5557694,1.59458,4.86205,0,0.0997333,12.8394,-14.5436,6.55637
5557705,1.59458,4.86205,0,0.0997333,12.8394,-14.5436,6.55637
5557717,0.159458,0.377969,0,0.00906667,10.4108,-14.5023,0.546493
5557780,0.159458,0.377969,0,0.00906667,10.4108,-14.5023,0.546493
5557782,0,0,0.155043,0.1904,0,0,0.345443
5557799,0.0177176,0,0,0.1088,0,0,0.126518
5557809,0.0177176,0,0,0.0634667,0,0,0.0811842
5557883,0,0,0,0.1088,0,0,0.1088
5557885,0,0,0,0.1088,0,0,0.1088
5557895,0,0,0,0.0634667,0,0,0.0634667
5557905,0.00885878,0,0,0.0272,0,0,0.0360588
5557915,0.00885878,0,0,0.0272,0,0,0.0360588
5557986,0,0,0,0.0725333,0,0,0.0725333
5557991,0,0,0,0.0634667,0,0,0.0634667
5557995,0.0265763,0,0,0.0906667,0,0,0.117243
5558010,0,0,0,0.126933,0,0,0.126933
5558020,0,0,0,0.0272,0,0,0.0272
5558027,0,0,0,0.0272,0,0,0.0272
5558088,0,0,0,0.0453333,0,0,0.0453333
5558091,0,0,0,0.0453333,0,0,0.0453333
5558101,0.380928,1.49469,0.446888,2.46613,16.3565,3.24956,4.78864
5558119,0.611256,2.74886,0.310086,2.27573,17.2523,-1.95335,5.94594
5558129,0.611256,2.74886,0.337446,2.27573,17.0588,-1.8757,5.9733
5558211,0.398645,2.19909,0.337446,2.81973,18.6047,1.45817,5.75492
