ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5527909,0,0,0.0634328,0.0726108,0,0,0.136044
5527913,0,0,0.0634328,0.0726108,0,0,0.136044
5527988,0.0176715,0.0342569,0.0271855,0.0363054,0,0,0.115419
5527991,0.0265073,0,0.0634328,0,0,0,0.0899401
5528007,0,0,0.054371,0.0635344,0,0,0.117905
5528017,0,0,0.054371,0.0635344,0,0,0.117905
5528027,0.0795218,0,0.0996802,0.0363054,0,0,0.215507
5528094,0,0.00856423,0.0815565,0,0,0,0.0901207
5528106,0.0441788,0,0.0453092,0.027229,0,0,0.116717
5528116,0.0618503,0,0.0453092,0.0363054,0,0,0.143465
5528126,0.0618503,0,0.0453092,0.0363054,0,0,0.143465
5528188,0.0618503,0.0342569,0.054371,0.0635344,0,0,0.214013
5528189,0.035343,0.00856423,0.117804,0.00907635,0,0,0.170787
5528201,0.0265073,0,0.0271855,0.0181527,0,0,0.0718455
5528211,0.0265073,0,0.0271855,0.0181527,0,0,0.0718455
5528222,0.0176715,0,0.0453092,0.027229,0,0,0.0902097
5528232,0.0441788,0,0.0271855,0.0363054,0,0,0.10767
5528291,0.0441788,0,0.0271855,0.0363054,0,0,0.10767
5528299,0.0265073,0,0.0181237,0.0544581,0,0,0.099089
5528309,0.035343,0,0.0362473,0.0635344,0,0,0.135125
5528332,0.0618503,0.0342569,0.0362473,0.0544581,0,0,0.186813
5528393,0.0265073,0,0.0815565,0.0816871,0,0,0.189751
5528394,0.0441788,0.0256927,0.054371,0.0544581,0,0,0.178701
5528411,0.0176715,0,0.0724947,0.0544581,0,0,0.144624
5528496,0.0176715,0,0.0634328,0.0726108,0,0,0.153715
5528498,0.035343,0,0.0453092,0.0726108,0,0,0.153263
5528502,0.0265073,0,0.0453092,0.027229,0,0,0.0990455
5528523,0.0441788,0,0.00906183,0.0181527,0,0,0.0713933
5528599,0.00883576,0,0.0362473,0,0,0,0.0450831
5528602,0.0441788,0,0.0181237,0.0635344,0,0,0.125837
5528603,0.035343,0,0.0362473,0.027229,0,0,0.0988194
5528626,0.0441788,0.0256927,0.0724947,0.0453817,0,0,0.187748
5528636,0.00883576,0.0342569,0.0453092,0.027229,0,0,0.115631
5528701,0.00883576,0.0342569,0.0453092,0.027229,0,0,0.115631
5528703,0.0530146,0,0.0724947,0.0635344,0,0,0.189044
5528721,0.0176715,0.0256927,0.0181237,0.0907635,0,0,0.152251
5528737,0.00883576,0.0171285,0.0362473,0.0453817,0,0,0.107593
5528812,0,0,0.0271855,0.0635344,0,0,0.0907199
5528818,0,0,0.0271855,0.0635344,0,0,0.0907199
5528828,0.0441788,0.00856423,0.0271855,0.0726108,0,0,0.152539
5528911,0.0441788,0,0.0634328,0.0544581,0,0,0.16207
5528913,0,0,0.054371,0.00907635,0,0,0.0634473
5528923,0.0706861,0.0513854,0.0453092,0.0363054,0,0,0.203686
5528927,0.0441788,0,0.0453092,0.0544581,0,0,0.143946
5528942,0,0,0.0634328,0.0635344,0,0,0.126967
5529014,0,0,0.0634328,0.0635344,0,0,0.126967
5529017,0.00883576,0,0.0996802,0.0635344,0,0,0.17205
5529018,0.0176715,0,0.0906183,0.00907635,0,0,0.117366
5529041,0.0176715,0,0.0362473,0.0635344,0,0,0.117453
5529050,0.0176715,0,0.0362473,0.0635344,0,0,0.117453
5529111,0.035343,0,0.0815565,0.0544581,0,0,0.171358
5529121,0,0,0.108742,0.00907635,0,0,0.117818
