ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5650554,0,0.00858586,0,0.00906183,0,0,0.0176477
5650555,0,0,0,0,0,0,0
5650559,0,0,0,0,0,0,0
5650572,0,0,0,0,0,0,0
5650582,0,0,0,0,0,0,0
5650594,0,0,0,0.00906183,0,0,0.00906183
5650656,0,0,0,0.00906183,0,0,0.00906183
5650671,0,0,0,0.0453092,0,0,0.0453092
5650682,0,0,0,0.0453092,0,0,0.0453092
5650691,0,0,0,0.0181237,0,0,0.0181237
5650761,0,0,0,0.00906183,0,0,0.00906183
5650764,0,0,0,0.0724947,0,0,0.0724947
5650774,0,0,0,0.00906183,0,0,0.00906183
5650788,0,0,0,0.0181237,0,0,0.0181237
5650791,0,0,0,0.0181237,0,0,0.0181237
5650861,0,0,0,0.0724947,0,0,0.0724947
5650864,0,0,0,0,0,0,0
5650874,0,0,0,0.0453092,0,0,0.0453092
5650885,0,0,0,0.054371,0,0,0.054371
5650895,0,0,0,0,0,0,0
5650971,0,0,0,0.054371,0,0,0.054371
5650974,0,0,0,0.0453092,0,0,0.0453092
5650985,0,0,0,0.00906183,0,0,0.00906183
5650995,0,0,0,0.0271855,0,0,0.0271855
5651006,0,0,0,0.0271855,0,0,0.0271855
5651066,0,0,0,0.0271855,0,0,0.0271855
5651076,0,0,0,0.0453092,0,0,0.0453092
5651086,0,0,0,0,0,0,0
5651096,0,0,0,0,0,0,0
5651106,0,0,0,0.054371,0,0,0.054371
5651189,0,0,0,0.054371,0,0,0.054371
5651195,0,0,0,0.0181237,0,0,0.0181237
5651197,0,0,0,0.0181237,0,0,0.0181237
5651207,0,0,0,0,0,0,0
5651272,0,0,0,0.054371,0,0,0.054371
5651275,0,0,0,0.054371,0,0,0.054371
5651279,0,0,0.00912507,0.0271855,0,0,0.0363106
5651289,0,0,0,0.0362473,0,0,0.0362473
5651300,0,0,0,0.0724947,0,0,0.0724947
5651307,0,0,0,0.0724947,0,0,0.0724947
5651373,0,0,0.00912507,0.00906183,0,0,0.0181869
5651374,0,0,0,0.0453092,0,0,0.0453092
5651384,0,0,0,0.0181237,0,0,0.0181237
5651394,0,0,0,0.0181237,0,0,0.0181237
5651404,0,0.0343434,0,0.0181237,0,0,0.0524671
5651414,0,0,0,0,0,0,0
5651475,0,0.0257576,0,0.0815565,0,0,0.107314
5651476,0,0.0257576,0,0.0815565,0,0,0.107314
5651480,0,0,0.0273752,0.0362473,0,0,0.0636225
5651495,0,0,0.0273752,0.0362473,0,0,0.0636225
5651510,0,0.00858586,0,0.0453092,0,0,0.053895
5651577,0,0.00858586,0,0.0453092,0,0,0.053895
5651579,0,0,0,0.0362473,0,0,0.0362473
5651581,0,0.0171717,0,0,0,0,0.0171717
5651592,0,0,0,0.0362473,0,0,0.0362473
5651602,0,0,0,0.0362473,0,0,0.0362473
5651612,0,0,0,0.00906183,0,0,0.00906183
5651682,0,0.0257576,0,0.00906183,0,0,0.0348194
5651685,0,0.0257576,0,0.00906183,0,0,0.0348194
5651695,0,0,0,0.0362473,0,0,0.0362473
5651705,0,0,0,0.00906183,0,0,0.00906183
5651715,0,0,0,0.00906183,0,0,0.00906183
5651785,0,0,0,0.00906183,0,0,0.00906183
5651791,0,0,0,0.0453092,0,0,0.0453092
5651794,0,0.0257576,0.0182501,0,0,0,0.0440077
5651804,0,0,0,0.0271855,0,0,0.0271855
5651815,0,0,0,0.00906183,0,0,0.00906183
