ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5592116,0,0.0770005,0.0728051,0,0,0,0.149806
5592126,0,0.0770005,0.0728051,0,0,0,0.149806
5592187,0.00884495,0.0684449,0,0.0362667,0,0,0.113557
5592188,0.00884495,0.0684449,0,0.0362667,0,0,0.113557
5592192,0,0.0256668,0.0182013,0,0,0,0.0438681
5592217,0,0.0256668,0.0182013,0,0,0,0.0438681
5592220,0.0353798,0.0598893,0.0182013,0.0453333,0,0,0.158804
5592295,0.0442248,0.0427781,0,0.0362667,0,0,0.123269
5592295,0.0353798,0.0770005,0.00910064,0.0181333,0,0,0.139614
5592297,0,0.0513337,0.0273019,0.0362667,0,0,0.114902
5592315,0,0,0,0.0362667,0,0,0.0362667
5592325,0,0,0,0.0362667,0,0,0.0362667
5592398,0,0,0,0.0362667,0,0,0.0362667
5592406,0,0.0513337,0,0.0725333,0,0,0.123867
5592416,0,0.0427781,0.0455032,0,0,0,0.0882813
5592426,0,0.0598893,0.0273019,0.0544,0,0,0.141591
5592497,0.0442248,0.0427781,0,0.0362667,0,0,0.123269
5592500,0.0442248,0.0427781,0,0.0362667,0,0,0.123269
5592510,0,0.0171112,0,0.0453333,0,0,0.0624446
5592519,0,0.0256668,0.0182013,0.0272,0,0,0.0710681
5592530,0,0.0256668,0.0182013,0.0272,0,0,0.0710681
5592600,0.0530697,0.0171112,0.00910064,0.0816,0,0,0.160882
5592602,0,0.0256668,0.0364026,0,0,0,0.0620694
5592612,0.0265349,0.0598893,0,0.0181333,0,0,0.104557
5592622,0,0.0941117,0.00910064,0,0,0,0.103212
5592632,0,0.0256668,0,0,0,0,0.0256668
5592704,0,0.0256668,0,0,0,0,0.0256668
5592706,0,0.0855561,0.0182013,0.0272,0,0,0.130957
5592709,0.0442248,0.0256668,0,0.0181333,0,0,0.0880249
5592721,0.0442248,0.0256668,0,0.0181333,0,0,0.0880249
5592731,0.0176899,0.0770005,0,0.0544,0,0,0.14909
5592807,0.0176899,0.0770005,0,0.0544,0,0,0.14909
5592810,0,0.0513337,0.00910064,0.0362667,0,0,0.096701
5592820,0,0.0513337,0.00910064,0.0362667,0,0,0.096701
5592829,0,0.00855561,0.0364026,0.117867,0,0,0.162825
5592839,0,0.0342224,0.0182013,0.0453333,0,0,0.0977571
5592903,0,0.0342224,0.0182013,0.0453333,0,0,0.0977571
5592906,0,0.0855561,0,0.00906667,0,0,0.0946228
5592916,0.00884495,0.0513337,0,0,0,0,0.0601786
5592926,0.0353798,0.00855561,0,0.0181333,0,0,0.0620688
5592936,0.0353798,0.00855561,0,0.0181333,0,0,0.0620688
5592946,0.0176899,0.0855561,0.00910064,0.0272,0,0,0.139547
5593006,0,0.0513337,0,0,0,0,0.0513337
5593022,0,0.0513337,0,0.0362667,0,0,0.0876003
5593033,0,0.0427781,0,0.0272,0,0,0.0699781
5593124,0,0.0427781,0.0455032,0,0,0,0.0882813
5593130,0,0.0427781,0,0,0,0,0.0427781
5593133,0,0.0256668,0.0273019,0.00906667,0,0,0.0620354
5593148,0,0.0342224,0.00910064,0.0181333,0,0,0.0614564
5593212,0,0.0342224,0.00910064,0.0181333,0,0,0.0614564
5593215,0,0.0427781,0.0182013,0.00906667,0,0,0.070046
5593225,0,0,0.0273019,0.0453333,0,0,0.0726353
5593235,0,0,0.0273019,0.0453333,0,0,0.0726353
5593245,0.0530697,0.0770005,0,0.0181333,0,0,0.148204
5593313,0,0.00855561,0,0,0,0,0.00855561
5593316,0.0353798,0.0598893,0.00910064,0.0272,0,0,0.13157
5593326,0,0.0171112,0.0546039,0.0544,0,0,0.126115
5593336,0,0.0171112,0.0546039,0.0544,0,0,0.126115
5593346,0,0.00855561,0.100107,0.0544,0,0,0.163063
5593356,0,0.0598893,0,0.0272,0,0,0.0870893
5593416,0,0.0598893,0,0.0272,0,0,0.0870893
5593431,0,0.0171112,0,0.0181333,0,0,0.0352446
5593441,0.00884495,0.0598893,0.0273019,0,0,0,0.0960362
5593451,0.00884495,0.0598893,0.0273019,0,0,0,0.0960362
5593520,0,0.0770005,0.200214,2.1216,20.8268,14.037,2.39881
