ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5324118,0.0619469,0,0,0.036286,0,0,0.0982329
5324125,0.0619469,0,0,0.036286,0,0,0.0982329
5324126,0.0176991,0.0171112,0,0,0,0,0.0348103
5324142,0.0265487,0.00855561,0,0.0090715,0,0,0.0441758
5324149,0.0265487,0.00855561,0,0.0090715,0,0,0.0441758
5324210,0,0.00855561,0.0454789,0.0272145,0,0,0.081249
5324211,0,0,0.0454789,0.054429,0,0,0.0999079
5324221,0.0265487,0.0855561,0,0,0,0,0.112105
5324233,0.0265487,0.0855561,0,0,0,0,0.112105
5324243,0,0.0427781,0,0.0272145,0,0,0.0699926
5324255,0.0530973,0.00855561,0,0.0272145,0,0,0.0888675
5324313,0.00884956,0,0.0272873,0.0635005,0,0,0.0996374
5324323,0,0,0.0363831,0.0272145,0,0,0.0635976
5324334,0.0176991,0,0.00909577,0.018143,0,0,0.0449379
5324351,0.0176991,0.0171112,0,0.036286,0,0,0.0710964
5324422,0.0176991,0.0171112,0,0.036286,0,0,0.0710964
5324425,0.00884956,0.0171112,0,0.0635005,0,0,0.0894613
5324435,0,0.0770005,0,0.036286,0,0,0.113287
5324440,0.0176991,0,0,0.018143,0,0,0.0358421
5324450,0.0176991,0,0,0.018143,0,0,0.0358421
5324534,0.0265487,0.0598893,0,0.0090715,0,0,0.0955095
5324536,0.0265487,0.0598893,0,0.0090715,0,0,0.0955095
5324541,0,0.00855561,0.00909577,0.054429,0,0,0.0720804
5324620,0.0176991,0.0171112,0,0.0453575,0,0,0.0801679
5324624,0.0353982,0,0,0.0453575,0,0,0.0807558
5324625,0.0530973,0,0,0,0,0,0.0530973
5324648,0,0.0770005,0,0.0816435,0,0,0.158644
5324655,0.00884956,0.0598893,0.0181915,0,0,0,0.0869304
5324723,0.00884956,0.0598893,0.0181915,0,0,0,0.0869304
5324725,0.0265487,0.0342224,0,0.0816435,0,0,0.142415
5324735,0.0265487,0.0171112,0.0272873,0.0453575,0,0,0.116305
5324746,0.0265487,0.0171112,0.0272873,0.0453575,0,0,0.116305
5324758,0.0176991,0.0171112,0.00909577,0.0635005,0,0,0.107407
5324765,0.0353982,0.0855561,0.00909577,0.0453575,0,0,0.175408
5324826,0.0353982,0.0855561,0.00909577,0.0453575,0,0,0.175408
