ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5292605,0,0.017094,0,0,0,0,0.017094
5292678,0,0.017094,0,0,0,0,0.017094
5292681,0,0.0683761,0.00908605,0,0,0,0.0774621
5292685,0,0,0,0,0,0,0
5292699,0,0,0,0,0,0,0
5292709,0,0.0769231,0.0272582,0,0,0,0.104181
5292779,0,0.042735,0.0272582,0,0,0,0.0699932
5292782,0,0.042735,0.0272582,0,0,0,0.0699932
5292792,0.00884956,0,0,0,0,0,0.00884956
5292797,0.0353982,0,0.0181721,0.0182013,0,0,0.0717716
5292813,0.0353982,0,0.0181721,0.0182013,0,0,0.0717716
5292881,0,0,0,0,0,0,0
5292887,0,0.00854701,0.0454303,0,0,0,0.0539773
5292903,0.0265487,0.00854701,0.0363442,0,0,0,0.0714399
5292913,0,0.0769231,0,0,0,0,0.0769231
5292983,0,0.0769231,0,0,0,0,0.0769231
5292986,0.0530973,0.0940171,0.0454303,0,0,0,0.192545
5292992,0.0353982,0.0683761,0.0181721,0,0,0,0.121946
5293004,0.0353982,0.0683761,0.0181721,0,0,0,0.121946
5293014,0.0619469,0.017094,0,0.00910064,0,0,0.0881416
5293084,0,0.0512821,0.0363442,0,0,0,0.0876262
5293087,0,0.0512821,0.0363442,0,0,0,0.0876262
5293098,0.0442478,0.034188,0,0.00910064,0,0,0.0875365
5293108,0,0,0,0,0,0,0
5293124,0.0176991,0.0598291,0.0272582,0.0364026,0,0,0.141189
5293184,0,0.0512821,0.0181721,0.0364026,0,0,0.105857
5293199,0,0.00854701,0.0272582,0,0,0,0.0358052
5293209,0,0.00854701,0,0,0,0,0.00854701
5293219,0,0,0,0,0,0,0
5293287,0,0,0,0,0,0,0
5293289,0,0.025641,0,0,0,0,0.025641
5293294,0,0.034188,0.0545163,0,0,0,0.0887043
5293320,0,0.034188,0.0545163,0,0,0,0.0887043
5293322,0,0.0512821,0.0272582,0.00910064,0,0,0.0876409
5293326,0,0.0512821,0.0272582,0.00910064,0,0,0.0876409
5293394,0.0176991,0.00854701,0.0363442,0.00910064,0,0,0.071691
5293397,0.0353982,0.025641,0,0,0,0,0.0610393
5293407,0.0265487,0.017094,0.0363442,0,0,0,0.0799869
5293417,0.00884956,0.00854701,0,0,0,0,0.0173966
5293427,0.0619469,0.034188,0,0,0,0,0.0961349
5293490,0,0.00854701,0.0272582,0,0,0,0.0358052
5293493,0,0.0512821,0.0636024,0,0,0,0.114884
5293497,0,0.017094,0.0636024,0,0,0,0.0806964
5293512,0,0.017094,0.00908605,0.0273019,0,0,0.053482
5293522,0,0.017094,0.00908605,0.0273019,0,0,0.053482
5293616,0.0353982,0.042735,0,0,0,0,0.0781333
5293622,0.0176991,0,0.0181721,0.00910064,0,0,0.0449719
5293632,0,0.034188,0.0181721,0,0,0,0.0523601
5293696,0.00884956,0.00854701,0.0272582,0.0273019,0,0,0.0719566
5293697,0.00884956,0,0,0,0,0,0.00884956
5293699,0,0.0598291,0.0272582,0,0,0,0.0870872
5293710,0,0.0598291,0.0272582,0,0,0,0.0870872
5293719,0,0.042735,0,0,0,0,0.042735
5293803,0.0353982,0.034188,0,0,0,0,0.0695863
5293805,0.0176991,0.0598291,0.00908605,0,0,0,0.0866142
5293822,0,0,0,0,0,0,0
5293832,0,0.0598291,0,0,0,0,0.0598291
5293900,0,0.025641,0.0181721,0.00910064,0,0,0.0529138
5293903,0.0265487,0.042735,0.0272582,0,0,0,0.0965419
5293913,0.0176991,0.00854701,0,0,0,0,0.0262461
5293924,0.0176991,0.00854701,0,0,0,0,0.0262461
5293934,0,0.025641,0,0,0,0,0.025641
5293944,0.0176991,0.025641,0,0.0182013,0,0,0.0615414
5294006,0,0,0.0181721,0,0,0,0.0181721
5294017,0,0.042735,0.0181721,0,0,0,0.0609071
5294028,0.0176991,0.0598291,0,0.0273019,0,0,0.10483
5294038,0.0176991,0.0598291,0,0.0273019,0,0,0.10483
5294108,0,0.034188,0.0272582,0,0,0,0.0614462
5294111,0,0.0512821,0,0,0,0,0.0512821
5294114,0.0442478,0.00854701,0.0272582,0,0,0,0.0800529
5294129,0,0.034188,0,0,0,0,0.034188
5294139,0.0442478,0.0683761,0.00908605,0,0,0,0.12171
5294149,0.0442478,0.0683761,0.00908605,0,0,0,0.12171
5294209,0,0.034188,0,0,0,0,0.034188
5294217,0,0.025641,0,0,0,0,0.025641
5294246,0,0.017094,0.0363442,0,0,0,0.0534382
5294248,0,0,0.0726884,0,0,0,0.0726884
5294312,0,0,0.0726884,0,0,0,0.0726884
5294314,0,0.119658,1.39017,2.54818,7.87132,14.1154,4.058
5294317,0.115044,0.0683761,0.00908605,0,0,0,0.192506
5294353,0,0.00854701,0.00908605,0,0,0,0.0176331
5294413,0,0.00854701,0.00908605,0,0,0,0.0176331
5294422,0,0.034188,0.0363442,0,0,0,0.0705322
5294438,0.0530973,0.017094,0.0636024,0,0,0,0.133794
5294449,0.0265487,0.025641,0.00908605,0.00910064,0,0,0.0703764
5294519,0,0.017094,0,0,0,0,0.017094
5294522,0,0.017094,0,0,0,0,0.017094
5294532,0,0,0,0,0,0,0
5294543,0.371681,0.931624,1.19027,2.10225,8.00682,6.49246,4.59583
5294620,0.336283,0.34188,0.136291,0,-4.01169,-9.9798,0.814454
5294623,0,0,0,0,0,0,0
5294633,0,0,0,0,0,0,0
5294643,0,0,0,0.0182013,0,0,0.0182013
5294653,0,0.034188,0.0181721,0,0,0,0.0523601
5294721,0.0265487,0.034188,0.0726884,0.0182013,0,0,0.151626
5294722,0.0265487,0.034188,0.0726884,0.0182013,0,0,0.151626
5294731,0,0.042735,0.0454303,0,0,0,0.0881653
5294742,0,0.042735,0.0454303,0,0,0,0.0881653
5294753,0.0442478,0.0598291,0.0272582,0.0546039,0,0,0.185939
5294763,0.0442478,0.0598291,0.0272582,0.0546039,0,0,0.185939
5294823,0,0.042735,0,0.00910064,0,0,0.0518357
5294832,0,0.34188,0,0.0819058,0,0,0.423786
5294848,0,0.34188,0,0.0819058,0,0,0.423786
5294852,0.079646,0.119658,0.208979,0.118308,-2.40503,3.64561,0.526592
5294926,0.0353982,0,0,0,0,0,0.0353982
5294929,0.0353982,0,0,0,0,0,0.0353982
5294933,0,0.0854701,0.00908605,0,0,0,0.0945561
5294948,0,0,0,0.0273019,0,0,0.0273019
5294958,0,0,0,0.0273019,0,0,0.0273019
5295028,0.0619469,0.042735,0,0,0,0,0.104682
5295030,0,0.025641,0,0,0,0,0.025641
5295048,0.0530973,0.00854701,0.0363442,0,0,0,0.0979886
5295058,0,0.0683761,0.00908605,0.0273019,0,0,0.104764
5295134,0,0.0683761,0.00908605,0.0273019,0,0,0.104764
5295137,0.00884956,0.025641,0.0726884,0.00910064,0,0,0.11628
5295147,0,0.00854701,0,0,0,0,0.00854701
5295158,0.00884956,0.0598291,0.0272582,0.00910064,0,0,0.105037
5295168,0.0530973,0.0598291,0,0.0182013,0,0,0.131128
5295238,0.0530973,0.00854701,0,0.0182013,0,0,0.0798456
5295240,0,0.042735,0,0,0,0,0.042735
5295250,0,0,0.0454303,0,0,0,0.0454303
5295260,0.0353982,0.0512821,0,0.0364026,0,0,0.123083
5295270,0.00884956,0.034188,0.0181721,0,0,0,0.0612097
5295334,0.00884956,0.034188,0.0181721,0,0,0,0.0612097
5295337,0.0265487,0.0512821,0,0,0,0,0.0778307
5295338,0.0176991,0.042735,0.0272582,0,0,0,0.0876923
5295348,0.0442478,0.00854701,0,0,0,0,0.0527948
5295372,0,0.017094,0.00908605,0,0,0,0.0261801
5295453,0,0.0512821,0,0,0,0,0.0512821
5295459,0,0.0512821,0,0,0,0,0.0512821
5295542,0.0530973,0,0.00908605,0,0,0,0.0621834
5295544,0.0619469,0.017094,0,0.0910064,0,0,0.170047
5295560,0.212389,0.982906,0.935863,4.75964,16.6682,9.79612,6.89079
5295570,0.238938,0.982906,1.1721,5.7334,16.3192,10.4899,8.12735
5295580,0.238938,0.982906,1.1721,5.7334,16.3192,10.4899,8.12735
5295642,0.309735,1.26496,1.28113,6.73448,16.7059,10.0741,9.5903
5295643,0.309735,1.26496,1.28113,6.73448,16.7059,10.0741,9.5903
5295654,0.477876,2.05983,1.39925,7.96306,17.1129,8.60244,11.9
5295664,0.477876,2.05983,1.39925,7.96306,17.1129,8.60244,11.9
5295674,0.477876,2.08547,1.45377,8.38169,17.2104,8.79776,12.3988
5295684,0.477876,2.08547,1.45377,8.38169,17.2104,8.79776,12.3988
5295744,0.477876,2.1453,1.50828,8.83672,17.3422,8.93167,12.9682
5295753,0.566372,2.38462,1.63549,10.1836,17.5462,9.00616,14.7701
5295764,0.566372,2.38462,1.63549,10.1836,17.5462,9.00616,14.7701
5295774,0.522124,2.42735,1.68092,10.7843,17.8541,9.25973,15.4147
5295784,0.486726,2.55556,1.80812,11.5942,18.0225,9.44995,16.4446
5295849,0.486726,2.55556,1.80812,11.5942,18.0225,9.44995,16.4446
5295851,0.522124,2.50427,1.85355,12.3314,18.0985,9.72487,17.2113
5295854,0.557522,2.81197,2.16248,15.1708,18.4308,10.1173,20.7027
5295869,0.504425,2.89744,2.35329,16.4995,18.5795,10.4142,22.2546
5295879,0.504425,2.89744,2.35329,16.4995,18.5795,10.4142,22.2546
5295889,0.513274,2.89744,2.42598,17.6819,18.7512,10.6493,23.5186
5295949,0.486726,2.84615,2.57135,19.2186,18.9138,11.0201,25.1229
5295958,0.522124,2.80342,3.1256,22.8395,18.7732,11.5939,29.2907
5295968,0.60177,2.76068,3.28915,24.0209,18.6573,11.7113,30.6725
5295978,0.761062,2.88889,3.42544,24.8949,18.4525,11.575,31.9703
5296056,1.15929,3.24786,3.49813,25.452,18.0189,11.0364,33.3573
5296060,1.20354,3.24786,3.43453,25.452,18.0439,10.9943,33.3379
5296069,1.9646,3.96581,3.62533,25.4232,17.0096,9.91372,34.9789
5296079,2.56637,4.32479,4.06146,25.6153,15.9376,9.34655,36.5679
5296089,4.21239,4.81197,12.7568,27.9876,7.95195,9.56023,49.7687
5296160,4.97345,4.47009,13.1021,29.5339,7.64621,9.56013,52.0795
5296161,4.97345,4.47009,13.1021,29.5339,7.64621,9.56013,52.0795
5296190,6.02655,5.02564,14.6558,22.974,3.7577,8.18915,48.682
5296192,6.42478,5.11966,14.4559,20.9763,2.77545,7.62754,46.9766
5296263,6.42478,5.11966,14.4559,20.9763,2.77545,7.62754,46.9766
5296265,6.63717,5.12821,14.6558,19.9678,2.04954,7.39127,46.389
5296268,7.90265,5.25641,19.3375,21.4757,-0.235325,7.68565,53.9723
5296279,7.90265,5.25641,19.3375,21.4757,-0.235325,7.68565,53.9723
5296289,8.39823,5.50427,21.0182,21.4373,-1.09782,7.59954,56.358
5296299,8.93805,5.67521,22.1097,20.6497,-2.05794,7.35876,57.3726
5296358,8.93805,5.67521,22.1097,20.6497,-2.05794,7.35876,57.3726
5296373,10.292,6.11966,26.292,18.6136,-4.83178,6.97044,61.3173
5296383,10.7522,6.22222,27.3352,19.4684,-4.85938,7.01554,63.778
5296399,11.1062,6.31624,28.2335,20.5729,-4.69984,7.10808,66.2288
5296461,11.4336,6.34188,28.9193,20.9859,-4.81126,7.12087,67.6807
5296463,11.6903,6.47009,29.2188,21.2932,-4.78566,7.06652,68.6723
5296474,11.7345,6.70085,29.5665,21.5621,-4.68561,7.04961,69.564
5296484,11.7345,6.7265,29.721,22.2057,-4.448,7.13172,70.3877
5296501,11.8496,6.96581,29.0739,22.1672,-4.20745,6.94277,70.0565
5296565,11.7611,7.16239,28.108,21.2932,-4.17617,6.69108,68.3246
5296573,11.7611,7.16239,28.108,21.2932,-4.17617,6.69108,68.3246
5296584,11.5487,7.52991,25.133,18.7192,-4.14444,5.90496,62.9307
5296595,11.3274,7.48718,24.2636,18.2966,-3.99483,5.80343,61.3749
5296606,11.3274,7.48718,24.2636,18.2966,-3.99483,5.80343,61.3749
5296666,10.9912,7.44444,23.6648,18.6808,-3.50877,5.90067,60.7812
5296676,11.0265,7.06838,26.7267,20.4576,-3.91673,6.68422,65.2793
5296688,11.0265,7.06838,26.7267,20.4576,-3.91673,6.68422,65.2793
5296704,11.1327,6.74359,27.8568,21.4085,-4.03532,7.01255,67.1416
5296709,11.1504,6.41026,28.9966,22.8011,-3.94171,7.40437,69.3584
5296792,11.1504,6.41026,28.9966,22.8011,-3.94171,7.40437,69.3584
5296794,10.7345,5.18803,30.6193,24.8853,-3.94825,8.3124,71.4272
5296807,10.2743,4.83761,30.2909,25.7305,-3.51352,8.62664,71.1334
5296871,10.0796,4.73504,30.3585,25.596,-3.57043,8.71986,70.7693
5296873,10.0796,4.73504,30.3585,25.596,-3.57043,8.71986,70.7693
5296888,10.1062,4.47863,30.0784,25.452,-3.65613,8.75963,70.1152
5296898,10.1062,4.37607,30.0108,25.2119,-3.7763,8.76704,69.7049
5296977,10.1062,4.37607,30.0108,25.2119,-3.7763,8.76704,69.7049
5296978,9.63717,4.18803,28.4847,23.291,-4.05591,8.67758,65.6008
5296988,9.63717,4.18803,28.4847,23.291,-4.05591,8.67758,65.6008
5296998,9.53982,4.19658,27.9727,22.513,-4.20531,8.58333,64.2221
5297009,9.53097,4.22222,27.8858,22.5418,-4.1495,8.57135,64.1808
5297081,9.53097,4.22222,27.8858,22.5418,-4.1495,8.57135,64.1808
5297084,9.44248,4.10256,27.9438,22.6379,-4.15031,8.6633,64.1266
5297093,9.13274,4.05983,26.7847,22.1672,-3.89831,8.63134,62.1445
5297099,9.13274,4.05983,26.7847,22.1672,-3.89831,8.63134,62.1445
5297114,9.19469,4.02564,26.9199,22.5514,-3.80335,8.67364,62.6916
5297178,9.13274,4.07692,27.0358,22.609,-3.77164,8.69512,62.8545
5297184,9.0708,4.08547,27.2676,22.1864,-4.0195,8.69612,62.6103
5297212,9.24779,4.07692,28.1176,21.8695,-4.50903,8.68615,63.3118
5297215,9.28319,4.00855,28.6682,21.8983,-4.71534,8.75567,63.8582
5297222,9.34513,3.96581,28.9773,21.7927,-4.90159,8.76837,64.0809
5297290,9.34513,3.96581,28.9773,21.7927,-4.90159,8.76837,64.0809
5297310,9.59292,4.1453,30.658,22.4842,-5.0917,8.83755,66.8804
5297314,9.59292,4.1453,30.658,22.4842,-5.0917,8.83755,66.8804
5297384,9.72566,4.15385,30.8028,22.3401,-5.23501,8.78738,67.0225
5297387,9.72566,4.24786,30.9284,22.4938,-5.16072,8.77993,67.3957
5297397,9.71681,4.35897,30.204,22.5322,-4.87548,8.67967,66.812
5297407,9.62832,4.39316,29.8466,22.465,-4.75509,8.6586,66.333
5297418,9.54867,4.36752,29.808,22.7819,-4.58875,8.72259,66.5061
5297422,9.54867,4.36752,29.808,22.7819,-4.58875,8.72259,66.5061
5297491,9.60177,4.36752,29.9045,23.3198,-4.39737,8.76312,67.1936
5297493,9.60177,4.36752,29.9045,23.3198,-4.39737,8.76312,67.1936
