ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5407464,0,0.0426707,0.00908605,0,0,0,0.0517567
5407468,0,0.0853414,0.0454303,0,0,0,0.130772
5407477,0.0176991,0.0170683,0.0363442,0.00909091,0,0,0.0802025
5407489,0.00884956,0.059739,0.0454303,0.0181818,0,0,0.132201
5407504,0,0.0938755,0.0181721,0.0272727,0,0,0.13932
5407570,0,0.0938755,0,0,0,0,0.0938755
5407581,0.00884956,0.0768072,0.0363442,0,0,0,0.122001
5407590,0.00884956,0.0341365,0,0.0545455,0,0,0.0975316
5407600,0,0.059739,0.0363442,0,0,0,0.0960832
5407671,0,0.059739,0.0363442,0,0,0,0.0960832
5407674,0,0.0853414,0.0545163,0.0545455,0,0,0.194403
5407677,0,0.0256024,0,0.0454545,0,0,0.071057
5407686,0,0.0256024,0,0.0454545,0,0,0.071057
5407696,0,0.059739,0.0272582,0.0272727,0,0,0.11427
5407709,0,0.059739,0.0272582,0.0272727,0,0,0.11427
5407768,0,0.0256024,0.0545163,0.0363636,0,0,0.116482
5407776,0,0.0768072,0,0,0,0,0.0768072
5407786,0,0.0768072,0,0,0,0,0.0768072
5407796,0,0.0426707,0.00908605,0,0,0,0.0517567
5407806,0,0.0512048,0,0.00909091,0,0,0.0602957
5407870,0,0.059739,0,0.0454545,0,0,0.105194
5407872,0.00884956,0.0426707,0.00908605,0,0,0,0.0606063
5407906,0,0.059739,0.0181721,0,0,0,0.0779111
5407913,0,0.0512048,0.0908605,0,0,0,0.142065
5407973,0,0.0170683,0.0726884,0,0,0,0.0897567
5407974,0,0.0768072,0.0726884,0,0,0,0.149496
5407984,0,0.059739,0.0545163,0,0,0,0.114255
5407994,0,0.0512048,0.0363442,0.0272727,0,0,0.114822
5408014,0,0.0512048,0.0545163,0.0181818,0,0,0.123903
5408075,0,0.110944,0.0181721,0.0181818,0,0,0.147298
5408076,0,0.110944,0.0181721,0.0181818,0,0,0.147298
5408080,0,0.0426707,0.0181721,0.00909091,0,0,0.0699337
5408101,0,0.0853414,0.0363442,0,0,0,0.121686
5408111,0,0.0853414,0.0363442,0,0,0,0.121686
5408183,0,0.059739,0.0454303,0.0272727,0,0,0.132442
5408185,0,0.0256024,0.0726884,0,0,0,0.0982908
5408199,0,0.0682731,0.00908605,0,0,0,0.0773591
5408201,0,0,0.0363442,0.0545455,0,0,0.0908897
5408214,0,0.059739,0.0272582,0.00909091,0,0,0.096088
5408284,0,0.059739,0.0272582,0.00909091,0,0,0.096088
5408294,0,0.0512048,0.0817745,0.0272727,0,0,0.160252
5408295,0.0176991,0.0853414,0.0272582,0.00909091,0,0,0.13939
5408303,0.0176991,0.0853414,0.0272582,0.00909091,0,0,0.13939
5408384,0,0.0512048,0.0272582,0.0181818,0,0,0.0966448
5408389,0.00884956,0.0768072,0.0454303,0.00909091,0,0,0.140178
5408393,0,0.0512048,0,0.00909091,0,0,0.0602957
5408409,0.0265487,0.0938755,0.0181721,0.0545455,0,0,0.193142
5408413,0.0265487,0.0938755,0.0181721,0.0545455,0,0,0.193142
5408487,0,0.0170683,0,0.0181818,0,0,0.0352501
5408491,0,0.0341365,0.0181721,0,0,0,0.0523086
5408507,0.00884956,0.0682731,0.0817745,0.00909091,0,0,0.167988
5408590,0,0.0426707,0,0,0,0,0.0426707
5408593,0,0.0853414,0.0363442,0.00909091,0,0,0.130776
5408597,0.39823,0.512048,0,0,3.12592,-15,0.910278
5408611,0.39823,0.512048,0,0,3.12592,-15,0.910278
5408690,0,0,0,0,0,0,0
5408693,0,0.0341365,0.136291,0.0363636,0,0,0.206791
5408702,0,0.0853414,0.0636024,0,0,0,0.148944
5408719,0,0.059739,0,0.0363636,0,0,0.0961026
5408729,0,0.059739,0.0817745,0.0272727,0,0,0.168786
5408791,0,0.059739,0.0817745,0.0272727,0,0,0.168786
5408794,0,0.00853414,0.0272582,0.0181818,0,0,0.0539741
5408799,0,0.0682731,0.0272582,0,0,0,0.0955312
5408810,0,0.059739,0.00908605,0.0727273,0,0,0.141552
5408834,0.849558,1.63855,0.999466,1.61818,6.89277,0.380557,5.10576
5408894,0.336283,0.3499,0.227151,0.0454545,-4.38262,-6.47031,0.958789
5408896,0,0,0,0,0,0,0
5408905,0.0442478,0.119478,0,0,0,0,0.163726
5408910,0,0.0341365,0.00908605,0,0,0,0.0432226
5408921,0,0.00853414,0.0181721,0.0545455,0,0,0.0812517
5409009,0.0353982,0.0768072,0,0.0454545,0,0,0.15766
5409016,0.0353982,0.0768072,0,0.0454545,0,0,0.15766
5409026,0,0.110944,0.0181721,0.0272727,0,0,0.156389
5409032,0,0.110944,0.0272582,0.0272727,0,0,0.165475
5409099,0.0530973,0.0341365,0.0272582,0,0,0,0.114492
5409103,0,0.0170683,0.0181721,0,0,0,0.0352404
5409104,0.0353982,0.0938755,2.29877,3.49091,5.28225,14.3448,5.91895
5409118,0,0.435241,0.00908605,0.2,24.2949,-5.26491,0.644327
5409123,0,0.435241,0.00908605,0.2,24.2949,-5.26491,0.644327
5409133,0.274336,0.290161,0.227151,0.227273,0.391245,-1.62043,1.01892
5409201,0.106195,0.187751,0,0.154545,0,0,0.448491
