ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5375751,0,0.0428212,0.0363248,0,0,0,0.0791459
5375755,0,0.0428212,0.0363248,0,0,0,0.0791459
5375823,0,0.0428212,0.0181624,0.045406,0,0,0.10639
5375826,0,0,0.0817308,0.0181624,0,0,0.0998932
5375835,0,0,0.0544872,0,0,0,0.0544872
5375852,0,0.0428212,0.0181624,0,0,0,0.0609836
5375854,0,0.00856423,0,0,0,0,0.00856423
5375934,0,0.00856423,0,0,0,0,0.00856423
5375941,0,0,0.0363248,0.0181624,0,0,0.0544872
5375946,0,0.0171285,0.0544872,0.0272436,0,0,0.0988592
5375955,0,0,0.0363248,0.0090812,0,0,0.045406
5375965,0,0.0171285,0.0726496,0.0090812,0,0,0.0988592
5376025,0,0,0.0635684,0.0181624,0,0,0.0817308
5376039,0,0.0342569,0,0,0,0,0.0342569
5376049,0,0,0.045406,0.0090812,0,0,0.0544872
5376061,0,0,0.045406,0.0090812,0,0,0.0544872
5376132,0,0,0.0998932,0,0,0,0.0998932
5376134,0,0,0.0635684,0.045406,0,0,0.108974
5376138,0,0,0.172543,0.15438,0,0,0.326923
5376148,0,0.102771,0,0.0363248,0,0,0.139096
5376158,0,0,0,0,0,0,0
5376168,0,0,0,0,0,0,0
5376230,0,0,0,0.0363248,0,0,0.0363248
5376231,0,0,0,0.0363248,0,0,0.0363248
5376240,0,0,0.0544872,0,0,0,0.0544872
5376250,0,0.00856423,0.0544872,0.0272436,0,0,0.090295
5376261,0,0,0.0363248,0.0090812,0,0,0.045406
5376271,0,0,0.0363248,0.0090812,0,0,0.045406
5376332,0,0,0,0.0272436,0,0,0.0272436
5376338,0,0,0,0.0363248,0,0,0.0363248
5376339,0,0.0256927,0.0090812,0,0,0,0.0347739
5376353,0,0.0256927,0.0090812,0,0,0,0.0347739
5376363,0,0,0.0272436,0.0726496,0,0,0.0998932
5376368,0,0,0.0090812,0,0,0,0.0090812
5376438,1.26879,2.02972,0.236111,0.644765,6.99617,-8.677,4.17939
5376441,1.26879,2.02972,0.172543,0.644765,7.49034,-9.04269,4.11582
5376450,0,0,0.0363248,0.0181624,0,0,0.0544872
5376460,0,0,0.0363248,0.0181624,0,0,0.0544872
5376470,0,0.0342569,0.0363248,0.045406,0,0,0.115988
5376540,0,0.0342569,0.0363248,0.045406,0,0,0.115988
5376544,0,0,0.0363248,0,0,0,0.0363248
5376554,0,0,0.0272436,0,0,0,0.0272436
5376564,0,0,0,0,0,0,0
5376640,0,0,0.0544872,0.0090812,0,0,0.0635684
5376644,0,0,0.0544872,0.0090812,0,0,0.0635684
5376673,0,0,0,0,0,0,0
5376743,0,0,0.045406,0.045406,0,0,0.090812
5376747,0,0,0.0272436,0.045406,0,0,0.0726496
5376759,0.0177453,0.00856423,0.045406,0.0363248,0,0,0.10804
5376763,0,0,0.0090812,0.0363248,0,0,0.045406
5376773,0,0,2.09776,2.98771,4.375,15,5.08547
5376843,0,0.239798,0.136218,0.217949,13.5332,2.88825,0.593965
5376845,0.195198,0.171285,0.22703,0.22703,-0.728595,1.60096,0.820543
5376862,0.026618,0.0856423,0.0726496,0.0817308,0,0,0.266641
5376879,0,0.0171285,0,0.0090812,0,0,0.0262097
5376949,0,0,0,0,0,0,0
5376952,0,0,0.0181624,0.045406,0,0,0.0635684
5376956,0,0,0.0181624,0.0272436,0,0,0.045406
5376970,0,0,0.045406,0.0817308,0,0,0.127137
5377048,0,0,0,0.0726496,0,0,0.0726496
5377055,0,0,0.045406,0.045406,0,0,0.090812
5377065,0,0,0.045406,0.0544872,0,0,0.0998932
5377089,0,0,0.0090812,0.0544872,0,0,0.0635684
5377151,0,0,0,0,0,0,0
5377152,0,0,0,0,0,0,0
5377162,0,0,0,0.0181624,0,0,0.0181624
5377184,0,0,0,0.045406,0,0,0.045406
5377185,0,0,0.0090812,0,0,0,0.0090812
5377258,0,0,0.0544872,0.045406,0,0,0.0998932
5377268,0,0,0.0726496,0,0,0,0.0726496
5377281,0,0,0,0.045406,0,0,0.045406
5377288,0,0,0,0.0090812,0,0,0.0090812
5377358,0.0354906,0,0.0544872,0,0,0,0.0899778
5377360,0.0354906,0,0.0544872,0,0,0,0.0899778
5377372,0,0.0685139,0.136218,0.372329,13.1973,11.4381,0.577061
5377464,0,0.0685139,0.136218,0.372329,13.1973,11.4381,0.577061
5377467,0.851775,2.14962,0.345085,0.753739,10.4049,-6.96025,4.10022
5377470,0.257307,1.00202,1.00801,5.41239,16.7619,10.0806,7.67973
5377482,0.230689,0.984887,1.16239,7.19231,17.7218,11.1895,9.57028
5377492,0.230689,0.984887,1.16239,7.19231,17.7218,11.1895,9.57028
5377561,0.248434,1.04484,1.22596,8.37286,18.2318,11.438,10.8921
5377564,0.257307,1.18186,1.31677,9.44444,18.5491,11.4612,12.2004
5377594,0.283925,1.31033,1.98878,13.6218,18.3951,12.2201,17.2048
5377597,0.283925,1.31033,1.98878,13.6218,18.3951,12.2201,17.2048
5377666,0.328288,1.45592,2.05235,14.6843,18.5731,12.1099,18.5209
5377669,0.275052,1.5073,2.21581,15.4471,18.5952,12.2502,19.4453
5377679,0.558977,2.57783,2.56998,17.6531,18.3027,10.9715,23.3599
5377684,0.558977,2.87758,2.56998,18.3927,18.588,10.7746,24.3992
5377699,0.638831,3.2801,2.71528,19.526,18.5893,10.5058,26.1602
5377772,0.718685,3.57985,2.8515,20.9571,18.649,10.412,28.1071
5377778,0.674322,3.66549,2.98771,22.2729,18.8142,10.6016,29.6004
