ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1301222,0,0.0375483,0,0.0261003,0,0,0.0636486
1301235,0,0.0657096,0.0092091,0,0,0,0.0749187
1301245,0,0.0657096,0.0092091,0,0,0,0.0749187
1301255,0,0.0563225,0.0552546,0.0348004,0,0,0.146377
1301271,0,0,0.0184182,0,0,0,0.0184182
1301281,0,0,0,0,0,0,0
1301291,0,0,0,0,0,0,0
1301301,0,0.0281612,0,0,0,0,0.0281612
1301311,0,0.0281612,0.0368364,0,0,0,0.0649976
1301321,0,0.0281612,0.0368364,0,0,0,0.0649976
1301331,0,0,0.0092091,0,0,0,0.0092091
1301342,0,0,0.0092091,0,0,0,0.0092091
1301354,0,0,0,0.0348004,0,0,0.0348004
1301364,0,0.0281612,0.0184182,0,0,0,0.0465794
1301386,0,0.0281612,0.0552546,0.0261003,0,0,0.109516
1301396,0,0,0.0276273,0,0,0,0.0276273
1301406,0,0,0.0276273,0,0,0,0.0276273
1301412,0,0.0563225,0,0,0,0,0.0563225
1301421,0,0.0563225,0,0,0,0,0.0563225
1301437,0,0,0.0184182,0.0348004,0,0,0.0532186
1301442,0,0,0,0.0348004,0,0,0.0348004
1301452,0,0,0,0.0348004,0,0,0.0348004
1301462,0,0.00938708,0,0,0,0,0.00938708
1301473,0,0,0.0184182,0,0,0,0.0184182
1301503,0,0,0.0184182,0,0,0,0.0184182
1301511,0.0325879,0.168967,0.110509,0.278403,12.8827,4.75954,0.590468
1301513,0.684345,1.50193,0.543337,1.62692,10.9099,-0.0551632,4.35653
1301524,1.26006,2.52512,1.33532,3.86285,10.5545,2.35933,8.98335
1301534,1.26006,2.52512,1.33532,3.86285,10.5545,2.35933,8.98335
1301544,0.70607,1.50193,1.37216,4.28045,11.7808,6.57316,7.86061
1301554,0.195527,0.685257,1.09588,3.40174,12.9945,10.0871,5.37841
1301564,0.195527,0.685257,1.09588,3.40174,12.9945,10.0871,5.37841
1301574,0.173802,0.657096,1.09588,3.74104,13.7992,10.602,5.66782
1301584,0.173802,0.657096,1.09588,3.74104,13.7992,10.602,5.66782
1301594,0.271565,0.872998,1.94312,6.68168,13.6651,11.4852,9.76936
1301605,0.66262,1.78355,2.91929,10.1182,13.4333,10.2605,15.4837
1301614,0.66262,1.78355,2.91929,10.1182,13.4333,10.2605,15.4837
1301625,1.37955,3.66096,3.21398,11.7451,13.516,7.43909,19.9996
