ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1248708,0,0.0468062,0,0.0522809,0,0,0.099087
1248718,0,0.0468062,0,0.0522809,0,0,0.099087
1248729,0,0,0.0183983,0.0609944,0,0,0.0793926
1248746,0,0,0,0.017427,0,0,0.017427
1248756,0,0.00936123,0,0.0435674,0,0,0.0529286
1248766,0,0.00936123,0,0.0435674,0,0,0.0529286
1248777,0,0.0561674,0,0.0348539,0,0,0.0910213
1248798,0,0.0655286,0,0.0435674,0,0,0.109096
1248808,0,0.00936123,0,0.0958483,0,0,0.10521
1248818,0,0.00936123,0,0.0958483,0,0,0.10521
1248828,0.0109044,0.0468062,0.0367965,0.0435674,0,0,0.138075
1248838,0,0,0,0.0435674,0,0,0.0435674
1248855,0,0,0,0.0784213,0,0,0.0784213
1248865,0,0,0,0.0784213,0,0,0.0784213
1248875,0,0.0374449,0,0,0,0,0.0374449
1248885,0,0.0842511,0.0367965,0.0784213,0,0,0.199469
1248895,0,0.0842511,0.0367965,0.0784213,0,0,0.199469
1248905,0,0,0,0.0609944,0,0,0.0609944
1248915,0,0.0374449,0.00919913,0.0784213,0,0,0.125065
1248925,0,0.0374449,0.00919913,0.0784213,0,0,0.125065
1248954,0,0.0561674,0,0.0522809,0,0,0.108448
1248956,0,0,0,0.0261404,0,0,0.0261404
1248971,0,0.0374449,0,0.00871348,0,0,0.0461584
1248981,0,0.0374449,0,0.00871348,0,0,0.0461584
1248991,0.0109044,0.0748899,0,0.0522809,0,0,0.138075
1248995,0,0,0,0.0348539,0,0,0.0348539
1249010,0,0,0,0.0348539,0,0,0.0348539
1249020,0,0.0280837,0.0183983,0.0784213,0,0,0.124903
1249036,0,0.0280837,0.00919913,0.0871348,0,0,0.124418
1249046,0,0,0,0,0,0,0
1249058,0,0,0,0,0,0,0
1249069,0,0.0561674,0,0.0522809,0,0,0.108448
1249079,0,0.0561674,0,0.0522809,0,0,0.108448
1249088,0,0.00936123,0,0.0522809,0,0,0.0616421
1249098,0,0,0.0183983,0.0348539,0,0,0.0532522
1249108,0,0,0.0183983,0.0348539,0,0,0.0532522
1249118,0,0.00936123,0,0.0522809,0,0,0.0616421
1249128,0,0.00936123,0.00919913,0.0261404,0,0,0.0447008
1249138,0,0.00936123,0.00919913,0.0261404,0,0,0.0447008
1249149,0,0.0187225,0,0.0784213,0,0,0.0971438
1249158,0,0.0187225,0,0.0784213,0,0,0.0971438
1249168,0,0,0,0.0522809,0,0,0.0522809
1249179,0,0.0748899,0,0.0261404,0,0,0.10103
1249188,0,0.0748899,0,0.0261404,0,0,0.10103
1249198,0,0.0187225,0,0.0522809,0,0,0.0710033
1249208,0,0,0.0183983,0.0522809,0,0,0.0706792
1249219,0,0,0.0183983,0.0522809,0,0,0.0706792
1249230,0,0.0280837,0,0.0784213,0,0,0.106505
1249240,0,0.0280837,0,0.0784213,0,0,0.106505
1249250,0,0.0468062,0,0.0958483,0,0,0.142654
1249260,0,0.0280837,0.0459957,0.0609944,0,0,0.135074
1249270,0,0.0280837,0.0459957,0.0609944,0,0,0.135074
1249280,0,0.0655286,0,0.0348539,0,0,0.100383
1249290,0,0,0.0183983,0.0261404,0,0,0.0445387
1249319,0,0,0.0183983,0.0261404,0,0,0.0445387
1249325,0,0.00936123,0,0.0871348,0,0,0.096496
1249327,0,0,0,0.017427,0,0,0.017427
1249337,0,0,0,0.0871348,0,0,0.0871348
1249348,0,0,0,0.0871348,0,0,0.0871348
1249357,0,0.0655286,0,0.0697078,0,0,0.135236
1249367,0,0.0655286,0,0.0697078,0,0,0.135236
1249377,0,0,0,0.0609944,0,0,0.0609944
1249387,0,0.0187225,0,0.0697078,0,0,0.0884303
1249397,0,0.0187225,0,0.0697078,0,0,0.0884303
1249407,0,0.0468062,0,0.0435674,0,0,0.0903736
1249417,0,0,0,0.0609944,0,0,0.0609944
1249427,0,0,0,0.0609944,0,0,0.0609944
1249437,0,0.0655286,0.00919913,0.0261404,0,0,0.100868
1249447,0,0.0655286,0.00919913,0.0261404,0,0,0.100868
1249457,0,0.0374449,0,0.0522809,0,0,0.0897258
1249467,0,0.0374449,0.00919913,0,0,0,0.0466441
1249480,0,0.0374449,0.00919913,0,0,0,0.0466441
1249490,0,0,0.00919913,0.0697078,0,0,0.078907
1249500,0,0,0.0551948,0.017427,0,0,0.0726218
1249522,0,0,0,0.0609944,0,0,0.0609944
1249532,0,0,0,0.0609944,0,0,0.0609944
1249542,0,0,0.00919913,0.0697078,0,0,0.078907
1249552,0,0,0,0.0435674,0,0,0.0435674
1249562,0,0,0,0.0435674,0,0,0.0435674
1249572,0,0.0468062,0,0,0,0,0.0468062
1249577,0,0.0468062,0,0,0,0,0.0468062
1249592,0,0,0.0183983,0.00871348,0,0,0.0271117
1249602,0,0.0374449,0,0.0958483,0,0,0.133293
1249612,0,0.0374449,0,0.0958483,0,0,0.133293
1249622,0,0.0374449,0,0.0609944,0,0,0.0984393
1249632,0,0,0,0.0784213,0,0,0.0784213
1249642,0,0,0,0.0784213,0,0,0.0784213
1249652,0,0.0187225,0,0.0261404,0,0,0.0448629
1249686,0,0.00936123,0,0.017427,0,0,0.0267882
1249692,0,0,0,0.0261404,0,0,0.0261404
1249702,0,0.0187225,0,0.0348539,0,0,0.0535764
1249712,0,0,0.00919913,0.0609944,0,0,0.0701935
1249728,0,0.0187225,0.0183983,0.0609944,0,0,0.0981151
1249739,0,0.0187225,0.0183983,0.0609944,0,0,0.0981151
1249748,0,0.00936123,0,0.0784213,0,0,0.0877826
1249758,0,0,0.0275974,0.0871348,0,0,0.114732
1249768,0,0,0.0275974,0.0871348,0,0,0.114732
1249778,0,0.0280837,0,0.0261404,0,0,0.0542241
1249789,0,0,0,0.0697078,0,0,0.0697078
1249811,0,0.0561674,0.0183983,0.0609944,0,0,0.13556
1249821,0,0.0561674,0.0183983,0.0609944,0,0,0.13556
1249831,0,0.102974,0.0643939,0.17427,0,0,0.341637
1249841,0,0.215308,0.10119,0.365966,17.5864,5.53541,0.682465
1249863,0.457986,0.954846,0.377165,1.10661,10.584,0.367386,2.89661
1249873,0.457986,0.954846,0.377165,1.10661,10.584,0.367386,2.89661
1249883,0.610648,1.31993,0.947511,3.04972,11.8572,5.22954,5.92781
1249889,0.436177,1.15143,0.855519,2.85802,12.8168,6.01549,5.30115
1249903,0.436177,1.15143,0.855519,2.85802,12.8168,6.01549,5.30115
1249913,0.37075,0.954846,0.827922,2.71861,12.6987,6.83767,4.87212
1249923,0.414368,1.06718,0.975108,3.18913,12.6946,7.12751,5.64579
1249929,0.414368,1.06718,0.975108,3.18913,12.6946,7.12751,5.64579
1249943,0.457986,1.27313,1.17749,3.77294,12.7612,7.22733,6.68154
1249954,0.457986,1.27313,1.17749,3.77294,12.7612,7.22733,6.68154
1249963,0.66517,1.71311,1.38907,4.34803,12.3435,6.20826,8.11537
1249969,0.937781,2.21861,1.56385,5.01025,12.1454,5.26855,9.7305
1249992,1.13406,2.72412,1.70184,5.62019,12.3173,4.6473,11.1802
1250001,1.10135,3.08921,1.81223,6.27371,13.1335,4.75956,12.2765
1250011,1.10135,3.08921,1.81223,6.27371,13.1335,4.75956,12.2765
1250021,1.15587,3.29515,1.84903,6.57868,13.3339,4.63169,12.8787
