ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
122996,0,0,0.00910064,0,0,0,0.00910064
123005,0,0,0,0,0,0,0
123035,0,0.0172152,0.00910064,0,0,0,0.0263158
123041,0,0.0172152,0.00910064,0,0,0,0.0263158
123051,0,0,0.0728051,0,0,0,0.0728051
123074,0,0,0,0,0,0,0
123084,0,0,0.0455032,0,0,0,0.0455032
123096,0,0,0.0455032,0,0,0,0.0455032
123104,0,0,0.0273019,0,0,0,0.0273019
123127,0,0,0.0546039,0,0,0,0.0546039
123136,0,0,0,0,0,0,0
123153,0,0,0.0182013,0,0,0,0.0182013
123163,0,0,0.00910064,0,0,0,0.00910064
123173,0,0,0.00910064,0,0,0,0.00910064
123185,0,0,0,0,0,0,0
123195,0,0,0,0,0,0,0
123205,0,0,0.0364026,0.0181818,0,0,0.0545844
123215,0,0,0,0,0,0,0
123225,0,0,0,0,0,0,0
123235,0,0,0,0,0,0,0
123245,0,0,0,0,0,0,0
123255,0,0,0,0.0181818,0,0,0.0181818
123267,0,0,0.0273019,0,0,0,0.0273019
123284,0,0,0,0,0,0,0
123295,0,0,0,0,0,0,0
123305,0,0,0,0,0,0,0
123315,0,0,0.0273019,0,0,0,0.0273019
123325,0,0,0.0273019,0,0,0,0.0273019
123335,0,0,0,0,0,0,0
123345,0,0,0.0273019,0,0,0,0.0273019
123362,0,0,0.0546039,0.00909091,0,0,0.0636948
123375,0.0175711,0,0.0455032,0.0454545,0,0,0.108529
123404,0,0,0.00910064,0,0,0,0.00910064
123410,0,0,0.00910064,0,0,0,0.00910064
123413,0,0,0.0546039,0,0,0,0.0546039
123429,0.00878553,0,0.0455032,0,0,0,0.0542887
123448,0,0,0.0182013,0.0636364,0,0,0.0818376
123458,0,0,0,0,0,0,0
123467,0,0,0,0,0,0,0
123480,0.00878553,0,0,0.0272727,0,0,0.0360583
123484,0.00878553,0,0,0.0272727,0,0,0.0360583
123499,0,0,0.0455032,0,0,0,0.0455032
123509,0,0,0,0.0272727,0,0,0.0272727
123525,0,0,0.0455032,0,0,0,0.0455032
123536,0,0,0.0546039,0,0,0,0.0546039
123558,0,0,0.0364026,0,0,0,0.0364026
123568,0,0,0.0364026,0,0,0,0.0364026
123578,0,0,0.0273019,0,0,0,0.0273019
123588,0,0,0.0364026,0,0,0,0.0364026
123604,0,0,0.00910064,0.0272727,0,0,0.0363734
123615,0,0,0.0273019,0.0545455,0,0,0.0818474
123625,0,0,0.0273019,0.0545455,0,0,0.0818474
123635,0,0.0172152,0.0273019,0,0,0,0.0445171
123645,0,0.0172152,0.0273019,0,0,0,0.0445171
123655,0,0,0.0273019,0,0,0,0.0273019
123665,0,0,0.0273019,0,0,0,0.0273019
123689,0,0,0,0,0,0,0
123699,0,0,0,0,0,0,0
123709,0,0,0,0,0,0,0
123719,0,0,0.0364026,0,0,0,0.0364026
123735,0,0,0.0182013,0.00909091,0,0,0.0272922
123745,0,0,0.0546039,0,0,0,0.0546039
123776,0,0,0.0546039,0,0,0,0.0546039
123786,0,0,0,0,0,0,0
123796,0,0,0,0,0,0,0
123808,0,0,0,0,0,0,0
123820,0,0,0,0,0,0,0
123829,0,0,0.0273019,0,0,0,0.0273019
123840,0,0,0.0273019,0,0,0,0.0273019
123850,0,0,0.0273019,0,0,0,0.0273019
123861,0,0,0.0273019,0,0,0,0.0273019
123871,0,0,0,0,0,0,0
123881,0,0,0.00910064,0.0181818,0,0,0.0272825
123899,0,0,0,0,0,0,0
123909,0,0,0,0,0,0,0
123919,0,0,0,0,0,0,0
123929,0,0,0,0,0,0,0
123945,0,0,0,0,0,0,0
123955,0,0,0,0,0,0,0
123978,0,0,0,0,0,0,0
123981,0,0,0,0,0,0,0
123990,0,0,0.00910064,0,0,0,0.00910064
124000,0,0,0.00910064,0,0,0,0.00910064
124010,0,0,0.00910064,0,0,0,0.00910064
124020,0,0,0.00910064,0,0,0,0.00910064
124030,0,0,0.0273019,0,0,0,0.0273019
124040,0,0,0.0182013,0,0,0,0.0182013
124050,0,0,0.0182013,0,0,0,0.0182013
124060,0,0,0.0364026,0,0,0,0.0364026
124070,0.00878553,0,0,0,0,0,0.00878553
124086,0,0.0086076,0.0637045,0,0,0,0.0723121
124109,0,0,0.0273019,0,0,0,0.0273019
124138,0,0,0,0,0,0,0
124140,0,0,0.00910064,0,0,0,0.00910064
124155,0,0,0,0.0272727,0,0,0.0272727
124172,0,0,0,0,0,0,0
124182,0,0,0,0,0,0,0
124189,0,0,0,0,0,0,0
124199,0,0.0086076,0.00910064,0.0181818,0,0,0.0358901
124210,0,0.0086076,0.00910064,0.0181818,0,0,0.0358901
124220,0,0,0.0273019,0,0,0,0.0273019
124230,0,0,0.00910064,0,0,0,0.00910064
124253,0,0,0,0,0,0,0
124269,0,0,0.0273019,0,0,0,0.0273019
124279,0,0,0.0182013,0,0,0,0.0182013
124304,0,0,0,0,0,0,0
124314,0,0,0,0,0,0,0
124325,0,0,0,0,0,0,0
124329,0,0,0.0546039,0,0,0,0.0546039
124350,0,0,0.0455032,0,0,0,0.0455032
124360,0,0,0,0,0,0,0
124380,0,0.0172152,0,0,0,0,0.0172152
124390,0,0,0.0364026,0,0,0,0.0364026
124400,0,0,0.0364026,0,0,0,0.0364026
124413,0,0,0.0546039,0,0,0,0.0546039
124423,0,0,0.0546039,0,0,0,0.0546039
124433,0,0,0.00910064,0,0,0,0.00910064
124443,0,0,0,0,0,0,0
124453,0,0,0,0,0,0,0
124464,0.0175711,0,0,0,0,0,0.0175711
124474,0,0,0.0637045,0.0272727,0,0,0.0909772
124505,0,0,0.0364026,0.0363636,0,0,0.0727662
124511,0,0,0.0364026,0.0363636,0,0,0.0727662
124521,0,0.0086076,0,0,0,0,0.0086076
124531,0,0.0086076,0,0,0,0,0.0086076
124541,0,0,0.0273019,0,0,0,0.0273019
124551,0,0,0.00910064,0.0181818,0,0,0.0272825
124561,0,0,0.00910064,0.0181818,0,0,0.0272825
124571,0,0.0172152,0.0182013,0,0,0,0.0354165
124581,0,0.0172152,0.0182013,0,0,0,0.0354165
124597,0,0,0.0637045,0,0,0,0.0637045
124607,0,0,0.0455032,0,0,0,0.0455032
124613,0,0,0.0455032,0,0,0,0.0455032
124627,0,0,0.0455032,0,0,0,0.0455032
124638,0.00878553,0,0.0364026,0,0,0,0.0451881
124654,0,0,0.00910064,0,0,0,0.00910064
124676,0,0,0.0546039,0,0,0,0.0546039
124686,0,0,0.00910064,0,0,0,0.00910064
124703,0,0,0.0273019,0.00909091,0,0,0.0363928
124714,0,0,0.0182013,0,0,0,0.0182013
124736,1.5199,6.72253,0,0.354545,16.1603,-13.7628,8.59697
124754,0.421705,0.223797,0,0,-7.66488,-15,0.645503
124764,0,0.0516456,0.0546039,0,0,0,0.106249
124786,0,0.043038,0.100107,0.163636,0,0,0.306781
124796,0.105426,0.886582,0.0546039,0.172727,18.4378,-9.40686,1.21934
124806,0.105426,0.886582,0.0546039,0.172727,18.4378,-9.40686,1.21934
124816,0,0.21519,0.0819058,0.0363636,0,0,0.333459
124826,0,0.21519,0.0819058,0.0363636,0,0,0.333459
124836,0,0.0688608,0.0455032,0,0,0,0.114364
124846,0,0.0086076,0,0,0,0,0.0086076
124879,0,0.0086076,0,0,0,0,0.0086076
124889,0,0,0.0364026,0,0,0,0.0364026
124899,0,0,0.0364026,0,0,0,0.0364026
124909,0,0,0.0364026,0,0,0,0.0364026
124919,0,0,0.0546039,0,0,0,0.0546039
124930,0,0,0,0,0,0,0
124940,0,0,0,0,0,0,0
124950,0,0,0.0455032,0,0,0,0.0455032
124960,0,0,0.0182013,0,0,0,0.0182013
124977,0,0,0.00910064,0,0,0,0.00910064
124987,0,0,0.00910064,0,0,0,0.00910064
124997,0,0,0.0728051,0.00909091,0,0,0.081896
125008,0,0,0.0910064,0,0,0,0.0910064
125031,0,0,0.0364026,0,0,0,0.0364026
125041,0,0,0.00910064,0,0,0,0.00910064
125051,0,0,0.00910064,0,0,0,0.00910064
125061,0,0,0.00910064,0,0,0,0.00910064
125077,0,0,0.0364026,0,0,0,0.0364026
125088,0,0,0.0273019,0,0,0,0.0273019
125098,0,0,0.0273019,0,0,0,0.0273019
125107,0,0,0.00910064,0,0,0,0.00910064
125119,0,0,0.0364026,0,0,0,0.0364026
125129,0,0,0.0364026,0,0,0,0.0364026
125139,0,0,0.0546039,0,0,0,0.0546039
125149,0,0,0.0546039,0,0,0,0.0546039
125159,0,0,0.0546039,0,0,0,0.0546039
125169,0,0,0.0637045,0,0,0,0.0637045
125191,0,0,0.0455032,0,0,0,0.0455032
125201,0,0,0,0,0,0,0
125211,0,0,0,0,0,0,0
125240,0.00878553,0,0.0819058,0,0,0,0.0906913
125246,0,0,0.0546039,0,0,0,0.0546039
125248,0,0,0.0364026,0,0,0,0.0364026
125258,0,0,0.0364026,0,0,0,0.0364026
125268,0,0,0.0273019,0,0,0,0.0273019
125279,0,0,0.0546039,0,0,0,0.0546039
125299,0,0.731646,1.30139,3.06364,12.2329,10.6934,5.09667
125314,0,0.731646,1.30139,3.06364,12.2329,10.6934,5.09667
125324,0,0.275443,0,0.172727,0,0,0.44817
125335,0,0,0.100107,0.109091,0,0,0.209198
125351,0,0.0774684,0,0,0,0,0.0774684
125361,0,0,0.00910064,0,0,0,0.00910064
