ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
40042,0.129969,0,0,0.0898045,0,0,0.219774
40065,0.173293,0,0,0.143687,0,0,0.31698
40076,0.173293,0,0,0.143687,0,0,0.31698
40085,0.155963,0,0,0.125726,0,0,0.28169
40096,0.138634,0,0,0.116746,0,0,0.25538
40106,0.138634,0,0,0.116746,0,0,0.25538
40115,0.190622,0,0,0.0898045,0,0,0.280426
40126,0.11264,0,0,0.134707,0,0,0.247347
40137,0.11264,0,0,0.134707,0,0,0.247347
40147,0.155963,0,0,0.161648,0,0,0.317611
40163,0.155963,0,0,0.125726,0,0,0.28169
40179,0.155963,0,0,0.116746,0,0,0.272709
40198,0.129969,0,0,0.170629,0,0,0.300598
40208,0.121305,0,0,0.0898045,0,0,0.211109
40218,0.121305,0,0,0.0898045,0,0,0.211109
40228,0.164628,0,0,0.143687,0,0,0.308315
40244,0.164628,0,0,0.170629,0,0,0.335257
40254,0.155963,0,0,0.143687,0,0,0.299651
40277,0.155963,0,0,0.0449023,0,0,0.200866
40288,0.129969,0,0,0.107765,0,0,0.237735
40298,0.129969,0,0,0.107765,0,0,0.237735
40308,0.103976,0,0,0.134707,0,0,0.238682
40319,0.103976,0,0,0.134707,0,0,0.238682
40349,0.121305,0,0,0.116746,0,0,0.238051
40355,0.147299,0,0,0.134707,0,0,0.282005
40365,0.164628,0,0,0.098785,0,0,0.263413
40388,0.190622,0,0,0.116746,0,0,0.307368
40398,0.190622,0,0,0.116746,0,0,0.307368
40408,0.129969,0,0,0.0718436,0,0,0.201813
40418,0.181957,0,0,0.125726,0,0,0.307684
40440,0.181957,0,0,0.116746,0,0,0.298703
40451,0.138634,0,0,0.134707,0,0,0.273341
40460,0.138634,0,0,0.134707,0,0,0.273341
40470,0.11264,0,0,0.161648,0,0,0.274288
40487,0.147299,0,0,0.125726,0,0,0.273025
40496,0.0953109,0,0,0.152668,0,0,0.247979
40520,0.0519878,0,0,0.161648,0,0,0.213636
40530,0.147299,0,0,0.152668,0,0,0.299966
40540,0.147299,0,0,0.152668,0,0,0.299966
40550,0.129969,0,0,0.0808241,0,0,0.210794
40568,0.103976,0,0,0.107765,0,0,0.211741
40578,0.147299,0,0,0.0718436,0,0,0.219142
40600,0.129969,0,0,0.134707,0,0,0.264676
40610,0.0779817,0,0,0.152668,0,0,0.230649
40620,0.0779817,0,0,0.152668,0,0,0.230649
40630,0.129969,0,0,0.134707,0,0,0.264676
40647,0.147299,0,0,0.107765,0,0,0.255064
40657,0.129969,0,0,0.152668,0,0,0.282637
40666,0.129969,0,0,0.152668,0,0,0.282637
40677,0.147299,0,0,0.0898045,0,0,0.237103
40687,0.147299,0,0,0.19757,0,0,0.344869
40717,0.121305,0,0,0.134707,0,0,0.256012
40723,0.121305,0,0,0.134707,0,0,0.256012
40733,0.121305,0,0,0.107765,0,0,0.22907
40744,0.121305,0,0,0.170629,0,0,0.291933
40753,0.121305,0,0,0.170629,0,0,0.291933
40763,0.155963,0,0,0.134707,0,0,0.29067
40773,0.0866463,0,0,0.116746,0,0,0.203392
40793,0.129969,0,0,0.116746,0,0,0.246715
40798,0.129969,0,0,0.116746,0,0,0.246715
40808,0.199286,0,0,0.161648,0,0,0.360935
40818,0.129969,0,0,0.125726,0,0,0.255696
40834,0.129969,0,0,0.125726,0,0,0.255696
40844,0.164628,0,0,0.0898045,0,0,0.254432
40854,0.0866463,0,0,0.0898045,0,0,0.176451
40870,0.129969,0,0,0.179609,0,0,0.309579
40880,0.129969,0,0,0.179609,0,0,0.309579
40890,0.164628,0,0,0.18859,0,0,0.353217
40900,0.103976,0,0,0.107765,0,0,0.211741
40910,0.103976,0,0,0.107765,0,0,0.211741
40920,0.121305,0,0,0.0808241,0,0,0.202129
40930,0.121305,0,0,0.0808241,0,0,0.202129
40940,0.138634,0,0,0.143687,0,0,0.282321
40950,0.138634,0,0,0.134707,0,0,0.273341
40961,0.138634,0,0,0.134707,0,0,0.273341
40970,0.121305,0,0,0.143687,0,0,0.264992
40980,0.155963,0,0,0.152668,0,0,0.308631
40990,0.155963,0,0,0.152668,0,0,0.308631
41000,0.103976,0,0,0.161648,0,0,0.265624
41019,0.0866463,0,0,0.125726,0,0,0.212373
41030,0.147299,0,0,0.134707,0,0,0.282005
41044,0.147299,0,0,0.134707,0,0,0.282005
41049,0.103976,0,0,0.116746,0,0,0.220721
41059,0.173293,0,0,0.116746,0,0,0.290038
41090,0.138634,0,0,0.107765,0,0,0.246399
41100,0.121305,0,0,0.0898045,0,0,0.211109
41110,0.164628,0,0,0.134707,0,0,0.299335
41120,0.164628,0,0,0.134707,0,0,0.299335
41130,0.103976,0,0,0.143687,0,0,0.247663
41141,0.181957,0,0,0.143687,0,0,0.325644
41163,0.164628,0,0,0.152668,0,0,0.317296
41185,0.155963,0,0,0.134707,0,0,0.29067
41196,0.207951,0,0,0.152668,0,0,0.360619
41205,0.207951,0,0,0.152668,0,0,0.360619
41217,0.138634,0,0,0.0898045,0,0,0.228439
41227,0.147299,0,0,0.0898045,0,0,0.237103
41236,0.147299,0,0,0.0898045,0,0,0.237103
41246,0.173293,0,0,0.125726,0,0,0.299019
41263,0.138634,0,0,0.143687,0,0,0.282321
41273,0.11264,0,0,0.125726,0,0,0.238367
41293,0.069317,0,0,0.125726,0,0,0.195043
41303,0.121305,0,0,0.098785,0,0,0.22009
41315,0.121305,0,0,0.098785,0,0,0.22009
41325,0.121305,0,0,0.098785,0,0,0.22009
41343,0.0953109,0,0,0.0808241,0,0,0.176135
41353,0.129969,0,0,0.125726,0,0,0.255696
41380,0.11264,0,0,0.161648,0,0,0.274288
41385,0.147299,0,0,0.0898045,0,0,0.237103
