ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1111094,0.0175983,0,0,0.0181915,0,0,0.0357899
1111111,0.0175983,0,0,0.0181915,0,0,0.0357899
1111114,0,0,0,0.0636704,0,0,0.0636704
1111123,0.052795,0,0,0.0454789,0,0,0.0982739
1111146,0.0175983,0.0342915,0,0.0181915,0,0,0.0700814
1111157,0.0175983,0.0342915,0,0.0181915,0,0,0.0700814
1111167,0,0,0,0.0272873,0,0,0.0272873
1111177,0,0,0,0,0,0,0
1111187,0,0,0,0,0,0,0
1111198,0.0439959,0.0342915,0,0.0272873,0,0,0.105575
1111213,0.052795,0,0,0.0272873,0,0,0.0800823
1111224,0.0439959,0,0,0,0,0,0.0439959
1111246,0.0351967,0,0,0.0272873,0,0,0.062484
1111279,0,0,0,0.00909577,0,0,0.00909577
1111286,0,0,0,0.00909577,0,0,0.00909577
1111296,0.0439959,0,0,0,0,0,0.0439959
1111306,0,0,0,0.0181915,0,0,0.0181915
1111317,0,0,0,0.0181915,0,0,0.0181915
1111327,0,0,0,0.00909577,0,0,0.00909577
1111337,0,0,0,0.00909577,0,0,0.00909577
1111347,0,0,0,0.00909577,0,0,0.00909577
1111357,0,0,0,0,0,0,0
1111367,0.0175983,0,0,0.0363831,0,0,0.0539814
1111377,0.0175983,0,0,0.0363831,0,0,0.0539814
1111387,0.00879917,0,0,0.0272873,0,0,0.0360865
1111396,0.00879917,0,0,0.0272873,0,0,0.0360865
1111414,0.0175983,0,0,0.0454789,0,0,0.0630772
1111428,0,0,0,0.0181915,0,0,0.0181915
1111438,0,0,0,0,0,0,0
1111448,0.0263975,0,0,0.00909577,0,0,0.0354933
1111458,0.0263975,0,0,0.00909577,0,0,0.0354933
1111468,0.0439959,0,0,0.0363831,0,0,0.0803789
1111485,0.0175983,0,0,0.0363831,0,0,0.0539814
1111495,0.0439959,0,1.34138,4.14767,12.4809,14.7615,5.53305
1111505,0.0439959,0,1.34138,4.14767,12.4809,14.7615,5.53305
1111514,0,0.711548,0,0.336544,25,-5.36696,1.04809
1111525,0.202381,0.462935,0.127751,0.372927,10.8433,-2.118,1.16599
1111534,0.202381,0.462935,0.127751,0.372927,10.8433,-2.118,1.16599
1111545,0.0791925,0.454362,0,0.363831,20.5876,-2.83697,0.897386
1111577,0.0615942,0.565809,0.00912507,0.536651,21.986,-1.04368,1.17318
1111580,0.10559,0.634392,0.0730005,0.527555,18.3388,-1.56012,1.34054
1111590,0.10559,0.634392,0.0730005,0.527555,18.3388,-1.56012,1.34054
1111596,0.0967909,0.694402,0.0638755,0.636704,19.6149,-0.911133,1.49177
1111606,0.0967909,0.694402,0.0273752,0.636704,20.7339,-1.31021,1.45527
1111618,0.131988,0.677257,0.0273752,0.627608,19.5581,-1.58029,1.46423
1111647,0.149586,0.728694,0,0.582129,19.8786,-3.04179,1.46041
1111653,0.149586,0.728694,0,0.582129,19.8786,-3.04179,1.46041
1111656,0.131988,0.720121,0.0456253,0.573034,18.9619,-2.3809,1.47077
1111666,0.131988,0.720121,0.0456253,0.573034,18.9619,-2.3809,1.47077
1111682,0.149586,0.711548,0.0638755,0.527555,17.6523,-2.78511,1.45256
1111692,0.149586,0.642965,0.0365003,0.47298,17.854,-3.2611,1.30203
1111709,0.149586,0.582955,0.0182501,0.554842,18.5726,-1.83185,1.30563
1111731,0.131988,0.660111,0.0182501,0.527555,19.3853,-2.76134,1.3379
1111741,0.131988,0.634392,0.0182501,0.463884,18.9833,-3.415,1.24851
1111751,0.131988,0.634392,0.0182501,0.463884,18.9833,-3.415,1.24851
1111762,0.10559,0.565809,0.0547504,0.391118,17.8244,-3.02789,1.11727
1111771,0.0703934,0.488654,0.0365003,0.309256,19.093,-3.53597,0.904804
1111781,0.0703934,0.488654,0.0365003,0.309256,19.093,-3.53597,0.904804
1111791,0.0703934,0.274332,0.00912507,0.136437,0,0,0.490287
1111807,0.0703934,0.0943016,0,0.0636704,0,0,0.228365
1111817,0.0263975,0,0,0.0272873,0,0,0.0536848
1111829,0.0263975,0,0,0.0272873,0,0,0.0536848
1111838,0.0615942,0,0,0,0,0,0.0615942
1111861,0.0351967,0,0,0.0363831,0,0,0.0715798
1111871,0.0439959,0,0,0.0363831,0,0,0.0803789
1111881,0.0439959,0,0,0.0363831,0,0,0.0803789
1111891,0.0175983,0,0,0,0,0,0.0175983
1111903,0.0175983,0,0,0,0,0,0.0175983
1111918,0.0351967,0.0257186,0,0.0363831,0,0,0.0972984
1111929,0,0.00857287,0,0.0363831,0,0,0.044956
