ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1078330,0,0,0,0.0182013,0,0,0.0182013
1078352,0,0.00856423,0,0.0182013,0,0,0.0267655
1078364,0,0,0.0453333,0,0,0,0.0453333
1078381,0,0,0,0.0455032,0,0,0.0455032
1078392,0,0,0.0544,0.0364026,0,0,0.0908026
1078414,0,0,0,0,0,0,0
1078424,0,0,0,0,0,0,0
1078434,0,0,0.0362667,0.0273019,0,0,0.0635686
1078444,0,0,0.00906667,0.0637045,0,0,0.0727712
1078454,0,0,0.00906667,0.0637045,0,0,0.0727712
1078464,0,0,0,0.0273019,0,0,0.0273019
1078474,0,0,0,0.0273019,0,0,0.0273019
1078484,0,0,0,0.00910064,0,0,0.00910064
1078494,0,0,0.0634667,0.00910064,0,0,0.0725673
1078504,0,0,0.0634667,0.00910064,0,0,0.0725673
1078514,0,0,0,0.00910064,0,0,0.00910064
1078524,0,0,0.00906667,0.0182013,0,0,0.027268
1078540,0.00884035,0,0,0,0,0,0.00884035
1078572,0,0,0.00906667,0,0,0,0.00906667
1078579,0,0,0,0.0273019,0,0,0.0273019
1078595,0,0,0.00906667,0.0455032,0,0,0.0545699
1078606,0.00884035,0,0,0.00910064,0,0,0.017941
1078623,0.0176807,0.0171285,0.0272,0.0546039,0,0,0.116613
1078633,0,0,0,0.0637045,0,0,0.0637045
1078642,0,0,0,0.0637045,0,0,0.0637045
1078652,0,0,0,0.0364026,0,0,0.0364026
1078663,0,0,0,0.0364026,0,0,0.0364026
1078672,0.0265211,0,0.0453333,0.0273019,0,0,0.0991563
1078685,0,0,0,0.0546039,0,0,0.0546039
1078701,0,0,0,0.0182013,0,0,0.0182013
1078711,0,0,0.00906667,0.0273019,0,0,0.0363686
1078734,0,0.0171285,0,0.0273019,0,0,0.0444304
1078752,0,0,0,0,0,0,0
1078761,0,0,0.0272,0,0,0,0.0272
1078771,0,0,0.0272,0,0,0,0.0272
1078781,0,0,0,0.0182013,0,0,0.0182013
1078791,0,0,0,0.0182013,0,0,0.0182013
1078801,0,0,0,0.00910064,0,0,0.00910064
1078811,0,0,0.00906667,0,0,0,0.00906667
1078834,0,0,0.0362667,0,0,0,0.0362667
1078844,0,0,0.0453333,0,0,0,0.0453333
1078866,0,0,0.00906667,0.0273019,0,0,0.0363686
1078883,0,0,0.0272,0.0910064,0,0,0.118206
1078893,0,0,0,0.00910064,0,0,0.00910064
1078915,0,0,0,0.0455032,0,0,0.0455032
1078946,0,0,0,0,0,0,0
1078956,0.00884035,0,0.0272,0.0273019,0,0,0.0633423
1078966,0.0265211,0,0.0272,0.0455032,0,0,0.0992243
1078977,0,0,0.00906667,0.0273019,0,0,0.0363686
1078999,0,0.0342569,0.0634667,0,0,0,0.0977236
1079009,0,0,0,0.00910064,0,0,0.00910064
1079019,0,0,0,0.00910064,0,0,0.00910064
1079029,0.0176807,0,0.0362667,0.0182013,0,0,0.0721487
1079045,0,0,0,0.0364026,0,0,0.0364026
1079056,0.0442018,0,0.0181333,0.0273019,0,0,0.089637
1079065,0.0442018,0,0.0181333,0.0273019,0,0,0.089637
1079075,0.00884035,0,0,0,0,0,0.00884035
1079086,0,0,0.00906667,0.0364026,0,0,0.0454692
1079097,0,0,0.00906667,0.0364026,0,0,0.0454692
1079106,0.00884035,0,0,0.0182013,0,0,0.0270416
1079116,0.00884035,0,0,0.0182013,0,0,0.0270416
1079126,0,0,0.0181333,0.0273019,0,0,0.0454353
1079137,0.00884035,0.00856423,0.0181333,0.0364026,0,0,0.0719405
1079159,0,0,0.00906667,0.0455032,0,0,0.0545699
1079169,0,0,0,0.00910064,0,0,0.00910064
1079186,0,0,0,0.0546039,0,0,0.0546039
1079196,0,0,0,0.0546039,0,0,0.0546039
1079206,0.0265211,0,0,0.0455032,0,0,0.0720243
1079217,0,0,0,0.0546039,0,0,0.0546039
1079227,0,0,0,0.0546039,0,0,0.0546039
1079236,0,0,0.0181333,0.0364026,0,0,0.0545359
1079246,0.0442018,0,0,0.0182013,0,0,0.0624031
1079269,0,0,0.00906667,0.0182013,0,0,0.027268
1079308,0,0,0.0181333,0.00910064,0,0,0.027234
1079315,0.00884035,0,0.0272,0,0,0,0.0360404
1079316,0,0,0.0272,0,0,0,0.0272
1079326,0,0,0,0.0819058,0,0,0.0819058
1079336,0,0,0,0.0819058,0,0,0.0819058
1079346,0,0,0,0.0273019,0,0,0.0273019
1079356,0,0,0,0.0273019,0,0,0.0273019
1079366,0.0176807,0.00856423,0.0272,0.0455032,0,0,0.0989482
1079376,0,0,0.00906667,0.00910064,0,0,0.0181673
1079399,0,0,0,0.0273019,0,0,0.0273019
1079409,0,0,0,0.0455032,0,0,0.0455032
