ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1817684,0,0.0171198,0,0,0,0,0.0171198
1817688,0,0.0171198,0,0,0,0,0.0171198
1817697,0,0.0256798,0,0,0,0,0.0256798
1817707,0,0,0,0,0,0,0
1817717,0,0,0,0,0,0,0
1817788,0,0,0,0,0,0,0
1817792,0,0,0,0,0,0,0
1817802,0,0,0,0,0,0,0
1817890,0,0,0,0,0,0,0
1817892,0,0.0256798,0,0,0,0,0.0256798
1817903,0,0.0256798,0,0,0,0,0.0256798
1817913,0,0.0256798,0,0,0,0,0.0256798
1817925,0,0.0342397,0,0,0,0,0.0342397
1817999,0,0,0,0.0182013,0,0,0.0182013
1818001,0,0.0171198,0,0,0,0,0.0171198
1818023,0,0.0171198,0,0,0,0,0.0171198
1818034,0,0.0256798,0,0,0,0,0.0256798
1818095,0,0,0,0,0,0,0
1818103,0,0,0,0,0,0,0
1818113,0,0,0,0,0,0,0
1818123,0,0.0427996,0,0,0,0,0.0427996
1818199,0,0.00855992,0,0,0,0,0.00855992
1818205,0,0.0256798,0,0,0,0,0.0256798
1818215,0,0.0256798,0,0.0182013,0,0,0.043881
1818230,0,0.0427996,0,0,0,0,0.0427996
1818233,0,0.0427996,0,0,0,0,0.0427996
1818299,0,0.00855992,0,0,0,0,0.00855992
1818301,0,0.00855992,0,0,0,0,0.00855992
1818303,0,0,0,0,0,0,0
1818313,0,0,0,0,0,0,0
1818329,0,0.0171198,0,0,0,0,0.0171198
1818340,0,0.0342397,0,0.00910064,0,0,0.0433403
1818401,0,0.0513595,0,0,0,0,0.0513595
1818403,0,0,0,0,0,0,0
1818405,0,0,0,0,0,0,0
1818421,0,0.0342397,0,0,0,0,0.0342397
1818431,0,0.0342397,0,0,0,0,0.0342397
1818436,0,0,0,0,0,0,0
1818508,0,0,0,0,0,0,0
1818512,0,0,0,0,0,0,0
1818521,0,0,0,0,0,0,0
1818532,0,0.0427996,0,0,0,0,0.0427996
1818606,0,0.0427996,0,0,0,0,0.0427996
1818609,0,0.0171198,0,0,0,0,0.0171198
1818618,0,0.0171198,0,0,0,0,0.0171198
1818628,0,0,0,0.00910064,0,0,0.00910064
1818638,0,0.0599194,0,0,0,0,0.0599194
1818708,0,0,0,0,0,0,0
1818712,0,0,0,0,0,0,0
1818721,0,0.0342397,0,0,0,0,0.0342397
1818731,0,0.0342397,0,0,0,0,0.0342397
1818741,0,0,0,0,0,0,0
1818751,0,0,0,0,0,0,0
1818811,0,0.0513595,0,0,0,0,0.0513595
1818819,0,0.0427996,0,0,0,0,0.0427996
1818831,0,0.0427996,0,0,0,0,0.0427996
1818841,0,0,0,0,0,0,0
1818933,0,0.00855992,0,0,0,0,0.00855992
1818940,0,0,0,0,0,0,0
1818956,0,0,0,0.00910064,0,0,0.00910064
1819016,0,0.0171198,0,0,0,0,0.0171198
1819025,0,0,0,0,0,0,0
1819034,0,0,0,0,0,0,0
1819048,0,0,0,0,0,0,0
1819123,0,0,0,0,0,0,0
1819126,0,0,0,0,0,0,0
1819136,0,0,0,0,0,0,0
1819146,0,0.00855992,0,0,0,0,0.00855992
1819156,0,0.00855992,0,0,0,0,0.00855992
1819226,0,0,0,0,0,0,0
1819228,0,0,0,0.00910064,0,0,0.00910064
1819240,0,0,0,0,0,0,0
1819260,0,0,0,0,0,0,0
1819322,0,0,0,0,0,0,0
1819325,0,0,0,0,0,0,0
1819327,0,0.0513595,0,0,0,0,0.0513595
1819337,0,0,0,0,0,0,0
1819347,0,0,0,0,0,0,0
1819357,0,0.00855992,0,0,0,0,0.00855992
1819427,0,0.0171198,0,0,0,0,0.0171198
1819430,0,0.0171198,0,0,0,0,0.0171198
1819441,0,0.00855992,0,0,0,0,0.00855992
1819451,0,0.00855992,0,0,0,0,0.00855992
1819462,0,0.00855992,0,0,0,0,0.00855992
1819532,0,0.0342397,0,0,0,0,0.0342397
1819534,0,0,0,0,0,0,0
1819552,0,0,0,0,0,0,0
1819562,0,0,0,0,0,0,0
1819632,0,0,0,0,0,0,0
1819636,0,0,0,0,0,0,0
1819670,0,0,0,0,0,0,0
1819732,0,0.00855992,0,0,0,0,0.00855992
1819741,0.0884956,0.427996,0.0182599,0.263919,18.3167,-4.40068,0.79867
1819751,0.0884956,0.427996,0.0182599,0.263919,18.3167,-4.40068,0.79867
1819762,0.0176991,0.513595,0.0456498,0.373126,21.6661,-1.77647,0.95007
1819772,0.0619469,0.616314,0.0273899,0.436831,21.0902,-2.8102,1.14248
1819835,0.0619469,0.616314,0.0273899,0.436831,21.0902,-2.8102,1.14248
