ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1776424,0,0,0,0,0,0,0
1776427,0,0,0.00908605,0,0,0,0.00908605
1776443,0,0.0427565,0.0181721,0,0,0,0.0609286
1776453,0,0.0427565,0,0,0,0,0.0427565
1776523,0,0.0427565,0.00908605,0,0,0,0.0518426
1776528,0,0.0427565,0.00908605,0,0,0,0.0518426
1776538,0,0.0256539,0.00908605,0,0,0,0.03474
1776560,0,0.00855131,0.0272582,0,0,0,0.0358095
1776623,0,0.00855131,0.0272582,0,0,0,0.0358095
1776625,0,0,0.0363442,0,0,0,0.0363442
1776629,0,0.0342052,0.0363442,0,0,0,0.0705494
1776640,0,0.00855131,0,0,0,0,0.00855131
1776730,0,0.00855131,0,0,0,0,0.00855131
1776733,0,0.00855131,0.00908605,0,0,0,0.0176374
1776745,0,0.00855131,0.00908605,0,0,0,0.0176374
1776755,0,0.0171026,0,0,0,0,0.0171026
1776765,0,0.0171026,0,0,0,0,0.0171026
1776829,0.00884956,0.0342052,0.0272582,0,0,0,0.0703129
1776830,0,0.0256539,0,0,0,0,0.0256539
1776832,0,0.00855131,0.00908605,0,0,0,0.0176374
1776841,0,0.00855131,0.00908605,0,0,0,0.0176374
1776858,0,0,0,0,0,0,0
1776868,0,0.00855131,0,0,0,0,0.00855131
1776932,0,0.0427565,0,0,0,0,0.0427565
1776933,0,0.0171026,0,0,0,0,0.0171026
1776943,0,0.0513078,0,0,0,0,0.0513078
1776954,0,0.0513078,0,0,0,0,0.0513078
1776964,0,0.0513078,0.0181721,0,0,0,0.0694799
1777039,0,0.0513078,0.0181721,0,0,0,0.0694799
1777045,0,0.00855131,0,0,0,0,0.00855131
1777055,0,0,0,0,0,0,0
1777066,0,0.0427565,0,0.045552,0,0,0.0883085
1777136,0.0176991,0,0.00908605,0,0,0,0.0267852
1777139,0.0176991,0,0.00908605,0,0,0,0.0267852
1777149,0,0,0.0272582,0,0,0,0.0272582
1777160,0,0.0513078,0,0,0,0,0.0513078
1777165,0,0.0513078,0,0,0,0,0.0513078
1777240,0,0.0427565,0,0,0,0,0.0427565
1777243,0,0,0,0,0,0,0
1777259,0,0,0,0,0,0,0
1777269,0,0.0342052,0,0.0182208,0,0,0.052426
1777279,0,0.0342052,0,0.0182208,0,0,0.052426
1777339,0,0.00855131,0,0,0,0,0.00855131
1777348,0.00884956,0.0769618,0.00908605,0,0,0,0.0948974
1777370,0,0.0256539,0,0,0,0,0.0256539
1777445,0,0.0256539,0,0,0,0,0.0256539
1777448,0,0.0427565,0.0454303,0,0,0,0.0881868
1777471,0,0,0,0,0,0,0
1777480,0.00884956,0,0.0181721,0,0,0,0.0270217
1777544,0.0353982,0.0513078,0.0545163,0,0,0,0.141222
1777546,0.00884956,0,0.00908605,0,0,0,0.0179356
1777549,0,0,0,0,0,0,0
1777559,0.00884956,0.0342052,0.0363442,0.0091104,0,0,0.0885094
1777569,0.00884956,0.0342052,0.0363442,0.0091104,0,0,0.0885094
1777579,0,0,0,0,0,0,0
1777650,0.00884956,0.0171026,0,0,0,0,0.0259522
1777653,0.00884956,0.0171026,0,0,0,0,0.0259522
1777663,0,0.0427565,0,0,0,0,0.0427565
1777673,0,0.0342052,0.00908605,0,0,0,0.0432913
1777683,0,0.0342052,0.00908605,0,0,0,0.0432913
1777749,0,0.0171026,0.0181721,0,0,0,0.0352747
1777780,0,0,0.00908605,0,0,0,0.00908605
1777781,0,0.0171026,0,0,0,0,0.0171026
1777791,0,0.0171026,0,0,0,0,0.0171026
1777851,0,0.0256539,0,0.0091104,0,0,0.0347643
1777853,0,0,0.0181721,0,0,0,0.0181721
1777863,0,0.0342052,0,0,0,0,0.0342052
1777885,0,0.0171026,0,0,0,0,0.0171026
1777959,0,0.0171026,0,0,0,0,0.0171026
1777959,0,0,0,0,0,0,0
1777974,0,0,0,0.0182208,0,0,0.0182208
1777990,0,0.0171026,0,0,0,0,0.0171026
1777994,0,0,0,0,0,0,0
1778056,0,0,0,0,0,0,0
1778059,0,0,0,0,0,0,0
1778070,0,0.0513078,0.00908605,0,0,0,0.0603939
1778080,0,0,0.0363442,0,0,0,0.0363442
1778096,0,0.0427565,0.0272582,0,0,0,0.0700147
1778166,0,0.0342052,0,0,0,0,0.0342052
1778169,0,0.0342052,0,0,0,0,0.0342052
1778179,0,0.0769618,0.0181721,0,0,0,0.0951339
1778189,0,0,0,0,0,0,0
1778199,0,0,0,0,0,0,0
1778261,0,0.0171026,0.0181721,0,0,0,0.0352747
1778263,0,0.0171026,0.0181721,0,0,0,0.0352747
1778266,0,0,0.0272582,0.0182208,0,0,0.0454789
1778290,0,0.0256539,0,0,0,0,0.0256539
1778366,0,0.0256539,0,0,0,0,0.0256539
1778369,0,0.0513078,0.0272582,0,0,0,0.078566
1778379,0,0.00855131,0.0272582,0,0,0,0.0358095
1778401,0,0.0342052,0.0181721,0.0364416,0,0,0.0888189
1778477,0,0,0,0,0,0,0
1778480,0,0.00855131,0.0181721,0,0,0,0.0267234
1778509,0,0.0427565,0.0181721,0,0,0,0.0609286
1778569,0,0.0256539,0.00908605,0,0,0,0.03474
1778584,0,0,0,0,0,0,0
