ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1912188,0.0441329,0.0341537,0,0,0,0,0.0782866
1912199,0,0.0256153,0,0,0,0,0.0256153
1912208,0.0264798,0.0512305,0,0,0,0,0.0777103
1912218,0.0264798,0.0512305,0,0,0,0,0.0777103
1912228,0,0.0853842,0,0,0,0,0.0853842
1912238,0,0,0,0,0,0,0
1912279,0,0,0,0,0,0,0
1912280,0,0.0853842,0,0,0,0,0.0853842
1912290,0,0.0512305,0.0364416,0,0,0,0.0876721
1912300,0,0.0512305,0.0364416,0,0,0,0.0876721
1912312,0,0.0426921,0,0,0,0,0.0426921
1912322,0,0.0939227,0,0,0,0,0.0939227
1912333,0,0.0939227,0,0,0,0,0.0939227
1912343,0,0.0170768,0,0,0,0,0.0170768
1912403,0,0.0170768,0,0,0,0,0.0170768
1912413,0,0.0426921,0.0091104,0,0,0,0.0518025
1912425,0,0.0256153,0,0,0,0,0.0256153
1912435,0,0.0256153,0,0,0,0,0.0256153
1912445,0,0.0256153,0,0,0,0,0.0256153
1912455,0.00882658,0.0853842,0.0273312,0,0,0,0.121542
1912465,0.00882658,0.0853842,0.0273312,0,0,0,0.121542
1912475,0.0176532,0.0939227,0,0,0,0,0.111576
1912485,0.0264798,0.0341537,0,0,0,0,0.0606334
1912497,0.0264798,0.0341537,0,0,0,0,0.0606334
1912507,0,0,0,0,0,0,0
1912517,0,0,0,0,0,0,0
1912527,0,0.0426921,0,0,0,0,0.0426921
1912537,0,0.0341537,0,0,0,0,0.0341537
1912553,0.0353063,0.0683074,0,0,0,0,0.103614
1912563,0.0264798,0.0683074,0,0,0,0,0.0947871
1912573,0.0264798,0.0683074,0,0,0,0,0.0947871
1912583,0,0.00853842,0,0,0,0,0.00853842
1912606,0.0353063,0.0170768,0.0182208,0,0,0,0.070604
1912616,0.0264798,0.0683074,0,0,0,0,0.0947871
1912649,0.0264798,0.0683074,0,0,0,0,0.0947871
1912658,0,0.059769,0.0091104,0,0,0,0.0688794
1912668,0,0.0341537,0.0364416,0,0,0,0.0705953
1912679,0,0.0341537,0.0364416,0,0,0,0.0705953
1912688,0.00882658,0.0256153,0,0,0,0,0.0344419
1912700,0,0.0170768,0,0,0,0,0.0170768
1912708,0,0.0170768,0,0,0,0,0.0170768
1912718,0.00882658,0.0170768,0,0,0,0,0.0259034
1912728,0,0.059769,0,0,0,0,0.059769
1912739,0,0.059769,0,0,0,0,0.059769
1912749,0.00882658,0.0683074,0.0091104,0,0,0,0.0862444
1912753,0.00882658,0.0683074,0.0091104,0,0,0,0.0862444
1912768,0,0.0683074,0,0,0,0,0.0683074
1912778,0.0353063,0.0853842,0,0,0,0,0.120691
1912789,0.0353063,0.0853842,0,0,0,0,0.120691
