ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1883327,0.0176715,0,0,0.045406,0,0,0.0630775
1883330,0,0,0,0.0181624,0,0,0.0181624
1883340,0,0,0,0.0181624,0,0,0.0181624
1883350,0,0.0428427,0,0,0,0,0.0428427
1883426,0,0,0,0.045406,0,0,0.045406
1883429,0,0,0,0,0,0,0
1883432,0,0.0342742,0,0,0,0,0.0342742
1883447,0,0.0342742,0,0,0,0,0.0342742
1883457,0,0,0,0,0,0,0
1883467,0.00883576,0,0,0.045406,0,0,0.0542417
1883526,0,0,0,0.045406,0,0,0.045406
1883535,0,0,0,0.0635684,0,0,0.0635684
1883545,0,0,0,0.0090812,0,0,0.0090812
1883555,0,0,0,0.0090812,0,0,0.0090812
1883565,0.00883576,0,0,0,0,0,0.00883576
1883631,0,0,0,0.0363248,0,0,0.0363248
1883633,0,0,0,0.0363248,0,0,0.0363248
1883643,0,0,0,0.0635684,0,0,0.0635684
1883654,0.035343,0,0,0,0,0,0.035343
1883736,0,0,0,0.0181624,0,0,0.0181624
1883738,0,0,0,0,0,0,0
1883748,0.00883576,0.00856855,0,0.0363248,0,0,0.0537291
1883758,0,0,0,0.0181624,0,0,0.0181624
1883769,0,0,0,0.0181624,0,0,0.0181624
1883841,0,0.0342742,0,0.0181624,0,0,0.0524366
1883843,0,0,0,0.0181624,0,0,0.0181624
1883847,0,0,0,0.0363248,0,0,0.0363248
1883869,0.035343,0.0428427,0,0.0635684,0,0,0.141754
1883939,0.00883576,0,0,0.0635684,0,0,0.0724041
1883941,0.035343,0,0,0.0272436,0,0,0.0625866
1883953,0,0,0,0.0090812,0,0,0.0090812
1884041,0,0,0,0.0090812,0,0,0.0090812
1884051,0,0,0,0.0090812,0,0,0.0090812
1884061,0.0265073,0,0,0.0090812,0,0,0.0355885
1884143,0.0176715,0,0,0,0,0,0.0176715
1884146,0,0,0,0.0363248,0,0,0.0363248
1884148,0,0,0,0,0,0,0
1884161,0,0,0,0.0272436,0,0,0.0272436
1884171,0,0,0,0.0272436,0,0,0.0272436
1884181,0,0,0,0,0,0,0
1884243,0.00883576,0,0,0,0,0,0.00883576
1884245,0,0.00856855,0,0,0,0,0.00856855
1884257,0,0,0,0,0,0,0
1884260,0.0176715,0,0,0,0,0,0.0176715
1884270,0,0,0,0.0544872,0,0,0.0544872
1884280,0,0,0,0.0544872,0,0,0.0544872
1884347,0,0,0,0.0090812,0,0,0.0090812
1884353,0,0.0257056,0,0,0,0,0.0257056
1884371,0,0,0,0.0090812,0,0,0.0090812
1884381,0,0,0,0,0,0,0
1884451,0,0,0,0,0,0,0
