ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2939701,10.2883,6.27605,22.9709,15.9602,-4.96568,6.04555,55.4955
2939711,10.353,6.35144,22.8932,16.1769,-4.80412,6.01502,55.7745
2939721,10.2668,6.39856,22.835,16.2202,-4.70339,6.02735,55.7205
2939730,10.2668,6.39856,22.835,16.2202,-4.70339,6.02735,55.7205
2939740,10.3422,6.39856,22.7573,16.2202,-4.70257,5.98638,55.7182
2939764,10.2668,6.36086,22.5049,16.1682,-4.63041,5.97968,55.3007
2939774,10.2022,6.38914,22.4951,16.2115,-4.56465,5.99897,55.298
2939788,10.2022,6.38914,22.4951,16.2115,-4.56465,5.99897,55.298
2939791,10.1375,6.34202,22.6699,16.3935,-4.5334,6.09902,55.5429
2939800,10.1375,6.34202,22.6699,16.3935,-4.5334,6.09902,55.5429
2939832,10.1052,6.39856,22.7282,16.6101,-4.39844,6.13369,55.842
2939839,10.0729,6.49279,22.6408,16.8007,-4.20488,6.12667,56.0072
2939856,9.98669,6.4551,22.4951,16.87,-4.10196,6.16143,55.807
2939859,9.98669,6.4551,22.4951,16.87,-4.10196,6.16143,55.807
2939876,9.92205,6.43625,22.4757,16.9567,-4.0351,6.20375,55.7907
2939879,9.92205,6.43625,22.4757,16.9567,-4.0351,6.20375,55.7907
2939890,9.90051,6.55876,22.3107,17.0194,-3.8686,6.14924,55.7893
2939906,9.88973,6.62472,22.2233,17.0871,-3.76229,6.12522,55.8249
2939915,9.88973,6.62472,22.2233,17.0871,-3.76229,6.12522,55.8249
2939926,9.97592,6.66242,22.1942,17.0968,-3.7596,6.07534,55.9293
2939936,9.85741,6.69069,22.1262,17.0484,-3.69891,6.09083,55.7227
2939945,9.85741,6.69069,22.1262,17.0484,-3.69891,6.09083,55.7227
2939956,9.83587,6.79435,22.1165,17.029,-3.6436,6.05514,55.7758
2939967,9.83587,6.79435,22.1165,17.029,-3.6436,6.05514,55.7758
2939977,9.8251,6.79435,21.9903,17.0581,-3.5761,6.0436,55.6678
2939983,9.84664,6.84146,21.8252,17.0097,-3.52139,5.98314,55.523
2939993,9.84664,6.84146,21.8252,17.0097,-3.52139,5.98314,55.523
2940004,9.85741,6.86031,21.6796,16.9134,-3.50898,5.93246,55.3107
2940012,9.90051,6.94512,21.6311,16.7141,-3.56599,5.84323,55.1908
2940027,9.90051,6.94512,21.6311,16.7141,-3.56599,5.84323,55.1908
2940037,9.95437,6.95455,21.6699,16.6448,-3.63295,5.81429,55.2236
2940047,9.95437,6.95455,21.6699,16.6448,-3.63295,5.81429,55.2236
2940058,9.91128,6.95455,21.8544,16.4888,-3.76855,5.83528,55.209
2940067,9.92205,6.90743,21.9515,16.3242,-3.92066,5.83779,55.1051
2940077,9.92205,6.90743,21.9515,16.3242,-3.92066,5.83779,55.1051
2940094,9.95437,6.94512,21.9223,15.9949,-4.07571,5.75128,54.8167
2940097,10.0837,6.85089,22.0097,15.8389,-4.29125,5.72642,54.7832
2940107,10.0837,6.85089,22.0097,15.8389,-4.29125,5.72642,54.7832
2940112,10.1375,6.90743,21.9417,15.7956,-4.27885,5.66581,54.7823
2940133,10.1052,6.90743,21.5631,15.9602,-4.03432,5.64143,54.536
2940143,10.0513,6.92627,21.2816,16.2288,-3.75209,5.65247,54.488
2940154,10.0513,6.92627,21.2816,16.2288,-3.75209,5.65247,54.488
2940164,9.98669,6.99224,21.068,16.4888,-3.47187,5.65991,54.5357
2940193,9.97592,7.00166,21.0971,16.4368,-3.50135,5.65651,54.5115
2940199,10.0621,6.99224,21.3398,16.2722,-3.72144,5.64085,54.6663
2940215,10.116,6.898,21.8932,16.0556,-4.11898,5.71336,54.9627
2940225,10.1914,6.98282,22.301,15.8736,-4.35237,5.69128,55.3488
2940236,10.1914,6.98282,22.301,15.8736,-4.35237,5.69128,55.3488
2940246,10.4068,6.81319,22.5049,15.6397,-4.72272,5.6691,55.3645
2940253,10.6331,6.94512,22.5146,15.5357,-4.79379,5.52021,55.6284
2940268,10.6331,6.94512,22.5146,15.5357,-4.79379,5.52021,55.6284
2940278,10.8054,6.97339,22.3301,15.6916,-4.69104,5.44158,55.8006
2940289,10.8054,6.97339,22.3301,15.6916,-4.69104,5.44158,55.8006
2940293,10.8054,7.10532,22.1942,15.8649,-4.47981,5.39978,55.9699
2940303,10.8054,7.19956,21.9709,16.0296,-4.26173,5.3554,56.0054
2940313,10.8054,7.19956,21.9709,16.0296,-4.26173,5.3554,56.0054
2940323,10.8162,7.40687,21.4466,16.4281,-3.75586,5.25465,56.0978
2940333,10.8162,7.40687,21.4466,16.4281,-3.75586,5.25465,56.0978
2940343,10.6762,7.5388,20.7961,16.818,-3.18626,5.21211,55.8291
2940353,10.4499,7.70843,20.0291,17.1936,-2.51756,5.1636,55.3811
2940363,10.4499,7.70843,20.0291,17.1936,-2.51756,5.1636,55.3811
2940373,10.2991,7.90632,19.2718,17.5615,-1.86375,5.07676,55.0388
2940383,10.0513,8.02882,18.6214,17.7551,-1.32617,5.0397,54.4566
2940393,10.0513,8.02882,18.6214,17.7551,-1.32617,5.0397,54.4566
2940404,9.87896,8.06652,18.0583,18.0359,-0.84883,5.0376,54.0396
