ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2892080,0.0646388,0.0282705,0,0.00866463,0,0,0.101574
2892082,0.0646388,0.0471175,0.0460455,0.0259939,0,0,0.183796
2892088,0.0107731,0.018847,0.0092091,0.0346585,0,0,0.0734877
2892110,0.0430925,0,0,0.0519878,0,0,0.0950803
2892132,0.086185,0.037694,0,0.0346585,0,0,0.158538
2892143,0.0969582,0,0,0.0346585,0,0,0.131617
2892159,0.0754119,0.037694,0,0.0606524,0,0,0.173758
2892169,0.0107731,0,0,0,0,0,0.0107731
2892179,0.0107731,0,0,0,0,0,0.0107731
2892189,0.0646388,0,0.0552546,0.0433231,0,0,0.163217
2892199,0.0646388,0,0.0552546,0.0433231,0,0,0.163217
2892210,0.0323194,0,0,0.0433231,0,0,0.0756425
2892220,0.0430925,0.0094235,0,0.0346585,0,0,0.0871745
2892230,0.0430925,0.0094235,0,0.0346585,0,0,0.0871745
2892240,0.0538657,0.0282705,0,0.0779817,0,0,0.160118
2892250,0.0538657,0.0282705,0,0.0779817,0,0,0.160118
2892260,0.0323194,0,0.0184182,0.00866463,0,0,0.0594022
2892270,0.0646388,0,0,0.0433231,0,0,0.107962
2892280,0.0646388,0,0,0.0433231,0,0,0.107962
2892290,0.0107731,0,0.0092091,0.0519878,0,0,0.07197
2892300,0,0,0.0092091,0.0519878,0,0,0.0611969
2892311,0,0,0.0092091,0.0519878,0,0,0.0611969
2892321,0,0.0282705,0,0.0259939,0,0,0.0542644
2892333,0,0.0282705,0,0.0259939,0,0,0.0542644
2892343,0.086185,0.0094235,0,0.0259939,0,0,0.121602
2892352,0.0430925,0,0,0.0346585,0,0,0.077751
2892369,0.0754119,0.0094235,0,0.0519878,0,0,0.136823
2892379,0.0754119,0,0.0552546,0.0259939,0,0,0.15666
2892389,0.0754119,0,0.0552546,0.0259939,0,0,0.15666
2892419,0.0538657,0.037694,0,0,0,0,0.0915597
2892425,0.0538657,0.037694,0,0,0,0,0.0915597
2892435,0,0,0.0092091,0.0779817,0,0,0.0871908
2892445,0,0,0.0092091,0.0779817,0,0,0.0871908
2892455,0.107731,0,0.0184182,0.0519878,0,0,0.178137
2892465,0,0.056541,0,0.0173293,0,0,0.0738703
2892475,0,0.056541,0,0.0173293,0,0,0.0738703
2892485,0.0754119,0,0.0092091,0.0606524,0,0,0.145273
2892495,0.0754119,0,0.0092091,0.0606524,0,0,0.145273
2892505,0.0215463,0,0.0092091,0,0,0,0.0307554
2892515,0.0323194,0.018847,0.0644637,0.0519878,0,0,0.167618
2892525,0.0323194,0.018847,0.0644637,0.0519878,0,0,0.167618
2892535,0.0754119,0.0094235,0,0.0346585,0,0,0.119494
2892545,0.0430925,0.018847,0,0.00866463,0,0,0.0706042
2892555,0.0430925,0.018847,0,0.00866463,0,0,0.0706042
2892565,0.0538657,0,0,0.0866463,0,0,0.140512
2892575,0.0538657,0,0,0.0866463,0,0,0.140512
2892585,0.0538657,0,0,0.0779817,0,0,0.131847
2892596,0,0,0,0.00866463,0,0,0.00866463
2892611,0.086185,0.0282705,0,0.0346585,0,0,0.149114
2892621,0,0.018847,0.0460455,0.0606524,0,0,0.125545
2892632,0,0.018847,0.0460455,0.0606524,0,0,0.125545
2892641,0.0969582,0.0094235,0,0.0346585,0,0,0.14104
2892664,0.0215463,0,0,0.0433231,0,0,0.0648694
2892675,0.0107731,0,0,0.0779817,0,0,0.0887548
2892682,0.0107731,0,0,0.0779817,0,0,0.0887548
2892698,0.0538657,0,0.0092091,0,0,0,0.0630748
2892708,0.0430925,0,0.0184182,0.00866463,0,0,0.0701754
2892718,0.0430925,0,0.0184182,0.00866463,0,0,0.0701754
2892728,0.0215463,0.0282705,0,0.0259939,0,0,0.0758107
2892732,0.0215463,0.0282705,0,0.0259939,0,0,0.0758107
2892754,0.0323194,0,0,0.0519878,0,0,0.0843072
2892757,0.0430925,0,0.0092091,0.0519878,0,0,0.104289
