ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3399794,14.2278,9.0566,18.5631,12.7565,-5.02608,2.20732,54.604
3399804,14.4112,9.15094,18.8738,12.887,-5.08246,2.22294,55.3229
3399814,14.4004,9.10377,18.9223,12.7565,-5.19291,2.22207,55.183
3399824,14.4004,9.10377,18.9223,12.7565,-5.19291,2.22207,55.183
3399832,14.3357,8.93396,18.7379,12.5304,-5.32158,2.19994,54.5379
3399843,14.3357,8.93396,18.7379,12.5304,-5.32158,2.19994,54.5379
3399854,14.1415,8.84906,18.5243,12.4087,-5.28898,2.20936,53.9235
3399864,14.0336,8.87736,18.2718,12.4522,-5.11603,2.18505,53.635
3399874,14.0336,8.87736,18.2718,12.4522,-5.11603,2.18505,53.635
3399884,13.9797,8.9434,18.2233,12.4957,-5.01656,2.17997,53.642
3399894,13.9689,8.90566,18.3107,12.6435,-4.98361,2.25147,53.8287
3399928,13.9689,8.99057,18.5243,12.8522,-4.90028,2.32359,54.3359
3399934,13.9581,9.14151,18.932,13.2609,-4.74195,2.46686,55.2925
3399950,14.1631,9.19811,19.1942,13.3913,-4.81165,2.47315,55.9467
3399966,14.2278,9.33019,19.1359,13.3826,-4.74838,2.39687,56.0765
3399977,14.1307,9.27359,18.7864,13.3217,-4.64841,2.35186,55.5124
3399986,14.1307,9.27359,18.7864,13.3217,-4.64841,2.35186,55.5124
3399996,13.9473,9.28302,18.3981,13.2174,-4.48757,2.29327,54.8458
3400007,13.9473,9.28302,18.3981,13.2174,-4.48757,2.29327,54.8458
3400016,13.7208,9.20755,18.2233,12.9913,-4.49978,2.29566,54.143
3400026,13.7963,9.04717,18.2233,12.7913,-4.72591,2.27573,53.8581
3400036,13.7963,9.04717,18.2233,12.7913,-4.72591,2.27573,53.8581
3400046,13.9797,8.9717,18.0874,12.5565,-4.91594,2.15294,53.5953
3400057,14.0552,9.00943,17.9515,12.7043,-4.79002,2.11963,53.7204
3400067,14.0552,9.00943,17.9515,12.7043,-4.79002,2.11963,53.7204
3400077,14.1523,9.04717,17.9223,12.7304,-4.78022,2.07604,53.8522
3400088,14.1523,9.04717,17.9223,12.7304,-4.78022,2.07604,53.8522
3400098,14.1415,9.03774,18.2913,12.8261,-4.8663,2.19299,54.2966
3400108,14.1199,9,18.3786,12.8174,-4.91622,2.23031,54.316
3400118,14.1199,9,18.3786,12.8174,-4.91622,2.23031,54.316
3400128,14.0013,8.95283,18.2427,12.8087,-4.8525,2.24903,54.0055
3400138,13.915,8.9434,18.3592,12.8261,-4.85936,2.31117,54.0437
3400154,13.915,8.9434,18.3592,12.8261,-4.85936,2.31117,54.0437
3400159,14.1091,8.91509,18.5631,12.8261,-5.02223,2.30595,54.4134
3400169,14.1091,8.91509,18.5631,12.8261,-5.02223,2.30595,54.4134
3400180,14.1091,8.89623,18.8932,12.8348,-5.14829,2.39049,54.7333
3400189,14.2062,8.81132,19.1262,12.8348,-5.31404,2.44008,54.9785
3400205,14.2386,8.79245,19.068,12.913,-5.27205,2.44037,55.012
3400222,14.2386,8.79245,18.9612,12.913,-5.23368,2.41594,54.9052
3400225,14.1846,8.79245,18.9612,12.8261,-5.26222,2.41311,54.7644
3400240,14.1199,8.84906,18.9417,12.5913,-5.33068,2.357,54.502
3400251,14.1199,8.84906,18.9417,12.5913,-5.33068,2.357,54.502
3400263,14.1415,8.73585,19.0291,12.4783,-5.49626,2.38027,54.3847
3400265,14.0444,8.64151,19.0291,12.3652,-5.5782,2.41541,54.0803
3400295,14.0444,8.64151,19.0291,12.3652,-5.5782,2.41541,54.0803
3400304,14.0984,8.67924,19.1165,12.4087,-5.58301,2.41634,54.3028
3400308,14.1954,8.68868,19.2816,12.3826,-5.68565,2.41439,54.5483
3400318,14.368,8.77359,19.3495,12.4348,-5.69365,2.36028,54.9259
3400341,14.519,8.82076,19.4369,12.5043,-5.7121,2.33392,55.281
3400350,14.4651,8.84906,19.5243,12.4696,-5.72736,2.354,55.308
3400362,14.4651,8.84906,19.5243,12.4696,-5.72736,2.354,55.308
