ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3359772,17.0485,13.5567,14.491,10.5946,-3.31665,-1.48668,55.6909
3359783,17.2233,13.3874,14.694,10.3773,-3.66034,-1.49224,55.682
3359793,17.2233,13.3874,14.694,10.3773,-3.66034,-1.49224,55.682
3359803,17.5049,13.4626,14.9891,10.2122,-3.92531,-1.53987,56.1688
3359813,17.8641,13.3874,15.1644,10.0818,-4.22996,-1.59438,56.4977
3359823,17.8641,13.3874,15.1644,10.0818,-4.22996,-1.59438,56.4977
3359835,18.0388,13.4721,15.1367,9.91667,-4.32554,-1.71243,56.5643
3359845,18.0388,13.4721,15.1367,9.91667,-4.32554,-1.71243,56.5643
3359871,18.1748,13.6602,14.8508,9.95143,-4.15536,-1.86258,56.6372
3359886,18.1553,15.0902,13.9099,10.3078,-2.90068,-2.3566,57.4632
3359892,17.6602,16.1909,12.8215,11.0031,-1.42508,-2.60766,57.6757
3359901,17.6602,16.1909,12.8215,11.0031,-1.42508,-2.60766,57.6757
3359911,16.9676,17.8302,11.5301,11.82,0.495508,-2.95307,58.148
3359921,16.9676,17.8302,11.5301,11.82,0.495508,-2.95307,58.148
3359931,15.9314,19.6161,9.86978,12.4024,2.68822,-3.44401,57.8197
3359941,14.8197,21.4503,8.06186,12.9238,5.01811,-4.00423,57.2557
3359951,14.8197,21.4503,8.06186,12.9238,5.01811,-4.00423,57.2557
3359961,13.4813,22.9756,6.11557,13.4279,7.50293,-4.53034,56.0003
3359984,11.927,24.2788,4.37222,13.6452,9.97027,-5.03153,54.2232
3359995,9.78984,25.4179,3.11774,13.7234,12.6005,-5.29308,52.0489
3360011,7.8146,26.3737,2.21378,13.819,15.0158,-5.42266,50.2211
3360021,6.30349,27.5417,1.93706,14.1493,16.7482,-5.33497,49.9316
3360047,6.07683,28.9222,1.77103,14.2362,17.307,-5.58514,51.0062
3360051,6.07683,28.9222,1.77103,14.2362,17.307,-5.58514,51.0062
3360066,6.02286,29.7428,1.66034,14.0189,17.5326,-5.85667,51.4449
3360076,6.03365,29.7524,1.63266,13.5235,17.4755,-6.07449,50.9422
3360088,6.03365,29.7524,1.63266,13.5235,17.4755,-6.07449,50.9422
3360091,6.08762,29.1732,1.5681,12.8456,17.2941,-6.29511,49.6745
3360101,6.03365,28.2947,1.52198,11.9765,17.1011,-6.53292,47.8268
3360111,6.03365,28.2947,1.52198,11.9765,17.1011,-6.53292,47.8268
3360123,6.19556,27.4742,1.42973,10.9075,16.7129,-6.95521,46.0069
3360147,6.37905,26.7115,1.32827,9.79499,16.284,-7.45264,44.2138
3360157,6.68127,26.335,1.31905,9.01278,15.772,-7.84964,43.3481
3360167,6.68127,26.335,1.31905,9.01278,15.772,-7.84964,43.3481
3360172,6.78921,25.4373,1.29137,8.36094,15.3524,-8.08553,41.8788
3360196,6.6381,24.6263,1.32827,8.51738,15.3109,-7.81516,41.1101
3360206,6.60571,24.5684,1.41129,8.65644,15.2805,-7.67657,41.2419
3360239,6.60571,24.5684,1.41129,8.65644,15.2805,-7.67657,41.2419
3360245,6.67048,24.7325,1.35594,8.57822,15.2915,-7.79039,41.3372
3360255,17.6214,24.2595,21.8058,10.638,-1.5236,-1.90455,74.3247
3360266,17.5922,25.8137,18.8252,10.8814,0.0949413,-2.8106,73.1126
3360275,17.5922,25.8137,18.8252,10.8814,0.0949413,-2.8106,73.1126
3360285,14.7549,23.2845,19.0194,8.76943,-0.653371,-2.33575,65.8283
3360296,14.7549,23.2845,19.0194,8.76943,-0.653371,-2.33575,65.8283
3360306,15.0895,22.1647,18.8932,7.73517,-1.5978,-2.49501,63.8826
3360317,18.8835,21.711,19.1165,7.4136,-3.30559,-3.14289,67.1246
3360327,18.8835,21.711,19.1165,7.4136,-3.30559,-3.14289,67.1246
3360337,21.4757,20.6298,17.9223,7.18763,-4.3073,-3.79277,67.2154
3360347,21.4757,20.6298,17.9223,7.18763,-4.3073,-3.79277,67.2154
3360357,20.7573,19.4231,16.3174,6.6227,-4.36821,-4.09698,63.1205
3360367,20.3398,18.7087,14.6571,5.57975,-4.51564,-4.75961,59.2853
3360378,20.3398,18.7087,14.6571,5.57975,-4.51564,-4.75961,59.2853
3360387,20.8544,18.3805,13.255,5.19734,-4.56409,-5.40392,57.6872
3360397,20.9806,18.5156,12.7385,5.56237,-4.17023,-5.50081,57.797
3360407,20.9806,18.5156,12.7385,5.56237,-4.17023,-5.50081,57.797
3360418,19.6505,19.2396,11.8622,6.38804,-2.5748,-5.41821,57.1403
3360436,18.2816,20.7842,10.4601,7.33538,-0.273506,-5.6111,56.8613
3360446,17.3883,22.8404,8.32935,8.2045,2.34627,-6.26158,56.7626
3360456,17.3883,22.8404,8.32935,8.2045,2.34627,-6.26158,56.7626
3360466,15.8667,24.7132,5.86652,8.58691,5.25452,-7.12108,55.0333
3360476,13.4057,26.3833,3.67119,8.92587,8.70092,-7.78603,52.3861
3360486,13.4057,26.3833,3.67119,8.92587,8.70092,-7.78603,52.3861
3360496,11.3765,27.9568,2.47206,9.46472,11.4945,-8.01536,51.2701
3360507,11.3765,27.9568,2.47206,9.46472,11.4945,-8.01536,51.2701
3360526,9.77905,29.3856,1.92784,10.1861,13.585,-7.91287,51.2785
3360528,8.73206,30.4571,1.70646,10.8379,14.9113,-7.72558,51.7336
3360539,8.73206,30.4571,1.70646,10.8379,14.9113,-7.72558,51.7336
3360549,8.27873,31.1039,1.59577,11.1247,15.5241,-7.67577,52.1032
3360558,8.18159,31.0556,1.57732,10.7249,15.5326,-7.83912,51.5395
3360568,8.18159,31.0556,1.57732,10.7249,15.5326,-7.83912,51.5395
3360578,8.09524,30.3509,1.4943,10.021,15.4031,-8.08551,49.9614
3360606,8.09524,30.3509,1.4943,10.021,15.4031,-8.08551,49.9614
3360613,7.91175,29.1732,1.46663,9.45603,15.2324,-8.17442,48.0076
3360623,7.68508,28.1885,1.40206,8.95194,15.1713,-8.28064,46.2276
3360628,7.42603,26.8563,1.24525,8.15235,15.0741,-8.5456,43.68
3360642,7.41524,25.9585,1.20836,7.59611,14.7772,-8.73767,42.1783
3360658,7.41524,25.9585,1.20836,7.59611,14.7772,-8.73767,42.1783
3360661,7.51238,25.8234,1.24525,7.94376,14.7029,-8.51742,42.5248
