ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
850127,0.0215736,0,0,0,0,0,0.0215736
850129,0.0323604,0.0377568,0.0353982,0,0,0,0.105515
850133,0.0323604,0.0377568,0,0,0,0,0.0701172
850224,0.0323604,0.0377568,0,0,0,0,0.0701172
850227,0,0.0188784,0.0265487,0,0,0,0.0454271
850236,0,0,0.0619469,0,0,0,0.0619469
850248,0.0323604,0,0,0,0,0,0.0323604
850264,0.0215736,0,0,0,0,0,0.0215736
850327,0.0215736,0,0,0,0,0,0.0215736
850328,0.0215736,0,0,0,0,0,0.0215736
850338,0.0107868,0,0,0,0,0,0.0107868
850348,0,0,0,0.270395,0,0,0.270395
850358,0.819797,2.42587,0.0973451,0.915854,14.2326,-7.8629,4.25887
850368,0.819797,2.42587,0.0973451,0.915854,14.2326,-7.8629,4.25887
850429,0,0.302054,0.176991,0.0697794,8.87544,-1.51097,0.548825
850431,0,0.302054,0.176991,0.0697794,8.87544,-1.51097,0.548825
850441,0,0,0,0,0,0,0
850451,0,0,0,0,0,0,0
850461,0.0970812,0,0,0,0,0,0.0970812
850471,0.0970812,0,0,0,0,0,0.0970812
850558,0.0323604,0,0,0,0,0,0.0323604
850575,0.0323604,0.0377568,0,0,0,0,0.0701172
850641,0,0.0094392,0,0,0,0,0.0094392
850642,0.0107868,0,0,0,0,0,0.0107868
850650,3.0203,5.92782,0,0.0523345,8.22138,-14.8256,9.00046
850673,0.345178,0.141588,0,0,0,0,0.486766
850736,0.291244,0,0,0,0,0,0.291244
850739,0.291244,0,0,0,0,0,0.291244
850755,0.0647208,0,0,0,0,0,0.0647208
850765,0.0431472,0,0,0,0,0,0.0431472
850841,0.107868,0,0.00884956,0,0,0,0.116718
850844,0.0647208,0,0,0,0,0,0.0647208
850854,0,0.0188784,0,0,0,0,0.0188784
850864,0.053934,0,0,0,0,0,0.053934
850876,0,0,0,0,0,0,0
850946,0,0,0,0,0,0,0
850949,0.0862944,0,0,0,0,0,0.0862944
850953,0.26967,0.188784,0.106195,0.200616,0.442165,-2.97238,0.765264
850974,0.194162,0.245419,0,0.00872242,0,0,0.448304
851044,0.194162,0.245419,0,0.00872242,0,0,0.448304
851047,0.0647208,0.0283176,0.0353982,0,0,0,0.128437
851059,0.0107868,0,0.0176991,0,0,0,0.0284859
851070,0.0107868,0,0.0176991,0,0,0,0.0284859
