ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1010763,0,0,0.0725333,0.0273019,0,0,0.0998353
1010773,0,0,0.0362667,0.0273019,0,0,0.0635686
1010783,0,0,0,0.0364026,0,0,0.0364026
1010800,0,0,0,0.0728051,0,0,0.0728051
1010810,0,0,0,0.0728051,0,0,0.0728051
1010820,0,0.0256927,0.0906667,0.0364026,0,0,0.152762
1010830,0.00884035,0,0.0362667,0.0364026,0,0,0.0815096
1010853,0,0,0,0.0273019,0,0,0.0273019
1010862,0,0,0.0272,0.0182013,0,0,0.0454013
1010872,0,0,0.0272,0.0182013,0,0,0.0454013
1010882,0,0,0,0.00910064,0,0,0.00910064
1010892,0,0,0,0.00910064,0,0,0.00910064
1010905,0,0,0,0.0182013,0,0,0.0182013
1010915,0,0,0.0272,0,0,0,0.0272
1010925,0,0,0.0272,0,0,0,0.0272
1010954,0,0,0,0.0455032,0,0,0.0455032
1010960,0,0,0,0.00910064,0,0,0.00910064
1010961,0,0,0.0816,0.0364026,0,0,0.118003
1010977,0,0,0,0.0455032,0,0,0.0455032
1010987,0,0,0,0.0455032,0,0,0.0455032
1010991,0.0176807,0,0.0544,0.109208,0,0,0.181288
1011014,0,0,0.0181333,0.0182013,0,0,0.0363346
1011024,0,0,0.0362667,0,0,0,0.0362667
1011046,0,0,0.0453333,0,0,0,0.0453333
1011057,0,0,0.0181333,0.0455032,0,0,0.0636365
1011066,0,0,0.0181333,0.0455032,0,0,0.0636365
1011076,0,0,0.0181333,0.0182013,0,0,0.0363346
1011086,0,0,0.0181333,0.0182013,0,0,0.0363346
1011096,0,0,0.0272,0.0637045,0,0,0.0909045
1011106,0.0442018,0,0.00906667,0,0,0,0.0532684
1011116,0.0442018,0,0.00906667,0,0,0,0.0532684
1011127,0,0.00856423,0.0453333,0.0273019,0,0,0.0811995
1011142,0,0,0.0181333,0.0364026,0,0,0.0545359
1011152,0,0,0,0.0364026,0,0,0.0364026
1011162,0,0,0,0.0364026,0,0,0.0364026
1011172,0,0,0.00906667,0.0546039,0,0,0.0636705
1011183,0,0,0.0362667,0.0182013,0,0,0.054468
1011192,0,0,0.0362667,0.0182013,0,0,0.054468
1011203,0,0,0,0.0364026,0,0,0.0364026
1011212,0,0,0,0.0364026,0,0,0.0364026
1011222,0,0,0.0362667,0.0364026,0,0,0.0726692
1011233,0,0,0.0181333,0.0455032,0,0,0.0636365
1011255,0,0,0.0181333,0.0182013,0,0,0.0363346
1011265,0,0,0,0.0364026,0,0,0.0364026
1011329,0,0,0.0181333,0.0455032,0,0,0.0636365
1011334,0,0,0.00906667,0.0364026,0,0,0.0454692
1011344,0,0,0.00906667,0,0,0,0.00906667
1011367,0,0,0.00906667,0,0,0,0.00906667
1011370,0,0,0.0816,0.0728051,0,0,0.154405
1011386,0,0.00856423,0,0.0364026,0,0,0.0449668
1011396,0,0,0.0272,0,0,0,0.0272
1011421,0,0,0,0,0,0,0
1011430,0,0,0,0.00910064,0,0,0.00910064
1011434,0,0,0,0.00910064,0,0,0.00910064
1011452,0,0,0.00906667,0.0910064,0,0,0.100073
1011466,0,0,0.0272,0.0546039,0,0,0.0818039
1011476,0,0,0.0272,0.100107,0,0,0.127307
1011486,0,0,0.0272,0.100107,0,0,0.127307
1011505,0,0,0.0544,0,0,0,0.0544
1011508,0.00884035,0,0.0453333,0.0182013,0,0,0.072375
1011529,0,0,0,0.0273019,0,0,0.0273019
1011547,0.0265211,0.00856423,0.0272,0,0,0,0.0622853
1011564,0,0,0,0.0637045,0,0,0.0637045
1011580,0,0,0,0.0455032,0,0,0.0455032
1011590,0,0,0,0.0819058,0,0,0.0819058
1011606,0,0,0,0.0182013,0,0,0.0182013
1011631,0,0,0,0.0546039,0,0,0.0546039
1011641,0.00884035,0,0,0.0273019,0,0,0.0361423
1011651,0.00884035,0,0,0.0273019,0,0,0.0361423
1011661,0,0,0.0272,0.0364026,0,0,0.0636026
1011689,0,0,0,0,0,0,0
1011696,0,0,0.0362667,0.0546039,0,0,0.0908705
1011711,0,0,0.00906667,0.0182013,0,0,0.027268
1011721,0,0,0.00906667,0.0182013,0,0,0.027268
1011743,0,0,0.00906667,0,0,0,0.00906667
1011750,0,0,0.00906667,0.0273019,0,0,0.0363686
1011773,0,0,0.0362667,0.0273019,0,0,0.0635686
1011782,0,0,0.0362667,0.0273019,0,0,0.0635686
1011792,0,0,0.0181333,0.0182013,0,0,0.0363346
1011802,0.0265211,0,0.00906667,0,0,0,0.0355877
1011819,0,0.0171285,0,0,0,0,0.0171285
1011828,0,0,0.00906667,0.0546039,0,0,0.0636705
1011839,0,0,0.00906667,0.0546039,0,0,0.0636705
1011849,0,0,0,0.0455032,0,0,0.0455032
1011859,0,0,0,0.0455032,0,0,0.0455032
1011869,0,0,0,0.0455032,0,0,0.0455032
1011879,0,0,0.00906667,0.0273019,0,0,0.0363686
1011889,0,0,0.00906667,0.0273019,0,0,0.0363686
1011899,0,0,0,0.0273019,0,0,0.0273019
1011909,0,0.00856423,0.0362667,0,0,0,0.0448309
1011931,0,0,0.0272,0.0455032,0,0,0.0727032
1011954,0,0,0.0181333,0.0637045,0,0,0.0818378
1011964,0,0,0.0181333,0.0182013,0,0,0.0363346
1011974,0,0,0.0181333,0.0182013,0,0,0.0363346
1011984,0,0,0.0453333,0.0637045,0,0,0.109038
1011994,0,0,0.0453333,0.0637045,0,0,0.109038
1012004,0,0,0.0453333,0.0273019,0,0,0.0726353
1012014,0,0,0,0.0910064,0,0,0.0910064
1012024,0,0,0,0.0910064,0,0,0.0910064
1012056,0.0176807,0,0.0181333,0.0273019,0,0,0.063116
1012065,0,0,0,0.0364026,0,0,0.0364026
1012073,0,0,0,0.0637045,0,0,0.0637045
1012095,0,0,0.0272,0.0364026,0,0,0.0636026
1012105,0,0,0.0272,0.0364026,0,0,0.0636026
1012115,0,0,0,0.00910064,0,0,0.00910064
1012125,0,0,0,0,0,0,0
1012135,0,0,0,0,0,0,0
1012145,0,0,0,0.0182013,0,0,0.0182013
1012155,0,0,0,0.0182013,0,0,0.0182013
1012165,0,0,0.0362667,0.0728051,0,0,0.109072
1012175,0,0,0.00906667,0,0,0,0.00906667
1012185,0,0,0.00906667,0,0,0,0.00906667
1012195,0,0.0342569,0.00906667,0.0637045,0,0,0.107028
1012205,0,0,0,0,0,0,0
1012215,0,0,0,0,0,0,0
1012225,0,0,0.0272,0,0,0,0.0272
1012241,0,0,0.0362667,0.0182013,0,0,0.054468
1012255,0,0,0.00906667,0.0728051,0,0,0.0818718
1012275,0,0,0.0362667,0.0364026,0,0,0.0726692
1012285,0,0,0.0544,0,0,0,0.0544
1012295,0,0,0.0544,0,0,0,0.0544
1012305,0,0,0,0.0182013,0,0,0.0182013
1012315,0,0,0,0.0182013,0,0,0.0182013
1012325,0,0,0,0,0,0,0
1012335,0,0,0.0453333,0.0637045,0,0,0.109038
1012345,0,0,0.0453333,0.0637045,0,0,0.109038
1012355,0,0,0.0181333,0,0,0,0.0181333
1012371,0,0,0,0.0728051,0,0,0.0728051
1012381,0,0,0,0.0910064,0,0,0.0910064
1012391,0,0,0,0.0910064,0,0,0.0910064
1012424,0,0,0,0.0364026,0,0,0.0364026
1012430,0,0,0.0272,0.00910064,0,0,0.0363006
1012431,0,0,0.0544,0.0637045,0,0,0.118105
1012442,0,0,0.0362667,0.109208,0,0,0.145474
1012456,0,0,0.0362667,0.109208,0,0,0.145474
1012466,0,0,0,0.0455032,0,0,0.0455032
1012477,0,0,0,0.0455032,0,0,0.0455032
1012481,0,0,0.0544,0.00910064,0,0,0.0635006
1012498,0,0,0.0272,0.0546039,0,0,0.0818039
1012506,0,0,0.0272,0.0546039,0,0,0.0818039
1012516,0,0,0.0362667,0.0455032,0,0,0.0817699
1012526,0,0,0.0362667,0.0455032,0,0,0.0817699
1012536,0,0,0.0544,0.00910064,0,0,0.0635006
1012543,0,0,0,0,0,0,0
1012555,0,0,0,0,0,0,0
1012569,0,0,0,0,0,0,0
1012575,0,0,0,0.0273019,0,0,0.0273019
1012585,0,0,0,0.0273019,0,0,0.0273019
1012595,0,0,0.00906667,0.0819058,0,0,0.0909724
1012617,0,0,0.0181333,0.0364026,0,0,0.0545359
1012627,0,0,0,0.0182013,0,0,0.0182013
1012637,0,0,0,0.0182013,0,0,0.0182013
1012647,0,0,0,0.0455032,0,0,0.0455032
1012657,0,0,0,0.0455032,0,0,0.0455032
1012669,0,0,0,0.0455032,0,0,0.0455032
1012678,0,0,0,0.00910064,0,0,0.00910064
1012682,0,0,0,0.00910064,0,0,0.00910064
1012700,0,0,0.00906667,0.0273019,0,0,0.0363686
1012707,0,0.00856423,0.0453333,0.0910064,0,0,0.144904
1012717,0,0.00856423,0.0453333,0.0910064,0,0,0.144904
1012727,0,0.0428212,0.00906667,0.0546039,0,0,0.106492
1012737,0,0,0,0.0637045,0,0,0.0637045
1012754,0,0,0.0362667,0.0637045,0,0,0.0999712
1012764,0,0,0.0362667,0.0637045,0,0,0.0999712
1013050,0.00884035,0,0.00906667,0.0182013,0,0,0.0361083
1013052,0,0,0.0272,0,0,0,0.0272
1013058,0,0,0,0.00910064,0,0,0.00910064
1013066,0,0,0,0.0455032,0,0,0.0455032
1013069,0,0,0,0.0455032,0,0,0.0455032
1013073,0,0,0.0362667,0.0637045,0,0,0.0999712
1013075,0,0,0.0362667,0.0637045,0,0,0.0999712
1013078,0,0,0,0,0,0,0
1013084,0,0,0,0.0364026,0,0,0.0364026
1013086,0,0,0.0181333,0.0637045,0,0,0.0818378
1013090,0,0,0.00906667,0,0,0,0.00906667
1013092,0,0,0.00906667,0,0,0,0.00906667
1013096,0,0,0,0.0364026,0,0,0.0364026
1013098,0,0,0.00906667,0.100107,0,0,0.109174
1013115,0,0,0.0544,0,0,0,0.0544
1013123,0,0,0.0544,0,0,0,0.0544
1013126,0,0,0.0272,0.0546039,0,0,0.0818039
1013128,0,0,0,0.0364026,0,0,0.0364026
1013129,0,0,0,0.0364026,0,0,0.0364026
1013130,0,0,0.0181333,0.0546039,0,0,0.0727372
1013132,0,0,0,0.0273019,0,0,0.0273019
1013134,0,0,0.0272,0.0182013,0,0,0.0454013
1013136,0,0,0.00906667,0,0,0,0.00906667
1013137,0,0,0.0362667,0.00910064,0,0,0.0453673
1013138,0.0265211,0,0,0.0182013,0,0,0.0447223
1013139,0,0,0.0362667,0.0364026,0,0,0.0726692
1013140,0,0,0,0.0364026,0,0,0.0364026
1013141,0,0,0,0.0364026,0,0,0.0364026
1013142,0,0,0,0.118308,0,0,0.118308
1013159,0,0,0,0.118308,0,0,0.118308
1013165,0,1.01058,2.53867,8.18148,14.1794,12.4156,11.7307
1013166,0,0.334005,0.0816,0.00910064,0,0,0.424706
1013177,0.159126,0.102771,0,0.118308,0,0,0.380206
1013187,0.221009,1.01058,0.3536,1.16488,14.5528,1.56484,2.75007
1013197,0.221009,1.01058,0.3536,1.16488,14.5528,1.56484,2.75007
1013207,0.0176807,0.44534,0.136,0.618844,18.6906,3.59428,1.21786
1013218,0.0176807,0.44534,0.136,0.618844,18.6906,3.59428,1.21786
1013229,0,0.676574,0.199467,0.828158,19.1478,3.08987,1.7042
1013239,0.0353614,0.60806,0.136,0.728051,19.3163,2.19536,1.50747
1013249,0.0353614,0.60806,0.136,0.728051,19.3163,2.19536,1.50747
1013258,0.0442018,0.676574,0.172267,0.737152,18.3607,1.73577,1.63019
1013269,0.00884035,0.573804,0.126933,0.509636,19.4319,0.663444,1.21921
1013279,0.00884035,0.573804,0.126933,0.509636,19.4319,0.663444,1.21921
1013289,0,0.428212,0.0725333,0.382227,20.8927,0.451012,0.882972
1013311,0,0.359698,0.126933,0.273019,16.6453,0.794871,0.75965
1013321,0,0.291184,0.0906667,0.200214,17.2116,-0.00781059,0.582065
1013337,0,0.16272,0.0272,0.100107,0,0,0.290027
1013347,0,0.0770781,0.0362667,0.0910064,0,0,0.204351
1013370,0,0.00856423,0.0816,0.0455032,0,0,0.135667
1013380,0,0.00856423,0.0816,0.0455032,0,0,0.135667
1013391,0,0,0.0272,0,0,0,0.0272
1013401,0,0,0,0,0,0,0
1013411,0,0,0,0,0,0,0
1013421,0,0.0256927,0.0272,0,0,0,0.0528927
1013431,0,0.0342569,0.0181333,0.00910064,0,0,0.0614909
1013441,0,0.0342569,0.0181333,0.00910064,0,0,0.0614909
1013451,0,0,0.0634667,0,0,0,0.0634667
1013467,0,0.0513854,0,0.0455032,0,0,0.0968886
1013477,0,0,0.0272,0.00910064,0,0,0.0363006
1013500,0,0.0342569,0,0,0,0,0.0342569
1013532,0,0.0342569,0.117867,0.0455032,0,0,0.197627
1013549,0,0,0.0544,0.0637045,0,0,0.118105
1013559,0,0,0,0.0637045,0,0,0.0637045
1013569,0,0,0,0.0637045,0,0,0.0637045
1013579,0,0,0.0544,0,0,0,0.0544
1013589,0,0,0.0362667,0,0,0,0.0362667
1013599,0,0,0.0362667,0,0,0,0.0362667
1013609,0,0,0.0453333,0.0182013,0,0,0.0635346
1013619,0,0,0.0453333,0.0182013,0,0,0.0635346
1013629,0,0,0.0634667,0.0182013,0,0,0.081668
1013639,0.00884035,0.00856423,0.0544,0.0364026,0,0,0.108207
1013649,0.00884035,0.00856423,0.0544,0.0364026,0,0,0.108207
1013659,0,0,0.0181333,0,0,0,0.0181333
1013669,0,0,0.0181333,0,0,0,0.0181333
1013679,0,0,0.0634667,0.0182013,0,0,0.081668
1013689,0,0.00856423,0,0.0182013,0,0,0.0267655
1013699,0,0.00856423,0,0.0182013,0,0,0.0267655
1013709,0,0,0.0725333,0,0,0,0.0725333
1013719,0,0.00856423,0.0272,0.0273019,0,0,0.0630662
1013741,0,0.0171285,1.92213,7.48983,14.8074,14.9455,9.42909
1013764,0,1.48161,0.0725333,0.409529,23.1531,-7.6353,1.96367
1013774,0,0.402519,0.199467,0.737152,17.5524,5.98258,1.33914
1013784,0,0.402519,0.199467,0.737152,17.5524,5.98258,1.33914
1013794,0.203328,1.04484,0.2176,0.873662,16.0036,-1.00603,2.33943
1013804,0.106084,0.676574,0.272,0.764454,14.608,2.09274,1.81911
1013814,0.106084,0.676574,0.272,0.764454,14.608,2.09274,1.81911
1013824,0.106084,0.685139,0.2448,0.700749,14.8984,1.33288,1.73677
1013834,0.106084,0.685139,0.2448,0.700749,14.8984,1.33288,1.73677
1013844,0.167967,0.805038,0.308267,0.84636,13.8084,1.28045,2.12763
1013854,0.0618825,0.847859,0.199467,0.664347,17.6321,-0.38844,1.77356
1013864,0.0618825,0.847859,0.199467,0.664347,17.6321,-0.38844,1.77356
1013894,0.0618825,0.83073,0.136,0.591542,18.8931,-1.52829,1.62015
1013900,0.0442018,0.762217,0.0997333,0.436831,19.6412,-3.01405,1.34298
1013924,0.0442018,0.539547,0.0816,0.273019,18.2968,-3.66268,0.938368
1013934,0.00884035,0.436776,0.0272,0.191113,22.2858,-5.1354,0.66393
1013956,0,0.376826,0.0725333,0.118308,18.6113,-4.91444,0.567668
1013966,0,0.188413,0.0272,0.0546039,0,0,0.270217
1013970,0,0.188413,0.0272,0.0546039,0,0,0.270217
1013985,0,0.0428212,0.0181333,0.0273019,0,0,0.0882564
1014001,0,0.00856423,0,0.00910064,0,0,0.0176649
1014011,0,0.0256927,0.0362667,0.0364026,0,0,0.0983619
1014021,0,0.0256927,0.0362667,0.0364026,0,0,0.0983619
1014031,0,0,0,0,0,0,0
1014041,0,0,0.0544,0,0,0,0.0544
1014064,0,0,0.1088,0,0,0,0.1088
1014086,0,0.0256927,0.0453333,0.00910064,0,0,0.0801267
1014096,0,0.0171285,0.0453333,0,0,0,0.0624618
1014112,0,0.0256927,0.0725333,0,0,0,0.098226
1014124,0,0,0.0544,0,0,0,0.0544
1014134,0,0,0.0544,0,0,0,0.0544
1014144,0,0,0.00906667,0.00910064,0,0,0.0181673
1014154,0,0,0.00906667,0.00910064,0,0,0.0181673
1014164,0,0,0.0906667,0,0,0,0.0906667
1014174,0,0,0,0,0,0,0
1014184,0,0,0,0,0,0,0
1014194,0,0.0171285,0.0544,0,0,0,0.0715285
1014217,0,0,0,0.00910064,0,0,0.00910064
1014221,0,0.0428212,0.0453333,0.0273019,0,0,0.115456
1014261,0,0,0,0,0,0,0
1014267,0,0.0685139,0.0362667,0.00910064,0,0,0.113881
1014277,0,0.00856423,0.0453333,0,0,0,0.0538976
1014294,0,0,0.0544,0,0,0,0.0544
1014304,0,0.0171285,0.00906667,0,0,0,0.0261951
1014326,0,0,0.0453333,0.00910064,0,0,0.054434
1014336,0,0,0.0362667,0,0,0,0.0362667
