ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
972886,0,0,0,0.0090715,0,0,0.0090715
972896,0.0440415,0,0,0.0090715,0,0,0.053113
972912,0,0,0,0,0,0,0
972922,0,0,0.0364221,0,0,0,0.0364221
972932,0,0,0.0364221,0,0,0,0.0364221
972942,0,0,0,0.018143,0,0,0.018143
972952,0,0,0,0.018143,0,0,0.018143
972962,0,0,0,0,0,0,0
972972,0,0,0.0546331,0.0453575,0,0,0.0999906
972982,0,0,0.0546331,0.0453575,0,0,0.0999906
972992,0,0,0,0.072572,0,0,0.072572
973002,0,0,0.018211,0.018143,0,0,0.036354
973024,0.0176166,0.00858586,0,0.0090715,0,0,0.0352739
973034,0.0176166,0.00858586,0,0.0090715,0,0,0.0352739
973044,0,0,0.018211,0.036286,0,0,0.0544971
973054,0.00880829,0,0,0.0272145,0,0,0.0360228
973064,0.00880829,0,0,0.0272145,0,0,0.0360228
973074,0,0.0171717,0,0.018143,0,0,0.0353147
973102,0.0264249,0.0171717,0.018211,0,0,0,0.0618076
973108,0.0264249,0,0.018211,0,0,0,0.0446359
973118,0,0,0,0,0,0,0
973128,0,0,0,0.0272145,0,0,0.0272145
973138,0,0,0,0.0090715,0,0,0.0090715
973154,0,0,0,0.0635005,0,0,0.0635005
973165,0,0.00858586,0,0.0272145,0,0,0.0358004
973174,0,0.00858586,0,0.0272145,0,0,0.0358004
973184,0.0176166,0,0,0.0453575,0,0,0.0629741
973194,0.0176166,0,0,0.0453575,0,0,0.0629741
973204,0,0,0.0364221,0,0,0,0.0364221
973214,0,0,0.0273165,0.036286,0,0,0.0636026
973224,0,0,0.0273165,0.036286,0,0,0.0636026
973234,0,0,0,0.054429,0,0,0.054429
973244,0,0,0,0.054429,0,0,0.054429
973254,0.0176166,0,0,0.054429,0,0,0.0720456
973264,0,0,0,0,0,0,0
973287,0,0,0,0,0,0,0
973299,0,0,0,0.018143,0,0,0.018143
973316,0,0,0,0,0,0,0
973338,0,0,0,0.054429,0,0,0.054429
973348,0,0,0,0,0,0,0
973364,0,0,0,0.036286,0,0,0.036286
973376,0,0.00858586,0,0.0453575,0,0,0.0539434
973385,0,0.00858586,0,0.0453575,0,0,0.0539434
973394,0,0,0,0.0272145,0,0,0.0272145
973405,0,0,0,0.0272145,0,0,0.0272145
