ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2491878,0,0,0.072456,0,0,0,0.072456
2491888,0.035343,0,0.027171,0,0,0,0.0625141
2491898,0.035343,0,0.027171,0,0,0,0.0625141
2491928,0,0,0.018114,0,0,0,0.018114
2491934,0,0,0.036228,0,0,0,0.036228
2491936,0.0176715,0.0426921,0.00905701,0.0182796,0,0,0.0877002
2491946,0.0176715,0.0426921,0.00905701,0.0182796,0,0,0.0877002
2491956,0,0,0.027171,0,0,0,0.027171
2491965,0.0706861,0,0.027171,0,0,0,0.0978571
2491988,0.00883576,0,0.027171,0,0,0,0.0360068
2492007,0.00883576,0.0256153,0.036228,0,0,0,0.0706791
2492016,0.0618503,0.0170768,0.027171,0.0274194,0,0,0.133518
2492027,0.0618503,0.0170768,0.027171,0.0274194,0,0,0.133518
2492037,0.0176715,0,0.027171,0,0,0,0.0448425
2492047,0,0,0.027171,0,0,0,0.027171
2492069,0.0176715,0.0256153,0.063399,0,0,0,0.106686
2492091,0.0441788,0.00853842,0.036228,0.00913978,0,0,0.098085
2492101,0.035343,0,0.0815131,0,0,0,0.116856
2492120,0.00883576,0.0256153,0.018114,0,0,0,0.052565
2492131,0,0.00853842,0.054342,0,0,0,0.0628805
2492146,0.0265073,0,0.036228,0.00913978,0,0,0.0718751
2492171,0.0265073,0,0.027171,0,0,0,0.0536783
2492179,0.00883576,0.00853842,0.063399,0,0,0,0.0807732
2492202,0,0.00853842,0.045285,0,0,0,0.0538234
2492211,0,0.0683074,0.036228,0,0,0,0.104535
2492221,0,0.0683074,0.036228,0,0,0,0.104535
2492232,0.0176715,0.0426921,0.036228,0,0,0,0.0965917
2492248,0.00883576,0.0512305,0,0,0,0,0.0600663
2492258,0.035343,0.0170768,0.036228,0,0,0,0.0886479
2492268,0.035343,0.0170768,0.036228,0,0,0,0.0886479
2492295,0.0265073,0,0.054342,0,0,0,0.0808493
2492302,0,0,0.00905701,0,0,0,0.00905701
2492312,0.035343,0.00853842,0.027171,0,0,0,0.0710525
2492328,0.0176715,0,0.0815131,0.0274194,0,0,0.126604
2492338,0.0265073,0,0.045285,0,0,0,0.0717923
2492354,0.0265073,0,0.045285,0,0,0,0.0717923
2492358,0.0176715,0,0,0.00913978,0,0,0.0268113
2492373,0.0176715,0.0256153,0.027171,0,0,0,0.0704578
2492383,0.0176715,0.0256153,0.027171,0,0,0,0.0704578
2492393,0,0,0.00905701,0,0,0,0.00905701
2492403,0,0,0.00905701,0,0,0,0.00905701
2492413,0,0.0170768,0.054342,0,0,0,0.0714189
2492423,0.00883576,0.00853842,0.045285,0,0,0,0.0626592
2492433,0.00883576,0.00853842,0.045285,0,0,0,0.0626592
2492443,0.0530146,0.0341537,0,0,0,0,0.0871682
2492453,0,0,0,0,0,0,0
2492469,0,0,0.063399,0,0,0,0.063399
2492479,0,0,0.063399,0,0,0,0.063399
2492489,0,0,0.00905701,0,0,0,0.00905701
2492499,0.00883576,0.0256153,0.045285,0,0,0,0.0797361
2492522,0.035343,0,0.00905701,0,0,0,0.0444
2492532,0,0,0.027171,0,0,0,0.027171
2492554,0,0.0170768,0.045285,0,0,0,0.0623619
2492564,0,0.0170768,0.045285,0,0,0,0.0623619
2492574,0,0,0.054342,0.0182796,0,0,0.0726216
2492584,0.0176715,0,0.045285,0,0,0,0.0629565
2492594,0.0176715,0,0.045285,0,0,0,0.0629565
2492604,0,0,0,0,0,0,0
2492614,0,0,0.072456,0,0,0,0.072456
2492630,0,0,0.045285,0,0,0,0.045285
2492663,0.00883576,0.00853842,0.00905701,0,0,0,0.0264312
2492669,0,0,0.036228,0,0,0,0.036228
2492672,0,0,0.036228,0,0,0,0.036228
