ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2444339,0,0,0,0.0364611,0,0,0.0364611
2444362,0.00885417,0,0,0,0,0,0.00885417
2444371,0,0.0255767,0,0.0273458,0,0,0.0529226
2444381,0,0.0255767,0,0.0273458,0,0,0.0529226
2444391,0,0,0.0180851,0.0455764,0,0,0.0636615
2444401,0,0,0.0180851,0.0455764,0,0,0.0636615
2444411,0.00885417,0.00852558,0.0180851,0.063807,0,0,0.0992718
2444421,0,0,0.00904255,0,0,0,0.00904255
2444431,0,0,0.00904255,0,0,0,0.00904255
2444442,0,0,0.0632979,0,0,0,0.0632979
2444451,0.0177083,0.0255767,0,0.0273458,0,0,0.0706309
2444461,0.0177083,0.0255767,0,0.0273458,0,0,0.0706309
2444471,0,0.00852558,0,0.0455764,0,0,0.054102
2444487,0,0.0255767,0.0271277,0.0455764,0,0,0.0982808
2444521,0,0,0.0271277,0.0273458,0,0,0.0544735
2444527,0,0,0.00904255,0,0,0,0.00904255
2444529,0,0,0.0452128,0,0,0,0.0452128
2444539,0,0,0.0452128,0,0,0,0.0452128
2444549,0.0177083,0.059679,0,0.100268,0,0,0.177655
2444571,0,0,0.0361702,0.0364611,0,0,0.0726313
2444581,0.0265625,0.0511535,0.00904255,0.0364611,0,0,0.12322
2444591,0.0265625,0.0511535,0.00904255,0.0364611,0,0,0.12322
2444601,0,0.0170512,0.0180851,0.00911528,0,0,0.0442515
2444611,0.0177083,0.00852558,0.00904255,0.00911528,0,0,0.0443917
2444622,0.0177083,0.00852558,0.00904255,0.00911528,0,0,0.0443917
2444631,0,0.00852558,0,0.0273458,0,0,0.0358714
2444641,0,0.00852558,0,0.0273458,0,0,0.0358714
2444651,0,0.00852558,0,0.0455764,0,0,0.054102
2444661,0.00885417,0.00852558,0.0271277,0.0364611,0,0,0.0809685
2444684,0.0177083,0,0.0271277,0.0546917,0,0,0.0995277
2444694,0,0.0170512,0,0.00911528,0,0,0.0261664
2444704,0,0.0170512,0,0.00911528,0,0,0.0261664
2444714,0,0,0.0180851,0,0,0,0.0180851
2444724,0,0,0.0180851,0,0,0,0.0180851
2444734,0,0.0426279,0,0.0182306,0,0,0.0608584
2444744,0.00885417,0,0.00904255,0.0273458,0,0,0.0452426
2444754,0.00885417,0,0.00904255,0.0273458,0,0,0.0452426
2444764,0.0354167,0.0426279,0.00904255,0.0364611,0,0,0.123548
2444774,0.0354167,0.0426279,0.00904255,0.0364611,0,0,0.123548
2444784,0.0442708,0.0426279,0.0271277,0.00911528,0,0,0.123142
2444794,0,0.0170512,0.00904255,0.0273458,0,0,0.0534396
2444810,0.0265625,0.0341023,0.0723404,0.0546917,0,0,0.187697
2444820,0.0442708,0.0255767,0,0.00911528,0,0,0.0789628
2444833,0.0442708,0.0255767,0,0.00911528,0,0,0.0789628
2444840,0.0177083,0.0255767,0.0180851,0.0546917,0,0,0.116062
2444850,0.0177083,0.0255767,0.0180851,0.0546917,0,0,0.116062
2444860,0,0,0.0271277,0,0,0,0.0271277
2444889,0,0.0511535,0.0361702,0.0455764,0,0,0.1329
2444895,0,0.0511535,0.0361702,0.0455764,0,0,0.1329
2444905,0,0,0.00904255,0.00911528,0,0,0.0181578
2444921,0,0.0255767,0,0.0273458,0,0,0.0529226
2444931,0,0.0255767,0,0.0273458,0,0,0.0529226
2444941,0.00885417,0,0.0271277,0.0182306,0,0,0.0542124
2444951,0,0.0255767,0.0271277,0,0,0,0.0527044
2444974,0.0442708,0.0255767,0.00904255,0.0546917,0,0,0.133582
2444986,0,0,0.0361702,0,0,0,0.0361702
2445002,0.0177083,0.0511535,0.0361702,0.0455764,0,0,0.150608
2445012,0.0177083,0.0511535,0.0361702,0.0455764,0,0,0.150608
2445022,0,0.0170512,0,0.0273458,0,0,0.044397
2445034,0.0177083,0,0.0542553,0.0273458,0,0,0.0993095
2445043,0.0177083,0,0.0542553,0.0273458,0,0,0.0993095
2445053,0,0,0.0180851,0,0,0,0.0180851
2445062,0,0.00852558,0.0542553,0,0,0,0.0627809
2445072,0,0.00852558,0.0542553,0,0,0,0.0627809
2445082,0.053125,0,0,0,0,0,0.053125
2445094,0.053125,0,0,0,0,0,0.053125
2445104,0,0.0255767,0.00904255,0,0,0,0.0346193
2445114,0,0.0170512,0.0271277,0.063807,0,0,0.107986
2445136,0.0442708,0,0,0.0273458,0,0,0.0716167
2445146,0,0,0,0.0182306,0,0,0.0182306
2445156,0,0,0,0.0182306,0,0,0.0182306
2445166,0,0,0.0361702,0.0364611,0,0,0.0726313
2445176,0,0,0.0361702,0.0364611,0,0,0.0726313
2445186,0,0,0.00904255,0.0182306,0,0,0.0272731
2445196,0,0.0341023,0.0361702,0.00911528,0,0,0.0793878
2445212,0.0177083,0,0,0.0364611,0,0,0.0541695
2445222,0,0,0,0.0273458,0,0,0.0273458
2445257,0,0,0,0.0273458,0,0,0.0273458
2445264,0,0.0170512,0,0,0,0,0.0170512
2445274,0,0,0.0180851,0.0546917,0,0,0.0727768
2445284,0,0,0.0180851,0.0546917,0,0,0.0727768
2445294,0,0.00852558,0,0.0182306,0,0,0.0267561
2445304,0,0.0170512,0.0632979,0,0,0,0.080349
2445314,0,0.0170512,0.0632979,0,0,0,0.080349
2445324,0,0,0.0271277,0,0,0,0.0271277
2445346,0.0177083,0,0,0.0273458,0,0,0.0450542
2445356,0.00885417,0,0,0,0,0,0.00885417
2445379,0,0.0341023,0,0,0,0,0.0341023
2445389,0,0.0341023,0,0,0,0,0.0341023
2445399,0.0177083,0,0.0180851,0,0,0,0.0357934
2445409,0,0.0170512,0.0452128,0.0455764,0,0,0.10784
2445419,0,0.0170512,0.0452128,0.0455764,0,0,0.10784
2445429,0.0265625,0.0255767,0.0452128,0.0546917,0,0,0.152044
2445439,0,0,0.0180851,0.00911528,0,0,0.0272004
2445448,0,0,0.0180851,0.00911528,0,0,0.0272004
2445454,0,0.0170512,0.0452128,0.0455764,0,0,0.10784
2445469,0,0.0170512,0.0452128,0.0455764,0,0,0.10784
2445479,0,0.00852558,0.0180851,0.00911528,0,0,0.035726
2445489,0,0.0170512,0.0180851,0.0364611,0,0,0.0715974
2445499,0,0.0170512,0.0180851,0.0364611,0,0,0.0715974
2445509,0.0354167,0.0170512,0.0180851,0.0364611,0,0,0.107014
2445519,0,0,0.081383,0,0,0,0.081383
2445529,0,0,0.081383,0,0,0,0.081383
2445539,0.0177083,0,0.00904255,0.00911528,0,0,0.0358662
2445550,0.0177083,0,0.00904255,0.00911528,0,0,0.0358662
2445559,0.00885417,0.00852558,0.0271277,0,0,0,0.0445074
2445569,0,0.00852558,0,0.0364611,0,0,0.0449867
2445579,0,0.00852558,0,0.0364611,0,0,0.0449867
2445589,0.0177083,0,0,0.0455764,0,0,0.0632847
2445599,0.0442708,0.00852558,0.00904255,0.00911528,0,0,0.0709542
2445624,0.00885417,0,0.0180851,0,0,0,0.0269393
2445630,0.00885417,0,0.0180851,0,0,0,0.0269393
2445640,0,0.00852558,0,0,0,0,0.00852558
2445651,0,0,0,0.0273458,0,0,0.0273458
2445660,0,0,0,0.0273458,0,0,0.0273458
2445670,0,0.0170512,0.0180851,0.0455764,0,0,0.0807127
2445680,0.0177083,0,0,0.0364611,0,0,0.0541695
2445696,0.00885417,0,0,0.0182306,0,0,0.0270847
2445721,0,0,0.00904255,0.0273458,0,0,0.0363884
2445731,0,0,0.0452128,0,0,0,0.0452128
2445741,0,0,0.0452128,0,0,0,0.0452128
2445751,0.00885417,0,0.0180851,0.0364611,0,0,0.0634004
2445762,0.0265625,0,0.00904255,0,0,0,0.0356051
2445772,0.0265625,0,0.00904255,0,0,0,0.0356051
2445780,0,0.00852558,0.0180851,0.0455764,0,0,0.0721871
2445789,0,0.00852558,0.0180851,0.0455764,0,0,0.0721871
2445800,0.0177083,0,0.0904255,0,0,0,0.108134
2445810,0,0.00852558,0.0180851,0.063807,0,0,0.0904177
2445827,0.0265625,0.0426279,0.00904255,0,0,0,0.0782329
2445837,0.0354167,0.0170512,0.0452128,0.0182306,0,0,0.115911
2445862,0.0354167,0,0,0,0,0,0.0354167
2445882,0.0354167,0.0255767,0.0452128,0.0546917,0,0,0.160898
2445892,0,0.0341023,0.0361702,0.0455764,0,0,0.115849
2445902,0,0.0341023,0.0361702,0.0455764,0,0,0.115849
2445912,0.00885417,0,0.00904255,0.0182306,0,0,0.0361273
2445922,0.00885417,0,0.0180851,0.0273458,0,0,0.0542851
2445939,0.0708333,0.0511535,0.0271277,0.0455764,0,0,0.194691
2445949,0.0708333,0.0511535,0.0271277,0.0455764,0,0,0.194691
2445959,0,0.0341023,0.0180851,0,0,0,0.0521874
2445991,0,0,0,0.0455764,0,0,0.0455764
2445998,0,0,0,0.00911528,0,0,0.00911528
2445999,0,0,0.0542553,0.0182306,0,0,0.0724859
2446024,0.0177083,0.00852558,0.00904255,0.0182306,0,0,0.053507
2446034,0.0177083,0.00852558,0.00904255,0.0182306,0,0,0.053507
2446044,0,0.0255767,0,0,0,0,0.0255767
2446054,0,0,0.0452128,0.0182306,0,0,0.0634433
2446064,0,0,0.0452128,0.0182306,0,0,0.0634433
2446074,0.0442708,0.0255767,0.0180851,0,0,0,0.0879327
2446084,0.00885417,0,0,0,0,0,0.00885417
2446094,0.00885417,0,0,0,0,0,0.00885417
2446104,0,0.0341023,0.0361702,0.0182306,0,0,0.0885031
2446114,0,0.0341023,0.0361702,0.0182306,0,0,0.0885031
2446125,0,0,0.0542553,0.00911528,0,0,0.0633706
2446135,0,0.0255767,0.00904255,0.0273458,0,0,0.0619651
2446145,0,0.0255767,0.00904255,0.0273458,0,0,0.0619651
2446155,0,0,0.0271277,0.0273458,0,0,0.0544735
2446165,0.0354167,0.00852558,0,0.0182306,0,0,0.0621728
2446175,0.0354167,0.00852558,0,0.0182306,0,0,0.0621728
2446185,0,0.00852558,0.0271277,0.0364611,0,0,0.0721144
2446195,0,0.00852558,0.0271277,0.0364611,0,0,0.0721144
2446205,0.0177083,0.0426279,0.0180851,0,0,0,0.0784213
2446215,0,0,0.0542553,0.0273458,0,0,0.0816012
2446232,0.00885417,0.0426279,0.0180851,0,0,0,0.0695672
2446242,0,0.0341023,0.00904255,0.00911528,0,0,0.0522601
2446254,0,0.0341023,0.00904255,0.00911528,0,0,0.0522601
2446264,0.0265625,0,0.0271277,0.0455764,0,0,0.0992666
2446274,0.0265625,0,0.0271277,0.0455764,0,0,0.0992666
2446284,0.00885417,0.0511535,0,0.0546917,0,0,0.114699
2446293,2.20469,4.02407,0,2.10563,11.7736,-7.42069,8.33439
2446316,0.726042,0.434804,0,0,-6.27209,-15,1.16085
2446326,0,0.204614,0.705319,1.90509,12.4722,12.8194,2.81503
2446359,0,0.204614,0.705319,1.90509,12.4722,12.8194,2.81503
2446365,0.115104,0.494483,0.379787,0.947989,12.2277,5.56056,1.93736
2446376,0,0.213139,0.162766,0.501341,15.7229,7.71107,0.877246
2446386,0,0.213139,0.162766,0.501341,15.7229,7.71107,0.877246
