ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2568281,0.035288,0.0596491,0,0,0,0,0.0949371
2568292,0,0.0255639,0,0,0,0,0.0255639
2568308,0.026466,0,0,0,0,0,0.026466
2568332,0.04411,0.0596491,0,0,0,0,0.103759
2568342,0.061754,0.0681704,0,0,0,0,0.129924
2568374,0,0.0937343,0,0,0,0,0.0937343
2568390,0.026466,0.0170426,0,0,0,0,0.0435086
2568413,0.026466,0.0766917,0,0,0,0,0.103158
2568423,0.017644,0.0596491,0,0,0,0,0.0772931
2568433,0.017644,0.0596491,0,0,0,0,0.0772931
2568443,0.04411,0.085213,0,0,0,0,0.129323
2568449,0.04411,0.085213,0,0,0,0,0.129323
2568464,0,0.0596491,0,0,0,0,0.0596491
2568476,0.035288,0.0681704,0,0,0,0,0.103458
2568492,0.035288,0.085213,0,0,0,0,0.120501
2568502,0.008822,0.0170426,0,0.00912017,0,0,0.0349848
2568512,0.008822,0.0170426,0,0.00912017,0,0,0.0349848
2568523,0.052932,0.0340852,0,0,0,0,0.0870172
2568533,0.04411,0.0340852,0,0.0182403,0,0,0.0964356
2568556,0.061754,0.0170426,0,0,0,0,0.0787966
2568565,0.061754,0.0170426,0,0,0,0,0.0787966
2568575,0.026466,0.0596491,0.0181915,0,0,0,0.104307
2568585,0.052932,0.0426065,0.0181915,0,0,0,0.11373
2568595,0.052932,0.0426065,0.0181915,0,0,0,0.11373
2568606,0,0.119298,0,0,0,0,0.119298
2568610,0.026466,0.0426065,0,0,0,0,0.0690725
2568625,0.026466,0.0426065,0,0,0,0,0.0690725
2568636,0.052932,0.0937343,0,0,0,0,0.146666
2568645,0.052932,0.0937343,0,0,0,0,0.146666
2568650,0.017644,0.0681704,0,0,0,0,0.0858144
2568666,0.061754,0.0511278,0.0272873,0.0364807,0,0,0.17665
2568684,0.052932,0.119298,0,0,0,0,0.17223
2568694,0.052932,0.119298,0.00909577,0,0,0,0.181326
2568704,0.052932,0.0766917,0.00909577,0,0,0,0.13872
2568735,0.008822,0.0596491,0,0,0,0,0.0684711
2568745,0.008822,0.0596491,0,0,0,0,0.0684711
2568748,0.04411,0.0766917,0,0,0,0,0.120802
2568752,0.04411,0.0766917,0,0,0,0,0.120802
2568762,0.070576,0.0426065,0,0,0,0,0.113183
2568772,0.026466,0.0085213,0,0,0,0,0.0349873
2568795,0.017644,0.0511278,0,0,0,0,0.0687718
2568818,0,0.085213,0,0,0,0,0.085213
2568828,0.017644,0.0596491,0,0.0182403,0,0,0.0955335
2568844,0.052932,0.085213,0,0,0,0,0.138145
2568861,0.061754,0.0596491,0,0,0,0,0.121403
2568877,0.097042,0.0255639,0,0,0,0,0.122606
2568887,0.097042,0.0255639,0,0,0,0,0.122606
2568897,0.008822,0.119298,0.00909577,0,0,0,0.137216
2568907,0,0.0596491,0,0,0,0,0.0596491
2568929,0.035288,0.0937343,0,0,0,0,0.129022
2568941,0.017644,0.0340852,0,0,0,0,0.0517292
2568957,0.026466,0.0511278,0.0363831,0,0,0,0.113977
2568979,0.017644,0.0511278,0,0,0,0,0.0687718
2568989,0.008822,0.0511278,0,0.0182403,0,0,0.0781902
2568999,0.008822,0.0511278,0,0.0182403,0,0,0.0781902
2569004,0.061754,0.0937343,0,0,0,0,0.155488
2569019,0.04411,0.0426065,0,0,0,0,0.0867165
2569030,0.04411,0.0426065,0,0,0,0,0.0867165
2569039,0,0.0766917,0,0.0273605,0,0,0.104052
2569055,0,0.085213,0.00909577,0,0,0,0.0943088
2569065,0.061754,0.0681704,0,0.0364807,0,0,0.166405
2569102,0.061754,0.0681704,0,0,0,0,0.129924
2569108,0.026466,0.085213,0,0,0,0,0.111679
2569118,0.017644,0.0426065,0,0,0,0,0.0602505
2569128,0.017644,0.0426065,0,0,0,0,0.0602505
2569138,0,0.0766917,0,0.0273605,0,0,0.104052
2569148,0,0.0766917,0,0,0,0,0.0766917
2569170,0.008822,0.0170426,0,0.00912017,0,0,0.0349848
2569180,0.017644,0.0426065,0,0.00912017,0,0,0.0693707
2569197,0.026466,0.0426065,0,0.00912017,0,0,0.0781927
2569219,0.026466,0.0426065,0,0,0,0,0.0690725
2569229,0.017644,0.0596491,0,0,0,0,0.0772931
2569252,0.026466,0.0596491,0,0,0,0,0.0861151
2569262,0.026466,0.102256,0,0,0,0,0.128722
2569278,0.017644,0.0511278,0.00909577,0,0,0,0.0778676
2569300,0.008822,0.0766917,0,0,0,0,0.0855137
2569310,0.035288,0.0426065,0,0,0,0,0.0778945
2569322,0.035288,0.0426065,0,0,0,0,0.0778945
2569332,0.061754,0.085213,0,0,0,0,0.146967
2569342,0.035288,0.0766917,0.0181915,0,0,0,0.130171
2569364,0,0.0766917,0,0,0,0,0.0766917
2569369,0,0.0766917,0,0,0,0,0.0766917
2569378,0.04411,0.0170426,0,0.0182403,0,0,0.079393
2569388,0.008822,0.085213,0,0,0,0,0.094035
2569398,0.008822,0.085213,0,0,0,0,0.094035
2569408,0.026466,0.085213,0,0,0,0,0.111679
