ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2539390,0,0,0.027229,0,0,0,0.027229
2539400,0,0,0.027229,0,0,0,0.027229
2539409,0,0,0,0,0,0,0
2539426,0,0,0,0,0,0,0
2539429,0,0,0,0,0,0,0
2539438,0.035343,0,0,0,0,0,0.035343
2539448,0.00883576,0,0.0453817,0,0,0,0.0542175
2539458,0.00883576,0,0.0453817,0,0,0,0.0542175
2539468,0.035343,0,0,0,0,0,0.035343
2539478,0.035343,0,0,0,0,0,0.035343
2539488,0,0,0,0,0,0,0
2539498,0.0265073,0,0,0.0273458,0,0,0.0538531
2539521,0,0,0.027229,0,0,0,0.027229
2539531,0,0,0,0,0,0,0
2539550,0,0,0,0,0,0,0
2539572,0,0,0.0544581,0,0,0,0.0544581
2539582,0.0176715,0,0.00907635,0,0,0,0.0267479
2539598,0,0,0,0.00911528,0,0,0.00911528
2539608,0,0,0,0.00911528,0,0,0.00911528
2539618,0,0,0,0,0,0,0
2539629,0,0,0,0,0,0,0
2539651,0,0,0.00907635,0,0,0,0.00907635
2539661,0,0,0,0,0,0,0
2539677,0,0,0.0181527,0,0,0,0.0181527
2539709,0,0,0,0,0,0,0
2539731,0.0441788,0,0.0363054,0,0,0,0.0804842
2539741,0,0,0,0,0,0,0
2539753,0,0,0,0,0,0,0
2539763,0.00883576,0,0,0,0,0,0.00883576
2539773,0,0,0.0453817,0,0,0,0.0453817
2539783,0,0,0.0453817,0,0,0,0.0453817
2539793,0.0176715,0,0.0453817,0,0,0,0.0630533
2539810,0,0.0343434,0,0,0,0,0.0343434
2539820,0,0,0,0,0,0,0
2539829,0,0,0,0,0,0,0
2539840,0,0,0.0453817,0,0,0,0.0453817
2539863,0,0,0,0,0,0,0
2539872,0.035343,0,0,0,0,0,0.035343
2539882,0.035343,0,0,0,0,0,0.035343
2539892,0,0,0,0,0,0,0
2539902,0,0,0,0,0,0,0
2539925,0,0,0,0,0,0,0
2539935,0,0,0,0,0,0,0
2539945,0.0176715,0,0,0,0,0,0.0176715
2539958,0,0,0.0363054,0.0364611,0,0,0.0727665
2539974,0,0,0,0,0,0,0
2539983,0,0,0,0,0,0,0
2540006,0.0265073,0,0.0181527,0,0,0,0.04466
2540010,0.0265073,0,0.0181527,0,0,0,0.04466
2540025,0,0,0,0.0182306,0,0,0.0182306
2540035,0.0441788,0,0,0,0,0,0.0441788
2540045,0.0441788,0,0,0,0,0,0.0441788
2540076,0.035343,0,0,0.00911528,0,0,0.0444583
2540086,0,0,0,0,0,0,0
2540096,0,0,0,0,0,0,0
2540106,0,0.00858586,0,0,0,0,0.00858586
2540116,0,0,0.0181527,0,0,0,0.0181527
2540132,0.00883576,0,0,0,0,0,0.00883576
2540142,0,0,0.0363054,0.0364611,0,0,0.0727665
2540153,0,0,0.0363054,0.0364611,0,0,0.0727665
2540162,0,0,0,0,0,0,0
2540172,0,0,0,0,0,0,0
