ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4516814,0,0.0170854,0,0,0,0,0.0170854
4516816,0,0,0,0.0091104,0,0,0.0091104
4516827,0,0,0,0.0091104,0,0,0.0091104
4516837,0,0.059799,0,0,0,0,0.059799
4516907,0,0.0512563,0,0.0091104,0,0,0.0603667
4516909,0,0.0170854,0,0,0,0,0.0170854
4516921,0,0,0,0,0,0,0
4516943,0,0,0,0.0273312,0,0,0.0273312
4517004,0,0,0,0,0,0,0
4517006,0,0,0,0,0,0,0
4517024,0,0,0,0,0,0,0
4517028,0,0.00854271,0.0363054,0,0,0,0.0448481
4517043,0,0.00854271,0.0363054,0,0,0,0.0448481
4517113,0,0,0,0,0,0,0
4517116,0,0.00854271,0,0,0,0,0.00854271
4517132,0,0,0.00907635,0.045552,0,0,0.0546283
4517142,0,0.00854271,0.0181527,0,0,0,0.0266954
4517222,0,0,0,0,0,0,0
4517224,0,0.0170854,0,0.0091104,0,0,0.0261958
4517237,0,0.00854271,0,0.0273312,0,0,0.0358739
4517242,0,0,0,0,0,0,0
4517316,0,0.0512563,0,0,0,0,0.0512563
4517319,0,0.0512563,0,0,0,0,0.0512563
4517321,0,0.0341709,0,0.0273312,0,0,0.061502
4517333,0,0,0,0,0,0,0
4517343,0,0,0,0,0,0,0
4517353,0,0,0,0,0,0,0
4517414,0,0,0,0,0,0,0
4517416,0,0,0,0,0,0,0
4517425,0,0,0,0,0,0,0
4517454,0,0,0,0.0273312,0,0,0.0273312
4517534,0,0.00854271,0,0.0091104,0,0,0.0176531
4517537,0,0,0,0,0,0,0
4517550,0,0,0,0,0,0,0
4517620,0,0,0,0,0,0,0
4517623,0,0.0170854,0,0,0,0,0.0170854
4517627,0,0,0,0,0,0,0
4517638,0,0,0,0,0,0,0
4517648,0,0.0256281,0.00907635,0,0,0,0.0347045
4517659,0,0.059799,0,0,0,0,0.059799
4517724,0,0.059799,0,0,0,0,0.059799
4517725,0,0,0,0.0182208,0,0,0.0182208
4517727,0,0,0.00907635,0.0273312,0,0,0.0364075
4517752,0,0,0,0,0,0,0
4517754,0,0,0,0,0,0,0
4517758,0,0.0427136,0,0.045552,0,0,0.0882656
4517823,0,0.0341709,0,0.0091104,0,0,0.0432812
4517824,0,0.0341709,0,0.0091104,0,0,0.0432812
4517828,0,0,0,0.0182208,0,0,0.0182208
4517844,0.0177731,0.00854271,0,0.0273312,0,0,0.053647
4517848,0,0,0,0,0,0,0
4517860,0,0,0,0,0,0,0
4517938,0,0.0170854,0,0,0,0,0.0170854
4517941,0,0.0170854,0,0,0,0,0.0170854
4517953,0,0.0427136,0,0,0,0,0.0427136
4517963,0,0.0427136,0,0,0,0,0.0427136
4518033,0,0.0256281,0,0.0182208,0,0,0.0438489
4518035,0,0.00854271,0,0,0,0,0.00854271
4518053,0,0,0,0,0,0,0
4518063,0,0,0,0.0091104,0,0,0.0091104
4518134,0,0.0170854,0,0.0182208,0,0,0.0353062
4518138,0,0.0170854,0,0,0,0,0.0170854
