ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4475327,0,0.0256798,0,0.0272727,0,0,0.0529525
4475330,0,0.0256798,0,0.00909091,0,0,0.0347707
4475341,0,0.0171198,0,0.00909091,0,0,0.0262107
4475351,0,0.0171198,0,0.00909091,0,0,0.0262107
4475361,0,0,0,0.0545455,0,0,0.0545455
4475432,0,0,0,0.0272727,0,0,0.0272727
4475435,0,0,0,0.0272727,0,0,0.0272727
4475439,0,0,0,0,0,0,0
4475450,0,0,0,0.0181818,0,0,0.0181818
4475472,0,0,0,0,0,0,0
4475532,0,0,0,0,0,0,0
4475566,0,0.00855992,0,0.0454545,0,0,0.0540145
4475576,0,0,0,0.0363636,0,0,0.0363636
4475637,0,0,0.0181818,0.00909091,0,0,0.0272727
4475644,0.0620115,0.00855992,0,0.00909091,0,0,0.0796623
4475654,0,0.00855992,0.0545455,0.0181818,0,0,0.0812872
4475665,0,0,0,0,0,0,0
4475675,0,0,0,0,0,0,0
4475737,0,0.0171198,0,0,0,0,0.0171198
4475740,0,0,0.00909091,0.0181818,0,0,0.0272727
4475742,0,0.0171198,0.00909091,0.0454545,0,0,0.0716653
4475765,0,0.0171198,0.00909091,0.0454545,0,0,0.0716653
4475767,0,0,0,0,0,0,0
4475778,0,0,0,0,0,0,0
4475840,0,0,0,0.0454545,0,0,0.0454545
4475845,0,0,0,0.00909091,0,0,0.00909091
4475856,0,0,0,0.0272727,0,0,0.0272727
4475878,0,0,0,0.0454545,0,0,0.0454545
4475945,0,0.00855992,0,0.00909091,0,0,0.0176508
4475947,0,0.0256798,0.0272727,0,0,0,0.0529525
4475957,0.0177176,0,0,0.00909091,0,0,0.0268085
4475980,0,0,0,0.0454545,0,0,0.0454545
4476051,0.00885878,0,0,0,0,0,0.00885878
4476054,0.0265763,0.00855992,0,0.0181818,0,0,0.0533181
4476070,0,0,0.00909091,0,0,0,0.00909091
4476087,0,0,0.00909091,0,0,0,0.00909091
4476147,0,0,0,0.0272727,0,0,0.0272727
4476149,0,0,0,0.00909091,0,0,0.00909091
4476159,0,0,0.0272727,0.00909091,0,0,0.0363636
4476170,0,0,0.0272727,0.00909091,0,0,0.0363636
4476180,0,0,0,0.0454545,0,0,0.0454545
4476190,0,0,0,0.0454545,0,0,0.0454545
4476250,0,0,0.0363636,0,0,0,0.0363636
4476266,0,0,0,0,0,0,0
4476352,0,0,0,0,0,0,0
4476355,0,0,0,0.0272727,0,0,0.0272727
4476365,0,0,0,0,0,0,0
4476375,0,0,0,0,0,0,0
4476394,0,0,0,0.0181818,0,0,0.0181818
4476464,0,0,0,0.00909091,0,0,0.00909091
4476465,0,0,0.0272727,0.0727273,0,0,0.1
4476476,0,0,0,0,0,0,0
4476486,0.0265763,0.0171198,0,0.0727273,0,0,0.116423
4476496,0.0265763,0.0171198,0,0.0727273,0,0,0.116423
4476561,0,0,0,0.0454545,0,0,0.0454545
4476565,0,0,0,0.0454545,0,0,0.0454545
4476566,0,0,0,0.0272727,0,0,0.0272727
4476579,0,0,0,0.0272727,0,0,0.0272727
4476588,0,0.00855992,0,0.0272727,0,0,0.0358326
4476598,0,0.00855992,0,0.0272727,0,0,0.0358326
4476661,0,0,0,0.0272727,0,0,0.0272727
4476667,0,0,0,0,0,0,0
4476686,0.0177176,0.0256798,0,0,0,0,0.0433973
4476697,0.00885878,0.0256798,0,0,0,0,0.0345385
4476767,0.00885878,0,0,0.0454545,0,0,0.0543133
4476770,0,0,0.0272727,0,0,0,0.0272727
4476780,0,0,0,0,0,0,0
4476790,0,0,0,0,0,0,0
4476800,0,0.00855992,0.0272727,0,0,0,0.0358326
4476870,0.0177176,0,0,0,0,0,0.0177176
