ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4609369,0.00884956,0,0.0181527,0,0,0,0.0270023
4609371,0.00884956,0,0.0181527,0,0,0,0.0270023
4609373,0.0265487,0.0426921,0.0181527,0.00909577,0,0,0.0964893
4609383,0.0353982,0.0341537,0.00907635,0.0727662,0,0,0.151394
4609406,0.00884956,0.0341537,0,0,0,0,0.0430032
4609475,0,0.0256153,0,0,0,0,0.0256153
4609478,0,0.0256153,0,0,0,0,0.0256153
4609499,0.0265487,0.0256153,0.0181527,0,0,0,0.0703166
4609502,0,0.0256153,0.0453817,0,0,0,0.070997
4609504,0,0.0256153,0.0453817,0,0,0,0.070997
4609575,0.00884956,0.0768458,0,0.0181915,0,0,0.103887
4609578,0.0353982,0,0.0181527,0.0363831,0,0,0.089934
4609600,0.0265487,0.0341537,0.0181527,0,0,0,0.0788551
4609694,0,0.0170768,0,0,0,0,0.0170768
4609700,0,0.0170768,0,0,0,0,0.0170768
4609712,0,0.0768458,0.00907635,0.0272873,0,0,0.113209
4609782,0.0265487,0.0170768,0,0.0363831,0,0,0.0800086
4609784,0.0265487,0.00853842,0,0.0272873,0,0,0.0623744
4609788,0.0353982,0.059769,0,0.00909577,0,0,0.104263
4609799,0.0353982,0.059769,0,0.00909577,0,0,0.104263
4609809,0,0.00853842,0,0.0272873,0,0,0.0358257
4609880,0.0265487,0.0256153,0,0.0363831,0,0,0.088547
4609883,0.00884956,0.0256153,0.0181527,0.0727662,0,0,0.125384
4609904,0.0442478,0.0256153,0,0.0181915,0,0,0.0880546
4609908,0,0.0768458,0.0181527,0,0,0,0.0949985
4609984,0,0.0683074,0.00907635,0,0,0,0.0773837
4609987,0,0.0170768,0.0181527,0,0,0,0.0352295
4610003,0.0619469,0.0512305,0.00907635,0,0,0,0.122254
4610013,0.0353982,0,0,0,0,0,0.0353982
4610090,0.0265487,0.0170768,0.027229,0.0181915,0,0,0.0890461
4610093,0.00884956,0.059769,0,0.0181915,0,0,0.0868101
4610104,0,0.0170768,0.0363054,0,0,0,0.0533822
4610114,0.00884956,0.0512305,0,0.0181915,0,0,0.0782716
4610124,0,0.0512305,0.0363054,0.0181915,0,0,0.105727
4610186,0,0.0256153,0.027229,0,0,0,0.0528443
4610189,0,0.059769,0.00907635,0.0181915,0,0,0.0870369
4610191,0.00884956,0.0341537,0.027229,0,0,0,0.0702323
4610201,0.0265487,0.0341537,0.0816871,0.00909577,0,0,0.151485
4610211,0.0265487,0.0341537,0.0816871,0.00909577,0,0,0.151485
4610222,0,0.059769,0.00907635,0,0,0,0.0688453
4610291,0,0.0170768,0.0544581,0.0181915,0,0,0.0897265
4610296,0.00884956,0.0426921,0.00907635,0.0272873,0,0,0.0879053
4610306,0,0.0256153,0.0544581,0.0454789,0,0,0.125552
4610322,0,0,0.0635344,0.00909577,0,0,0.0726302
4610393,0,0.0426921,0,0,0,0,0.0426921
4610395,0.0619469,0.0512305,0,0.0636704,0,0,0.176848
4610429,0.0530973,0.00853842,0.00907635,0.0272873,0,0,0.0979994
4610494,0,0,0.0453817,0.0272873,0,0,0.0726691
4610495,0.00884956,0.0426921,0.0181527,0,0,0,0.0696944
4610505,0.0176991,0.0256153,0,0.00909577,0,0,0.0524102
4610516,0,0.0341537,0,0,0,0,0.0341537
4610527,0,0.0256153,0,0.0636704,0,0,0.0892857
4610598,0.0265487,0.00853842,0,0.0272873,0,0,0.0623744
4610600,0.0265487,0.00853842,0,0.0272873,0,0,0.0623744
4610606,0,0.0426921,0.027229,0.0181915,0,0,0.0881127
4610629,0.0530973,0.0170768,0.0816871,0.0272873,0,0,0.179149
4610698,0.0176991,0.0256153,0.0181527,0.0363831,0,0,0.0978502
4610700,0.00884956,0.059769,0.0363054,0,0,0,0.104924
4610710,0.0265487,0.0341537,0.0363054,0.00909577,0,0,0.106104
4610729,0,0.00853842,0,0.00909577,0,0,0.0176342
4610741,0.0442478,0.0256153,0,0.0181915,0,0,0.0880546
4610816,0.0353982,0.0853842,0,0,0,0,0.120782
4610819,0,0,0.0181527,0,0,0,0.0181527
4610844,0.0353982,0.0256153,0,0.0636704,0,0,0.124684
4610903,0,0.0170768,0.027229,0.0272873,0,0,0.0715932
4610924,0,0.0512305,0,0.0181915,0,0,0.0694221
4610935,0.079646,0.0341537,0,0,0,0,0.1138
4611005,0.0707965,0.059769,0.0181527,0,0,0,0.148718
4611008,0.0530973,0.0512305,0,0,0,0,0.104328
4611011,0,0,0.0453817,0.0363831,0,0,0.0817648
4611023,0,0,0.0453817,0.0363831,0,0,0.0817648
4611031,0,0.0683074,0,0.00909577,0,0,0.0774032
4611041,0,0.0683074,0,0.00909577,0,0,0.0774032
4611114,0,0.0426921,0,0,0,0,0.0426921
4611117,0.0530973,0.0426921,0,0,0,0,0.0957895
4611126,0,0.0341537,0,0,0,0,0.0341537
4611136,0,0.0341537,0,0,0,0,0.0341537
4611213,0,0.0256153,0.027229,0,0,0,0.0528443
4611215,0,0.0256153,0.027229,0,0,0,0.0528443
4611225,0.0265487,0.0341537,0.0181527,0.0454789,0,0,0.124334
4611248,0,0.0341537,0.027229,0.281969,0,0,0.343352
4611313,0.0973451,0.546459,0.680726,2.92884,15.8535,10.4591,4.25337
4611315,0.0973451,0.546459,0.680726,2.92884,15.8535,10.4591,4.25337
4611325,0.0619469,0.059769,0,0,0,0,0.121716
4611335,0,0,0.0181527,0.00909577,0,0,0.0272485
4611345,0,0,0.0181527,0.00909577,0,0,0.0272485
4611355,0,0,0,0.0272873,0,0,0.0272873
4611415,0.0353982,0.059769,0.0726108,0.0272873,0,0,0.195065
4611437,0,0.0426921,0,0,0,0,0.0426921
4611446,0.0353982,0.0512305,0,0.0545746,0,0,0.141203
4611456,0.0353982,0.0512305,0,0.0545746,0,0,0.141203
4611536,0.079646,0.0426921,0.0181527,0.00909577,0,0,0.149587
4611538,0.079646,0.0426921,0.0181527,0.00909577,0,0,0.149587
4611546,0.0265487,0,0,0.0636704,0,0,0.0902191
4611624,0,0.0256153,0.0363054,0.0363831,0,0,0.0983038
4611626,0.0619469,0.0170768,0,0.00909577,0,0,0.0881195
4611628,0.681416,3.18483,0.94394,0.17282,8.69101,-8.27659,4.98301
4611638,0.681416,3.18483,0.94394,0.17282,8.69101,-8.27659,4.98301
4611654,0,0,0.145222,0.00909577,0,0,0.154317
4611664,0.247788,0.170768,0.108916,0.118245,-2.62074,-4.4461,0.645717
4611724,0.247788,0.170768,0.108916,0.118245,-2.62074,-4.4461,0.645717
4611729,0.0176991,0.0256153,0.027229,0,0,0,0.0705434
4611742,0.00884956,0.0426921,0,0.081862,0,0,0.133404
4611749,0.00884956,0.0426921,0,0.081862,0,0,0.133404
4611764,0.0530973,0.0426921,0.0181527,0.00909577,0,0,0.123038
4611825,0.0707965,0.0512305,0.00907635,0.0545746,0,0,0.185678
4611827,0.0707965,0.0512305,0.00907635,0.0545746,0,0,0.185678
4611844,0.0530973,0,0,0.081862,0,0,0.134959
4611854,0.00884956,0.0426921,0,0.00909577,0,0,0.0606374
4611928,0.079646,0,0,0.00909577,0,0,0.0887418
4611932,0.079646,0,0,0.00909577,0,0,0.0887418
4611933,0.0265487,0.0512305,0.027229,0.00909577,0,0,0.114104
4611943,0.0265487,0.0512305,0.027229,0.00909577,0,0,0.114104
4611953,0.0619469,0.0170768,0,0.0363831,0,0,0.115407
4611963,0.0619469,0.0170768,0,0.0363831,0,0,0.115407
4612033,0,0,0,0.0181915,0,0,0.0181915
4612035,0.0176991,0.0341537,0,0.118245,0,0,0.170098
4612053,0.0884956,0.110999,0,0,0,0,0.199495
4612063,0,0.0426921,0,0,0,0,0.0426921
4612148,0,0.0426921,0,0,0,0,0.0426921
4612151,0.0265487,0,0.0363054,0.0636704,0,0,0.126524
4612153,0.0265487,0,0,0.0545746,0,0,0.0811233
4612163,0.0619469,0,0,0.0545746,0,0,0.116522
4612173,0,0,0.0363054,0.0727662,0,0,0.109072
4612234,0,0,0.0363054,0.0727662,0,0,0.109072
4612235,0.0619469,0,0.00907635,0.0545746,0,0,0.125598
4612267,0.0353982,0.059769,0.00907635,0.0272873,0,0,0.131531
4612274,0.00884956,0.0256153,0.0181527,0.0454789,0,0,0.0980964
4612276,0.0442478,0,0,0,0,0,0.0442478
4612336,0.0442478,0,0,0,0,0,0.0442478
4612338,0,0.00853842,0,0.0909577,0,0,0.0994962
4612360,5.69027,17.4084,0,0,12.6827,-15,23.0986
4612363,0,0.0170768,1.01655,1.20974,2.34317,14.7716,2.24337
4612365,0,0,0,0.081862,0,0,0.081862
4612375,0,0,0,0.081862,0,0,0.081862
4612439,0.362832,0.221999,0.0998398,0.0909577,-4.8256,-7.62027,0.775628
4612441,0.00884956,0.0341537,0,0,0,0,0.0430032
