ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4578752,0.0353247,0.00856423,0,0.0363248,0,0,0.0802137
4578762,0.0264935,0.0256927,0,0,0,0,0.0521862
4578772,0.0441558,0.0513854,0,0.0090812,0,0,0.104622
4578782,0.0441558,0.0513854,0,0.0090812,0,0,0.104622
4578792,0,0.0428212,0,0,0,0,0.0428212
4578853,0,0.0428212,0,0,0,0,0.0428212
4578856,0.0264935,0,0,0.0181624,0,0,0.0446559
4578874,0.0441558,0,0,0.0090812,0,0,0.053237
4578890,0.00883117,0.0342569,0.00909091,0,0,0,0.052179
4578961,0,0,0.0363636,0,0,0,0.0363636
4578965,0,0,0.0363636,0,0,0,0.0363636
4578977,0.0176623,0,0.0363636,0.0090812,0,0,0.0631072
4578982,0.0176623,0,0.0181818,0.0363248,0,0,0.0721689
4579061,0.0264935,0,0.0818182,0,0,0,0.108312
4579063,0.00883117,0,0,0,0,0,0.00883117
4579082,0.0176623,0,0,0.0090812,0,0,0.0267435
4579092,0.0618182,0.0428212,0,0.045406,0,0,0.150045
4579162,0.0618182,0.0428212,0,0.045406,0,0,0.150045
4579167,0.0441558,0,0,0,0,0,0.0441558
4579172,0,0,0.00909091,0,0,0,0.00909091
4579199,0.0176623,0.0342569,0,0,0,0,0.0519193
4579262,0,0,0,0,0,0,0
4579264,0.0441558,0,0,0,0,0,0.0441558
4579274,0.0264935,0,0,0,0,0,0.0264935
4579285,0.0353247,0.00856423,0.0181818,0.045406,0,0,0.107477
4579296,0.0353247,0.00856423,0.0181818,0.045406,0,0,0.107477
4579304,0.0441558,0.0256927,0.0454545,0,0,0,0.115303
4579365,0,0.00856423,0.0545455,0.0090812,0,0,0.0721909
4579369,0,0,0.00909091,0.0181624,0,0,0.0272533
4579380,0,0,0.00909091,0.0181624,0,0,0.0272533
4579391,0,0.0171285,0,0.0272436,0,0,0.0443721
4579401,0,0.0171285,0,0.0272436,0,0,0.0443721
4579472,0,0,0.0181818,0,0,0,0.0181818
4579474,0.0264935,0,0.0454545,0.0090812,0,0,0.0810293
4579477,0,0.0256927,0.0272727,0,0,0,0.0529654
4579487,0,0,0.0181818,0,0,0,0.0181818
4579497,0.0264935,0.0428212,0.00909091,0.0181624,0,0,0.096568
4579507,0.0264935,0.0428212,0.00909091,0.0181624,0,0,0.096568
4579569,0.0176623,0,0,0,0,0,0.0176623
4579577,0.0176623,0,0,0,0,0,0.0176623
4579581,0,0,0.00909091,0.0181624,0,0,0.0272533
4579600,0,0,0.00909091,0.0181624,0,0,0.0272533
4579602,0,0.00856423,0.0363636,0.0090812,0,0,0.0540091
4579608,0,0,0,0.0181624,0,0,0.0181624
4579672,0,0,0,0.0181624,0,0,0.0181624
4579674,0.00883117,0,0,0,0,0,0.00883117
4579687,0,0.00856423,0.00909091,0,0,0,0.0176551
4579689,0.00883117,0.0342569,0,0,0,0,0.0430881
4579712,0.00883117,0,0,0,0,0,0.00883117
4579775,0.0353247,0.00856423,0.0363636,0,0,0,0.0802525
4579777,0.00883117,0,0,0,0,0,0.00883117
4579796,0.00883117,0,0.0272727,0,0,0,0.0361039
4579806,0.0618182,0.0171285,0,0,0,0,0.0789467
4579876,0.0176623,0,0,0,0,0,0.0176623
4579878,0.0176623,0,0,0,0,0,0.0176623
4579882,0,0,0,0.0090812,0,0,0.0090812
4579904,0,0,0,0.0090812,0,0,0.0090812
4579981,0,0,0,0.0181624,0,0,0.0181624
4579983,0.0264935,0,0.0363636,0,0,0,0.0628571
4579995,0.0264935,0,0.0363636,0,0,0,0.0628571
4580005,0.0176623,0.0171285,0,0,0,0,0.0347908
4580014,0,0,0,0,0,0,0
4580086,0.00883117,0.00856423,0,0,0,0,0.0173954
4580088,0.0176623,0.0599496,0,0,0,0,0.077612
4580098,0.0353247,0.00856423,0.0181818,0,0,0,0.0620707
4580109,0.0353247,0.00856423,0.0181818,0,0,0,0.0620707
4580119,0,0.0256927,0,0.0272436,0,0,0.0529363
4580183,0,0,0.0181818,0,0,0,0.0181818
4580186,0,0,0.0181818,0,0,0,0.0181818
4580195,0,0.0342569,0,0,0,0,0.0342569
4580207,0.0176623,0.0256927,0.00909091,0,0,0,0.0524459
4580296,0,0.0256927,0.00909091,0.045406,0,0,0.0801896
4580302,0,0.0256927,0.0545455,0,0,0,0.0802381
4580314,0.0264935,0.0171285,0,0.0363248,0,0,0.0799468
4580317,0.0176623,0,0,0,0,0,0.0176623
4580327,0.0176623,0,0,0,0,0,0.0176623
4580388,0.0441558,0.0171285,0,0,0,0,0.0612843
4580390,0.0441558,0.0171285,0,0,0,0,0.0612843
4580399,0,0,0.0181818,0.0181624,0,0,0.0363442
4580409,0,0,0.0181818,0.0181624,0,0,0.0363442
4580422,0,0.0428212,0.0181818,0,0,0,0.061003
4580432,0,0.0428212,0.0181818,0,0,0,0.061003
4580491,0,0,0.0454545,0,0,0,0.0454545
4580499,0,0.0428212,0,0,0,0,0.0428212
4580509,0,0.0428212,0,0,0,0,0.0428212
4580522,0.0176623,0,0,0,0,0,0.0176623
4580532,0.0353247,0.0342569,0.0181818,0,0,0,0.0877634
4580593,0.0353247,0.0342569,0.0181818,0,0,0,0.0877634
4580594,0.0706493,0.0342569,0,0.0181624,0,0,0.123069
4580604,0.0264935,0,0.0181818,0.0272436,0,0,0.0719189
4580614,0.0176623,0,0,0.0363248,0,0,0.0539871
4580624,0.0176623,0,0,0.0363248,0,0,0.0539871
4580631,0.0176623,0.0256927,0,0,0,0,0.043355
4580701,0,0.0342569,0.0454545,0,0,0,0.0797115
4580703,0,0.0342569,0.0454545,0,0,0,0.0797115
4580714,0.22961,1.1733,0,0,16.8166,-15,1.40291
4580725,0.0706493,0.0770781,0.118182,0,0,0,0.265909
4580801,0,0,0,0,0,0,0
4580803,0.0706493,0,0.00909091,0,0,0,0.0797403
4580813,0.0441558,0.0428212,0,0,0,0,0.086977
4580825,0,0.00856423,0,0,0,0,0.00856423
4580835,0.052987,0,0,0,0,0,0.052987
4580901,0.0706493,0.0256927,0,0.0544872,0,0,0.150829
4580904,0.0706493,0.0256927,0,0.0544872,0,0,0.150829
4580905,0.00883117,0,0,0,0,0,0.00883117
4580914,0,0,0.0454545,0.0272436,0,0,0.0726981
4580931,0,0,0.0454545,0.0272436,0,0,0.0726981
4580935,0.0264935,0.0171285,0.0636364,0,0,0,0.107258
4581029,0.0264935,0.0171285,0.0636364,0,0,0,0.107258
4581036,0,0,0.0272727,0,0,0,0.0272727
4581046,0.0176623,0.376826,1.77273,2.76068,6.83415,12.5984,4.9279
4581105,0,0.60806,0.554545,0.726496,10.3225,5.34366,1.8891
4581120,0.105974,0.0256927,0.0363636,0.045406,0,0,0.213436
4581130,0.00883117,0,0,0,0,0,0.00883117
4581147,0.0264935,0,0,0,0,0,0.0264935
4581208,0.0618182,0.0256927,0.0545455,0.045406,0,0,0.187462
4581210,0.052987,0,0.0181818,0,0,0,0.0711688
4581219,0.0264935,0,0.0545455,0.045406,0,0,0.126445
4581229,0,0,0.0545455,0,0,0,0.0545455
4581239,0.0706493,0,0.0363636,0.0544872,0,0,0.1615
4581317,0.052987,0,0.00909091,0.045406,0,0,0.107484
4581321,0.0264935,0.00856423,0.00909091,0,0,0,0.0441486
4581331,0.0441558,0,0,0.0363248,0,0,0.0804806
4581342,0,0,0.0181818,0.0363248,0,0,0.0545066
4581352,0,0,0.0181818,0.0363248,0,0,0.0545066
4581422,0,0.0256927,0.00909091,0.045406,0,0,0.0801896
4581424,0.052987,0,0.00909091,0.0090812,0,0,0.0711591
4581441,0,0.556675,0.809091,1.24412,9.49952,8.60116,2.60989
4581451,0,0,0.0909091,0.0272436,0,0,0.118153
4581523,0.0264935,0,0.172727,0.163462,0,0,0.362682
4581525,0.132468,0.119899,0,0,0,0,0.252367
4581547,0.123636,0.0428212,0,0.0363248,0,0,0.202782
4581557,0.0264935,0,0,0.0363248,0,0,0.0628183
4581618,0.0353247,0,0,0.0363248,0,0,0.0716495
4581619,0,0.00856423,0,0.0363248,0,0,0.044889
4581636,0.0264935,0,0,0.045406,0,0,0.0718995
4581646,0.0353247,0,0,0.0090812,0,0,0.0444059
4581656,0.0353247,0,0,0.0090812,0,0,0.0444059
4581725,0.0176623,0,0.00909091,0.0635684,0,0,0.0903216
4581728,0.052987,0,0,0,0,0,0.052987
4581738,0,0,0.00909091,0.0090812,0,0,0.0181721
4581826,0.0353247,0,0.00909091,0.108974,0,0,0.15339
4581836,0.326753,1.22469,1.96364,8.76335,15.6731,11.2094,12.2784
4581858,0.353247,1.09622,2.14545,9.28098,15.297,11.6228,12.8759
4581929,0.353247,1.09622,2.14545,9.28098,15.297,11.6228,12.8759
4581932,0.344416,1.16474,2.3,9.76229,15.2574,11.664,13.5714
4581942,0.45039,1.43879,3.15455,13.3221,15.1858,11.9141,18.3658
4581952,0.494545,1.33602,3.28182,13.6763,14.9504,12.0771,18.7887
4581969,0.494545,1.39597,3.36364,13.7762,14.8631,12.0197,19.0303
4582031,0.494545,1.39597,3.36364,13.7762,14.8631,12.0197,19.0303
4582041,0.706493,2.43224,3.85455,16.4733,15.2818,10.9874,23.4666
