ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
221706,0,0,0,0,0,0,0
221716,0,0,0.0273165,0,0,0,0.0273165
221726,0,0,0,0.00909577,0,0,0.00909577
221736,0,0,0,0.00909577,0,0,0.00909577
221747,0.00879007,0.0428427,0,0,0,0,0.0516328
221757,0,0,0,0,0,0,0
221775,0,0.0257056,0,0,0,0,0.0257056
221785,0,0.0257056,0,0,0,0,0.0257056
221794,0,0,0,0,0,0,0
221804,0,0,0,0,0,0,0
221827,0,0.00856855,0,0.0272873,0,0,0.0358559
221837,0,0.00856855,0,0,0,0,0.00856855
221856,0,0,0.0273165,0,0,0,0.0273165
221866,0,0,0.0273165,0,0,0,0.0273165
221897,0,0.0171371,0,0,0,0,0.0171371
221907,0,0.0514113,0,0,0,0,0.0514113
221917,0.0175801,0.0342742,0,0,0,0,0.0518543
221927,0.0175801,0.0342742,0,0,0,0,0.0518543
221937,0,0,0,0,0,0,0
221959,0.00879007,0.0514113,0,0,0,0,0.0602014
221969,0,0,0,0,0,0,0
221980,0,0,0,0,0,0,0
221989,0,0,0,0,0,0,0
222000,0,0.0257056,0,0,0,0,0.0257056
222010,0,0.0257056,0,0,0,0,0.0257056
222020,0.0175801,0,0.00910552,0,0,0,0.0266857
222030,0.0175801,0,0.00910552,0,0,0,0.0266857
222040,0,0,0.0273165,0,0,0,0.0273165
222050,0,0,0,0,0,0,0
222059,0,0,0,0,0,0,0
222070,0,0.0685484,0,0,0,0,0.0685484
222080,0,0.00856855,0.018211,0,0,0,0.0267796
222089,0,0.00856855,0.018211,0,0,0,0.0267796
222099,0,0.0171371,0.018211,0,0,0,0.0353481
222118,0.00879007,0.0171371,0,0,0,0,0.0259272
222128,0,0,0,0.0272873,0,0,0.0272873
222138,0,0,0,0.0272873,0,0,0.0272873
222148,0,0,0,0,0,0,0
222158,0,0,0.0273165,0,0,0,0.0273165
222168,0,0,0.0273165,0,0,0,0.0273165
222178,0.00879007,0,0,0,0,0,0.00879007
222199,0,0.00856855,0,0.00909577,0,0,0.0176643
222208,0.0175801,0.0171371,0.0273165,0,0,0,0.0620338
222219,0.0175801,0.0171371,0.0273165,0,0,0,0.0620338
222229,0,0,0,0,0,0,0
222258,0.0175801,0,0,0,0,0,0.0175801
222265,0.0175801,0,0,0,0,0,0.0175801
222267,0,0.0171371,0,0,0,0,0.0171371
222278,0,0,0,0,0,0,0
222287,0,0.00856855,0,0,0,0,0.00856855
222297,0,0.00856855,0,0,0,0,0.00856855
222307,0,0.00856855,0,0,0,0,0.00856855
222317,0,0.00856855,0,0,0,0,0.00856855
222327,0,0.0257056,0.018211,0,0,0,0.0439167
