ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
184039,0,0,0,0,0,0,0
184045,0,0,0,0,0,0,0
184048,0.00878553,0,0.0273019,0,0,0,0.0360875
184070,0,0,0,0,0,0,0
184080,0,0,0,0,0,0,0
184090,0.00878553,0,0.0182013,0,0,0,0.0269868
184100,0,0,0,0,0,0,0
184123,0,0,0.0273019,0.0181818,0,0,0.0454837
184139,0,0,0,0,0,0,0
184149,0,0,0.0182013,0,0,0,0.0182013
184160,0,0,0.0182013,0,0,0,0.0182013
184170,0,0,0,0,0,0,0
184180,0,0,0,0,0,0,0
184190,0,0,0,0,0,0,0
184200,0,0,0.0364026,0,0,0,0.0364026
184210,0,0,0.0364026,0,0,0,0.0364026
184220,0.0175711,0,0,0.0272727,0,0,0.0448438
184230,0,0,0,0,0,0,0
184253,0,0,0,0.00909091,0,0,0.00909091
184264,0,0,0.00910064,0,0,0,0.00910064
184268,0,0,0.00910064,0,0,0,0.00910064
184283,0.0175711,0,0,0,0,0,0.0175711
184293,0.0175711,0,0,0,0,0,0.0175711
184303,0,0,0,0.00909091,0,0,0.00909091
184313,0,0,0.0637045,0,0,0,0.0637045
184332,0.00878553,0,0,0,0,0,0.00878553
184342,0,0,0.0364026,0,0,0,0.0364026
184352,0,0,0.0364026,0,0,0,0.0364026
184362,0,0,0.0455032,0.00909091,0,0,0.0545941
184378,0,0,0.0273019,0,0,0,0.0273019
184407,0,0,0.0273019,0,0,0,0.0273019
184413,0,0,0.0273019,0,0,0,0.0273019
184423,0,0,0.00910064,0,0,0,0.00910064
184433,0,0,0.00910064,0,0,0,0.00910064
184443,0.0263566,0,0.0637045,0,0,0,0.0900611
184453,0.0263566,0,0.0637045,0,0,0,0.0900611
184463,0,0,0.00910064,0,0,0,0.00910064
184473,0,0,0.0182013,0,0,0,0.0182013
184489,0,0,0,0,0,0,0
184499,0,0,0,0,0,0,0
184509,0,0,0,0,0,0,0
184520,0,0.0086076,0.00910064,0,0,0,0.0177082
184529,0,0.0086076,0.00910064,0,0,0,0.0177082
184539,0,0,0,0,0,0,0
184549,0,0,0.0455032,0.00909091,0,0,0.0545941
184560,0,0,0.0455032,0.00909091,0,0,0.0545941
184569,0,0,0,0,0,0,0
184594,0,0,0,0,0,0,0
184605,0,0,0.0182013,0.0272727,0,0,0.045474
184615,0,0,0.0182013,0.0272727,0,0,0.045474
184625,0,0,0.0637045,0,0,0,0.0637045
184635,0,0,0.0182013,0,0,0,0.0182013
184645,0,0,0.0182013,0,0,0,0.0182013
184655,0,0,0.0273019,0.0545455,0,0,0.0818474
184665,0,0,0.0273019,0.0545455,0,0,0.0818474
184679,0.00878553,0,0.0182013,0,0,0,0.0269868
184682,0,0,0.0364026,0,0,0,0.0364026
184691,0,0,0.0364026,0,0,0,0.0364026
184702,0,0,0.0546039,0,0,0,0.0546039
184712,0,0,0.00910064,0,0,0,0.00910064
184722,0,0,0.00910064,0,0,0,0.00910064
184732,0,0,0,0,0,0,0
184742,0,0,0,0,0,0,0
184774,0,0,0.0819058,0,0,0,0.0819058
184780,0,0,0,0,0,0,0
184782,0,0,0,0,0,0,0
184792,0,0,0,0,0,0,0
184814,0,0,0,0,0,0,0
184824,0,0,0,0,0,0,0
184834,0,0,0,0,0,0,0
184844,0,0,0,0,0,0,0
184866,0,0,0,0,0,0,0
184872,0,0,0,0,0,0,0
184893,0,0,0.0182013,0.0454545,0,0,0.0636558
184915,0,0,0,0,0,0,0
184925,0,0,0.0455032,0,0,0,0.0455032
184942,0,0,0.0455032,0,0,0,0.0455032
184951,0,0,0,0,0,0,0
184961,0,0,0,0,0,0,0
184972,0,0,0.0273019,0,0,0,0.0273019
184995,0,0,0,0,0,0,0
185006,0,0,0.0273019,0.00909091,0,0,0.0363928
185016,0,0,0.0273019,0.00909091,0,0,0.0363928
185026,0.0351421,0,0,0,0,0,0.0351421
185036,0,0,0,0,0,0,0
185058,0,0,0,0.0272727,0,0,0.0272727
185068,0,0,0,0.0272727,0,0,0.0272727
185078,0.0351421,0,0.00910064,0,0,0,0.0442428
185088,0,0,0.00910064,0,0,0,0.00910064
185104,0,0,0,0,0,0,0
185115,0,0,0.0546039,0,0,0,0.0546039
185145,0,0,0.0546039,0,0,0,0.0546039
185145,0,0,0.0273019,0,0,0,0.0273019
185155,0,0,0.0455032,0,0,0,0.0455032
185165,0,0,0.0546039,0,0,0,0.0546039
185176,0,0,0.0546039,0,0,0,0.0546039
185187,0,0,0.0182013,0,0,0,0.0182013
185196,0.0351421,0,0.00910064,0,0,0,0.0442428
185206,0.0351421,0,0.00910064,0,0,0,0.0442428
185216,0,0,0.0364026,0,0,0,0.0364026
185226,0,0,0.0364026,0,0,0,0.0364026
185236,0,0,0.0182013,0,0,0,0.0182013
185246,0,0,0,0,0,0,0
185269,0,0,0.00910064,0,0,0,0.00910064
185285,0.00878553,0,0,0,0,0,0.00878553
185295,0,0,0.0273019,0.0181818,0,0,0.0454837
185305,0,0,0.0273019,0.0181818,0,0,0.0454837
185315,0,0,0,0,0,0,0
185325,0,0,0,0,0,0,0
185351,0,0,0.0455032,0,0,0,0.0455032
185368,0,0,0.00910064,0,0,0,0.00910064
185378,0,0,0,0,0,0,0
185388,0,0,0,0,0,0,0
185398,0,0,0.00910064,0,0,0,0.00910064
185408,0,0,0,0,0,0,0
185418,0,0,0,0,0,0,0
185428,0.00878553,0,0.0273019,0,0,0,0.0360875
185438,0.00878553,0,0.0273019,0,0,0,0.0360875
185448,0,0,0.0637045,0,0,0,0.0637045
185458,0,0,0.00910064,0.0181818,0,0,0.0272825
185468,0,0,0.00910064,0.0181818,0,0,0.0272825
185478,0,0,0.0364026,0,0,0,0.0364026
185509,0,0,0.0364026,0,0,0,0.0364026
185515,0,0,0.0364026,0,0,0,0.0364026
185531,0,0,0.0273019,0,0,0,0.0273019
185541,0.00878553,0,0.00910064,0,0,0,0.0178862
185551,0.00878553,0,0.00910064,0,0,0,0.0178862
185561,0.00878553,0,0.0182013,0,0,0,0.0269868
185572,0,0,0.0728051,0.0181818,0,0,0.090987
185581,0,0,0.0728051,0.0181818,0,0,0.090987
185591,0,0,0.0273019,0,0,0,0.0273019
185608,0,0,0,0,0,0,0
185618,0,0,0.0182013,0,0,0,0.0182013
185630,0,0,0.0182013,0,0,0,0.0182013
185640,0,0,0.00910064,0,0,0,0.00910064
185650,0,0,0,0,0,0,0
185666,0.00878553,0,0.0273019,0,0,0,0.0360875
185689,0,0,0,0,0,0,0
185699,0,0,0.0546039,0.0272727,0,0,0.0818766
185713,0,0,0.0546039,0.0272727,0,0,0.0818766
185724,0,0,0.0364026,0,0,0,0.0364026
185728,0,0,0.0182013,0,0,0,0.0182013
185750,0,0,0.0273019,0.00909091,0,0,0.0363928
185761,0,0,0.0273019,0.00909091,0,0,0.0363928
185771,0.0175711,0,0,0,0,0,0.0175711
185781,0,0,0,0,0,0,0
185798,0,0,0.00910064,0,0,0,0.00910064
185808,0.0175711,0,0.0728051,0,0,0,0.0903762
185824,0.0175711,0,0.0728051,0,0,0,0.0903762
185828,0,0,0.0364026,0,0,0,0.0364026
185843,0,0,0.0364026,0,0,0,0.0364026
185889,0,0,0.00910064,0,0,0,0.00910064
185891,0,0,0.0273019,0,0,0,0.0273019
185900,0,0,0.0273019,0,0,0,0.0273019
185910,0,0,0,0,0,0,0
185933,0,0,0,0,0,0,0
185946,0,0,0,0,0,0,0
185954,0,0,0,0,0,0,0
185964,0.0175711,0.0086076,0.0182013,0.0363636,0,0,0.0807436
185974,0.0175711,0.0086076,0.0182013,0.0363636,0,0,0.0807436
185984,0,0,0,0,0,0,0
185994,0,0,0,0,0,0,0
186004,0,0,0,0,0,0,0
186014,0,0,0,0,0,0,0
186031,0,0,0.0455032,0,0,0,0.0455032
186034,0,0,0.0455032,0,0,0,0.0455032
186045,0,0,0.0182013,0,0,0,0.0182013
186055,0,0,0.0182013,0,0,0,0.0182013
186065,0,0,0,0,0,0,0
186075,0,0,0.0637045,0,0,0,0.0637045
186085,0,0,0.0637045,0,0,0,0.0637045
186095,0,0,0,0,0,0,0
186105,0,0,0,0,0,0,0
186115,0,0,0,0,0,0,0
186125,0,0,0.0455032,0.00909091,0,0,0.0545941
186141,0,0,0,0,0,0,0
186153,0.00878553,0,0,0.00909091,0,0,0.0178764
186175,0,0,0.0182013,0,0,0,0.0182013
186185,0.0175711,0,0.0455032,0,0,0,0.0630743
186201,0.00878553,0,0.0455032,0,0,0,0.0542887
186212,0,0,0,0,0,0,0
186244,0,0,0,0,0,0,0
186250,0,0,0,0,0,0,0
186254,0,0,0.0182013,0,0,0,0.0182013
186264,0,0.0086076,3.04872,6.41818,8.91265,14.9727,9.4755
186274,0,0.0086076,3.04872,6.41818,8.91265,14.9727,9.4755
186284,0,0.912405,1.00107,0.463636,3.94355,3.48512,2.37711
186294,0,0.292658,0.0182013,0.454545,23.811,3.52928,0.765405
186316,0.289922,0.826329,0.291221,0.627273,10.7195,-1.45786,2.03474
186326,0.289922,0.826329,0.291221,0.627273,10.7195,-1.45786,2.03474
186337,0.360207,1.05873,0.245717,0.581818,11.5139,-3.94889,2.24648
186347,0.263566,0.938228,0.154711,0.527273,13.8979,-4.1391,1.88378
186358,0.263566,0.938228,0.154711,0.527273,13.8979,-4.1391,1.88378
