ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1201464,0.00881743,0,0,0,0,0,0.00881743
1201473,0.00881743,0,0,0,0,0,0.00881743
1201483,0,0,0,0,0,0,0
1201508,0,0,0.00912017,0,0,0,0.00912017
1201511,0.00881743,0,0,0,0,0,0.00881743
1201525,0.00881743,0,0,0,0,0,0.00881743
1201535,0,0,0,0,0,0,0
1201545,0,0,0,0,0,0,0
1201559,0,0,0,0,0,0,0
1201573,0,0,0.00912017,0,0,0,0.00912017
1201583,0,0,0,0,0,0,0
1201593,0,0.00857287,0.00912017,0,0,0,0.017693
1201603,0,0.00857287,0.00912017,0,0,0,0.017693
1201613,0,0,0,0,0,0,0
1201624,0,0,0,0,0,0,0
1201633,0,0,0,0,0,0,0
1201643,0.0440871,0,0,0.00910552,0,0,0.0531927
1201653,0.0440871,0,0,0.00910552,0,0,0.0531927
1201684,0.0176349,0,0,0,0,0,0.0176349
1201689,0,0,0,0,0,0,0
1201693,0.00881743,0,0,0,0,0,0.00881743
1201708,0.00881743,0,0,0,0,0,0.00881743
1201719,0,0,0,0,0,0,0
1201730,0,0,0,0,0,0,0
1201744,0.061722,0.0171457,0,0,0,0,0.0788677
1201754,0,0,0,0,0,0,0
1201764,0,0,0,0,0,0,0
1201774,0,0,0,0,0,0,0
1201785,0,0,0,0,0,0,0
1201794,0.00881743,0,0,0,0,0,0.00881743
1201805,0,0,0,0,0,0,0
1201827,0,0,0,0,0,0,0
1201837,0.00881743,0.0257186,0,0,0,0,0.034536
1201847,0.00881743,0.0257186,0,0,0,0,0.034536
1201857,0,0,0,0,0,0,0
1201869,0,0,0,0,0,0,0
1201879,0.00881743,0,0,0,0,0,0.00881743
1201889,0,0,0,0,0,0,0
1201899,0,0,0,0,0,0,0
1201909,0,0,0,0.018211,0,0,0.018211
1201919,0,0,0,0,0,0,0
1201938,0.00881743,0,0,0,0,0,0.00881743
