ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1166995,0,0,0,0.054429,0,0,0.054429
1167005,0,0,0,0.018143,0,0,0.018143
1167015,0,0,0,0.018143,0,0,0.018143
1167025,0,0,0,0.0907151,0,0,0.0907151
1167035,0.0176257,0,0.0090812,0.0997865,0,0,0.126493
1167045,0.0176257,0,0.0090812,0.0997865,0,0,0.126493
1167055,0.0705029,0,0.0363248,0.072572,0,0,0.1794
1167065,0.0705029,0,0.0363248,0.072572,0,0,0.1794
1167075,0.0176257,0,0,0.036286,0,0,0.0539117
1167085,0,0,0.0363248,0.0272145,0,0,0.0635393
1167095,0,0,0.0363248,0.0272145,0,0,0.0635393
1167105,0.06169,0,0,0.0453575,0,0,0.107048
1167139,0,0.0342742,0,0.072572,0,0,0.106846
1167145,0,0.0342742,0,0.072572,0,0,0.106846
1167155,0,0,0,0.0453575,0,0,0.0453575
1167165,0,0,0.0272436,0.0635005,0,0,0.0907441
1167181,0.00881286,0.0171371,0.0635684,0.0090715,0,0,0.0985898
1167191,0,0,0.0090812,0.054429,0,0,0.0635102
1167214,0,0,0.0272436,0.054429,0,0,0.0816726
1167224,0,0,0.0272436,0.054429,0,0,0.0816726
1167234,0.0176257,0,0.045406,0.0907151,0,0,0.153747
1167244,0.0352514,0,0.0363248,0.0453575,0,0,0.116934
1167254,0.0352514,0,0.0363248,0.0453575,0,0,0.116934
1167264,0.0264386,0,0.0726496,0.0272145,0,0,0.126303
1167275,0.0176257,0,0.0272436,0.072572,0,0,0.117441
1167300,0.00881286,0,0,0.072572,0,0,0.0813849
1167304,0.00881286,0,0,0.072572,0,0,0.0813849
1167313,0,0,0,0.0635005,0,0,0.0635005
1167323,0,0,0.0181624,0.0816435,0,0,0.0998059
1167333,0,0,0.0181624,0.0816435,0,0,0.0998059
1167342,0,0,0,0.018143,0,0,0.018143
1167352,0.0176257,0,0,0.0272145,0,0,0.0448402
1167376,0,0,0,0.0272145,0,0,0.0272145
1167386,0,0,0,0.0272145,0,0,0.0272145
1167396,0,0.0257056,0.0090812,0.0816435,0,0,0.11643
1167407,0,0,0.0272436,0.0090715,0,0,0.0363151
1167417,0,0,0.0272436,0.0090715,0,0,0.0363151
1167427,0,0,0,0.0090715,0,0,0.0090715
1167439,0,0,0,0.0090715,0,0,0.0090715
1167447,0.00881286,0,0,0.054429,0,0,0.0632419
1167457,0,0,0.0272436,0.0997865,0,0,0.12703
1167474,0.0264386,0,0.0181624,0.0635005,0,0,0.108101
1167506,0.0176257,0,0.0090812,0.11793,0,0,0.144636
1167513,0.0176257,0,0.0090812,0.11793,0,0,0.144636
1167529,0,0,0.0726496,0.054429,0,0,0.127079
1167539,0,0.0171371,0.0363248,0.0635005,0,0,0.116962
1167555,0.0176257,0,0.045406,0.0272145,0,0,0.0902462
1167565,0,0,0,0.054429,0,0,0.054429
1167587,0,0,0,0.036286,0,0,0.036286
1167597,0,0,0,0.0907151,0,0,0.0907151
1167620,0.0528771,0,0,0.0272145,0,0,0.0800917
1167630,0.0528771,0,0,0.0272145,0,0,0.0800917
1167640,0,0,0,0.0635005,0,0,0.0635005
1167650,0.0440643,0.00856855,0.0363248,0.0453575,0,0,0.134315
1167666,0,0.0171371,0,0.018143,0,0,0.0352801
1167676,0.0176257,0,0.0363248,0.0635005,0,0,0.117451
1167686,0.0176257,0,0.0363248,0.0635005,0,0,0.117451
1167696,0,0,0,0.018143,0,0,0.018143
1167706,0,0,0,0.018143,0,0,0.018143
1167717,0,0,0,0.0453575,0,0,0.0453575
1167726,0.0176257,0,0,0.0453575,0,0,0.0629832
1167736,0.0176257,0,0,0.0453575,0,0,0.0629832
1167746,0,0,0.0181624,0.0453575,0,0,0.0635199
1167756,0,0,0.0181624,0.0453575,0,0,0.0635199
1167766,0,0,0.0363248,0.0453575,0,0,0.0816823
1167776,0,0,0,0.036286,0,0,0.036286
1167787,0,0,0,0.036286,0,0,0.036286
1167797,0,0,0.0363248,0.0816435,0,0,0.117968
1167807,0,0,0.0181624,0.036286,0,0,0.0544484
1167818,0,0,0.0181624,0.036286,0,0,0.0544484
1167827,0,0,0,0.0816435,0,0,0.0816435
1167837,0,0,0,0.0816435,0,0,0.0816435
1167847,0,0,0.0181624,0.036286,0,0,0.0544484
1167880,0.0176257,0.0257056,0,0.036286,0,0,0.0796174
1167890,0,0,0,0.036286,0,0,0.036286
1167900,0,0,0,0.036286,0,0,0.036286
1167910,0,0,0,0,0,0,0
1167926,0.0176257,0,0.045406,0.0453575,0,0,0.108389
1167936,0.0176257,0,0,0.036286,0,0,0.0539117
1167946,0.0176257,0,0,0.036286,0,0,0.0539117
1167957,0,0,0.0090812,0.0635005,0,0,0.0725817
1167966,0,0.00856855,0.0090812,0.0272145,0,0,0.0448643
1167976,0,0.00856855,0.0090812,0.0272145,0,0,0.0448643
1167994,0,0,0,0.0453575,0,0,0.0453575
1167997,0,0,0,0.0453575,0,0,0.0453575
1168013,0,0,0.0272436,0.0090715,0,0,0.0363151
1168022,0,0,0.0090812,0.054429,0,0,0.0635102
1168032,0,0,0.0090812,0.054429,0,0,0.0635102
1168042,0.0440643,0,0,0.0453575,0,0,0.0894218
1168052,0,0,0.0272436,0,0,0,0.0272436
1168069,0.0176257,0.0342742,0.045406,0.0816435,0,0,0.178949
1168091,0,0,0.0363248,0.072572,0,0,0.108897
1168102,0,0,0.0272436,0.018143,0,0,0.0453866
1168119,0,0,0,0.054429,0,0,0.054429
1168130,0,0,0,0.054429,0,0,0.054429
1168139,0,0,0.0726496,0.0272145,0,0,0.0998641
1168149,0,0,0,0.0453575,0,0,0.0453575
1168159,0,0,0,0.0453575,0,0,0.0453575
1168169,0,0,0.0272436,0.054429,0,0,0.0816726
1168179,0,0.0171371,0.0635684,0.0997865,0,0,0.180492
1168201,0,0,0.0363248,0.072572,0,0,0.108897
1168242,0,0,0,0.0635005,0,0,0.0635005
1168248,0,0,0.0181624,0.0453575,0,0,0.0635199
1168258,0,0,0.0272436,0.0816435,0,0,0.108887
1168268,0,0,0.0272436,0.0816435,0,0,0.108887
1168277,0,0,0.0090812,0.0635005,0,0,0.0725817
1168300,0,0,0,0.0635005,0,0,0.0635005
1168310,0,0,0.0181624,0.018143,0,0,0.0363054
1168333,0.0352514,0.0257056,0,0.0272145,0,0,0.0881716
1168342,0.0352514,0,0,0.0453575,0,0,0.0806089
1168352,0.0352514,0,0,0.0453575,0,0,0.0806089
1168362,0.06169,0.0257056,0.0090812,0.0816435,0,0,0.17812
1168378,0,0.00856855,0.0181624,0.054429,0,0,0.08116
1168389,0,0,0.0181624,0.054429,0,0,0.0725914
1168399,0,0,0.0181624,0.054429,0,0,0.0725914
1168409,0.0264386,0,0.0363248,0.0090715,0,0,0.0718349
1168419,0.00881286,0,0.045406,0.0816435,0,0,0.135862
1168435,0.00881286,0,0.045406,0.0816435,0,0,0.135862
1168445,0.0264386,0.00856855,0.0272436,0.108858,0,0,0.171109
1168461,0.0176257,0,0,0.0453575,0,0,0.0629832
1168471,0,0,0,0.0816435,0,0,0.0816435
1168481,0,0,0,0.0816435,0,0,0.0816435
1168491,0,0,0,0.054429,0,0,0.054429
1168501,0,0,0.0181624,0.054429,0,0,0.0725914
1168524,0,0.0514113,0,0.0453575,0,0,0.0967688
1168530,0,0.0514113,0,0.0453575,0,0,0.0967688
1168540,0,0,0.0726496,0.072572,0,0,0.145222
1168550,0.0264386,0.0171371,0,0.072572,0,0,0.116148
1168560,0.0264386,0.0171371,0,0.072572,0,0,0.116148
1168570,0,0.0171371,0,0.0272145,0,0,0.0443516
1168580,0,0,0,0.0635005,0,0,0.0635005
1168608,0,0,0,0.0635005,0,0,0.0635005
1168615,0,0,0,0.0635005,0,0,0.0635005
1168625,0.00881286,0,0.0272436,0.0272145,0,0,0.063271
1168631,0,0,0.0272436,0.0997865,0,0,0.12703
1168646,0,0,0.0272436,0.0997865,0,0,0.12703
1168656,0,0,0.0090812,0.036286,0,0,0.0453672
