ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2804368,5.28889,2.82862,16.7045,12.4061,-4.53869,8.45857,37.2281
2804378,5.34286,2.7909,17.0097,11.8438,-5.21659,8.40278,36.9872
2804388,5.50476,2.83805,17.0583,11.3766,-5.6749,8.19466,36.7777
2804398,5.50476,2.83805,17.0583,11.3766,-5.6749,8.19466,36.7777
2804408,5.55873,2.80033,17.5049,11.0132,-6.27084,8.1998,36.8772
2804418,5.70984,2.73433,17.8447,10.6845,-6.85338,8.14843,36.9733
2804428,5.70984,2.73433,17.8447,10.6845,-6.85338,8.14843,36.9733
2804438,5.73143,2.73433,18.3883,10.174,-7.56951,8.14109,37.0282
2804448,5.73143,2.73433,18.3883,10.174,-7.56951,8.14109,37.0282
2804458,5.70984,2.76262,18.8932,9.64631,-8.2366,8.13266,37.012
2804468,5.7746,2.69662,19.5243,9.16183,-9.04292,8.16053,37.1573
2804478,5.7746,2.69662,19.5243,9.16183,-9.04292,8.16053,37.1573
2804488,5.81778,2.71547,20.1845,8.75522,-9.6947,8.16847,37.4729
2804498,5.81778,2.71547,20.1845,8.75522,-9.6947,8.16847,37.4729
2804508,5.83937,2.66833,20.5534,8.44377,-10.1858,8.19472,37.5049
2804518,5.9473,2.66833,20.7961,8.27939,-10.4771,8.14245,37.6911
2804540,5.7746,2.54576,21.2427,8.00254,-10.9602,8.35534,37.5656
2804550,5.72063,2.5269,21.7282,7.93333,-11.2035,8.47316,37.909
2804588,5.67746,2.43261,22.2233,7.91603,-11.4722,8.63906,38.2494
2804594,5.67746,2.43261,22.2233,7.91603,-11.4722,8.63906,38.2494
2804596,5.54794,2.38547,23.0388,7.82952,-11.837,8.8662,38.8018
2804606,5.54794,2.38547,23.0388,7.82952,-11.837,8.8662,38.8018
2804615,5.45079,2.36661,23.6505,7.79491,-12.0596,9.02686,39.2628
2804625,5.47238,2.28175,24.3495,7.85547,-12.3155,9.17845,39.9591
2804642,5.47238,2.28175,24.3495,7.85547,-12.3155,9.17845,39.9591
2804646,5.56952,2.27232,24.534,7.84682,-12.4211,9.15117,40.2226
2804667,5.49397,2.19689,24.466,7.80356,-12.4871,9.22614,39.9604
2804677,5.53714,2.17804,24.4757,7.63053,-12.6843,9.18767,39.8214
2804687,5.53714,2.17804,24.4757,7.63053,-12.6843,9.18767,39.8214
2804697,5.42921,2.17804,24.4854,7.45751,-12.8186,9.22968,39.5502
2804707,5.46159,2.11204,24.1456,7.31908,-12.9207,9.17986,39.0383
2804716,5.46159,2.11204,24.1456,7.31908,-12.9207,9.17986,39.0383
2804727,5.32127,2.08375,23.7961,7.14606,-12.9655,9.20686,38.3472
2804736,5.32127,2.08375,23.7961,7.14606,-12.9655,9.20686,38.3472
2804748,5.29968,2.07432,23.4951,6.90382,-13.1157,9.14343,37.773
2804758,5.2673,1.9706,23.5146,6.87786,-13.2429,9.22973,37.6303
2804780,5.21333,2.03661,23.4369,6.92977,-13.0819,9.21803,37.6166
2804790,5.21333,2.03661,23.4757,6.92977,-13.0942,9.22399,37.6554
2804800,5.18095,1.95175,23.4757,6.89517,-13.2052,9.29438,37.5036
2804811,5.13778,1.96118,23.4563,6.76539,-13.3087,9.29355,37.3207
2804833,5.0946,1.93289,23.6893,6.60967,-13.557,9.35187,37.3265
2804837,4.9219,1.87632,23.9029,6.62697,-13.6101,9.53638,37.3281
2804852,4.9219,1.87632,23.9029,6.62697,-13.6101,9.53638,37.3281
2804861,4.76,1.89517,24.0971,6.55776,-13.672,9.64875,37.31
2804872,4.76,1.89517,24.0971,6.55776,-13.672,9.64875,37.31
2804882,4.61968,1.79146,24.1068,6.42799,-13.8764,9.79417,36.9459
2804892,4.70603,1.75374,24.301,6.44529,-13.9816,9.79135,37.206
2804902,4.70603,1.75374,24.301,6.44529,-13.9816,9.79135,37.206
2804912,4.76,1.85746,24.4272,6.41934,-13.9537,9.70094,37.464
2804923,4.81397,1.84803,24.4369,6.50585,-13.8925,9.68525,37.6047
2804955,4.81397,1.84803,24.4369,6.50585,-13.8925,9.68525,37.6047
2804962,4.65206,1.81974,24.4854,6.69618,-13.6917,9.84365,37.6534
2804972,4.51175,1.91403,24.2233,7.00763,-13.1539,9.88077,37.6567
2804994,4.51175,1.86689,23.9612,7.22392,-12.8995,9.90575,37.5637
2804998,4.57651,1.84803,23.6408,7.53537,-12.5223,9.87413,37.6007
2805013,4.57651,1.84803,23.6408,7.53537,-12.5223,9.87413,37.6007
2805023,4.53333,1.9046,23.068,7.67379,-12.1188,9.80528,37.1797
2805033,4.53333,1.9046,23.068,7.67379,-12.1188,9.80528,37.1797
2805043,4.44698,1.86689,22.7282,7.86412,-11.8165,9.86763,36.9062
2805053,4.45778,1.88575,22.466,8.30534,-11.2709,9.87252,37.1149
2805070,4.27429,1.85746,22.1942,8.75522,-10.6899,10.0392,37.0811
2805080,4.20952,1.93289,21.7282,9.28295,-9.90609,10.0402,37.1535
2805090,4.20952,1.93289,21.7282,9.28295,-9.90609,10.0402,37.1535
2805101,4.12317,1.87632,21.1845,9.92315,-9.10079,10.1496,37.1071
2805112,4.12317,1.87632,21.1845,9.92315,-9.10079,10.1496,37.1071
2805121,4.01524,1.94232,20.7184,10.4768,-8.28639,10.1894,37.1528
