ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2742152,5.29032,0.838692,21.4854,2.54392,-19.3919,8.90317,30.1584
2742168,5.51613,0.951774,21.2136,2.50051,-19.2809,8.5711,30.182
2742178,5.63441,1.17794,21.2718,2.52656,-18.949,8.32358,30.6107
2742187,5.63441,1.17794,21.2718,2.52656,-18.949,8.32358,30.6107
2742198,5.77419,1.38525,20.9515,2.6047,-18.505,8.00735,30.7156
2742220,5.74194,1.602,20.4272,3.25587,-17.1715,7.89915,31.027
2742230,5.60215,1.80931,21.4563,8.09193,-11.6054,8.98416,36.9597
2742240,5.60215,1.80931,21.4563,8.09193,-11.6054,8.98416,36.9597
2742250,5.19355,1.2816,20.068,7.97906,-11.5874,9.37305,34.5222
2742260,5.32258,1.45122,18.767,7.97906,-10.9333,8.9375,33.5199
2742271,5.32258,1.45122,18.767,7.97906,-10.9333,8.9375,33.5199
2742281,5.22581,1.73392,17.932,8.29162,-9.89373,8.70794,33.1834
2742291,5.22581,1.73392,17.932,8.29162,-9.89373,8.70794,33.1834
2742301,5.21505,1.79047,17.2136,8.58682,-9.18382,8.59367,32.8059
2742311,5.02151,1.87528,17.3981,9.3856,-8.28277,8.85687,33.6804
2742334,4.75269,1.84701,17.6699,10.2886,-7.44182,9.27079,34.5582
2742344,4.75269,1.84701,17.6699,10.2886,-7.44182,9.27079,34.5582
2742354,4.24731,1.63969,18.4272,11.3131,-6.82184,10.0428,35.6273
2742370,3.7957,1.42295,19.1068,12.0858,-6.44976,10.7002,36.4112
2742380,3.58065,1.39468,19.1942,12.9801,-5.65286,10.9822,37.1496
2742392,3.6129,1.48891,18.7476,13.7268,-4.75355,10.9268,37.5761
2742403,3.6129,1.48891,18.7476,13.7268,-4.75355,10.9268,37.5761
2742415,3.74194,1.65854,17.7864,14.3519,-3.67481,10.6841,37.5388
2742427,3.91398,1.89412,16.5214,14.4995,-2.74359,10.2689,36.829
2742435,3.91398,1.89412,16.5214,14.4995,-2.74359,10.2689,36.829
2742445,4.49462,2.09202,14.7358,14.3693,-1.93963,9.46372,35.6917
2742455,4.49462,2.09202,14.7358,14.3693,-1.93963,9.46372,35.6917
2742488,5.37634,2.3653,12.4164,14.3519,-0.779128,8.27006,34.5099
2742492,6.76344,2.88359,6.69139,15.5935,3.93198,5.93662,31.9319
2742506,7.37634,2.88359,4.31673,16.5919,6.24222,5.12474,31.1686
2742517,7.37634,2.9684,4.31673,16.5919,6.29312,5.07013,31.2534
2742526,7.66667,3.26053,3.11099,17.2323,7.76707,4.51678,31.2705
2742536,7.66667,3.26053,3.11099,17.2323,7.76707,4.51678,31.2705
2742546,7.76344,3.40188,2.64158,17.3485,8.30143,4.24875,31.1554
2742556,7.56989,3.52439,2.51272,17.4744,8.7803,4.29171,31.0814
