ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3308998,5.36842,3.46401,12.1219,14.5628,0.377595,7.53957,35.5171
3309007,5.36842,3.46401,12.1219,14.5628,0.377595,7.53957,35.5171
3309017,5.17438,3.43577,13.0022,15.1179,0.256664,7.96751,36.7302
3309028,4.75396,3.0969,13.1947,15.5776,0.495431,8.56893,36.6231
3309039,4.75396,3.0969,13.1947,15.5776,0.495431,8.56893,36.6231
3309049,4.61382,3.12514,13.3873,16.3842,1.00521,8.81055,37.5104
3309072,4.22575,2.93688,12.8463,17.1452,2.0254,9.21656,37.1541
3309082,4.05327,2.93688,12.2686,17.9003,3.03785,9.35658,37.1591
3309092,4.05327,2.93688,12.2686,17.9003,3.03785,9.35658,37.1591
3309103,3.67597,2.8804,11.4342,19.1976,4.68418,9.71093,37.1882
3309118,3.67597,2.8804,11.4342,19.1976,4.68418,9.71093,37.1882
3309121,3.12619,2.61683,10.1046,20.34,6.71913,10.239,36.1876
3309127,2.49017,2.48505,8.2616,21.3662,9.46411,10.6866,34.603
3309157,1.16424,2.06146,6.7945,22.3246,12.697,12.0081,32.3448
3309163,0.452758,1.80731,6.07012,23.0991,14.6229,12.8427,31.4293
3309167,0.452758,1.80731,6.07012,23.0991,14.6229,12.8427,31.4293
3309182,0.485098,1.76966,5.42826,24.0285,15.6763,12.8669,31.7115
3309192,0.485098,1.76966,5.42826,24.0285,15.6763,12.8669,31.7115
3309203,0.377299,1.5814,5.49245,25.2386,16.022,13.2025,32.6898
3309212,0.280279,1.60022,5.62082,25.6549,16.1011,13.2985,33.1562
3309223,0.280279,1.60022,5.62082,25.6549,16.1011,13.2985,33.1562
3309232,0.366519,1.60022,5.57497,25.3548,15.9694,13.2064,32.8965
3309243,0.398859,1.75083,5.41909,24.5125,15.9325,12.9898,32.0813
3309252,0.398859,1.75083,5.41909,24.5125,15.9325,12.9898,32.0813
3309263,0.409639,1.68494,5.24488,23.7477,15.9054,12.9787,31.0872
3309278,0.377299,1.76024,5.23571,23.8445,16.0099,12.9458,31.2178
3309288,0.409639,1.69435,5.25405,23.8929,15.9384,12.9802,31.251
3309310,0.344959,1.732,5.07983,23.5251,16.1596,12.9692,30.6818
3309322,0.301839,1.70377,5.13484,23.6509,16.1717,13.0459,30.7914
3309333,0.301839,1.70377,5.13484,23.6509,16.1717,13.0459,30.7914
3309342,0.258719,1.61905,5.21737,24.3092,16.2813,13.2062,31.4044
3309352,0.258719,1.61905,5.21737,24.3092,16.2813,13.2062,31.4044
3309363,0.194039,1.5814,5.33657,24.9966,16.3876,13.3412,32.1086
3309374,0.0970197,1.44961,5.68501,25.1031,16.0591,13.565,32.3347
3309388,1.4014,2.03322,11.0583,27.1555,10.0418,12.526,41.6483
3309398,0.549778,1.37431,9.98544,26.4778,11.2777,13.4963,38.3873
3309408,0.549778,1.37431,9.98544,26.4778,11.2777,13.4963,38.3873
3309418,0.614458,1.4402,8.05987,25.6839,12.8845,13.2781,35.7985
3309440,0.301839,1.36489,6.82201,25.8969,14.6413,13.5458,34.3857
3309453,0.150919,1.12957,6.72114,27.3781,15.2881,13.9142,35.3798
3309469,0.0323399,1.01661,6.27184,28.2591,16.1408,14.1156,35.5799
3309480,0,0.913068,6.04261,28.6076,16.5044,14.2298,35.5633
3309489,0,0.913068,6.04261,28.6076,16.5044,14.2298,35.5633
3309499,0,1.0072,5.80421,28.0655,16.679,14.1336,34.8769
3309530,0,1.0072,5.80421,28.0655,16.679,14.1336,34.8769
3309541,0.0970197,1.28959,5.29989,25.529,16.6237,13.7088,32.2155
3309552,0.11858,1.40255,5.22654,25.074,16.6015,13.566,31.8217
3309562,0.11858,1.40255,5.22654,25.074,16.6015,13.566,31.8217
3309573,0.1078,1.40255,5.28155,24.861,16.4868,13.5685,31.6529
3309582,0.215599,1.32724,5.12567,24.0672,16.311,13.4941,30.7357
3309592,0.215599,1.32724,5.12567,24.0672,16.311,13.4941,30.7357
3309603,0.280279,1.43079,5.06149,23.3024,16.1192,13.2932,30.0749
3309612,0.366519,1.42137,5.07066,23.283,15.9806,13.2205,30.1416
3309623,0.366519,1.42137,5.07066,23.283,15.9806,13.2205,30.1416
3309633,0.388079,1.45903,5.03398,23.2637,16.0066,13.1618,30.1448
3309644,0.388079,1.45903,5.03398,23.2637,16.0066,13.1618,30.1448
3309654,0.334179,1.62846,5.04315,23.4379,16.1684,13.066,30.4437
3309664,0.344959,1.60963,5.19903,24.4448,16.2274,13.1443,31.5984
3309674,0.344959,1.60963,5.19903,24.4448,16.2274,13.1443,31.5984
3309684,0.366519,1.5814,5.38242,25.3354,16.2004,13.211,32.6658
3309694,0.301839,1.60963,5.24488,24.9966,16.3745,13.2165,32.1529
3309704,0.301839,1.60963,5.24488,24.9966,16.3745,13.2165,32.1529
3309714,0.355739,1.732,5.31823,24.6771,16.1574,13.0478,32.0831
3309730,1.64933,1.82614,11.9018,28.0268,9.38952,12.5978,43.4041
3309740,1.67089,2.07087,9.62783,26.7392,10.9149,12.2013,40.1088
3309763,1.46607,2.15559,8.27077,25.3451,11.926,12.0822,37.2375
3309773,1.19658,2.15559,7.22546,24.9482,13.1466,12.1692,35.5258
3309784,1.19658,2.15559,7.22546,24.9482,13.1466,12.1692,35.5258
3309793,0.905517,2.12735,6.1343,24.9482,14.6823,12.333,34.1154
3309803,0.905517,2.12735,6.1343,24.9482,14.6823,12.333,34.1154
3309813,0.625238,2.18383,5.4466,25.0256,15.878,12.4679,33.2813
3309823,0.549778,2.21207,5.43743,25.3064,16.0654,12.5271,33.5057
3309845,0.603678,2.34385,5.47411,25.258,15.9771,12.3745,33.6796
3309855,0.603678,2.34385,5.47411,25.258,15.9771,12.3745,33.6796
3309865,0.614458,2.42857,5.30906,24.8998,16.093,12.2546,33.2519
3309898,0.689918,2.55094,5.14401,24.0478,16.0061,12.0022,32.4327
3309902,0.765377,2.62625,5.02481,23.5057,15.9308,11.8126,31.9221
