ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3267919,3.2247,1.86379,11.2139,18.2682,4.1172,10.5843,34.5706
3267929,3.26798,1.77907,11.4344,18.4522,3.95672,10.6657,34.9336
3267939,3.26798,1.77907,11.4344,18.4522,3.95672,10.6657,34.9336
3267949,3.30045,1.7979,11.4435,18.5006,3.96267,10.6353,35.0425
3267959,3.33291,1.78848,11.6548,18.6845,3.86717,10.6673,35.4607
3267969,3.33291,1.78848,11.6548,18.6845,3.86717,10.6673,35.4607
3267997,3.2788,1.81672,12.3712,18.82,3.4357,10.7873,36.2867
3268004,3.19223,1.732,12.9957,18.9653,3.05634,10.9949,36.8852
3268006,3.06238,1.71318,13.0508,19.033,3.14238,11.1132,36.8594
3268029,2.92171,1.66611,12.4905,19.2654,3.79655,11.213,36.3437
3268039,2.78103,1.76024,11.517,19.6333,4.96998,11.1829,35.6916
3268049,2.78103,1.76024,11.517,19.6333,4.96998,11.1829,35.6916
3268059,2.77021,1.77907,11.0945,20.553,5.84809,11.2295,36.1968
3268075,2.77021,1.77907,11.0945,20.553,5.84809,11.2295,36.1968
3268077,2.82432,1.76024,10.1026,21.6663,7.22047,11.2167,36.3535
3268087,2.78103,1.76966,8.06375,22.3924,9.51047,11.1002,35.0068
3268097,2.78103,1.76966,8.06375,22.3924,9.51047,11.1002,35.0068
3268108,2.31572,1.66611,6.80551,23.1378,11.5568,11.4789,33.9252
3268118,1.75302,1.60022,6.47488,23.8929,12.8001,12.0168,33.7211
3268131,1.75302,1.60022,6.47488,23.8929,12.8001,12.0168,33.7211
3268148,0.822406,1.40255,6.47488,24.2995,13.9433,12.9773,32.9994
3268152,0.822406,1.40255,6.47488,24.2995,13.9433,12.9773,32.9994
3268161,0.454488,1.32724,6.36467,24.1834,14.4538,13.3467,32.3298
3268173,0.541057,1.4402,7.30146,23.9607,13.2044,13.212,33.2434
3268181,0.541057,1.4402,7.30146,23.9607,13.2044,13.212,33.2434
3268197,0.627626,1.67553,7.09022,23.5928,13.3014,12.9053,32.9862
3268201,0.627626,1.77907,5.9973,22.4989,14.281,12.6636,30.9029
3268211,0.627626,1.77907,5.9973,22.4989,14.281,12.6636,30.9029
3268227,0.638447,1.90144,5.5289,21.5888,14.6024,12.4308,29.6576
3268244,0.660089,1.95792,5.50135,21.3371,14.5415,12.3337,29.4565
3268254,0.605983,1.8732,5.91464,21.889,14.2338,12.544,30.2828
3268264,0.605983,1.8732,5.91464,21.889,14.2338,12.544,30.2828
3268274,0.595162,1.76024,8.94543,23.5638,11.3177,12.9732,34.8646
3268284,0.595162,1.70377,9.45975,23.6606,10.8059,13.0528,35.4193
3268300,0.876512,1.78848,10.3139,23.2927,9.57416,12.7958,36.2716
3268322,4.52323,2.72979,7.73312,22.6538,8.71894,9.21915,37.6399
3268332,1.7422,1.85437,8.40357,23.1475,10.5669,11.9302,35.1476
3268365,1.7422,1.85437,8.40357,23.1475,10.5669,11.9302,35.1476
3268371,1.49332,1.76024,9.6067,24.1931,10.0216,12.3658,37.0533
3268381,1.30936,1.47785,10.5619,25.8098,9.84224,12.8647,39.1589
3268391,1.30936,1.47785,10.5619,25.8098,9.84224,12.8647,39.1589
3268401,0.551878,1.15781,10.2863,26.4681,10.9113,13.6665,38.4641
3268418,0.324634,1.05426,9.34036,26.6908,12.0824,13.8942,37.41
3268423,0.324634,1.05426,9.34036,26.6908,12.0824,13.8942,37.41
3268437,0.238065,0.931894,8.11885,26.6036,13.3584,14.0221,35.8925
3268446,0.183959,0.960133,7.15451,26.7101,14.5191,14.0196,35.0087
3268456,0.183959,0.960133,7.15451,26.7101,14.5191,14.0196,35.0087
3268466,0.119032,0.903654,6.74122,26.6714,15.0389,14.109,34.4353
3268476,0.119032,0.903654,6.74122,26.6714,15.0389,14.109,34.4353
3268486,0.108211,0.884828,6.73204,26.6424,15.0484,14.1332,34.3674
3268496,0.0865691,0.894241,6.59427,25.9744,15.0433,14.123,33.5495
3268506,0.0865691,0.894241,6.59427,25.9744,15.0433,14.123,33.5495
3268516,0.173138,0.913068,6.39222,25.0063,14.8947,13.9969,32.4847
3268526,0.227244,0.997785,6.16261,24.1834,14.8802,13.8359,31.571
3268542,0.205602,0.913068,6.01567,23.6896,14.9084,13.9112,30.824
3268565,0.173138,0.913068,6.23609,23.254,14.5193,13.9343,30.5763
3268576,1.1254,1.31783,8.65154,24.2705,11.1772,12.9274,35.3653
3268593,0.919796,1.18605,8.81686,24.135,11.1134,13.198,35.0577
3268603,0.919796,1.15781,8.67909,23.6993,11.0708,13.1911,34.456
3268625,0.898154,1.21429,8.75257,23.6509,11.0199,13.1639,34.5159
3268635,0.898154,1.21429,8.75257,23.6509,11.0199,13.1639,34.5159
3268645,0.865691,1.07309,9.41383,24.7062,10.7462,13.387,36.0588
3268655,0.789943,0.941307,9.45057,25.5678,11.0672,13.5867,36.7496
3268665,0.789943,0.941307,9.45057,25.5678,11.0672,13.5867,36.7496
3268675,0.681731,0.931894,8.28417,25.2967,12.2624,13.6245,35.1945
3268685,0.465309,0.941307,7.09022,25.0256,13.7306,13.7412,33.5225
3268695,0.465309,0.941307,7.09022,25.0256,13.7306,13.7412,33.5225
3268706,0.238065,0.875415,6.78714,25.3838,14.4467,13.9964,33.2845
3268739,0.238065,0.875415,6.78714,25.3838,14.4467,13.9964,33.2845
3268755,0.0865691,0.95072,6.6953,26.8747,15.2017,14.1008,34.6073
3268765,0.119032,0.960133,6.70448,26.7198,15.1118,14.0617,34.5035
3268775,0.119032,0.960133,6.70448,26.7198,15.1118,14.0617,34.5035
3268788,0.205602,1.06368,6.64938,26.5649,15.0605,13.8958,34.4836
3268810,0.216423,1.05426,6.55754,26.0809,15.0116,13.8758,33.9091
3268820,0.313813,1.15781,6.43814,25.5774,14.9186,13.6816,33.4872
3268830,0.313813,1.15781,6.43814,25.5774,14.9186,13.6816,33.4872
3268840,0.313813,1.26135,6.2269,24.7449,14.9519,13.5481,32.5469
3268850,0.411203,1.38372,6.12588,24.2318,14.8343,13.3252,32.1526
3268860,0.411203,1.38372,6.12588,24.2318,14.8343,13.3252,32.1526
3268871,0.47613,1.42137,6.14425,24.1543,14.7187,13.2319,32.1961
3268885,0.47613,1.42137,6.14425,24.1543,14.7187,13.2319,32.1961
3268899,0.432845,1.48726,5.80443,23.0894,14.8791,13.1306,30.8139
3268909,0.432845,1.48726,5.80443,23.0894,14.8791,13.1306,30.8139
3268919,0.530236,1.55316,5.74014,22.4892,14.6572,12.9381,30.3127
3268929,0.530236,1.55316,5.74014,22.4892,14.6572,12.9381,30.3127
3268939,0.486951,1.54374,5.68504,22.4311,14.7635,12.9792,30.1468
3268949,0.519414,1.60963,9.87304,22.7603,10.0521,13.1626,34.7623
3268959,0.519414,1.60963,9.87304,22.7603,10.0521,13.1626,34.7623
3268969,1.32018,1.8732,12.8579,24.3479,7.45252,12.6286,40.3992
3268979,1.69892,1.80731,11.1496,22.7699,7.83462,12.1895,37.4258
3268989,1.69892,1.80731,11.1496,22.7699,7.83462,12.1895,37.4258
3268999,1.7422,1.86379,9.91896,21.6372,8.41804,11.9234,35.1622
3269009,1.7422,1.86379,9.91896,21.6372,8.41804,11.9234,35.1622
3269019,1.80713,2.02381,10.3506,22.2375,8.30852,11.8443,36.419
3269029,1.85041,1.81672,10.9568,23.2443,8.08979,12.0948,37.8682
3269036,1.85041,1.81672,10.9568,23.2443,8.08979,12.0948,37.8682
3269049,1.93698,1.82614,11.3976,23.7477,7.86413,12.0985,38.9085
3269059,2.03437,1.7979,11.416,23.5444,7.66378,12.0363,38.7927
3269100,2.12094,1.8732,10.5802,23.2443,8.20781,11.8316,37.8187
3269106,2.12094,1.8732,10.5802,23.2443,8.20781,11.8316,37.8187
3269107,1.42839,1.82614,7.84333,23.8349,11.7292,12.205,34.9327
3269119,1.42839,1.82614,7.84333,23.8349,11.7292,12.205,34.9327
3269130,0.854869,1.68494,6.92491,24.1156,13.4162,12.731,33.5803
3269140,0.627626,1.66611,6.39222,24.135,14.3058,12.9034,32.8209
3269163,0.57352,1.72259,6.2269,24.2221,14.6161,12.8964,32.7451
3269179,0.584341,1.85437,6.18098,24.0672,14.6513,12.7617,32.6869
3269189,0.649268,1.8732,6.0524,23.5928,14.5832,12.6475,32.1677
3269200,0.649268,1.8732,6.0524,23.5928,14.5832,12.6475,32.1677
3269211,0.67091,1.98616,5.85954,22.9442,14.6213,12.4663,31.4608
3269223,0.725016,2.06146,5.61156,21.9083,14.5458,12.2417,30.3064
