ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2379884,0.00882658,0,0.0182013,0.036228,0,0,0.0632559
2379894,0,0,0,0,0,0,0
2379904,0,0,0,0,0,0,0
2379914,0.00882658,0,0.00910064,0.054342,0,0,0.0722693
2379926,0.00882658,0,0.00910064,0.054342,0,0,0.0722693
2379930,0,0,0,0.036228,0,0,0.036228
2379944,0,0,0.0182013,0.027171,0,0,0.0453723
2379949,0,0,0.0182013,0.027171,0,0,0.0453723
2379972,0.0529595,0,0.0273019,0.0815131,0,0,0.161774
2379974,0.00882658,0,0,0.027171,0,0,0.0359976
2379991,0.0264798,0,0.00910064,0.072456,0,0,0.108036
2380013,0.00882658,0,0.0182013,0.00905701,0,0,0.0360849
2380044,0,0,0.00910064,0.036228,0,0,0.0453287
2380050,0,0,0.0364026,0.018114,0,0,0.0545166
2380051,0,0,0.00910064,0.045285,0,0,0.0543857
2380073,0.0176532,0,0.0455032,0.072456,0,0,0.135612
2380097,0,0.0171717,0,0.018114,0,0,0.0352857
2380117,0,0,0,0,0,0,0
2380119,0,0,0,0,0,0,0
2380123,0.0264798,0,0,0.054342,0,0,0.0808218
2380133,0,0,0.0182013,0.063399,0,0,0.0816003
2380158,0,0,0,0.018114,0,0,0.018114
2380168,0,0,0,0.018114,0,0,0.018114
2380173,0,0,0,0.027171,0,0,0.027171
2380183,0,0,0.0273019,0.027171,0,0,0.0544729
2380207,0,0,0,0.063399,0,0,0.063399
2380221,0.0176532,0,0,0,0,0,0.0176532
2380223,0.0176532,0,0,0,0,0,0.0176532
2380233,0,0,0.00910064,0.108684,0,0,0.117785
2380256,0.00882658,0,0.0182013,0.0905701,0,0,0.117598
2380266,0,0,0,0.054342,0,0,0.054342
2380277,0,0,0,0.054342,0,0,0.054342
2380288,0,0,0.0364026,0.045285,0,0,0.0816876
2380298,0.158879,4.42172,1.67452,5.12627,16.9456,2.92608,11.3814
2380308,0.158879,4.42172,1.67452,5.12627,16.9456,2.92608,11.3814
2380314,0.441329,2.46414,0,0.679275,18.8443,-9.31528,3.58475
2380337,0.379543,3.95808,0.291221,1.70272,19.703,-5.55239,6.33156
2380347,0.600208,3.89798,0.300321,1.78423,18.1599,-5.49992,6.58274
2380369,0.706127,4.20707,0.291221,1.63932,17.7134,-6.53735,6.84374
2380380,0.67082,4.30152,0.163812,1.36761,18.5835,-7.93599,6.50375
2380412,0.511942,3.58889,0.14561,1.10495,18.8563,-7.98931,5.3514
2380418,0.511942,3.58889,0.14561,1.10495,18.8563,-7.98931,5.3514
2380428,0.220665,1.41667,0,0.344166,19.4319,-9.7893,1.9815
2380451,0.123572,0.343434,0.0455032,0.108684,11.3911,-7.55366,0.621194
2380461,0,0,0,0.00905701,0,0,0.00905701
2380471,0,0,0,0.00905701,0,0,0.00905701
2380481,0,0.0257576,0.0364026,0.045285,0,0,0.107445
2380497,0,0,0,0.045285,0,0,0.045285
2380507,0,0,0.0273019,0.054342,0,0,0.081644
2380527,0,0,0.00910064,0.018114,0,0,0.0272147
2380537,0,0.00858586,0,0.00905701,0,0,0.0176429
2380547,0,0.00858586,0,0.00905701,0,0,0.0176429
2380557,0.0264798,0,0.0182013,0,0,0,0.044681
2380567,0.0264798,0,0.0182013,0,0,0,0.044681
2380577,0.00882658,0,0.0273019,0.0905701,0,0,0.126699
2380587,0.00882658,0,0,0.072456,0,0,0.0812826
2380606,0,0.0171717,0.0819058,0,0,0,0.0990775
