ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2337258,0,0,0.00910064,0.063399,0,0,0.0724997
2337260,0,0,0.00910064,0.063399,0,0,0.0724997
2337264,0,0,0.0273019,0.036228,0,0,0.06353
2337280,0,0,0.00910064,0.0815131,0,0,0.0906137
2337284,0,0,0.00910064,0.0815131,0,0,0.0906137
2337294,0,0,0,0.063399,0,0,0.063399
2337358,0,0,0,0.018114,0,0,0.018114
2337360,0,0,0,0.018114,0,0,0.018114
2337364,0,0,0.0364026,0.027171,0,0,0.0635736
2337374,0,0,0,0.063399,0,0,0.063399
2337384,0,0,0,0.027171,0,0,0.027171
2337464,0,0,0,0.027171,0,0,0.027171
2337466,0.0264798,0,0.0455032,0.027171,0,0,0.099154
2337476,0.00882658,0,0.00910064,0.072456,0,0,0.0903833
2337486,0,0.00858586,0.0273019,0.063399,0,0,0.0992868
2337497,0,0.00858586,0.0273019,0.063399,0,0,0.0992868
2337566,0,0,0.0182013,0.027171,0,0,0.0453723
2337569,0.0353063,0.00858586,0,0.063399,0,0,0.107291
2337591,0,0,0.0273019,0.0905701,0,0,0.117872
2337601,0,0,0.00910064,0.072456,0,0,0.0815567
2337664,0,0,0.00910064,0.072456,0,0,0.0815567
2337668,0,0,0.00910064,0,0,0,0.00910064
2337669,0,0,0,0.00905701,0,0,0.00905701
2337679,0.0176532,0,0.0364026,0.018114,0,0,0.0721698
2337689,0.0176532,0,0.0364026,0.018114,0,0,0.0721698
2337699,0,0,0.0455032,0,0,0,0.0455032
2337783,0,0.00858586,0,0.072456,0,0,0.0810419
2337789,0,0.00858586,0,0.072456,0,0,0.0810419
2337799,0,0,0,0.00905701,0,0,0.00905701
2337809,0,0,0,0.045285,0,0,0.045285
2337869,0,0,0,0.045285,0,0,0.045285
2337884,0.0176532,0,0.0273019,0.00905701,0,0,0.0540121
2337894,0,0,0,0.00905701,0,0,0.00905701
2337904,0.0176532,0,0,0.072456,0,0,0.0901092
2337974,0.0176532,0,0,0.072456,0,0,0.0901092
2337977,0,0,0.0182013,0.018114,0,0,0.0363153
2337986,0,0,0,0.018114,0,0,0.018114
2337996,0,0,0,0.018114,0,0,0.018114
2338006,0,0,0,0.036228,0,0,0.036228
2338076,0,0,0,0.036228,0,0,0.036228
2338079,0,0,0.0182013,0.027171,0,0,0.0453723
2338083,0.0529595,0,0.0182013,0.0815131,0,0,0.152674
2338093,0.0529595,0,0.0182013,0.0815131,0,0,0.152674
2338103,0.00882658,0.00858586,0.0455032,0.018114,0,0,0.0810297
2338113,0.0176532,0,0,0.018114,0,0,0.0357672
2338179,0.0176532,0,0,0.018114,0,0,0.0357672
2338182,0,0,0,0,0,0,0
2338184,0.00882658,0.0171717,0.0455032,0.054342,0,0,0.125844
2338193,0,0.0171717,0.0728051,0.072456,0,0,0.162433
2338215,0.0176532,0,0,0.027171,0,0,0.0448242
2338279,0,0,0.00910064,0.036228,0,0,0.0453287
2338281,0.00882658,0,0,0.036228,0,0,0.0450546
2338293,0,0.00858586,0,0.036228,0,0,0.0448139
2338306,0,0,0.0546039,0.018114,0,0,0.0727179
2338317,0,0,0.0546039,0.018114,0,0,0.0727179
2338387,0,0,0.0273019,0.036228,0,0,0.06353
2338389,0,0,0.0273019,0.036228,0,0,0.06353
2338405,0.00882658,0,0,0.063399,0,0,0.0722256
2338415,0.00882658,0,0,0.063399,0,0,0.0722256
2338485,0,0,0,0.027171,0,0,0.027171
2338488,0.0264798,0,0.0273019,0.072456,0,0,0.126238
2338518,0,0,0.00910064,0.063399,0,0,0.0724997
2338520,0,0.0429293,0.0637045,0.054342,0,0,0.160976
2338587,0,0.0429293,0.0637045,0.054342,0,0,0.160976
2338588,0,0,0.0182013,0.018114,0,0,0.0363153
2338599,0.00882658,0,0,0.00905701,0,0,0.0178836
2338609,0.00882658,0,0,0.00905701,0,0,0.0178836
2338621,0,0,0,0.027171,0,0,0.027171
2338696,0,0,0,0.027171,0,0,0.027171
2338701,0,0,0,0.027171,0,0,0.027171
2338710,0.38837,2.56717,1.05567,2.77144,14.3549,1.92751,6.78266
2338720,0.38837,2.56717,1.05567,2.77144,14.3549,1.92751,6.78266
2338794,0.556075,2.0005,0.127409,0.489078,14.2299,-9.17137,3.17307
2338796,0.556075,2.0005,0.127409,0.489078,14.2299,-9.17137,3.17307
2338825,0.6973,2.61869,0.109208,0.751732,15.3457,-8.81646,4.17693
2338828,0.6973,2.61869,0.109208,0.751732,15.3457,-8.81646,4.17693
2338834,0.626687,2.43838,0.127409,0.597762,15.0521,-9.26022,3.79024
2338895,0.511942,1.89747,0.100107,0.425679,14.574,-9.62606,2.9352
2338899,0.511942,1.89747,0.100107,0.425679,14.574,-9.62606,2.9352
2338901,0.0353063,0.223232,0.00910064,0.036228,0,0,0.303867
2338910,0,0,0.00910064,0,0,0,0.00910064
2338924,0,0.00858586,0,0.0815131,0,0,0.0900989
2338934,0,0.00858586,0,0.0815131,0,0,0.0900989
2338998,0.00882658,0,0.0364026,0.036228,0,0,0.0814572
2339000,0.00882658,0,0.00910064,0.045285,0,0,0.0632123
2339001,0.00882658,0,0,0.045285,0,0,0.0541116
2339010,0.00882658,0,0,0.045285,0,0,0.0541116
2339027,0.0529595,0.0171717,0,0.036228,0,0,0.106359
2339030,0,0,0.00910064,0.027171,0,0,0.0362717
2339098,0,0,0.00910064,0.027171,0,0,0.0362717
2339103,0,0,0.00910064,0.0815131,0,0,0.0906137
2339115,0,0,0.0182013,0.018114,0,0,0.0363153
2339125,0,0,0.0182013,0.018114,0,0,0.0363153
2339135,0,0,0,0.018114,0,0,0.018114
2339205,0,0,0,0.018114,0,0,0.018114
2339208,0,0,0.00910064,0.063399,0,0,0.0724997
2339218,2.55971,13.9177,0.172912,1.39478,17.4283,-12.3937,18.0451
2339228,2.55971,13.9177,0.172912,1.39478,17.4283,-12.3937,18.0451
2339305,0.30893,1.6399,0,0.860416,19.5015,-5.8116,2.80925
2339323,0.865005,3.70051,0.14561,0.923815,16.0326,-9.30646,5.63494
2339326,0.67082,2.99646,0.100107,0.661161,16.2959,-9.843,4.42855
2339335,0.67082,2.99646,0.100107,0.661161,16.2959,-9.843,4.42855
2339345,0.520768,2.16364,0.00910064,0.371337,16.3557,-11.2761,3.06484
2339406,0.33541,1.06465,0.0273019,0.253596,14.2111,-9.98681,1.68095
2339426,0,0,0,0.0905701,0,0,0.0905701
2339436,0.0882658,0,0,0.0905701,0,0,0.178836
2339446,0.0882658,0,0,0.0905701,0,0,0.178836
2339508,0.0264798,0,0.0182013,0.072456,0,0,0.117137
2339509,0.0529595,0,0,0.036228,0,0,0.0891875
2339520,0,0,0.0273019,0.0905701,0,0,0.117872
2339533,0,0,0.0273019,0.0905701,0,0,0.117872
2339536,0.0264798,0,0,0.036228,0,0,0.0627078
2339620,0.0264798,0,0,0.036228,0,0,0.0627078
2339627,0.0882658,0,0,0.108684,0,0,0.19695
2339636,0,0,0.0364026,0.0815131,0,0,0.117916
2339653,0.0176532,0,0,0.117741,0,0,0.135394
2339713,0.0529595,0,0.00910064,0.0996271,0,0,0.161687
2339723,0.0176532,2.24091,2.74839,5.64251,12.0132,8.63754,10.6495
2339733,0,1.62273,1.4379,1.46723,9.12163,4.24839,4.52786
2339750,0.132399,1.88889,0,1.02344,22.8258,-4.91593,3.04473
2339814,0.379543,2.14646,0.336724,1.52158,16.8315,-2.28442,4.38431
2339819,0.741433,2.87626,0.309422,1.28609,14.9212,-5.81842,5.21321
2339820,0.6973,3.58889,0.127409,1.19552,17.6485,-7.92438,5.60912
2339831,0.653167,3.47727,0.13651,1.16835,17.7357,-7.79784,5.4353
2339841,0.661994,3.36566,0.118308,1.10495,17.5698,-8.01114,5.25091
2339858,0.635514,3.18535,0.191113,0.960043,16.6872,-8.0542,4.97202
2339916,0.573728,2.92778,0.118308,0.87853,17.3079,-8.35197,4.49834
2339920,0.441329,2.10354,0.0819058,0.679275,17.0867,-8.09282,3.30605
2339934,0.441329,2.10354,0.0819058,0.679275,17.0867,-8.09282,3.30605
2339942,0.370717,1.84596,0.13651,0.552477,16.2718,-7.88644,2.90566
2339950,0.370717,1.84596,0.13651,0.552477,16.2718,-7.88644,2.90566
2339959,0.317757,1.59697,0.0637045,0.525306,17.3822,-7.94242,2.50374
2340019,0.317757,1.38232,0.0546039,0.470964,16.6348,-7.91575,2.22565
2340021,0.282451,1.29646,0,0.416622,17.9229,-8.73669,1.99554
2340044,0.273624,1.12475,0.0637045,0.407565,15.9788,-7.43807,1.86964
2340049,0.30893,1.19343,0.0637045,0.371337,15.3832,-8.26354,1.93741
2340122,0.30893,1.19343,0.0637045,0.371337,15.3832,-8.26354,1.93741
2340123,0.282451,1.24495,0.0364026,0.371337,16.7615,-8.67891,1.93514
2340133,0.326584,1.44242,0.0546039,0.45285,16.6276,-8.3126,2.27646
2340143,0.326584,1.44242,0.0546039,0.45285,16.6276,-8.3126,2.27646
2340153,0.344237,1.62273,0.0819058,0.516249,16.6935,-8.00436,2.56512
2340163,0.423676,1.87172,0.100107,0.597762,16.2506,-8.0056,2.99326
2340224,0.423676,1.87172,0.100107,0.597762,16.2506,-8.0056,2.99326
2340225,0.485462,2.18081,0.0364026,0.661161,17.243,-8.77885,3.36383
2340236,0.644341,3.28838,0.200214,1.0959,16.9241,-7.56367,5.22884
2340248,0.812046,3.72626,0.227516,1.24987,16.3596,-7.63235,6.01569
2340253,0.812046,3.72626,0.227516,1.24987,16.3596,-7.63235,6.01569
2340261,0.900312,4.17273,0.245717,1.44006,16.522,-7.51742,6.75882
2340327,0.900312,4.17273,0.245717,1.44006,16.522,-7.51742,6.75882
2340329,1.01506,4.59343,0.373126,1.60309,15.8488,-7.18342,7.58471
2340356,1.17394,5.37475,0.318522,1.59403,16.1806,-8.21888,8.46124
2340361,1.1298,5.37475,0.218415,1.54875,16.8504,-8.59082,8.27171
2340364,1.1298,5.46919,0.291221,1.55781,16.5896,-8.43387,8.44802
2340429,1.18276,5.63232,0.354925,1.72989,16.3612,-7.97246,8.8999
2340432,1.16511,5.74394,0.336724,1.748,16.6507,-8.0461,8.99377
2340448,1.23572,6.10455,0.464133,2.17368,16.4821,-7.06917,9.97808
2340458,1.29751,6.29343,0.509636,2.20991,16.2364,-7.08705,10.3105
2340535,1.30633,6.44798,0.482334,2.30954,16.5198,-7.05816,10.5462
2340540,1.47404,6.93737,0.57334,2.50879,16.0933,-6.95514,11.4935
2340556,1.71236,8.1995,0.70985,2.9707,16.0898,-6.87661,13.5924
2340567,1.74766,8.22525,0.700749,2.92541,15.9979,-7.00057,13.5991
2340638,1.73884,8.06212,0.728051,2.96164,15.857,-6.795,13.4907
2340641,1.70353,8.01919,0.70985,2.91636,15.9604,-6.85057,13.3489
2340650,1.77414,8.3197,0.728051,3.08844,16.006,-6.76909,13.9103
2340661,1.77414,8.3197,0.728051,3.08844,16.006,-6.76909,13.9103
2340671,1.80062,8.47424,0.718951,3.14278,16.0885,-6.80482,14.1366
2340741,1.86241,8.62879,0.782655,3.1609,15.8379,-6.80405,14.4347
2340745,1.85358,8.8005,0.800857,3.29675,16.0029,-6.66684,14.7517
2340748,2.06542,9.77929,0.819058,3.496,16.0751,-6.98925,16.1598
2340763,2.0919,10.0025,0.84636,3.63186,16.1352,-6.89347,16.5726
2340774,2.0919,10.0025,0.84636,3.63186,16.1352,-6.89347,16.5726
2340779,2.18899,10.4833,0.937366,3.91263,16.0789,-6.69632,17.5223
2340838,2.18899,10.4833,0.937366,3.91263,16.0789,-6.69632,17.5223
2340841,2.24195,10.8439,0.819058,3.90357,16.4058,-7.04432,17.8085
2340851,2.43614,12.1061,0.946467,4.36548,16.4814,-6.97355,19.8541
2340861,2.55088,12.7843,0.99197,4.55567,16.5173,-7.03034,20.8829
2340873,2.55088,12.7843,0.99197,4.55567,16.5173,-7.03034,20.8829
2340880,2.63915,13.4455,1.01017,4.75493,16.649,-7.08442,21.8497
2340940,2.79803,14.0551,1.04657,4.82738,16.5418,-7.24629,22.727
2340943,2.79803,14.0551,1.04657,4.82738,16.5418,-7.24629,22.727
2340953,2.77155,14.4929,1.01927,4.80021,16.7891,-7.43698,23.084
2340959,3.0893,14.5187,1.21039,4.70059,15.8591,-7.46016,23.519
2340975,4.83697,14.9566,1.26499,4.4017,13.0167,-8.32289,25.4602
2341045,4.83697,14.9566,1.26499,4.4017,13.0167,-8.32289,25.4602
2341048,4.28972,13.6,2.32066,4.01225,11.3549,-7.15661,24.2226
2341051,6.19626,6.16465,16.6906,3.85828,-9.7721,3.732,32.9098
2341061,6.19626,6.16465,16.6906,3.85828,-9.7721,3.732,32.9098
2341149,6.74351,4.3101,18.4102,3.64997,-12.9807,4.9858,33.1138
2341152,7.41433,2.76465,18.5068,3.30581,-15.5124,5.4547,31.9916
2341154,7.58204,1.22778,24.6886,3.38732,-18.7441,7.83478,36.8858
2341165,7.71443,1.11616,26.2727,3.35109,-19.1915,8.11086,38.4544
2341174,7.71443,1.11616,26.2727,3.35109,-19.1915,8.11086,38.4544
2341188,7.74091,0.987374,26.6881,3.14278,-19.6444,8.20917,38.5591
2341248,7.74091,0.987374,26.6881,3.14278,-19.6444,8.20917,38.5591
2341250,7.22015,0.815657,27.5091,2.99787,-20.0529,8.74529,38.5428
2341254,7.42316,2.59293,25.8188,6.19499,-14.5456,7.85073,42.0298
2341268,7.18484,1.99192,25.5193,9.52797,-11.9755,8.77482,44.224
2341287,7.18484,1.99192,25.5193,9.52797,-11.9755,8.77482,44.224
2341290,6.93769,2.53283,25.133,13.984,-8.00299,9.15249,48.5875
2341351,6.25805,2.69596,23.0852,15.3335,-5.97063,9.32965,47.3727
2341352,5.54309,2.65303,20.7284,17.2017,-3.47784,9.66933,46.1262
2341368,4.21028,5.07424,11.6852,20.0542,5.62657,8.21042,41.024
2341377,4.00727,7.11768,8.16328,18.0853,8.71769,6.06992,37.3735
2341388,4.00727,7.11768,8.16328,18.0853,8.71769,6.06992,37.3735
2341458,3.71599,8.87778,6.18844,16.1486,10.8228,4.18397,34.9308
2341464,2.98339,9.35,4.72323,16.4475,13.499,3.95654,33.5041
