ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2531318,0.0176166,0.0171112,0.0364026,0.0364416,0,0,0.107572
2531328,0.0176166,0.0171112,0.0364026,0.0364416,0,0,0.107572
2531338,0.0176166,0,0,0,0,0,0.0176166
2531365,0.0440415,0.00855561,0.0273019,0,0,0,0.079899
2531368,0.0440415,0.00855561,0.0273019,0,0,0,0.079899
2531370,0.061658,0.0427781,0.00910064,0,0,0,0.113537
2531381,0,0,0.0273019,0,0,0,0.0273019
2531392,0,0,0.0273019,0,0,0,0.0273019
2531402,0.0176166,0,0,0,0,0,0.0176166
2531412,0.0176166,0,0,0,0,0,0.0176166
2531426,0.0440415,0,0,0,0,0,0.0440415
2531454,0.0528497,0,0.0637045,0.0364416,0,0,0.152996
2531462,0.0528497,0,0.0637045,0.0364416,0,0,0.152996
2531464,0.0704663,0.0171112,0.0273019,0.0273312,0,0,0.142211
2531481,0.0176166,0.00855561,0,0,0,0,0.0261722
2531493,0.0176166,0.00855561,0,0,0,0,0.0261722
2531503,0.0528497,0,0.0364026,0,0,0,0.0892523
2531513,0.0704663,0,0.0455032,0.0364416,0,0,0.152411
2531533,0.061658,0.0256668,0,0,0,0,0.0873249
2531543,0.0352332,0,0.0455032,0,0,0,0.0807364
2531565,0.0352332,0,0.0455032,0,0,0,0.0807364
2531566,0.0264249,0,0,0,0,0,0.0264249
2531576,0.0264249,0,0,0,0,0,0.0264249
2531586,0.061658,0.00855561,0,0,0,0,0.0702136
2531596,0.0352332,0.00855561,0.0728051,0,0,0,0.116594
2531606,0.0352332,0.00855561,0.0728051,0,0,0,0.116594
2531616,0.061658,0.0770005,0,0,0,0,0.138659
2531621,0.00880829,0.00855561,0,0,0,0,0.0173639
2531643,0.0792746,0,0,0,0,0,0.0792746
2531653,0.0792746,0,0,0,0,0,0.0792746
2531663,0.0792746,0,0,0.0091104,0,0,0.088385
2531673,0.061658,0,0,0.0091104,0,0,0.0707684
2531683,0.061658,0,0,0.0091104,0,0,0.0707684
2531696,0.061658,0.0171112,0.0364026,0.045552,0,0,0.160724
2531706,0.0440415,0.0427781,0.0182013,0.0182208,0,0,0.123242
2531723,0.0352332,0.0171112,0.0546039,0,0,0,0.106948
2531745,0.0440415,0,0.0455032,0,0,0,0.0895447
2531755,0.0880829,0,0,0,0,0,0.0880829
2531773,0.0528497,0.0427781,0.0182013,0,0,0,0.113829
2531783,0.061658,0,0,0,0,0,0.061658
2531793,0.061658,0,0,0,0,0,0.061658
2531827,0.061658,0,0,0.0091104,0,0,0.0707684
2531833,0.0352332,0.0342224,0.00910064,0,0,0,0.0785563
2531848,0.0352332,0.0342224,0.00910064,0,0,0,0.0785563
2531858,0,0,0,0,0,0,0
2531868,0.0792746,0,0,0,0,0,0.0792746
2531878,0.0792746,0,0,0,0,0,0.0792746
2531890,0.0528497,0.00855561,0.0182013,0,0,0,0.0796066
2531895,0.0528497,0.00855561,0.0182013,0,0,0,0.0796066
2531903,0.0176166,0.0342224,0,0,0,0,0.051839
2531920,0.0968912,0.0342224,0,0.045552,0,0,0.176666
2531936,0.0880829,0.0171112,0.0182013,0.0091104,0,0,0.132506
2531946,0.0352332,0,0.00910064,0.0091104,0,0,0.0534442
2531959,0.0352332,0,0.00910064,0.0091104,0,0,0.0534442
2531968,0,0.00855561,0.0273019,0,0,0,0.0358575
2531980,0.0176166,0.00855561,0,0,0,0,0.0261722
2531990,0.0176166,0,0,0,0,0,0.0176166
2532008,0.0352332,0,0.00910064,0,0,0,0.0443338
2532011,0.0352332,0,0.00910064,0,0,0,0.0443338
2532016,0.0440415,0.00855561,0,0,0,0,0.0525971
2532031,0.0704663,0,0,0.0182208,0,0,0.0886871
2532041,0.0704663,0,0,0.0182208,0,0,0.0886871
2532048,0.0264249,0.00855561,0,0.0273312,0,0,0.0623117
2532058,0.0440415,0,0,0,0,0,0.0440415
2532081,0.0264249,0.0342224,0,0,0,0,0.0606473
2532091,0.0264249,0.0342224,0,0,0,0,0.0606473
2532099,0.0440415,0.0342224,0.0273019,0.0091104,0,0,0.114676
2532110,0.0352332,0.0256668,0.0182013,0,0,0,0.0791013
2532132,0.00880829,0.0256668,0.00910064,0,0,0,0.0435758
2532142,0,0,0,0,0,0,0
2532160,0.0352332,0,0.0273019,0.0091104,0,0,0.0716455
2532187,0.0352332,0,0.0273019,0.0091104,0,0,0.0716455
2532193,0.0528497,0.0171112,0,0,0,0,0.069961
2532203,0.0264249,0,0.0182013,0,0,0,0.0446262
2532213,0.114508,0.0513337,0,0,0,0,0.165841
