ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2501914,0,0.00854701,0,0,0,0,0.00854701
2501917,0,0.0512821,0.0181915,0,0,0,0.0694736
2501927,0,0,0,0,0,0,0
2501933,0,0,0,0,0,0,0
2501949,0,0.00854701,0.0272873,0.00910552,0,0,0.0449398
2502019,0,0.0512821,0,0,0,0,0.0512821
2502023,0,0.0512821,0,0,0,0,0.0512821
2502025,0,0,0.00909577,0,0,0,0.00909577
2502053,0,0.042735,0.00909577,0,0,0,0.0518308
2502118,0,0.042735,0.00909577,0,0,0,0.0518308
2502126,0,0.025641,0.0545746,0,0,0,0.0802157
2502141,0,0.017094,0,0,0,0,0.017094
2502153,0,0.025641,0,0.018211,0,0,0.0438521
2502223,0,0.017094,0.0181915,0.0455276,0,0,0.0808131
2502225,0,0.017094,0.0181915,0.0455276,0,0,0.0808131
2502228,0,0.00854701,0,0.0273165,0,0,0.0358636
2502241,0,0.00854701,0,0.0273165,0,0,0.0358636
2502253,0,0.017094,0.0272873,0.0364221,0,0,0.0808034
2502323,0,0.017094,0,0,0,0,0.017094
2502325,0,0.017094,0.0363831,0,0,0,0.0534771
2502329,0,0,0.0181915,0,0,0,0.0181915
2502344,0,0,0.0181915,0,0,0,0.0181915
2502355,0,0.042735,0,0,0,0,0.042735
2502359,0,0.00854701,0.0272873,0,0,0,0.0358343
2502423,0,0.0598291,0.0272873,0.0273165,0,0,0.114433
2502425,0,0.025641,0.0272873,0,0,0,0.0529283
2502430,0,0.034188,0.00909577,0,0,0,0.0432838
2502448,0,0.025641,0.0181915,0,0,0,0.0438326
2502465,0,0.025641,0,0,0,0,0.025641
2502525,0,0.0512821,0.00909577,0.0273165,0,0,0.0876944
2502545,0.0353798,0,0.0181915,0,0,0,0.0535714
2502555,0,0.034188,0.00909577,0,0,0,0.0432838
2502633,0,0.042735,0.00909577,0,0,0,0.0518308
2502634,0,0.034188,0.0363831,0.00910552,0,0,0.0796766
2502656,0,0.0940171,0,0.00910552,0,0,0.103123
2502664,0,0.00854701,0.00909577,0.0364221,0,0,0.0540648
2502734,0,0.025641,0.0454789,0,0,0,0.0711199
2502736,0,0.025641,0.0454789,0,0,0,0.0711199
2502749,0,0.017094,0.0363831,0.018211,0,0,0.0716881
2502757,0,0.017094,0.0363831,0.018211,0,0,0.0716881
2502836,0,0.025641,0.00909577,0,0,0,0.0347368
2502839,0,0.025641,0.0363831,0,0,0,0.0620241
2502858,0,0.017094,0.0181915,0,0,0,0.0352856
2502868,0,0,0,0,0,0,0
2502939,0,0.034188,0.0454789,0,0,0,0.0796669
2502941,0,0.034188,0.0454789,0,0,0,0.0796669
2502953,0,0,0.0272873,0.00910552,0,0,0.0363928
2502959,0,0.00854701,0.0454789,0.00910552,0,0,0.0631314
2503040,0,0.00854701,0,0,0,0,0.00854701
2503043,0,0.034188,0.0181915,0,0,0,0.0523796
2503054,0,0.00854701,0,0.0455276,0,0,0.0540746
2503059,0,0,0.0545746,0.018211,0,0,0.0727857
2503073,0,0,0,0,0,0,0
2503080,0,0,0,0,0,0,0
2503165,0,0.025641,0.0272873,0.0273165,0,0,0.0802449
2503173,0.406868,3.57265,0,0.163899,20.0902,-13.8133,4.14342
2503183,0.442248,1.68376,1.13697,2.23996,10.6511,3.40978,5.50294
2503243,0.442248,1.68376,1.13697,2.23996,10.6511,3.40978,5.50294
2503251,0.574922,2.25641,0.254682,1.13819,15.1804,-5.10792,4.2242
2503262,0.495317,1.95726,0.200107,0.883235,15.1663,-5.80855,3.53592
2503274,0.495317,1.95726,0.200107,0.883235,15.1663,-5.80855,3.53592
2503288,0.362643,1.41026,0.17282,0.491698,14.0158,-6.82104,2.43742
2503350,0.362643,1.41026,0.17282,0.491698,14.0158,-6.82104,2.43742
2503352,0.150364,0.786325,0.0636704,0.254954,16.4749,-7.38537,1.25531
2503364,0,0,0.00909577,0.0364221,0,0,0.0455178
2503366,0,0.025641,0,0.018211,0,0,0.0438521
2503384,0,0.042735,0.0272873,0.0728441,0,0,0.142866
2503448,0,0,0,0.0364221,0,0,0.0364221
2503453,0,0,0,0.0364221,0,0,0.0364221
2503469,0,0.00854701,0.00909577,0.0273165,0,0,0.0449593
2503479,0.00884495,0.042735,0.0545746,0,0,0,0.106155
2503551,0,0.034188,0,0,0,0,0.034188
2503554,0,0,0,0,0,0,0
2503556,0.0265349,0,0,0.0455276,0,0,0.0720624
2503567,0.0265349,0,0,0.0455276,0,0,0.0720624
2503578,0,0,0,0.0455276,0,0,0.0455276
2503588,0,0.017094,0,0,0,0,0.017094
2503651,0,0.017094,0,0,0,0,0.017094
2503656,0,0,0,0.00910552,0,0,0.00910552
2503666,0.168054,0.709402,0.418406,0.764863,10.7706,2.22601,2.06072
2503689,0.353798,1.33333,0.181915,0.783074,14.9003,-4.08432,2.65212
2503754,0.459938,1.59829,0.109149,0.564542,14.5845,-7.602,2.73192
2503756,0.336108,1.45299,0.163724,0.509909,14.8521,-6.79408,2.46273
2503773,0,0,0,0,0,0,0
2503783,0,0.025641,0,0,0,0,0.025641
2503794,0,0.025641,0,0,0,0,0.025641
2503856,0,0,0.0272873,0,0,0,0.0272873
2503858,0,0,0.0272873,0,0,0,0.0272873
2503860,0,0.00854701,0,0.0455276,0,0,0.0540746
2503890,0,0.00854701,0,0.0455276,0,0,0.0540746
2503896,0,0.0512821,0,0.00910552,0,0,0.0603876
2503900,0,0,0,0,0,0,0
2503961,0,0.025641,0,0.0637386,0,0,0.0893796
2503964,0,0,0.0363831,0,0,0,0.0363831
2503976,0,0,0.0363831,0,0,0,0.0363831
2503986,0,0,0,0,0,0,0
2503996,0,0,0.081862,0.0364221,0,0,0.118284
2504069,0,0,0.081862,0.0364221,0,0,0.118284
2504072,0,0.017094,0,0.00910552,0,0,0.0261995
2504085,0,0,0.0454789,0,0,0,0.0454789
2504095,0,0.00854701,0,0.00910552,0,0,0.0176525
2504165,2.8127,13.3675,0,1.36583,16.9848,-12.6647,17.546
2504168,0,1.05128,0.0272873,0.801286,24.2742,-1.77707,1.87985
2504178,0.530697,2.67521,0.245586,1.46599,17.1069,-4.55823,4.91748
2504188,0.698751,3.19658,0.345639,1.53883,15.9652,-5.21867,5.7798
2504198,0.698751,3.19658,0.345639,1.53883,15.9652,-5.21867,5.7798
2504268,0.804891,3.32479,0.336544,1.52062,15.4671,-5.69377,5.98684
2504275,0.813736,3.35897,0.418406,1.63899,15.1114,-5.09296,6.23011
2504285,0.87565,3.73504,0.427501,1.96679,15.6984,-4.74605,7.00499
2504295,0.87565,3.8547,0.518459,2.04874,15.4481,-4.44632,7.29755
2504371,0.866805,4.02564,0.500268,2.1398,15.9255,-4.48532,7.53251
2504374,0.866805,4.02564,0.500268,2.1398,15.9255,-4.48532,7.53251
2504377,1.00832,4.40171,0.527555,2.16711,15.5248,-5.02554,8.1047
2504385,1.11446,4.47009,0.491172,2.12159,15.2063,-5.43799,8.19731
2504395,1.10562,4.5812,0.518459,2.03964,15.151,-5.6921,8.24491
2504476,1.14984,4.50427,0.463884,1.88484,14.9178,-6.19541,8.00284
2504479,1.08793,4.2906,0.491172,1.70273,14.5734,-6.30833,7.57243
2504490,0.98179,3.92308,0.427501,1.56615,14.7856,-6.33009,6.89852
2504498,1.00832,3.89744,0.400214,1.58436,14.7789,-6.35931,6.89034
2504509,1.01717,3.77778,0.463884,1.50241,14.0475,-6.27544,6.76124
2504579,0.98179,3.69231,0.427501,1.55704,14.4176,-6.05879,6.65864
2504581,0.98179,3.69231,0.427501,1.55704,14.4176,-6.05879,6.65864
2504591,1.0437,4.20513,0.509363,1.79379,14.7175,-5.85081,7.55198
2504675,1.0437,4.20513,0.509363,1.79379,14.7175,-5.85081,7.55198
2504679,1.10562,4.4188,0.563938,1.985,14.6601,-5.52833,8.07336
2504689,1.45057,6.12821,0.673087,2.77718,15.3724,-5.61496,11.029
2504699,1.45057,6.12821,0.673087,2.77718,15.3724,-5.61496,11.029
2504709,1.46826,6.41026,0.727662,2.9775,15.5215,-5.40418,11.5837
2504719,1.61863,6.84615,0.773141,3.23246,15.4102,-5.36373,12.4704
2504784,1.77784,7.68376,0.864098,3.4692,15.4242,-5.5763,13.7949
2504787,2.02549,8.66667,0.845907,3.54205,15.4795,-6.27072,15.0801
2504791,2.07856,9.04274,0.88229,3.6331,15.5324,-6.33693,15.6367
2504799,2.20239,9.54701,0.891386,3.78789,15.5842,-6.45528,16.4287
2504809,2.20239,9.54701,0.891386,3.78789,15.5842,-6.45528,16.4287
