ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4865470,0.017736,0,0.00908605,0.0454303,0,0,0.0722523
4865476,0,0,0,0.0181721,0,0,0.0181721
4865487,0,0,0,0,0,0,0
4865492,0,0,0,0,0,0,0
4865507,0,0,0,0.0363442,0,0,0.0363442
4865567,0.017736,0.00858586,0,0.0272582,0,0,0.0535801
4865576,0,0,0.0363442,0.00908605,0,0,0.0454303
4865586,0,0,0.0272582,0.00908605,0,0,0.0363442
4865602,0,0,0,0.00908605,0,0,0.00908605
4865605,0,0,0,0.00908605,0,0,0.00908605
4865670,0,0,0.00908605,0.0181721,0,0,0.0272582
4865672,0,0,0,0,0,0,0
4865674,0,0,0.00908605,0.0272582,0,0,0.0363442
4865683,0,0,0.00908605,0.0272582,0,0,0.0363442
4865693,0,0,0.0454303,0.0454303,0,0,0.0908605
4865713,0,0,0.0454303,0.00908605,0,0,0.0545163
4865775,0,0,0.00908605,0.0272582,0,0,0.0363442
4865792,0,0,0.0726884,0.00908605,0,0,0.0817745
4865795,0,0,0.0363442,0.0272582,0,0,0.0636024
4865805,0,0,0,0.0181721,0,0,0.0181721
4865876,0,0,0.0363442,0,0,0,0.0363442
4865878,0,0,0,0,0,0,0
4865889,0,0,0.0272582,0,0,0,0.0272582
4865899,0,0,0.0272582,0,0,0,0.0272582
4865908,0,0,0,0.00908605,0,0,0.00908605
4865979,0,0,0,0,0,0,0
4865981,0,0,0,0,0,0,0
4865992,0,0,0,0,0,0,0
4866002,0,0,0,0,0,0,0
4866012,0,0,0,0,0,0,0
4866017,0,0,0,0.0272582,0,0,0.0272582
4866080,0,0,0.00908605,0,0,0,0.00908605
4866082,0,0,0.0181721,0,0,0,0.0181721
4866102,0,0,0,0,0,0,0
4866112,0,0,0,0,0,0,0
4866205,0,0,0,0.0181721,0,0,0.0181721
4866211,0,0,0,0,0,0,0
4866221,0,0,0.0181721,0.0181721,0,0,0.0363442
4866284,0,0,0.00908605,0,0,0,0.00908605
4866286,0,0,0,0,0,0,0
4866297,0,0,0.0181721,0.00908605,0,0,0.0272582
4866314,0,0,0,0.0272582,0,0,0.0272582
4866325,0,0,0.0181721,0.0545163,0,0,0.0726884
4866386,0,0,0.0181721,0.0545163,0,0,0.0726884
4866388,0,0,0,0.0181721,0,0,0.0181721
4866399,0,0,0.0272582,0.0272582,0,0,0.0545163
4866408,0,0,0.0181721,0,0,0,0.0181721
4866425,0,0,0.0363442,0,0,0,0.0363442
4866489,0,0,0.0454303,0.0272582,0,0,0.0726884
