ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4815433,0.167531,0,0,0.0545746,0,0,0.222106
4815501,0.167531,0,0,0.0545746,0,0,0.222106
4815511,0.0881743,0,0,0.0545746,0,0,0.142749
4815513,0.141079,0,0,0.0181915,0,0,0.15927
4815523,0.141079,0,0,0.0181915,0,0,0.15927
4815533,0.0793568,0,0,0.0727662,0,0,0.152123
4815598,0.0969917,0,0,0.0363831,0,0,0.133375
4815601,0.0969917,0,0,0.0363831,0,0,0.133375
4815607,0.0969917,0,0,0.0272873,0,0,0.124279
4815616,0.0969917,0,0,0.0272873,0,0,0.124279
4815626,0.0969917,0,0,0.081862,0,0,0.178854
4815702,0.132261,0,0,0.0181915,0,0,0.150453
4815707,0.0881743,0,0,0.00909577,0,0,0.09727
4815717,0.0705394,0,0,0,0,0,0.0705394
4815727,0.123444,0,0,0.0181915,0,0,0.141636
4815737,0.0440871,0,0,0.0181915,0,0,0.0622787
4815813,0.0440871,0,0,0.0181915,0,0,0.0622787
4815816,0.0440871,0,0,0.0363831,0,0,0.0804702
4815817,0.123444,0,0,0.0363831,0,0,0.159827
4815907,0.123444,0,0,0.0363831,0,0,0.159827
4815910,0.061722,0,0,0.0636704,0,0,0.125392
4815921,0.105809,0,0,0.0545746,0,0,0.160384
4815931,0.132261,0,0,0.0454789,0,0,0.17774
4816007,0.0881743,0,0,0.0454789,0,0,0.133653
4816009,0.0793568,0,0,0.0363831,0,0,0.11574
4816011,0.0793568,0,0,0.0454789,0,0,0.124836
4816021,0.0793568,0,0,0.0454789,0,0,0.124836
4816030,0.0969917,0,0,0.0363831,0,0,0.133375
4816041,0.061722,0,0,0.0909577,0,0,0.15268
4816110,0.061722,0,0,0.0909577,0,0,0.15268
4816113,0.141079,0,0,0,0,0,0.141079
4816123,0.0529046,0,0,0,0,0,0.0529046
4816133,0.123444,0,0,0.081862,0,0,0.205306
4816144,0.0793568,0,0,0.00909577,0,0,0.0884526
4816226,0.0793568,0,0,0.00909577,0,0,0.0884526
4816232,0.0793568,0,0,0.00909577,0,0,0.0884526
4816242,0.123444,0,0,0.081862,0,0,0.205306
4816252,0.114627,0,0,0.0727662,0,0,0.187393
4816314,0.123444,0,0,0.0727662,0,0,0.19621
4816318,0.123444,0,0,0.0727662,0,0,0.19621
4816328,0.0969917,0,0,0,0,0,0.0969917
4816338,0.0881743,0,0,0,0,0,0.0881743
4816354,0.0793568,0,0,0.081862,0,0,0.161219
4816417,0.0793568,0,0,0.081862,0,0,0.161219
4816418,0.132261,0,0,0.0454789,0,0,0.17774
4816423,0.061722,0,0,0.0181915,0,0,0.0799135
4816433,0.0705394,0,0,0.0545746,0,0,0.125114
4816450,0.0793568,0,0,0.0363831,0,0,0.11574
4816459,0.0793568,0,0,0.0363831,0,0,0.11574
4816520,0.105809,0,0,0.0454789,0,0,0.151288
4816525,0.0881743,0,0,0,0,0,0.0881743
4816547,0.132261,0,0,0.0454789,0,0,0.17774
4816557,0.132261,0,0,0.0454789,0,0,0.17774
4816637,0.0793568,0,0,0.0727662,0,0,0.152123
4816638,0.0440871,0,0,0.00909577,0,0,0.0531829
4816660,0.123444,0,0,0.0363831,0,0,0.159827
4816723,0.123444,0,0,0.0363831,0,0,0.159827
4816726,0.123444,0,0,0.0727662,0,0,0.19621
4816729,0.0881743,0,0,0.0181915,0,0,0.106366
4816739,0.0705394,0,0,0.0454789,0,0,0.116018
4816763,0.0440871,0,0,0.0272873,0,0,0.0713745
4816826,0.141079,0,0,0.00909577,0,0,0.150175
4816834,0.105809,0,0,0.0272873,0,0,0.133096
4816844,0.0705394,0,0,0.0545746,0,0,0.125114
4816854,0.0705394,0,0,0.0454789,0,0,0.116018
4816931,0.114627,0,0,0.0363831,0,0,0.15101
4816934,0.105809,0,0,0.0181915,0,0,0.124001
4817031,0.105809,0,0,0.0545746,0,0,0.160384
4817033,0.0969917,0,0,0.0636704,0,0,0.160662
4817044,0.132261,0,0,0.100054,0,0,0.232315
4817067,0.0881743,0,0,0.0727662,0,0,0.16094
4817072,0.0881743,0,0,0.0727662,0,0,0.16094
4817133,0.061722,0,0,0.0181915,0,0,0.0799135
4817134,0.105809,0,0,0.0454789,0,0,0.151288
4817144,0.105809,0,0,0.00909577,0,0,0.114905
4817153,0.105809,0,0,0.00909577,0,0,0.114905
4817165,0.114627,0,0,0.109149,0,0,0.223776
4817177,0.105809,0,0,0,0,0,0.105809
4817237,0.0881743,0,0,0.0545746,0,0,0.142749
4817246,0.105809,0,0,0,0,0,0.105809
4817257,0.149896,0,0,0.0454789,0,0,0.195375
4817268,0.149896,0,0,0.0454789,0,0,0.195375
4817338,0.0705394,0,0,0.0181915,0,0,0.088731
4817347,0.0793568,0,0,0,0,0,0.0793568
4817357,0.0793568,0,0,0.0636704,0,0,0.143027
4817367,0.0969917,0,0,0.0363831,0,0,0.133375
4817377,0.0969917,0,0,0.0363831,0,0,0.133375
4817439,0.167531,0,0,0.0181915,0,0,0.185723
4817442,0.167531,0,0,0.0181915,0,0,0.185723
4817452,0.0881743,0,0,0.0181915,0,0,0.106366
4817469,0.105809,0,0,0.0636704,0,0,0.16948
4817479,0.0705394,0,0,0.0181915,0,0,0.088731
4817542,0.0705394,0,0,0.0181915,0,0,0.088731
4817547,0.167531,0,0,0,0,0,0.167531
4817548,0.105809,0,0,0.0363831,0,0,0.142192
4817559,0.0705394,0,0,0,0,0,0.0705394
4817582,0.0793568,0,0,0.0272873,0,0,0.106644
4817645,0.0793568,0,0,0.0272873,0,0,0.106644
4817649,0.0969917,0,0,0.0272873,0,0,0.124279
4817651,0.0881743,0,0.319377,2.97432,18.9745,14.2178,3.38187
4817661,0.0264523,0.788704,0.355878,0.0727662,9.63057,-4.66127,1.2438
4817671,0.0264523,0.788704,0.355878,0.0727662,9.63057,-4.66127,1.2438
4817750,0,0,0,0.209203,0,0,0.209203
4817761,0.0881743,0,0,0,0,0,0.0881743
4817770,0.0881743,0,0,0.0272873,0,0,0.115462
4817782,0.0881743,0,0,0.0272873,0,0,0.115462
4817852,0.114627,0,0,0.00909577,0,0,0.123722
4817856,0.114627,0,0,0.00909577,0,0,0.123722
4817866,0.0969917,0,0,0.00909577,0,0,0.106087
4817876,0.061722,0,0,0.0454789,0,0,0.107201
4817893,0.0881743,0,0,0,0,0,0.0881743
4817952,0.0881743,0,0,0.0545746,0,0,0.142749
4817963,0.105809,0,0,0.0545746,0,0,0.160384
4817974,0.0793568,0,0,0.0454789,0,0,0.124836
4817986,0.0793568,0,0,0.0272873,0,0,0.106644
4818063,0.0793568,0,0,0.0272873,0,0,0.106644
4818070,0.105809,0,0,0.0454789,0,0,0.151288
4818072,0.0881743,0.98588,0.282877,0.718566,16.0611,-0.524773,2.0755
4818082,0.379149,0.617247,0,0.327448,10.68,-7.57961,1.32384
4818092,0.0969917,0.428643,0,0.200107,18.3178,-6.72818,0.725742
4818162,0.0969917,0.428643,0,0.200107,18.3178,-6.72818,0.725742
4818164,0.105809,0.214322,0,0.136437,0,0,0.456567
4818175,0.061722,0,0,0.0181915,0,0,0.0799135
4818185,0.061722,0,0,0.0181915,0,0,0.0799135
4818197,0.0529046,0,0,0,0,0,0.0529046
4818259,0.0529046,0,0,0,0,0,0.0529046
4818262,0.123444,0,0,0.0363831,0,0,0.159827
4818264,0.0793568,0,0,0.0545746,0,0,0.133931
4818276,0.0793568,0,0,0.0272873,0,0,0.106644
4818286,0.0529046,0,0,0.0363831,0,0,0.0892877
4818362,0.061722,0,0,0,0,0,0.061722
4818364,0.061722,0,0,0,0,0,0.061722
4818368,0.0440871,0,0,0.0272873,0,0,0.0713745
4818378,0.0440871,0,0,0.0272873,0,0,0.0713745
4818391,0.820021,7.07262,1.10413,3.51097,17.3081,-3.93061,12.5077
4818401,0.820021,7.07262,1.10413,3.51097,17.3081,-3.93061,12.5077
4818469,0,0,0,0.845907,25,15,0.845907
4818472,1.47251,2.2118,0,1.62814,11.141,-5.8057,5.31245
4818483,0.290975,1.59455,0.00912507,0.663991,19.1356,-7.10774,2.55865
4818493,0.282158,1.38023,0.0456253,0.627608,17.983,-6.35263,2.33562
4818503,0.30861,1.05446,0.0365003,0.436597,15.6024,-7.27037,1.83617
4818567,0.220436,0.780131,0,0.200107,15.8203,-10.0001,1.20067
4818569,0.158714,0.514372,0,0.136437,15.1971,-9.94381,0.809522
4818581,0.00881743,0,0,0.00909577,0,0,0.0179132
4818604,0.0264523,0,0,0.0363831,0,0,0.0628354
4818674,0.0440871,0,0,0,0,0,0.0440871
4818677,0.0440871,0,0,0,0,0,0.0440871
4818681,0.0529046,0,0,0,0,0,0.0529046
4818693,0.0793568,0,0,0.0181915,0,0,0.0975484
4818811,0.0793568,0,0,0,0,0,0.0793568
4818812,0.0176349,0,0,0,0,0,0.0176349
4818874,0.0705394,0,0,0,0,0,0.0705394
4818876,0.061722,0,0,0.0181915,0,0,0.0799135
4818886,0.0793568,0.068583,0.0182501,0.609417,18.7077,9.27777,0.775607
4818908,0.0969917,0.231467,0.273752,1.24612,14.9709,9.66883,1.84833
4818913,0.0969917,0.231467,0.273752,1.24612,14.9709,9.66883,1.84833
4818976,0.220436,0.394352,0.310252,1.42804,13.7235,7.16191,2.35308
4818978,0.229253,0.437216,0.209877,1.06421,13.6854,4.6967,1.94055
4818990,0.290975,0.660111,0.593129,2.39219,13.7702,7.75161,3.9364
4818994,0.290975,0.660111,0.593129,2.39219,13.7702,7.75161,3.9364
4819004,0.282158,0.694402,0.584004,2.51043,14.3618,7.80353,4.071
4819014,0.379149,1.32879,0.748255,3.6656,15.7919,6.63018,6.1218
4819078,0.423237,1.56026,0.511004,3.11985,16.6799,4.40128,5.61435
4819081,0.326245,1.27736,0.520129,3.68379,17.7131,6.71625,5.80752
4819090,0.493776,1.93747,0.638755,4.66613,17.6803,5.57186,7.73613
4819100,0.58195,2.29753,0.766506,5.26645,17.435,5.30744,8.91244
4819105,0.58195,2.29753,0.766506,5.26645,17.435,5.30744,8.91244
4819116,0.626037,2.41755,0.812131,5.94864,17.6657,5.68704,9.80435
4819191,0.634855,2.4947,0.930757,6.91279,17.8661,6.44392,10.9731
4819193,0.634855,2.4947,0.930757,6.91279,17.8661,6.44392,10.9731
4819197,0.502593,2.58043,1.13151,10.5147,19.4529,8.7206,14.7292
4819212,0.502593,2.64902,1.24101,11.2515,19.4273,8.95629,15.6441
4819222,0.502593,2.64902,1.24101,11.2515,19.4273,8.95629,15.6441
4819283,0.599585,2.8119,1.26838,11.4334,19.2036,8.64842,16.1133
4819285,0.626037,3.0005,1.25926,11.588,19.2779,8.39581,16.4738
4819289,0.678942,3.29198,1.32313,12.7796,19.4613,8.40875,18.0736
4819298,0.678942,3.29198,1.32313,12.7796,19.4613,8.40875,18.0736
4819309,0.714212,3.26626,1.48739,13.5709,19.2181,8.72783,19.0388
4819323,2.83039,3.26626,2.02576,12.1792,13.04,5.9909,20.3017
4819386,2.83039,4.20071,2.02576,14.5078,14.6961,6.04874,23.5646
4819394,1.33143,3.49773,9.01557,19.4299,9.45214,10.6461,33.2747
4819404,1.26089,3.19768,10.0558,20.6113,8.89111,11.192,35.1257
4819422,1.63122,3.28341,10.3752,21.5141,8.68868,10.9939,36.804
4819492,1.63122,3.28341,10.3752,21.5141,8.68868,10.9939,36.804
4819496,2.35425,3.60061,10.6946,21.7542,8.01096,10.3482,38.4037
4819505,3.66805,4.54362,15.978,21.9655,3.71741,9.66257,46.1552
4819592,3.66805,4.54362,15.978,21.9655,3.71741,9.66257,46.1552
4819594,3.78268,4.76652,16.8084,21.3797,2.97147,9.51239,46.7372
4819606,4.13537,5.37519,18.1494,16.7362,-0.0976399,8.5734,44.3962
4819616,4.34699,5.45234,17.9369,15.6902,-0.65707,8.2304,43.4265
4819626,4.34699,5.45234,17.9369,15.6902,-0.65707,8.2304,43.4265
4819696,4.47925,5.32375,17.9176,15.4719,-0.926784,8.19118,43.1925
4819698,4.33817,5.25517,18.1688,14.9171,-1.36758,8.25666,42.6792
4819702,4.32054,5.04085,18.0335,14.1803,-1.88388,8.24497,41.5752
4819712,4.25882,5.07514,18.6807,14.153,-2.20035,8.3594,42.1677
4819724,4.12656,4.71508,19.55,14.0257,-2.90907,8.74668,42.4173
4819807,3.97666,4.39788,19.5597,13.962,-3.08884,9.00337,41.8962
