ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4955270,0,0.0170854,0,0.0545746,0,0,0.0716601
4955272,0,0,0,0.00909577,0,0,0.00909577
4955276,0,0.0170854,0.0181818,0.0181915,0,0,0.0534588
4955291,0,0.0170854,0.0181818,0.0181915,0,0,0.0534588
4955301,0.00885878,0,0.0363636,0.0181915,0,0,0.063414
4955371,0,0,0,0.0181915,0,0,0.0181915
4955374,0,0,0,0.0181915,0,0,0.0181915
4955377,0,0.0341709,0.0181818,0,0,0,0.0523527
4955394,0,0.00854271,0.0545455,0.0272873,0,0,0.0903755
4955404,0,0.00854271,0.0545455,0.0272873,0,0,0.0903755
4955407,0,0.059799,0,0,0,0,0.059799
4955477,0,0,0.00909091,0.00909577,0,0,0.0181867
4955481,0,0.0341709,0.00909091,0.0727662,0,0,0.116028
4955490,0,0.0170854,0,0.0454789,0,0,0.0625643
4955505,0,0.0427136,0.00909091,0.0545746,0,0,0.106379
4955511,0,0.0427136,0.00909091,0.0545746,0,0,0.106379
4955581,0,0,0,0.0363831,0,0,0.0363831
4955584,0,0.0170854,0.00909091,0.0181915,0,0,0.0443679
4955596,0,0.0427136,0,0,0,0,0.0427136
4955606,0,0.0512563,0,0.0545746,0,0,0.105831
4955617,0,0,0.0181818,0.0363831,0,0,0.0545649
4955681,0,0,0.0181818,0.0363831,0,0,0.0545649
4955683,0,0.0341709,0.0727273,0.0545746,0,0,0.161473
4955696,0,0.0170854,0.0272727,0.0454789,0,0,0.089837
4955704,0,0.0170854,0.0272727,0.0454789,0,0,0.089837
4955714,0,0.0768844,0,0.0181915,0,0,0.095076
4955785,0,0.0768844,0,0.0181915,0,0,0.095076
4955787,0,0.0170854,0,0,0,0,0.0170854
4955797,0,0.0170854,0,0,0,0,0.0170854
4955807,0,0.0170854,0,0,0,0,0.0170854
4955817,0,0.0341709,0.00909091,0,0,0,0.0432618
4955884,0,0.0256281,0.0363636,0,0,0,0.0619918
4955891,0.0442939,0.0170854,0,0,0,0,0.0613793
4955895,0,0.0170854,0.0181818,0,0,0,0.0352672
4955910,0,0,0,0.00909577,0,0,0.00909577
4955920,0,0,0,0.00909577,0,0,0.00909577
4955990,0,0,0,0,0,0,0
4955992,0.0177176,0.0427136,0.0181818,0.00909577,0,0,0.0877087
4955995,0,0,0,0.0181915,0,0,0.0181915
4956005,0,0.00854271,0,0,0,0,0.00854271
4956015,0,0.0256281,0,0,0,0,0.0256281
4956091,0,0,0.0181818,0,0,0,0.0181818
4956094,0,0,0.0545455,0.00909577,0,0,0.0636412
4956096,0,0.0427136,0,0,0,0,0.0427136
4956106,0,0.0427136,0,0,0,0,0.0427136
4956122,0,0.0341709,0,0,0,0,0.0341709
4956192,0.0177176,0,0,0.00909577,0,0,0.0268133
4956195,0,0.0256281,0,0,0,0,0.0256281
4956197,0,0,0,0.0454789,0,0,0.0454789
4956291,0.0265763,0.0170854,0.0272727,0.0272873,0,0,0.0982218
4956294,0,0.00854271,0.00909091,0.0272873,0,0,0.0449209
4956303,0.0177176,0,0,0,0,0,0.0177176
4956313,0,0.0427136,0.0272727,0.0363831,0,0,0.106369
4956324,0,0.0427136,0.0272727,0.0363831,0,0,0.106369
4956333,0.0265763,0.0256281,0.0272727,0.0272873,0,0,0.106765
4956394,0,0,0.0272727,0,0,0,0.0272727
4956395,0,0,0.0272727,0,0,0,0.0272727
4956402,0,0.0170854,0.0272727,0.0363831,0,0,0.0807412
4956411,0,0.0170854,0.0272727,0.0363831,0,0,0.0807412
4956421,0,0.0256281,0.0363636,0.109149,0,0,0.171141
4956496,0.00885878,0,0.0272727,0,0,0,0.0361315
4956498,0,0.00854271,0.0363636,0,0,0,0.0449063
4956501,0.0265763,0.059799,0,0,0,0,0.0863753
4956512,0.0265763,0.059799,0,0,0,0,0.0863753
4956522,0,0.059799,0,0,0,0,0.059799
4956532,0,0.0427136,0.00909091,0,0,0,0.0518045
4956609,0,0.0427136,0.00909091,0,0,0,0.0518045
4956615,0,0.0512563,0,0.0272873,0,0,0.0785436
4956638,0,0.0170854,0.00909091,0.0363831,0,0,0.0625594
4956701,0,0,0,0,0,0,0
4956702,0,0.0427136,0,0.0272873,0,0,0.0700009
4956715,0,0.00854271,0.00909091,0.0545746,0,0,0.0722083
