ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4930388,0,0,0,0.00909091,0,0,0.00909091
4930390,0,0,0,0.0181818,0,0,0.0181818
4930400,0.0265211,0,0,0.0181818,0,0,0.0447029
4930410,0.0176807,0,0,0.0181818,0,0,0.0358625
4930516,0.0707228,0,0,0.00909091,0,0,0.0798137
4930524,0.0265211,0,0,0,0,0,0.0265211
4930594,0,0,0,0,0,0,0
4930596,0.0176807,0,0,0,0,0,0.0176807
4930602,0.0618825,0,0,0.00909091,0,0,0.0709734
4930625,0.0618825,0,0,0.0272727,0,0,0.0891552
4930706,0.0618825,0,0,0.0272727,0,0,0.0891552
4930709,0.00884035,0,0,0.0454545,0,0,0.0542949
4930711,0.0265211,0,0,0.0272727,0,0,0.0537938
4930721,0,0,0,0,0,0,0
4930736,0.0530421,0,0,0.00909091,0,0,0.062133
4930795,0.0530421,0,0,0,0,0,0.0530421
4930806,0.0176807,0,0,0,0,0,0.0176807
4930816,0,0,0,0.0181818,0,0,0.0181818
4930826,0,0,0,0.0181818,0,0,0.0181818
4930836,0.0176807,0,0,0.0636364,0,0,0.0813171
4930903,0.0707228,0,0,0,0,0,0.0707228
4930905,0.00884035,0,0,0,0,0,0.00884035
4930916,0.0442018,0,0,0,0,0,0.0442018
4930926,0.0442018,0,0,0,0,0,0.0442018
4930936,0.0442018,0,0,0,0,0,0.0442018
4931000,0.0265211,0,0,0.0363636,0,0,0.0628847
4931003,0.00884035,0,0,0.0363636,0,0,0.045204
4931005,0.0884035,0,0,0,0,0,0.0884035
4931015,0.0884035,0,0,0,0,0,0.0884035
4931026,0,0,0,0.0272727,0,0,0.0272727
4931035,0.0442018,0,0,0.00909091,0,0,0.0532927
4931101,0,0,0,0,0,0,0
4931104,0,0,0,0,0,0,0
4931106,0.0265211,0,0,0.0636364,0,0,0.0901574
4931117,0.00884035,0,0,0.0454545,0,0,0.0542949
4931140,0.0618825,0,0,0.0363636,0,0,0.0982461
4931204,0.0530421,0,0,0.0454545,0,0,0.0984967
4931206,0.0176807,0,0,0.0727273,0,0,0.090408
4931208,0.00884035,0,0,0.0636364,0,0,0.0724767
4931220,0.0176807,0,0,0.0363636,0,0,0.0540443
4931310,0.0176807,0,0,0.0363636,0,0,0.0540443
4931313,0.0442018,0,0,0.0181818,0,0,0.0623836
4931318,0.0795632,0,0,0.0181818,0,0,0.097745
4931333,0.0176807,0,0,0.0636364,0,0,0.0813171
4931349,0.0353614,0,0,0.0636364,0,0,0.0989978
4931409,0.0530421,0,0,0.0636364,0,0,0.116678
4931410,0.0530421,0,0,0.0636364,0,0,0.116678
4931433,0,0,0,0.0636364,0,0,0.0636364
4931443,0.0442018,0,0,0.0363636,0,0,0.0805654
4931512,0.0265211,0,0,0.0636364,0,0,0.0901574
4931514,0.0265211,0,0,0.0636364,0,0,0.0901574
4931525,0.0707228,0.00858152,0,0.0181818,0,0,0.0974862
4931541,0.00884035,0,0,0.0636364,0,0,0.0724767
4931619,0.00884035,0,0,0.00909091,0,0,0.0179313
4931621,0.0442018,0,0,0.0363636,0,0,0.0805654
4931623,0.0795632,0,0,0.0181818,0,0,0.097745
4931633,0,0,0,0,0,0,0
4931643,0,0,0,0,0,0,0
4931652,0.0442018,0,0,0.0727273,0,0,0.116929
4931716,0.0442018,0,0,0.0727273,0,0,0.116929
4931719,0.0353614,0,0,0.0272727,0,0,0.0626341
4931735,0.0176807,0,0,0.0363636,0,0,0.0540443
4931745,0.0176807,0,0,0.0363636,0,0,0.0540443
4931755,0.00884035,0,0,0.00909091,0,0,0.0179313
4931832,0.00884035,0,0,0.0272727,0,0,0.0361131
4931834,0.00884035,0,0,0.0272727,0,0,0.0361131
4931858,0.0353614,0,0,0.0818182,0,0,0.11718
4931930,0,0,0,0.0363636,0,0,0.0363636
4931934,0.0265211,0,0,0.0636364,0,0,0.0901574
4931952,0,0,0,0.0363636,0,0,0.0363636
4931962,0,0,0,0.0181818,0,0,0.0181818
4932029,0,0,0,0.0181818,0,0,0.0181818
4932039,0.0442018,0,0,0.0545455,0,0,0.0987472
4932062,0.0353614,0,0,0.0545455,0,0,0.0899069
4932126,0.0353614,0,0,0.0545455,0,0,0.0899069
4932130,0.0795632,0,0,0.0363636,0,0,0.115927
4932153,0.0176807,0,0,0.0363636,0,0,0.0540443
4932158,0.0176807,0,0,0.0363636,0,0,0.0540443
4932159,0.0442018,0,0,0.0454545,0,0,0.0896563
4932241,0.0353614,0,0,0.0727273,0,0,0.108089
4932244,0.0353614,0,0,0.0727273,0,0,0.108089
4932254,0,0,0,0,0,0,0
4932270,0.0795632,0,0,0,0,0,0.0795632
4932354,0.00884035,0,0,0,0,0,0.00884035
4932361,0.0353614,0,0,0,0,0,0.0353614
4932362,0.0442018,0,0,0,0,0,0.0442018
4932372,0.0442018,0,0,0,0,0,0.0442018
4932434,0.0265211,0,0,0,0,0,0.0265211
