ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3576598,0.0088634,0,0,0,0,0,0.0088634
3576607,0.0088634,0,0,0,0,0,0.0088634
3576618,0,0,0,0,0,0,0
3576684,0,0,0,0,0,0,0
3576686,0,0,0,0,0,0,0
3576696,0,0,0,0,0,0,0
3576706,0,0,0,0,0,0,0
3576716,0,0,0,0,0,0,0
3576787,0,0,0,0,0,0,0
3576789,0,0,0,0,0,0,0
3576799,0,0,0,0,0,0,0
3576809,0,0,0,0,0,0,0
3576819,0,0,0,0,0,0,0
3576889,0,0,0,0,0,0,0
3576891,0,0,0,0,0,0,0
3576901,0,0,0,0,0,0,0
3576911,0,0,0,0,0,0,0
3576921,0,0,0,0,0,0,0
3576991,0,0,0,0,0,0,0
3576994,0,0,0,0,0,0,0
3577033,0,0,0,0,0,0,0
3577094,0,0,0,0,0,0,0
3577104,0,0,0,0,0,0,0
3577114,0,0,0,0,0,0,0
3577130,0,0,0.0182013,0,0,0,0.0182013
3577200,0,0,0,0,0,0,0
3577203,0,0,0,0,0,0,0
3577214,0,0,0,0,0,0,0
3577224,0.0265902,0,0,0,0,0,0.0265902
3577234,0.0265902,0,0,0,0,0,0.0265902
3577296,0,0,0,0,0,0,0
3577300,0.0354536,0.00856855,0,0,0,0,0.0440221
3577305,0,0.00856855,0,0,0,0,0.00856855
3577315,0,0.00856855,0,0,0,0,0.00856855
3577325,0.0177268,0.00856855,0,0,0,0,0.0262953
3577335,0,0,0,0,0,0,0
3577402,0,0,0,0,0,0,0
3577409,0,0,0,0,0,0,0
3577419,0,0,0,0,0,0,0
3577436,0.0088634,0,0,0,0,0,0.0088634
3577506,0,0,0.00910064,0,0,0,0.00910064
3577509,0.0177268,0,0,0,0,0,0.0177268
3577522,0,0,0,0,0,0,0
3577532,0,0,0,0,0,0,0
3577608,0,0,0,0,0,0,0
3577614,0,0,0,0,0,0,0
3577621,0,0,0,0,0,0,0
3577632,0,0,0,0,0,0,0
3577709,0,0,0,0,0,0,0
3577712,0,0,0.00910064,0,0,0,0.00910064
3577724,0,0,0,0,0,0,0
3577809,0,0,0,0,0,0,0
3577811,0,0,0,0,0,0,0
3577821,0,0,0,0,0,0,0
3577833,0,0,0,0,0,0,0
3577842,0.0088634,0,0,0,0,0,0.0088634
3577912,0.0088634,0,0,0,0,0,0.0088634
3577916,0.0088634,0,0,0,0,0,0.0088634
3577930,0,0,0.00910064,0,0,0,0.00910064
3577934,0,0,0,0,0,0,0
3577944,0,0,0,0,0,0,0
3577954,0.0088634,0.0428427,0,0,0,0,0.0517061
3578014,0,0,0,0,0,0,0
3578035,0,0,0,0,0,0,0
3578045,0,0,0,0,0,0,0
3578055,0,0,0,0,0,0,0
3578126,0,0.00856855,0,0,0,0,0.00856855
3578132,0,0.0514113,0,0,0,0,0.0514113
3578149,0,0,0,0.00911528,0,0,0.00911528
3578159,0,0,0,0.00911528,0,0,0.00911528
3578219,0,0,0,0,0,0,0
3578228,0,0,0,0,0,0,0
3578248,0.0531804,0,0,0,0,0,0.0531804
3578255,0,0,0.00910064,0,0,0,0.00910064
3578326,0,0,0.00910064,0,0,0,0.00910064
3578329,0,0,0,0,0,0,0
3578337,0,0,0,0,0,0,0
3578361,0,0,0,0,0,0,0
3578424,0,0,0,0,0,0,0
3578426,0,0,0,0,0,0,0
3578435,0,0.0171371,0,0,0,0,0.0171371
3578446,0,0.0171371,0,0,0,0,0.0171371
3578455,0,0,0,0,0,0,0
3578465,0,0,0,0,0,0,0
3578526,0,0,0,0,0,0,0
3578538,0,0,0,0,0,0,0
3578547,0,0,0,0,0,0,0
3578557,0,0,0,0,0,0,0
3578568,0,0.0171371,0.00910064,0,0,0,0.0262377
3578628,0,0,0,0,0,0,0
3578649,0,0.0342742,0,0,0,0,0.0342742
3578659,0,0,0,0,0,0,0
3578730,0,0,0,0,0,0,0
3578733,0,0,0,0,0,0,0
3578743,0,0,0,0,0,0,0
3578753,0,0,0,0,0,0,0
3578763,0.0177268,0,0,0,0,0,0.0177268
3578832,0,0,0,0,0,0,0
3578867,0.0265902,0,0,0,0,0,0.0265902
3578870,0.0088634,0,0,0,0,0,0.0088634
