ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3525586,0.0177176,0.0512563,0.036228,0,0,0,0.105202
3525590,0,0,0.045285,0.0181818,0,0,0.0634668
3525592,0,0.0427136,0.045285,0.0272727,0,0,0.115271
3525602,0,0.0427136,0.045285,0.0272727,0,0,0.115271
3525612,0.00885878,0.0683417,0.036228,0.0272727,0,0,0.140701
3525622,0,0.0256281,0.018114,0.0181818,0,0,0.061924
3525692,0,0.0256281,0.018114,0.0181818,0,0,0.061924
3525694,0,0.0427136,0.036228,0,0,0,0.0789416
3525705,0,0,0.00905701,0,0,0,0.00905701
3525719,0,0.0683417,0.00905701,0.0363636,0,0,0.113762
3525725,0,0,0.036228,0.00909091,0,0,0.0453189
3525796,0,0,0.036228,0.00909091,0,0,0.0453189
3525798,0.0354351,0.0170854,0.0815131,0,0,0,0.134034
3525802,0,0,0.00905701,0.0272727,0,0,0.0363297
3525817,0,0,0.00905701,0.0272727,0,0,0.0363297
3525827,0.0265763,0.059799,0.00905701,0,0,0,0.0954323
3525898,0.0177176,0.0256281,0.036228,0.0181818,0,0,0.0977555
3525901,0,0,0.027171,0.0272727,0,0,0.0544437
3525903,0,0.0427136,0.063399,0,0,0,0.106113
3525915,0,0.0341709,0.0996271,0.0181818,0,0,0.15198
3526001,0,0.0341709,0.0996271,0.0181818,0,0,0.15198
3526007,0.0265763,0.0170854,0.018114,0,0,0,0.0617758
3526017,0,0,0.072456,0.0454545,0,0,0.117911
3526027,0,0.0512563,0.072456,0.0363636,0,0,0.160076
3526097,0,0.0512563,0.072456,0.0363636,0,0,0.160076
3526100,0,0.111055,0.054342,0.0181818,0,0,0.183579
3526110,0,0.00854271,0.027171,0,0,0,0.0357137
3526120,0,0.00854271,0.027171,0,0,0,0.0357137
3526129,0,0.0256281,0.045285,0,0,0,0.0709132
3526141,0,0.0256281,0.045285,0,0,0,0.0709132
3526201,0.0265763,0.0170854,0.063399,0,0,0,0.107061
3526211,0.0265763,0.0427136,0.036228,0,0,0,0.105518
3526228,0,0.0170854,0.054342,0.0181818,0,0,0.0896093
3526238,0,0.0341709,0.063399,0,0,0,0.0975699
3526309,0,0.00854271,0.00905701,0,0,0,0.0175997
3526316,0,0.0170854,0.045285,0,0,0,0.0623705
3526320,0,0.0512563,0.063399,0,0,0,0.114655
3526329,0,0.0512563,0.063399,0,0,0,0.114655
3526340,0,0,0.0815131,0.0363636,0,0,0.117877
3526411,0,0.059799,0.00905701,0,0,0,0.068856
3526413,0,0.059799,0.00905701,0,0,0,0.068856
3526422,0,0,0.045285,0.0181818,0,0,0.0634668
3526432,0.00885878,0.0427136,0,0,0,0,0.0515723
3526442,0.00885878,0.0427136,0,0,0,0,0.0515723
3526513,0,0.0341709,0,0,0,0,0.0341709
3526517,0,0.0170854,0.063399,0.0181818,0,0,0.0986663
3526534,0,0.0768844,0.063399,0.00909091,0,0,0.149374
3526544,0,0.0341709,0.036228,0,0,0,0.0703989
3526614,0,0.0341709,0.036228,0,0,0,0.0703989
3526617,0,0,0.027171,0,0,0,0.027171
3526627,0,0.0170854,0.036228,0.0272727,0,0,0.0805862
3526637,0,0.0170854,0.036228,0.0272727,0,0,0.0805862
3526647,0,0.0427136,0.054342,0,0,0,0.0970556
3526714,0,0.0427136,0.054342,0,0,0,0.0970556
3526717,0.0265763,0.00854271,0.018114,0.0181818,0,0,0.0714149
3526727,0,0.0170854,0.036228,0.0454545,0,0,0.098768
3526746,0.0177176,0.0683417,0.054342,0.0454545,0,0,0.185856
3526817,0,0.0768844,0.054342,0.0181818,0,0,0.149408
3526820,0,0.0768844,0.054342,0.0181818,0,0,0.149408
3526830,0,0.0256281,0.027171,0.0272727,0,0,0.0800719
3526839,0.0177176,0.0683417,0.063399,0.00909091,0,0,0.158549
3526849,0.0177176,0.0683417,0.063399,0.00909091,0,0,0.158549
3526919,0,0.00854271,0,0,0,0,0.00854271
3526922,0,0.0170854,0.027171,0,0,0,0.0442564
3526932,0.00885878,0.0512563,0.054342,0.0181818,0,0,0.132639
3526942,0.0620115,0.0256281,0,0.00909091,0,0,0.0967305
3526952,0.00885878,0.0512563,0.045285,0.0272727,0,0,0.132673
3526957,0.00885878,0.0512563,0.045285,0.0272727,0,0,0.132673
3527018,0.0265763,0,0.0815131,0,0,0,0.108089
3527043,0,0.0427136,0.036228,0.00909091,0,0,0.0880325
3527049,0.00885878,0.0170854,0.054342,0.0545455,0,0,0.134832
3527059,0,0.0512563,0.0996271,0,0,0,0.150883
3527122,0.00885878,0.0512563,0,0.0272727,0,0,0.0873878
3527124,0.00885878,0.0512563,0,0.0272727,0,0,0.0873878
3527133,0,0.0170854,0.045285,0,0,0,0.0623705
3527143,0,0.0170854,0.036228,0,0,0,0.0533134
3527153,0,0.0170854,0.036228,0,0,0,0.0533134
3527163,0,0.0341709,0.036228,0,0,0,0.0703989
3527224,0,0.0341709,0.036228,0,0,0,0.0703989
3527225,0,0.0427136,0.027171,0.00909091,0,0,0.0789755
3527236,0,0,0,0,0,0,0
3527246,0,0.0427136,0.045285,0.0454545,0,0,0.133453
3527257,0,0.0427136,0.045285,0.0454545,0,0,0.133453
3527261,0.00885878,0.0341709,0.018114,0,0,0,0.0611436
3527329,0,0,0.036228,0.0454545,0,0,0.0816826
3527332,0,0,0.036228,0.0454545,0,0,0.0816826
3527343,0,0.00854271,0.0815131,0.00909091,0,0,0.0991467
3527359,0,0.00854271,0,0.0363636,0,0,0.0449063
3527430,0,0.00854271,0,0.0181818,0,0,0.0267245
3527432,0.00885878,0.0341709,0.054342,0.00909091,0,0,0.106463
3527433,0,0,0.072456,0.00909091,0,0,0.081547
3527443,0,0,0.072456,0.00909091,0,0,0.081547
3527453,0,0,0.054342,0.0272727,0,0,0.0816148
3527463,0,0.0427136,0.045285,0.0181818,0,0,0.10618
3527534,0,0.0427136,0.045285,0.0181818,0,0,0.10618
3527536,0.00885878,0.0427136,0.063399,0,0,0,0.114971
3527564,0,0,0.018114,0.0181818,0,0,0.0362958
3527567,0.0354351,0.0427136,0.045285,0.00909091,0,0,0.132525
3527637,0.0177176,0.0512563,0.027171,0.00909091,0,0,0.105236
3527640,0,0.0256281,0.036228,0.0363636,0,0,0.0982198
3527650,0,0.0170854,0,0.0181818,0,0,0.0352672
3527661,0,0.0768844,0,0.00909091,0,0,0.0859753
3527671,0,0.0768844,0,0.00909091,0,0,0.0859753
3527741,0,0.0427136,0.036228,0.0636364,0,0,0.142578
3527743,0,0.0427136,0.036228,0.0636364,0,0,0.142578
3527753,0,0,0.045285,0,0,0,0.045285
3527838,0,0.0170854,0.063399,0.0454545,0,0,0.125939
3527840,0,0,0.045285,0.0181818,0,0,0.0634668
3527851,0,0.0170854,0.063399,0.0636364,0,0,0.144121
3527861,0,0.0170854,0.063399,0.0636364,0,0,0.144121
3527871,0,0.0341709,0,0,0,0,0.0341709
3527882,0,0.0341709,0,0,0,0,0.0341709
3527942,0.0177176,0.0341709,0.045285,0.0363636,0,0,0.133537
3527951,0,0.0256281,0.018114,0.0272727,0,0,0.0710149
3527973,0,0,0.054342,0,0,0,0.054342
3527983,0,0.0427136,0.00905701,0,0,0,0.0517706
3528043,0,0.0341709,0.045285,0,0,0,0.0794559
3528052,0,0.00854271,0,0.0272727,0,0,0.0358154
3528062,0,0.0683417,0.054342,0.0272727,0,0,0.149956
3528076,0,0.0683417,0.054342,0.0272727,0,0,0.149956
3528085,0,0.0256281,0.00905701,0,0,0,0.0346851
3528156,0,0.0256281,0.054342,0.0545455,0,0,0.134516
3528163,0,0.0256281,0.054342,0.0545455,0,0,0.134516
3528173,0,0.0683417,0.027171,0.00909091,0,0,0.104604
3528249,0,0.0256281,0.036228,0.0636364,0,0,0.125493
3528252,0,0.0170854,0.018114,0,0,0,0.0351994
3528254,0,0,0.027171,0,0,0,0.027171
3528264,0,0,0.027171,0,0,0,0.027171
3528275,0,0.0768844,0.018114,0,0,0,0.0949984
3528285,0,0.0768844,0.018114,0,0,0,0.0949984
3528354,0,0,0,0.0272727,0,0,0.0272727
3528357,0.00885878,0.0512563,0.072456,0,0,0,0.132571
3528368,0.0177176,0.0683417,0.0905701,0,0,0,0.176629
3528378,0,0,0.036228,0,0,0,0.036228
3528389,0,0.0256281,0.027171,0.0363636,0,0,0.0891628
3528452,0,0.0256281,0.027171,0.0363636,0,0,0.0891628
3528455,0,0.0427136,0.0905701,0.0181818,0,0,0.151465
3528456,0,0.0427136,0.018114,0.0363636,0,0,0.0971912
