ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3687407,0,0,0,0,0,0,0
3687417,0,0,0,0,0,0,0
3687477,0,0.00855131,0,0,0,0,0.00855131
3687487,0.0088634,0,0,0,0,0,0.0088634
3687497,0.0088634,0,0,0,0,0,0.0088634
3687507,0,0,0,0,0,0,0
3687517,0,0,0.00908605,0,0,0,0.00908605
3687580,0,0,0.00908605,0,0,0,0.00908605
3687581,0.0177268,0.0256539,0.00908605,0,0,0,0.0524668
3687591,0,0,0,0.0273458,0,0,0.0273458
3687601,0,0,0,0,0,0,0
3687611,0,0,0,0,0,0,0
3687688,0,0,0.00908605,0,0,0,0.00908605
3687689,0.0088634,0,0,0,0,0,0.0088634
3687699,0.0088634,0,0,0,0,0,0.0088634
3687709,0,0.0684105,0,0,0,0,0.0684105
3687720,0,0.0684105,0,0,0,0,0.0684105
3687792,0,0.0256539,0,0,0,0,0.0256539
3687793,0,0.0256539,0,0,0,0,0.0256539
3687802,0,0.0171026,0,0.00911528,0,0,0.0262179
3687812,0.0265902,0,0,0,0,0,0.0265902
3687888,0,0,0,0,0,0,0
3687891,0.0354536,0,0.00908605,0,0,0,0.0445396
3687911,0,0,0.0272582,0,0,0,0.0272582
3687914,0,0,0.0272582,0,0,0,0.0272582
3687923,0,0.0171026,0,0,0,0,0.0171026
3688006,0,0.00855131,0,0,0,0,0.00855131
3688012,0,0,0,0,0,0,0
3688022,0,0.00855131,0,0,0,0,0.00855131
3688032,0,0.0342052,0,0,0,0,0.0342052
3688092,0,0.0427565,0,0,0,0,0.0427565
3688107,0,0,0.0272582,0,0,0,0.0272582
3688117,0,0,0,0,0,0,0
3688200,0,0.0171026,0,0,0,0,0.0171026
3688203,0,0.00855131,0,0,0,0,0.00855131
3688218,0,0.00855131,0,0,0,0,0.00855131
3688228,0,0,0.00908605,0,0,0,0.00908605
3688299,0,0,0.00908605,0,0,0,0.00908605
3688301,0.0354536,0,0.0181721,0,0,0,0.0536257
3688317,0.0088634,0.0256539,0,0,0,0,0.0345173
3688327,0,0,0,0.00911528,0,0,0.00911528
3688337,0,0.00855131,0.0363442,0,0,0,0.0448955
3688402,0,0,0.0272582,0,0,0,0.0272582
3688405,0,0,0,0,0,0,0
3688408,0,0.0256539,0.00908605,0.00911528,0,0,0.0438553
3688423,0,0,0.0636024,0.0182306,0,0,0.0818329
3688440,0.842023,4.27565,0.572421,1.13941,14.6446,-7.48043,6.82951
3688501,0.842023,4.27565,0.572421,1.13941,14.6446,-7.48043,6.82951
3688503,0,0.436117,0,0,0,0,0.436117
3688524,0,0.00855131,0.0272582,0.0273458,0,0,0.0631553
3688534,0,0.00855131,0.0272582,0.0273458,0,0,0.0631553
3688604,0.0088634,0,0,0,0,0,0.0088634
3688607,0,0,0,0,0,0,0
3688617,0,0,0,0,0,0,0
3688627,0,0.00855131,0,0,0,0,0.00855131
3688637,0.0177268,0.00855131,0,0,0,0,0.0262781
3688647,0.0177268,0.00855131,0,0,0,0,0.0262781
3688706,0.0088634,0.0427565,0.00908605,0.0273458,0,0,0.0880518
3688715,0,0.0256539,0,0.0546917,0,0,0.0803456
3688747,0,0.0256539,0,0,0,0,0.0256539
3688808,0,0.0171026,0,0,0,0,0.0171026
3688809,0.0531804,0.0256539,0.00908605,0.0182306,0,0,0.106151
3688814,0,0,0,0,0,0,0
3688829,0.0531804,0.0427565,0.0363442,0.063807,0,0,0.196088
3688839,0.0531804,0.0427565,0.0363442,0.063807,0,0,0.196088
3688849,0,0.0342052,0,0,0,0,0.0342052
3688912,0,0,0,0,0,0,0
3688913,0,0,0,0,0,0,0
3688914,0,0.0256539,0,0,0,0,0.0256539
3688926,0.0088634,0,0,0.0182306,0,0,0.027094
3688936,0,0.00855131,0,0,0,0,0.00855131
3689018,0,0,0,0,0,0,0
3689021,0.0177268,0,0.00908605,0,0,0,0.0268128
3689033,0.0177268,0.00855131,0,0,0,0,0.0262781
3689037,0,0.00855131,0.0272582,0,0,0,0.0358095
3689052,0,0.00855131,0.0272582,0,0,0,0.0358095
3689118,0.0088634,0.0342052,0,0,0,0,0.0430686
3689126,0,0,0,0.0182306,0,0,0.0182306
3689128,2.04745,5.11368,0,0,10.7044,-15,7.16113
3689138,0.319082,0.495976,0.0817745,0.0273458,3.3128,-11.4578,0.924179
3689148,0,0,0,0.0273458,0,0,0.0273458
3689158,0,0,0,0.0273458,0,0,0.0273458
3689218,0.0531804,0.0940644,0.0545163,0.0455764,0,0,0.247337
3689233,0,0,0,0,0,0,0
3689250,0,0,0,0,0,0,0
3689252,0,0,0,0,0,0,0
3689323,0,0,0,0,0,0,0
3689326,0,0,0,0.0273458,0,0,0.0273458
3689336,0,0,0,0.00911528,0,0,0.00911528
3689346,0,0,0,0.00911528,0,0,0.00911528
3689362,0.0177268,0.0171026,0,0,0,0,0.0348294
3689422,0,0.00855131,0,0,0,0,0.00855131
3689423,0,0.00855131,0,0,0,0,0.00855131
3689433,0,0,0,0.0455764,0,0,0.0455764
3689443,0,0,0.0181721,0,0,0,0.0181721
3689525,0.044317,0.0342052,0.0272582,0,0,0,0.10578
3689527,0.044317,0.0342052,0.0272582,0,0,0,0.10578
3689539,0.336809,1.64185,0.563335,3.0992,17.0217,4.47743,5.64119
3689544,0.336809,1.64185,0.563335,3.0992,17.0217,4.47743,5.64119
3689560,0.239312,1.34256,0.799572,5.17748,18.1281,8.72185,7.55892
3689636,0.239312,1.34256,0.463389,4.9496,19.977,8.21558,6.99485
3689638,0.239312,1.2998,0.463389,4.9496,19.9461,8.35836,6.9521
3689651,2.32221,2.62525,1.89898,7.30134,10.0818,4.50904,14.1478
3689661,2.32221,2.62525,1.89898,7.30134,10.0818,4.50904,14.1478
3689671,1.99426,2.30885,3.82523,9.0059,8.01795,7.46576,17.1342
3689730,1.99426,2.30885,3.82523,9.0059,8.01795,7.46576,17.1342
3689751,2.24244,2.39437,2.84393,9.23378,9.78457,6.67765,16.7145
3689761,2.24244,2.39437,2.84393,9.23378,9.78457,6.67765,16.7145
