ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3641711,0,0.00856423,0.054342,0.0364221,0,0,0.0993283
3641720,0.0531527,0,0.054342,0.0273165,0,0,0.134811
3641721,0,0,0.036228,0,0,0,0.036228
3641743,0,0,0.00905701,0,0,0,0.00905701
3641808,0,0,0.063399,0,0,0,0.063399
3641809,0,0,0.063399,0,0,0,0.063399
3641812,0,0.00856423,0.027171,0.018211,0,0,0.0539463
3641822,0,0,0.027171,0,0,0,0.027171
3641838,0.0265763,0,0.036228,0.0455276,0,0,0.108332
3641914,0.0265763,0,0.054342,0.018211,0,0,0.0991294
3641916,0.0354351,0,0.036228,0,0,0,0.0716631
3641927,0.00885878,0,0.018114,0.0728441,0,0,0.0998169
3641936,0.0265763,0,0.054342,0.00910552,0,0,0.0900239
3641948,0,0,0.072456,0,0,0,0.072456
3642028,0,0,0.072456,0,0,0,0.072456
3642030,0,0,0,0.00910552,0,0,0.00910552
3642040,0.00885878,0,0,0,0,0,0.00885878
3642118,0,0,0.054342,0.018211,0,0,0.0725531
3642120,0,0,0.072456,0,0,0,0.072456
3642127,0,0,0,0.0455276,0,0,0.0455276
3642141,0,0,0.036228,0.00910552,0,0,0.0453335
3642158,0,0,0.036228,0,0,0,0.036228
3642218,0,0,0.063399,0,0,0,0.063399
3642233,0.00885878,0,0.018114,0,0,0,0.0269728
3642243,0.0265763,0,0,0,0,0,0.0265763
3642259,0.00885878,0,0.045285,0,0,0,0.0541438
3642320,0,0,0.018114,0.00910552,0,0,0.0272195
3642342,0,0,0.027171,0,0,0,0.027171
3642352,0,0,0.054342,0,0,0,0.054342
3642362,0,0,0.054342,0,0,0,0.054342
3642443,0,0,0.072456,0,0,0,0.072456
3642454,0,0,0.054342,0,0,0,0.054342
3642464,0,0,0.00905701,0,0,0,0.00905701
3642524,0,0,0.00905701,0,0,0,0.00905701
3642533,0,0,0.00905701,0,0,0,0.00905701
3642544,0.00885878,0,0.018114,0.018211,0,0,0.0451838
3642554,0.00885878,0,0.018114,0.018211,0,0,0.0451838
3642565,0,0.00856423,0.045285,0.018211,0,0,0.0720603
3642627,0.0177176,0,0.045285,0,0,0,0.0630026
3642628,0,0,0.027171,0.0273165,0,0,0.0544876
3642645,0.00885878,0,0.027171,0.00910552,0,0,0.0451353
3642655,0.0442939,0,0.027171,0.018211,0,0,0.0896759
3642731,0,0,0.0815131,0.00910552,0,0,0.0906186
3642736,0,0,0.0815131,0.00910552,0,0,0.0906186
3642746,0.0177176,0,0.054342,0,0,0,0.0720596
3642756,0,0,0.027171,0,0,0,0.027171
3642833,0.0177176,0,0.027171,0,0,0,0.0448886
3642838,0.0177176,0,0.018114,0,0,0,0.0358316
3642839,0.00885878,0,0.045285,0,0,0,0.0541438
3642849,0.00885878,0,0.045285,0,0,0,0.0541438
3642859,0.00885878,0,0.018114,0,0,0,0.0269728
3642935,0,0.00856423,0.036228,0.0364221,0,0,0.0812143
3642938,0,0,0,0.0364221,0,0,0.0364221
3642950,0,0,0.00905701,0.0364221,0,0,0.0454791
3642960,0,0,0.00905701,0.0364221,0,0,0.0454791
3642970,0,0,0.036228,0.0364221,0,0,0.0726501
3643040,0,0,0.018114,0,0,0,0.018114
3643043,0,0,0.018114,0,0,0,0.018114
3643049,0,0,0.018114,0,0,0,0.018114
3643059,0.0177176,0,0.027171,0,0,0,0.0448886
3643069,0.0177176,0,0.027171,0,0,0,0.0448886
3643079,0,0,0.045285,0,0,0,0.045285
3643139,0,0,0,0,0,0,0
3643181,0.00885878,0,0,0,0,0,0.00885878
3643243,0.0442939,0,0.027171,0,0,0,0.0714649
3643253,0,0,0.00905701,0.00910552,0,0,0.0181625
3643265,0,0,0.00905701,0.00910552,0,0,0.0181625
3643276,0.0354351,0,0.045285,0.018211,0,0,0.0989312
3643345,0,0,0.018114,0.0364221,0,0,0.0545361
3643348,0,0,0.00905701,0,0,0,0.00905701
3643352,1.25795,5.03577,0.226425,0.746652,14.7866,-10.9828,7.26679
3643364,1.25795,5.03577,0.226425,0.746652,14.7866,-10.9828,7.26679
3643374,0,0.0513854,0.036228,0,0,0,0.0876134
3643384,0,0,0.0815131,0.0364221,0,0,0.117935
3643448,0,0,0.0815131,0.0364221,0,0,0.117935
3643450,0.0442939,0.111335,0.00905701,0.0364221,0,0,0.201108
3643453,0,0,0.036228,0.0273165,0,0,0.0635446
3643466,0.0620115,0,0,0,0,0,0.0620115
3643478,0.0620115,0,0,0,0,0,0.0620115
3643489,0.0177176,0,0.045285,0,0,0,0.0630026
3643556,0,0,0.00905701,0.00910552,0,0,0.0181625
3643568,0.0265763,0,0.045285,0.00910552,0,0,0.0809669
3643578,0,0.00856423,0,0,0,0,0.00856423
3643654,0,0,0.045285,0,0,0,0.045285
3643656,0,0,0.045285,0,0,0,0.045285
3643679,0,0,0.036228,0.00910552,0,0,0.0453335
3643755,2.50704,5.33552,0,0,9.01646,-15,7.84255
3643758,0.274622,0.265491,0.163026,0.0273165,-4.9572,-7.18258,0.730456
3643768,0.0265763,0,0,0,0,0,0.0265763
3643778,0,0,0.054342,0.00910552,0,0,0.0634475
3643796,0.0177176,0,0.045285,0.0364221,0,0,0.0994247
3643855,0.0177176,0,0.045285,0.0364221,0,0,0.0994247
3643864,0.0177176,0,0.0815131,0,0,0,0.0992306
3643874,0,0.00856423,0.036228,0,0,0,0.0447923
3643879,0,0.00856423,0.036228,0,0,0,0.0447923
3643958,0,0,0.018114,0.0364221,0,0,0.0545361
3643962,0,0.0256927,0.027171,0,0,0,0.0528637
3643971,0,0,0.054342,0.018211,0,0,0.0725531
3643981,0,0,0.036228,0.0637386,0,0,0.0999666
3644060,0,0,0.0996271,0.0455276,0,0,0.145155
3644063,0,0,0.172083,1.96679,20.9772,15,2.13887
3644073,0,0,0,0,0,0,0
3644083,0.150599,0.0513854,0.126798,0.0819497,0,0,0.410732
3644100,0.0620115,0.0256927,0.00905701,0,0,0,0.0967612
3644163,0,0,0.00905701,0.0455276,0,0,0.0545846
3644165,0,0,0.063399,0,0,0,0.063399
3644177,0,0,0,0.0455276,0,0,0.0455276
3644187,0,0,0,0.0455276,0,0,0.0455276
3644198,0,0,0,0.018211,0,0,0.018211
3644275,0,0,0.018114,0,0,0,0.018114
3644282,0,0,0.018114,0,0,0,0.018114
3644285,0,0,0.027171,0.00910552,0,0,0.0362765
3644382,0.0265763,0,0,0,0,0,0.0265763
3644384,0.0531527,0,0.0905701,0.0364221,0,0,0.180145
3644388,0.00885878,0,0.027171,0.0546331,0,0,0.0906629
3644398,0.00885878,0.00856423,0.027171,0,0,0,0.044594
3644475,0.0177176,0,0,0,0,0,0.0177176
3644478,0.0177176,0,0,0,0,0,0.0177176
3644479,0.0354351,0,0.018114,0.00910552,0,0,0.0626547
3644489,0.0354351,0,0.018114,0.00910552,0,0,0.0626547
3644499,0.0177176,0,0.045285,0.0637386,0,0,0.126741
3644575,0,0,0.117741,0.109266,0,0,0.227007
3644578,0,0,0.0905701,0.154794,0,0,0.245364
3644579,0.0354351,0.188413,0.833245,3.12319,14.6098,13.3935,4.18028
3644594,0.0354351,0.188413,0.833245,3.12319,14.6098,13.3935,4.18028
3644605,0.106305,0.265491,0.987214,4.27959,15.3033,13.0219,5.6386
3644680,0.0265763,0.188413,0.842302,3.73326,15.9313,13.6537,4.79055
3644683,0.0531527,0.154156,0.797017,3.90627,16.3435,13.7335,4.91059
3644693,0.637832,0.359698,1.08684,5.84574,14.1258,11.2263,7.93011
3644704,0.637832,0.359698,1.08684,5.84574,14.1258,11.2263,7.93011
3644714,0.752996,0.496725,1.28609,6.00054,13.0564,10.608,8.53635
3644778,0.939031,0.582368,1.49441,5.95501,11.4369,9.91217,8.97081
3644781,0.939031,0.582368,1.49441,5.95501,11.4369,9.91217,8.97081
3644783,0.735279,0.565239,3.07032,6.19175,6.98547,11.3063,10.5626
3644794,0.65555,0.548111,3.44166,6.09159,5.91998,11.6369,10.7369
3644808,0.549244,0.590932,3.25147,5.96411,6.64929,11.697,10.3558
3644883,0.540386,0.625189,3.1609,5.89127,6.88796,11.5778,10.2177
3644887,0.540386,0.625189,3.1609,5.89127,6.88796,11.5778,10.2177
3644897,0.903596,0.907809,5.19872,6.81093,2.92383,11.0682,13.8211
3644907,1.01876,0.984887,5.47949,7.18425,2.84797,10.9018,14.6674
3644919,1.01876,0.984887,5.47949,7.18425,2.84797,10.9018,14.6674
3644982,1.06305,1.14761,5.80554,7.48474,2.84458,10.7216,15.5009
3644984,1.09849,1.14761,6.32179,7.91269,2.48781,10.9114,16.4806
3644986,1.07191,1.20756,7.10975,8.64114,2.31142,11.2073,18.0304
3645010,1.07191,1.20756,7.10975,8.64114,2.31142,11.2073,18.0304
3645014,1.08077,1.21612,7.13692,8.7504,2.40432,11.2106,18.1842
3645089,1.02762,1.26751,7.19126,8.76861,2.48868,11.2282,18.255
3645092,1.09849,1.32746,7.34523,8.76861,2.22811,11.0745,18.5398
3645103,1.09849,1.31033,7.76185,8.68666,1.5069,11.1678,18.8573
3645111,1.09849,1.31033,7.76185,8.68666,1.5069,11.1678,18.8573
3645122,1.08077,1.34458,8.17848,8.66845,0.977814,11.2246,19.2723
3645192,1.03648,1.36171,8.63133,8.85056,0.684696,11.381,19.8801
3645194,1.03648,1.36171,8.63133,8.85056,0.684696,11.381,19.8801
3645198,1.04534,1.21612,9.11135,8.75951,-0.224833,11.6301,20.1323
3645213,1.15164,1.28463,9.00266,8.92341,0.0659734,11.4106,20.3623
3645229,1.17822,1.28463,8.97549,9.0782,0.254825,11.3987,20.5165
3645298,1.19594,1.21612,9.02078,9.22389,0.270244,11.4969,20.6567
3645314,1.20479,1.44736,9.74534,9.579,0.0867158,11.3796,21.9765
3645325,1.24909,1.43879,10.0804,10.1891,0.324875,11.4876,22.9574
3645395,1.26681,1.39597,10.479,10.6626,0.328478,11.6442,23.8043
3645398,1.26681,1.39597,10.479,10.6626,0.328478,11.6442,23.8043
3645401,1.38197,1.48161,12.9243,13.6765,0.722721,12.0844,29.4644
3645413,1.38197,1.48161,12.9243,13.6765,0.722721,12.0844,29.4644
3645424,1.4174,1.49874,13.6127,14.2957,0.619894,12.1619,30.8245
3645501,1.4174,1.49874,14.3554,14.2957,0.0171393,12.2286,31.5672
3645501,1.43512,1.6272,14.3554,14.8329,0.51907,12.1514,32.2506
3645520,1.59458,1.76423,16.3117,17.3938,0.844321,12.2814,37.0643
3645523,1.59458,1.76423,16.3117,17.3938,0.844321,12.2814,37.0643
3645534,1.78947,1.73854,16.3207,17.413,0.698662,12.1595,37.2617
3645597,1.78947,1.73854,16.3207,17.413,0.698662,12.1595,37.2617
3645598,1.96665,1.867,16.3841,17.3458,0.573689,11.9383,37.5635
3645616,2.17926,2.13249,17.2415,18.0757,0.496775,11.7359,39.6289
3645626,2.17926,2.13249,17.2415,18.0757,0.496775,11.7359,39.6289
3645704,2.26785,2.21814,17.5119,18.4695,0.560853,11.6744,40.4674
3645707,2.25013,2.17531,18.0335,19.0362,0.558993,11.8005,41.4951
3645803,2.24127,2.24383,17.7148,19.7949,1.23985,11.796,41.9948
3645806,2.25899,2.20101,17.3188,19.891,1.50843,11.789,41.6697
3645809,2.40073,2.41511,15.1071,17.4034,1.54763,11.1294,37.3263
3645818,2.40073,2.41511,15.1071,17.4034,1.54763,11.1294,37.3263
3645829,2.4716,2.44937,15.415,17.5186,1.37459,11.1001,37.8546
3645839,2.35644,2.36373,15.9132,17.6915,1.16481,11.3051,38.3248
3645913,2.20584,2.25239,16.4022,17.826,0.950146,11.5428,38.6865
3645916,2.12611,2.32091,16.7917,18.0949,0.952131,11.6082,39.3336
3645918,2.2147,2.3466,16.9094,19.0169,1.38278,11.6202,40.4877
3645929,2.2147,2.3466,16.9094,19.0169,1.38278,11.6202,40.4877
3645940,2.13497,2.26096,16.4838,18.5847,1.41076,11.6583,39.4644
3646010,2.15268,2.37229,15.9947,18.191,1.56023,11.4932,38.7106
3646013,2.15268,2.37229,15.9947,18.191,1.56023,11.4932,38.7106
3646033,1.88692,2.26952,16.6377,18.9497,1.69498,11.8626,39.7439
3646040,1.84263,2.3466,17.029,19.4107,1.77566,11.9067,40.6289
3646119,1.83377,2.23526,17.5409,20.0062,1.72217,12.0667,41.6162
3646125,1.83377,2.23526,17.5409,20.0062,1.72217,12.0667,41.6162
3646130,1.568,1.867,19.8398,21.3412,1.00887,12.6903,44.616
3646152,1.51485,1.7728,20.2841,21.7734,0.963333,12.8249,45.3452
3646210,1.48828,1.69572,20.2261,21.9271,1.05235,12.8931,45.3372
3646213,1.83377,1.90982,19.7045,21.3701,0.971463,12.4941,44.8182
3646234,1.7629,1.87557,19.3955,20.8706,0.90414,12.5138,43.9045
3646242,1.78947,1.96121,19.1733,20.4768,0.849795,12.4074,43.4008
3646320,1.78947,1.96121,19.1733,20.4768,0.849795,12.4074,43.4008
3646323,1.9135,1.9869,19.1057,20.4,0.787747,12.3042,43.4061
3646346,1.86034,1.99547,18.6131,19.8429,0.806507,12.2661,42.3118
3646355,1.73632,1.90126,18.6517,20.1023,0.952721,12.4257,42.3915
3646416,1.73632,1.90126,18.6517,20.1023,0.952721,12.4257,42.3915
3646418,1.64773,1.78992,18.5165,20.352,1.16868,12.5623,42.3061
3646433,1.72746,1.69572,18.3716,20.6113,1.30168,12.5783,42.4061
3646435,1.73632,1.75567,18.4199,20.7073,1.35315,12.542,42.6192
3646518,1.69203,1.73854,18.0818,20.6497,1.55021,12.559,42.1621
3646521,1.69203,1.78136,17.6085,20.6401,1.87007,12.5025,41.722
3646525,1.66545,1.78136,17.6182,20.6689,1.89693,12.5223,41.7339
3646540,1.63002,1.84987,17.7341,20.6977,1.89894,12.5091,41.9117
3646552,1.63002,1.76423,17.9273,20.7746,1.77066,12.5811,42.0961
3646623,1.55029,1.70428,17.9466,20.9282,1.86073,12.6824,42.1294
3646625,1.57686,1.75567,17.9176,20.9667,1.91148,12.6318,42.2168
