ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3084513,4.37174,10.9851,3.85737,11.9424,11.794,0.213287,31.1566
3084523,4.32845,10.8156,3.94922,12.2629,11.8006,0.510911,31.3561
3084533,4.32845,10.8156,3.94922,12.2629,11.8006,0.510911,31.3561
3084543,4.27435,10.6744,3.97677,12.2975,11.7868,0.636794,31.223
3084553,4.26353,10.5991,4.03187,12.4014,11.7468,0.752808,31.2959
3084563,4.26353,10.5991,4.03187,12.4014,11.7468,0.752808,31.2959
3084573,4.22024,10.5426,4.05943,12.462,11.7671,0.843199,31.2844
3084583,4.22024,10.5426,4.05943,12.462,11.7671,0.843199,31.2844
3084593,4.17696,10.4109,4.01351,12.3928,11.7871,0.880069,30.9941
3084624,4.14449,10.3073,3.98595,12.081,11.6796,0.793846,30.5188
3084637,4.14449,10.1567,3.92166,11.9511,11.6339,0.781252,30.174
3084646,4.14449,10.1567,3.92166,11.9511,11.6339,0.781252,30.174
3084656,4.13367,10.0626,3.89411,11.8125,11.5769,0.757653,29.9029
3084665,4.13367,10.0626,3.89411,11.8125,11.5769,0.757653,29.9029
3084675,4.18778,9.99668,3.77472,11.4921,11.4819,0.551265,29.4513
3084686,4.06875,9.91196,3.7288,11.137,11.4844,0.460258,28.8465
3084696,4.06875,9.91196,3.7288,11.137,11.4844,0.460258,28.8465
3084705,4.09039,9.81783,3.7288,11.1544,11.421,0.50793,28.7914
3084716,4.10121,9.77076,3.80227,11.5008,11.4551,0.735762,29.175
3084727,4.10121,9.77076,3.80227,11.5008,11.4551,0.735762,29.175
3084737,4.15531,9.89313,3.91248,11.8212,11.4553,0.848776,29.7821
3084748,4.15531,9.89313,3.91248,11.8212,11.4553,0.848776,29.7821
3084754,7.54233,11.5875,4.15127,12.0897,8.46996,-1.22512,35.3707
3084763,7.8345,11.5592,7.31983,12.7219,5.7859,0.246454,39.4354
3084773,7.8345,11.5592,7.31983,12.7219,5.7859,0.246454,39.4354
3084784,8.22406,11.0133,6.58509,13.7178,6.27331,0.404216,39.5402
3084794,8.22406,11.0133,6.58509,13.7178,6.27331,0.404216,39.5402
3084804,8.28899,11.3992,5.66667,13.5706,7.07386,-0.173789,38.9254
3084815,8.47295,11.4934,4.9503,12.6959,7.15586,-0.925276,37.6125
3084824,8.47295,11.4934,4.9503,12.6959,7.15586,-0.925276,37.6125
3084836,8.12667,11.4651,4.26148,11.8385,7.64565,-1.46748,35.6918
3084846,8.13749,11.5122,3.97677,11.3189,7.66684,-1.86892,34.9453
3084867,7.87778,11.1733,3.91248,11.0245,7.65527,-1.81571,33.988
3084877,7.87778,11.1733,3.91248,11.0245,7.65527,-1.81571,33.988
3084887,7.67218,11.0886,3.93085,10.9292,7.74428,-1.74032,33.6208
3084898,7.58561,11.2204,3.9584,11.2669,8.03914,-1.57824,34.0313
