ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3000048,3.78139,11.0608,2.53485,12.8524,14.5528,0.270447,30.2294
3000058,3.78139,11.0608,2.53485,12.8524,14.5528,0.270447,30.2294
3000068,3.53219,11.0702,2.54403,12.9569,14.9077,0.44775,30.1034
3000101,3.34799,11.0608,2.51648,13.0876,15.2301,0.597405,30.0129
3000111,3.09879,10.8917,2.49811,13.0789,15.5354,0.804904,29.5675
3000123,3.09879,10.8917,2.49811,13.0789,15.5354,0.804904,29.5675
3000133,3.02294,10.8541,2.48892,12.9918,15.6126,0.819402,29.3577
3000143,3.02294,10.8541,2.48892,12.9918,15.6126,0.819402,29.3577
3000153,2.9471,10.6849,2.48892,12.9308,15.6442,0.923036,29.0517
3000163,2.83875,10.5064,2.50729,12.9918,15.7329,1.12015,28.8442
3000179,2.79541,10.2808,2.46137,12.7043,15.6933,1.10974,28.2419
3000189,2.71957,10.0929,2.49811,12.9221,15.7595,1.38551,28.2326
3000206,2.71957,10.0929,2.49811,12.9221,15.7595,1.38551,28.2326
3000209,2.79541,10.2244,2.52566,13.4798,15.8337,1.54292,29.0253
3000232,4.46399,11.3897,2.5624,13.959,14.1485,0.309352,32.3751
3000242,4.50733,11.089,3.9033,14.4905,12.6278,1.23454,33.9901
3000264,7.83365,12.8463,6.31875,15.8063,8.46874,0.506374,42.805
3000275,5.8617,11.0608,6.85143,16.4859,9.21116,2.39004,40.2598
3000284,5.8617,11.0608,6.85143,16.4859,9.21116,2.39004,40.2598
3000296,6.1109,11.1548,6.14425,15.3444,9.18869,1.63453,38.7544
3000306,6.1109,11.1548,6.14425,15.3444,9.18869,1.63453,38.7544
3000311,6.1434,10.9011,5.56564,13.8109,8.92541,0.960458,36.421
3000326,6.08923,10.3748,5.3544,13.0876,8.60797,0.850008,34.9061
3000342,6.23008,10.1211,5.57482,12.5736,7.8912,0.781417,34.4995
3000352,6.39261,10.0365,5.86872,12.774,7.51967,0.946739,35.0718
3000362,6.39261,10.0365,5.86872,12.774,7.51967,0.946739,35.0718
3000372,6.43595,10.0365,5.76769,13.1312,7.74926,1.029,35.3713
3000382,6.43595,10.0365,5.76769,13.1312,7.74926,1.029,35.3713
3000398,6.15424,9.92371,5.27175,13.1748,8.45234,1.02908,34.5245
3000401,5.8942,9.9801,4.61967,13.2532,9.42259,0.888326,33.7472
3000412,5.8942,9.9801,4.61967,13.2532,9.42259,0.888326,33.7472
3000422,5.74251,10.1868,3.88493,13.5146,10.5569,0.661667,33.3289
3000432,5.56915,10.4124,3.50837,13.9241,11.4166,0.651364,33.4141
3000462,5.56915,10.4124,3.50837,13.9241,11.4166,0.651364,33.4141
3000468,5.37412,10.8353,3.09508,14.0287,12.2961,0.411479,33.3332
3000475,5.07075,11.1642,2.70016,13.8109,13.1346,0.126475,32.746
3000486,4.81071,11.23,2.54403,13.5233,13.5469,0.0124669,32.108
3000496,4.81071,11.23,2.54403,13.5233,13.5469,0.0124669,32.108
3000506,4.79987,11.3239,2.41545,13.3403,13.6835,-0.17316,31.8796
3000516,4.79987,11.3239,2.41545,13.3403,13.6835,-0.17316,31.8796
3000526,4.78904,11.2957,2.41545,13.1138,13.6055,-0.263591,31.614
3000536,4.70236,11.3521,2.42464,13.2009,13.7516,-0.203089,31.68
3000546,4.70236,11.3521,2.42464,13.2009,13.7516,-0.203089,31.68
3000556,4.51816,11.2863,2.50729,13.1835,13.8468,-0.054161,31.4953
3000566,4.30147,11.1172,2.47974,12.9134,13.9958,-0.0124338,30.8118
3000576,4.30147,11.1172,2.47974,12.9134,13.9958,-0.0124338,30.8118
3000586,3.99809,10.8541,2.51648,12.6868,14.1624,0.175252,30.0555
3000596,3.99809,10.8541,2.51648,12.6868,14.1624,0.175252,30.0555
3000606,3.60803,10.5064,2.49811,12.6258,14.558,0.517926,29.2383
3000616,3.32632,10.2902,2.50729,12.9047,14.9519,0.927753,29.0285
3000627,3.32632,10.2902,2.50729,12.9047,14.9519,0.927753,29.0285
3000637,3.10962,10.215,2.60832,13.2706,15.2102,1.31197,29.2036
3000647,2.92543,10.0553,2.58077,13.3229,15.4686,1.51793,28.8844
3000657,2.92543,10.0553,2.58077,13.3229,15.4686,1.51793,28.8844
3000667,2.77374,9.71697,2.66343,13.5407,15.5259,1.94118,28.6949
3000677,2.77374,9.71697,2.66343,13.5407,15.5259,1.94118,28.6949
3000687,2.54621,9.39746,2.65424,13.7847,15.8387,2.37573,28.3826
3000697,2.49203,9.10614,2.72771,14.02,15.7928,2.72502,28.3459
3000707,2.49203,9.10614,2.72771,14.02,15.7928,2.72502,28.3459
3000717,2.54621,8.8618,2.69098,14.0723,15.7047,2.85144,28.1713
3000727,2.54621,8.8618,2.69098,14.0723,15.7047,2.85144,28.1713
3000737,2.84959,8.88999,2.97569,14.8478,15.1477,3.0869,29.563
3000747,4.81071,9.51023,14.557,19.6817,5.0578,6.15256,48.5596
3000757,4.81071,9.51023,14.557,19.6817,5.0578,6.15256,48.5596
3000767,7.35691,10.4594,9.81794,18.549,6.40574,3.42677,46.1832
3000777,6.76099,10.1211,8.10049,17.8326,7.64459,3.17096,42.8151
3000787,6.76099,10.1211,8.10049,17.8326,7.64459,3.17096,42.8151
3000797,6.17591,9.72637,6.11669,15.8934,8.78813,2.41655,37.9124
3000829,6.17591,9.72637,6.11669,15.8934,8.78813,2.41655,37.9124
3000836,5.56915,9.30348,4.63803,14.264,9.88927,1.78952,33.7746
3000846,4.9624,8.89939,4.00432,13.4362,10.6772,1.71492,31.3023
3000856,4.90822,9.11553,3.88493,13.837,11.1506,1.74741,31.7457
3000874,4.9949,9.32228,3.82064,14.1158,11.334,1.6832,32.2537
3000883,4.9949,9.32228,3.82064,14.1158,11.334,1.6832,32.2537
3000894,4.9949,9.65119,3.70124,14.5167,11.7695,1.63027,32.864
3000903,4.94073,10.0459,3.59103,15.1702,12.3595,1.6777,33.7478
3000926,4.90822,10.2996,3.37979,15.6407,12.893,1.67084,34.2283
3000936,4.61568,10.356,3.15937,15.8498,13.5597,1.78226,33.9809
3000946,4.61568,10.356,3.15937,15.8498,13.5597,1.78226,33.9809
3000956,4.23646,10.4406,3.03079,15.7278,14.1325,1.8311,33.4357
3000966,4.23646,10.4406,3.03079,15.7278,14.1325,1.8311,33.4357
3000976,3.96558,10.3466,2.85629,15.5361,14.5705,1.87141,32.7046
3000986,3.94391,10.403,2.81037,15.3357,14.6065,1.75385,32.493
3000997,3.94391,10.403,2.81037,15.3357,14.6065,1.75385,32.493
3001006,3.97642,10.497,2.69098,14.9698,14.6257,1.48784,32.1341
3001016,3.94391,10.6661,2.70016,14.8391,14.6668,1.36668,32.1492
3001026,3.94391,10.6661,2.70016,14.8391,14.6668,1.36668,32.1492
3001036,3.8464,10.6943,2.67261,14.7606,14.8057,1.35698,31.9739
3001046,3.8464,10.6943,2.67261,14.7606,14.8057,1.35698,31.9739
3001056,3.66221,10.6191,2.67261,14.8391,15.0374,1.52408,31.793
3001066,3.49968,10.4594,2.78282,14.8565,15.0588,1.74705,31.5984
3001077,3.49968,10.4594,2.78282,14.8565,15.0588,1.74705,31.5984
3001087,3.31549,10.3748,2.792,14.8478,15.253,1.89091,31.3301
3001110,3.07712,10.2244,2.75527,14.6299,15.4969,1.99613,30.6868
3001119,3.04461,10.1774,2.70935,14.7084,15.6103,2.05402,30.6398
3001130,3.04461,10.1774,2.70935,14.7084,15.6103,2.05402,30.6398
3001140,2.90376,10.0365,2.72771,14.5602,15.6851,2.15744,30.2282
3001149,2.7304,9.82034,2.70016,14.2291,15.7894,2.22788,29.48
3001159,2.7304,9.82034,2.70016,14.2291,15.7894,2.22788,29.48
3001169,2.66539,9.66059,2.6175,14.0984,15.9047,2.26738,29.0419
3001198,2.66539,9.66059,2.6175,14.0984,15.9047,2.26738,29.0419
3001203,2.54621,9.45384,2.6175,13.9503,15.9624,2.39836,28.5678
3001219,2.4812,8.90879,2.58995,13.9416,15.9189,2.76213,27.9215
3001229,2.53537,8.77722,2.65424,14.3685,15.8425,3.02282,28.3354
3001239,2.53537,8.77722,2.65424,14.3685,15.8425,3.02282,28.3354
3001249,2.70873,8.66446,2.792,14.6735,15.4629,3.16883,28.8387
3001259,2.70873,8.66446,2.792,14.6735,15.4629,3.16883,28.8387
3001269,3.20714,8.8618,2.81037,14.8478,14.8787,2.82026,29.7271
3001279,4.78904,9.17192,14.061,19.6913,5.24653,6.22198,47.7133
3001291,4.78904,9.17192,14.061,19.6913,5.24653,6.22198,47.7133
3001301,5.6775,9.18132,7.22798,18.5296,9.11297,4.02502,40.6164
3001311,5.645,8.91819,6.39222,18.4231,9.71601,3.90524,39.3785
3001321,5.645,8.91819,6.39222,18.4231,9.71601,3.90524,39.3785
3001331,5.40663,8.84301,5.25338,16.7125,10.2825,3.19595,36.2155
3001341,5.40663,8.84301,5.25338,16.7125,10.2825,3.19595,36.2155
3001351,4.97323,8.4953,4.21556,15.1615,11.0121,2.6983,32.8455
3001361,4.83238,8.26976,3.69206,14.2553,11.2728,2.3407,31.0494
3001371,4.83238,8.26976,3.69206,14.2553,11.2728,2.3407,31.0494
3001381,4.76737,8.05362,3.99514,14.1333,10.8438,2.5723,30.9494
3001391,4.79987,7.86567,4.57374,14.7171,10.3337,3.10984,31.9564
