ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4362201,0.123765,0.452536,0.589963,7.24006,20.7548,12.9433,8.40633
4362211,0.123765,0.452536,0.589963,7.24006,20.7548,12.9433,8.40633
4362221,0.123765,0.418383,0.644421,7.25832,20.4518,13.0741,8.44489
4362280,0.0972439,0.469613,0.589963,7.26745,20.9213,12.9813,8.42427
4362289,0.106084,0.418383,0.544581,7.28571,21.106,13.1168,8.35476
4362299,0.141446,0.461075,0.599039,7.30397,20.647,12.8748,8.50553
4362319,0.114925,0.443998,0.544581,7.26745,21.0608,12.9969,8.37096
4362388,0.0972439,0.426921,0.562734,7.34049,21.0843,13.1341,8.42739
4362393,0.167967,0.426921,0.562734,7.41353,20.7374,12.9178,8.57116
4362404,0.132605,0.43546,0.553657,7.4044,20.9755,13.0012,8.52613
4362414,0.159126,0.418383,0.535505,7.36788,20.9047,12.9571,8.4809
4362485,0.106084,0.426921,0.535505,7.38614,21.2057,13.1087,8.45465
4362488,0.106084,0.418383,0.580886,7.38614,20.955,13.1471,8.4915
4362490,0.0884035,0.392767,0.626268,7.41353,20.8064,13.3059,8.52097
4362505,0.0884035,0.392767,0.626268,7.41353,20.8064,13.3059,8.52097
4362510,0.0884035,0.443998,0.580886,7.42266,21.0796,13.1288,8.53595
4362522,0.106084,0.461075,0.608115,7.43179,20.8511,13.0232,8.60707
4362592,0.106084,0.461075,0.608115,7.43179,20.8511,13.0232,8.60707
4362594,0.123765,0.401306,0.608115,7.43179,20.7275,13.1609,8.56498
4362606,0.114925,0.384229,0.608115,7.45005,20.7753,13.2501,8.55732
4362623,0.114925,0.384229,0.608115,7.45005,20.7753,13.2501,8.55732
4362625,0.0795632,0.401306,0.617192,7.43179,20.9158,13.3088,8.52985
4362695,0.141446,0.401306,0.599039,7.4957,20.7135,13.1149,8.63749
4362699,0.0972439,0.367152,0.553657,7.38614,21.1275,13.3423,8.4042
4362725,0.0972439,0.426921,0.57181,7.24919,20.9914,13.1157,8.34517
4362732,0.0972439,0.426921,0.57181,7.24919,20.9914,13.1157,8.34517
4362795,0.106084,0.418383,0.599039,7.32223,20.8256,13.1371,8.44574
4362805,0.132605,0.401306,0.517352,7.28571,21.102,13.0788,8.33698
4362815,0.123765,0.443998,0.580886,7.34962,20.8541,12.9957,8.49827
4362828,0.123765,0.443998,0.580886,7.34962,20.8541,12.9957,8.49827
4362898,0.141446,0.409844,0.544581,7.3131,20.9209,13.0332,8.40897
4362901,0.123765,0.384229,0.562734,7.34049,20.9192,13.1882,8.41122
4362903,0.132605,0.392767,0.589963,7.20354,20.6571,13.1054,8.31888
4362917,0.150286,0.495229,0.535505,7.20354,20.9104,12.6903,8.38456
4362926,0.0972439,0.409844,0.562734,7.23093,21.0246,13.1673,8.30076
4362937,0.0972439,0.409844,0.562734,7.23093,21.0246,13.1673,8.30076
4362998,0.114925,0.401306,0.57181,7.26745,20.8905,13.1465,8.35549
4363002,0.167967,0.409844,0.553657,7.20354,20.6711,12.9203,8.33501
4363004,0.106084,0.367152,0.535505,7.26745,21.1239,13.2846,8.2762
4363014,0.106084,0.367152,0.535505,7.26745,21.1239,13.2846,8.2762
4363028,0.123765,0.418383,0.57181,7.17615,20.8048,13.0381,8.29011
4363038,0.123765,0.418383,0.57181,7.17615,20.8048,13.0381,8.29011
4363105,0.132605,0.426921,0.580886,7.24006,20.7431,12.997,8.38048
4363112,0.114925,0.43546,0.526428,7.30397,21.1737,13.0298,8.38079
4363115,0.114925,0.43546,0.544581,7.30397,21.0739,13.0341,8.39894
4363130,0.106084,0.401306,0.526428,7.28571,21.1986,13.1704,8.31953
4363135,0.167967,0.43546,0.544581,7.19441,20.7294,12.83,8.34242
4363204,0.167967,0.43546,0.544581,7.19441,20.7294,12.83,8.34242
4363207,0.106084,0.375691,0.599039,7.18528,20.7348,13.2515,8.2661
4363217,0.0972439,0.367152,0.589963,7.04834,20.7594,13.2806,8.10269
4363228,0.0972439,0.367152,0.589963,7.04834,20.7594,13.2806,8.10269
4363240,0.114925,0.350075,0.57181,7.25832,20.8606,13.3183,8.29513
4363305,0.106084,0.290306,0.589963,7.26745,20.7835,13.5592,8.25381
4363308,0.106084,0.290306,0.589963,7.26745,20.7835,13.5592,8.25381
4363318,0.0884035,0.520844,0.435665,5.30451,20.8731,12.1214,6.34942
4363328,0.221009,0.665997,0.335825,3.95328,19.6211,9.85904,5.17611
4363413,0.23869,0.785535,0.190603,2.00859,18.341,5.46766,3.22342
4363415,0.23869,0.785535,0.190603,2.00859,18.341,5.46766,3.22342
4363418,0.106084,0.256153,0,0.12782,0,0,0.490056
4363429,0,0,0.027229,0.00912997,0,0,0.036359
4363439,0,0,0.027229,0.00912997,0,0,0.036359
4363513,0.0353614,0,0,0,0,0,0.0353614
4363515,0.0618825,0,0.00907635,0,0,0,0.0709588
4363532,0.0884035,0,0.0181527,0,0,0,0.106556
4363541,0,0.0426921,0.0363054,0.0456498,0,0,0.124647
4363552,0,0.0426921,0.0363054,0.0456498,0,0,0.124647
4363612,0.0442018,0.0256153,0,0,0,0,0.069817
4363620,0.0618825,0.0170768,0,0,0,0,0.0789593
4363631,0.0618825,0.0170768,0,0,0,0,0.0789593
4363643,0.106084,0.0512305,0.027229,0,0,0,0.184544
4363653,0.0530421,0,0.0363054,0,0,0,0.0893475
4363714,0.0795632,0,0.0453817,0,0,0,0.124945
4363715,0.0795632,0,0.0453817,0,0,0,0.124945
4363727,0.0265211,0,0,0,0,0,0.0265211
4363730,0.0353614,0.0341537,0.0181527,0.00912997,0,0,0.0967978
4363745,0.0353614,0.0341537,0.0181527,0.00912997,0,0,0.0967978
4363755,0.0265211,0.0683074,0.027229,0,0,0,0.122057
4363841,0.0265211,0.0683074,0.027229,0,0,0,0.122057
4363847,0.0530421,0,0.027229,0.0182599,0,0,0.0985311
4363856,0.0353614,0.00853842,0,0,0,0,0.0438998
4363927,0.0353614,0,0.00907635,0,0,0,0.0444378
4363929,0.0353614,0,0.00907635,0,0,0,0.0444378
4363934,0.0972439,0.136615,0.0998398,0.10956,0,0,0.443258
4363944,0.0176807,0.136615,0.0635344,0.0365199,0,0,0.25435
4364022,0,0.00853842,0,0,0,0,0.00853842
4364024,0,0.0683074,0.0907635,0.0273899,0,0,0.186461
4364026,0.0176807,0.0256153,0.0181527,0,0,0,0.0614487
4364035,0.0176807,0.0256153,0.0181527,0,0,0,0.0614487
4364050,0,0.0426921,0,0,0,0,0.0426921
4364060,0.0353614,0.0512305,0.0726108,0,0,0,0.159203
4364124,0.0353614,0.0512305,0.0726108,0,0,0,0.159203
4364127,0.0795632,0.059769,0.0363054,0,0,0,0.175638
4364138,0.0176807,0.0341537,0.0726108,0,0,0,0.124445
4364160,0.0353614,0.0256153,0,0,0,0,0.0609767
4364229,0.0353614,0.0341537,0,0.0273899,0,0,0.096905
4364232,0.0353614,0.0341537,0,0.0273899,0,0,0.096905
4364242,0.0265211,0.0426921,0.027229,0,0,0,0.0964422
4364251,0.0353614,0.0426921,0,0,0,0,0.0780535
4364268,0,0.0426921,0.00907635,0,0,0,0.0517685
4364329,0,0.0426921,0.00907635,0,0,0,0.0517685
4364330,0,0,0.0181527,0,0,0,0.0181527
4364353,0.132605,0.281768,1.45222,9.2304,17.8592,13.8798,11.097
4364369,0,0,1.41591,9.53169,18.5332,15,10.9476
4364432,0.0265211,0.401306,1.36145,4.95757,14.7139,13.0977,6.74685
4364437,0.0265211,0.401306,1.36145,4.95757,14.7139,13.0977,6.74685
4364445,0.0884035,0.204922,0,0.164339,0,0,0.457665
4364455,0.265211,1.29784,0,0.292159,17.8523,-10.2756,1.85521
4364465,0.318253,1.38322,0.0181527,0.0456498,15.4716,-13.9157,1.76528
4364535,0.0884035,0.281768,0.0726108,0.0273899,0,0,0.470172
4364538,0.0176807,0.0853842,0.0181527,0,0,0,0.121218
4364540,0.0530421,0.0512305,0.0544581,0,0,0,0.158731
4364576,0.0353614,0.059769,0,0,0,0,0.0951304
4364636,0.00884035,0.059769,0.0907635,0,0,0,0.159373
4364646,0.0353614,0.0426921,0.0181527,0,0,0,0.0962062
4364655,0.0176807,0.0426921,0,0,0,0,0.0603728
4364678,0.0353614,0.00853842,0.0726108,0,0,0,0.116511
4364747,0.0353614,0.00853842,0.0726108,0,0,0,0.116511
4364748,0.0265211,0.0426921,0,0,0,0,0.0692132
4364760,0,0.059769,0,0,0,0,0.059769
4364764,0.0353614,0.0683074,0.0181527,0.00912997,0,0,0.130951
4364845,0.0442018,0.0683074,0.027229,0,0,0,0.139738
4364848,0.0442018,0.0683074,0.027229,0,0,0,0.139738
4364858,0.0618825,0.0426921,0,0,0,0,0.104575
4364868,0,0.0426921,0,0,0,0,0.0426921
4364879,0,0.0426921,0,0,0,0,0.0426921
4364943,0.0176807,0.0512305,0,0,0,0,0.0689112
4364949,0.0265211,0.0768458,0.027229,0,0,0,0.130596
4364960,0,0.0512305,0,0.191729,0,0,0.24296
4364972,1.82111,6.24159,0,0,13.7066,-15,8.0627
4364982,0,0,2.19648,2.05424,-0.836526,15,4.25072
4365045,0,0,2.19648,2.05424,-0.836526,15,4.25072
4365048,0.645346,3.5776,1.67005,1.90816,10.1599,-1.23969,7.80116
4365058,1.56474,4.38875,0.47197,1.48818,12.1316,-7.56921,7.91365
4365082,1.57358,4.50829,0.608115,2.29162,12.8546,-5.31442,8.98161
4365151,1.52054,4.5339,0.853177,3.64286,13.7507,-2.21565,10.5505
4365154,1.40562,4.36313,1.46129,7.93394,15.547,3.58727,15.164
4365159,1.31721,4.05575,1.07101,6.76531,15.9601,2.7973,13.2093
4365171,1.21997,3.85937,1.07101,7.04834,16.3212,3.4549,13.1987
4365254,1.14041,3.56906,1.26161,8.26262,16.5622,5.07398,14.2337
4365257,1.14041,3.56906,1.26161,8.26262,16.5622,5.07398,14.2337
4365260,0.99896,3.01406,1.4976,10.6729,17.2867,7.56092,16.1836
